i,S,V,Ip,Im,Rs,Rv,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004,0.004,0.004
1,0.496396,0.498,0.00222116,0.0023738,0.0005043,0.0005043,0.0010086,0.00459496,0.00459496,0.00459496
2,0.24728,0.744547,0.00284605,0.00316611,0.00128288,0.000878054,0.00216094,0.00601216,0.00527807,0.00454399
3,0.123042,0.864958,0.00388532,0.00445082,0.00209109,0.00157264,0.00366373,0.00833613,0.00606134,0.00413514
4,0.0611084,0.921281,0.00545907,0.00640876,0.00284184,0.00290058,0.00574242,0.0118678,0.0069587,0.0036041
5,0.0302625,0.943957,0.0077637,0.00932057,0.00350442,0.00519139,0.00869581,0.0170843,0.00798587,0.00307529
6,0.0149233,0.947474,0.0110761,0.0135875,0.00407205,0.0088675,0.0129395,0.0246637,0.00916027,0.00259861
7,0.0073136,0.938111,0.0157621,0.0197579,0.00454869,0.0145065,0.0190551,0.03552,0.0105011,0.00218721
8,0.00355233,0.917788,0.0222714,0.0285416,0.00494299,0.0229041,0.0278471,0.050813,0.0120292,0.00183908
9,0.00170358,0.886016,0.0310954,0.0407837,0.00526529,0.0351363,0.0404016,0.0718792,0.013767,0.001547
10,0.000802552,0.841073,0.0426516,0.0573453,0.00552603,0.0526012,0.0581272,0.0999969,0.0157384,0.00130273
11,0.00036901,0.781026,0.0570499,0.0788185,0.00573499,0.0770018,0.0827368,0.135868,0.0179679,0.00109857
12,0.000164349,0.704979,0.0737304,0.105026,0.00590099,0.110199,0.1161,0.178757,0.0204807,0.000927813
13,7.04E-05,0.614582,0.0910784,0.134383,0.00603177,0.153854,0.159886,0.225461,0.0233012,0.000784803
14,2.88E-05,0.515195,0.106332,0.16349,0.00613401,0.20882,0.214954,0.269822,0.0264521,0.00066484
15,1.13E-05,0.415542,0.116216,0.187593,0.00621339,0.274424,0.280638,0.30381,0.0299528,0.000564037
16,4.26E-06,0.32511,0.118336,0.202244,0.00627472,0.348031,0.354306,0.320579,0.0338177,0.000479186
17,1.58E-06,0.250527,0.112471,0.205314,0.00632195,0.425365,0.431687,0.317784,0.0380537,0.000407641
18,5.89E-07,0.193619,0.100607,0.197777,0.00635828,0.501638,0.507996,0.298385,0.042658,0.000347214
19,2.24E-07,0.152375,0.0857029,0.182687,0.00638623,0.572849,0.579235,0.26839,0.047615,0.000296095
20,8.79E-08,0.123218,0.0703565,0.163506,0.00640777,0.636511,0.642919,0.233863,0.0528934,0.000252783
21,3.57E-08,0.102703,0.0562203,0.143023,0.00642438,0.69163,0.698054,0.199243,0.0584445,0.000216032
22,1.50E-08,0.0881551,0.0440596,0.123064,0.00643722,0.738284,0.744721,0.167124,0.0641992,0.000184805
23,6.49E-09,0.0776958,0.0340488,0.104645,0.00644717,0.777163,0.783611,0.138694,0.0700682,0.000158235
24,2.88E-09,0.0700561,0.0260456,0.0882212,0.00645488,0.809222,0.815677,0.114267,0.0759416,0.000135601
25,1.31E-09,0.0643884,0.0197744,0.0739062,0.00646087,0.83547,0.841931,0.0936806,0.0816922,0.000116297
26,6.06E-10,0.0601233,0.0149291,0.0616226,0.00646552,0.856859,0.863325,0.0765517,0.0871796,9.98E-05
27,2.84E-10,0.0568728,0.0112233,0.0511978,0.00646915,0.874237,0.880706,0.0624211,0.0922565,8.57E-05
28,1.35E-10,0.0543686,0.00841005,0.0424208,0.00647198,0.888329,0.894801,0.0508308,0.0967771,7.37E-05
29,6.48E-11,0.0524212,0.00628617,0.0350745,0.00647419,0.899744,0.906218,0.0413607,0.100606,6.33E-05
30,3.13E-11,0.050895,0.00468949,0.0289529,0.00647591,0.908987,0.915463,0.0336424,0.103627,5.45E-05
31,1.52E-11,0.0496909,0.00349299,0.023869,0.00647726,0.91647,0.922947,0.027362,0.105752,4.69E-05
32,7.45E-12,0.0487357,0.00259862,0.0196578,0.00647832,0.92253,0.929008,0.0222564,0.106927,4.04E-05
33,3.66E-12,0.0479742,0.00193139,0.0161765,0.00647915,0.927439,0.933918,0.0181079,0.107131,3.48E-05
34,1.80E-12,0.0473648,0.00143438,0.0133032,0.0064798,0.931418,0.937898,0.0147376,0.106385,3.00E-05
35,8.91E-13,0.0468755,0.00106461,0.0109346,0.0064803,0.934645,0.941125,0.0119992,0.104739,2.59E-05
36,4.41E-13,0.0464815,0.000789774,0.00898397,0.0064807,0.937264,0.943745,0.00977374,0.102275,2.23E-05
37,2.19E-13,0.0461635,0.000585655,0.00737887,0.00648102,0.939391,0.945872,0.00796452,0.099093,1.92E-05
38,1.09E-13,0.0459063,0.000434151,0.00605891,0.00648126,0.941119,0.947601,0.00649306,0.0953099,1.66E-05
39,5.41E-14,0.0456978,0.000321756,0.00497398,0.00648146,0.942525,0.949006,0.00529574,0.0910473,1.43E-05
40,2.69E-14,0.0455287,0.000238408,0.0040826,0.00648161,0.943669,0.95015,0.00432101,0.0864268,1.24E-05
41,1.34E-14,0.0453912,0.000176621,0.00335049,0.00648173,0.9446,0.951082,0.00352711,0.081564,1.07E-05
