i,S,V,Ip(e1=e2=0.50),Im(e1=e2=0.50),Rs,Rv,P,I(e1=e2=0.50)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.0992793,0.8964,0.00157495,0.00173716,0.0005043,0.0005043,0.0010086,0.00331211
2,0.00990147,0.984561,0.00171371,0.00198625,0.00095902,0.000878054,0.00183707,0.00369996
3,0.000987199,0.992014,0.00191519,0.00232456,0.00130346,0.00145534,0.0027588,0.00423975
4,9.84E-05,0.99122,0.00214493,0.00272553,0.00156085,0.00225017,0.00381101,0.00487046
5,9.80E-06,0.989379,0.00240136,0.00319463,0.00175329,0.00326192,0.00501521,0.00559599
6,9.76E-07,0.987177,0.00268658,0.00374218,0.00189756,0.00449604,0.00639359,0.00642876
7,9.71E-08,0.984645,0.00300322,0.00438039,0.00200603,0.00596514,0.00797117,0.00738361
8,9.65E-09,0.981747,0.00335401,0.00512315,0.00208783,0.00768844,0.00977627,0.00847716
9,9.58E-10,0.978431,0.00374173,0.00598612,0.0021497,0.00969129,0.011841,0.00972784
10,9.51E-11,0.974643,0.00416909,0.00698678,0.00219662,0.0120049,0.0142015,0.0111559
11,9.42E-12,0.970318,0.0046387,0.00814448,0.00223231,0.0146662,0.0168985,0.0127832
12,9.33E-13,0.965389,0.00515284,0.0094804,0.00225952,0.017718,0.0199775,0.0146332
13,9.22E-14,0.95978,0.00571339,0.0110174,0.00228033,0.0212089,0.0234892,0.0167308
14,9.09E-15,0.953409,0.00632157,0.0127797,0.00229627,0.0251934,0.0274896,0.0191013
15,8.95E-16,0.94619,0.00697771,0.0147924,0.00230851,0.0297317,0.0320403,0.0217701
16,8.80E-17,0.93803,0.00768098,0.0170808,0.00231794,0.0348901,0.037208,0.0247618
17,8.62E-18,0.928837,0.00842903,0.0196694,0.00232521,0.0407397,0.0430649,0.0280984
18,8.43E-19,0.918515,0.00921766,0.0225804,0.00233083,0.0473565,0.0496874,0.031798
19,8.21E-20,0.906972,0.0100404,0.0258321,0.00233518,0.0548202,0.0571554,0.0358725
20,7.98E-21,0.894124,0.0108884,0.0294368,0.00233856,0.0632122,0.0655508,0.0403252
21,7.72E-22,0.879896,0.0117497,0.0333984,0.00234118,0.0726143,0.0749555,0.0451481
22,7.44E-23,0.864232,0.0126095,0.0377094,0.00234321,0.0831055,0.0854488,0.0503189
23,7.14E-24,0.847098,0.01345,0.0423487,0.0023448,0.094759,0.0971038,0.0557986
24,6.82E-25,0.828487,0.0142504,0.0472782,0.00234604,0.107638,0.109984,0.0615286
25,6.48E-26,0.808431,0.0149881,0.0524414,0.00234701,0.121793,0.12414,0.0674295
26,6.13E-27,0.786998,0.0156388,0.0577621,0.00234776,0.137253,0.139601,0.0734008
27,5.77E-28,0.764302,0.0161781,0.063144,0.00234835,0.154027,0.156375,0.0793221
28,5.40E-29,0.7405,0.016583,0.0684736,0.00234881,0.172095,0.174444,0.0850566
29,5.04E-30,0.715788,0.0168337,0.073623,0.00234918,0.191406,0.193756,0.0904567
30,4.67E-31,0.690401,0.016915,0.0784565,0.00234946,0.211878,0.214227,0.0953715
31,4.31E-32,0.664602,0.0168178,0.0828375,0.00234968,0.233393,0.235743,0.0996553
32,3.97E-33,0.638668,0.0165404,0.0866372,0.00234986,0.255804,0.258154,0.103178
