i,S,V,Ip,Im,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90),,i,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,,,,,,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,Im(e1 = e2 = 0.10),Im(e1 = e2 = 0.50),Im(e1 = e2 = 0.90)
27,0.00201439,0.0499234,0.00712698,0.0414925,0.899443,0.0486195,0.0983491,0.00807946,,27,0.0200506,0.000190301,8.38E-05,,,,,,,0.0200506,0.000190301,8.38E-05,,0.0482885,0.0867457,0.000333349
28,0.00174237,0.048417,0.00531386,0.0342388,0.910288,0.0395527,0.0888094,0.00703427,,28,0.0171969,0.000163114,7.19E-05,,,,,,,0.0171969,0.000163114,7.19E-05,,0.0399762,0.0875993,0.000287998
29,0.00151848,0.0472451,0.00395495,0.0282106,0.919071,0.0321656,0.0797956,0.00611101,,29,0.01471,0.000139911,6.18E-05,,,,,,,0.01471,0.000139911,6.18E-05,,0.0330313,0.0876482,0.000248816
30,0.00133144,0.0463296,0.00293943,0.0232162,0.926183,0.0261556,0.0713947,0.00529889,,30,0.0125539,0.000120088,5.32E-05,,,,,,,0.0125539,0.000120088,5.32E-05,,0.0272519,0.0869205,0.000214964
31,0.00117321,0.0456124,0.00218225,0.0190881,0.931944,0.0212704,0.0636514,0.00458711,,31,0.0106927,0.000103137,4.57E-05,,,,,,,0.0106927,0.000103137,4.57E-05,,0.0224572,0.0854697,0.000185718
32,0.00103792,0.0450493,0.00161869,0.0156823,0.936612,0.017301,0.0565781,0.00396521,,32,0.00909195,8.86E-05,3.94E-05,,,,,,,0.00909195,8.86E-05,3.94E-05,,0.0184888,0.08337,0.00016045
33,0.000921196,0.044607,0.00119982,0.0128766,0.940395,0.0140764,0.0501642,0.0034233,,33,0.00771949,7.62E-05,3.39E-05,,,,,,,0.00771949,7.62E-05,3.39E-05,,0.0152103,0.0807094,0.00013862
34,0.00081974,0.0442594,0.000888844,0.0105677,0.943464,0.0114566,0.0443834,0.00295217,,34,0.00654588,6.55E-05,2.92E-05,,,,,,,0.00654588,6.55E-05,2.92E-05,,0.0125057,0.0775846,0.00011976
35,0.000731005,0.0439865,0.000658171,0.00866957,0.945955,0.00932774,0.0391992,0.00254341,,35,0.00554459,5.64E-05,2.52E-05,,,,,,,0.00554459,5.64E-05,2.52E-05,,0.0102771,0.0740944,0.000103466
36,0.000652996,0.0437725,0.000487185,0.00711015,0.947977,0.00759734,0.0345691,0.00218937,,36,0.00469197,4.86E-05,2.17E-05,,,,,,,0.00469197,4.86E-05,2.17E-05,,0.0084424,0.0703354,8.94E-05
37,0.000584125,0.0436053,0.000360513,0.00582977,0.94962,0.00619028,0.030448,0.00188319,,37,0.00396716,4.18E-05,1.87E-05,,,,,,,0.00396716,4.18E-05,1.87E-05,,0.00693309,0.0663979,7.72E-05
38,0.00052311,0.0434751,0.000266714,0.00477899,0.950956,0.0050457,0.0267903,0.00161877,,38,0.00335188,3.60E-05,1.62E-05,,,,,,,0.00335188,3.60E-05,1.62E-05,,0.0056922,0.062364,6.67E-05
39,0.0004689,0.0433742,0.000197282,0.00391696,0.952043,0.00411425,0.0235517,0.00139065,,39,0.00283023,3.11E-05,1.39E-05,,,,,,,0.00283023,3.11E-05,1.39E-05,,0.00467245,0.0583051,5.76E-05
