i,S,V,Ip,Im,Rs,Rv,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004,0.004,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0005043,0.0005043,0.0010086,0.00587781,0.00587781,0.00587781
2,0.800358,0.188529,0.00411049,0.00451813,0.00160675,0.000878054,0.0024848,0.00862862,0.00844076,0.00825289
3,0.715321,0.267391,0.00588713,0.00675775,0.00338104,0.0012627,0.00464373,0.0126449,0.0118604,0.0110976
4,0.637239,0.336486,0.00841434,0.0100651,0.00595192,0.0018444,0.00779632,0.0184794,0.0163228,0.0143231
5,0.564989,0.395731,0.0119827,0.0149097,0.00949942,0.00288855,0.012388,0.0268924,0.022018,0.0177809
6,0.497491,0.44457,0.0169647,0.0219261,0.0142633,0.0047851,0.0190485,0.0388908,0.0291228,0.0212761
7,0.433738,0.481883,0.0238034,0.0319251,0.0205448,0.00810583,0.0286506,0.0557286,0.0377763,0.0245909
8,0.372871,0.505955,0.0329571,0.0458492,0.0286987,0.0136697,0.0423684,0.0788063,0.0480476,0.0275137
9,0.31432,0.514602,0.0447614,0.0646072,0.0391081,0.0226007,0.0617088,0.109369,0.0598988,0.0298676
10,0.258016,0.505635,0.059171,0.0887081,0.052127,0.0363424,0.0884695,0.147879,0.0731473,0.0315319
11,0.204612,0.477802,0.0753898,0.117654,0.0679797,0.056562,0.124542,0.193044,0.0874376,0.0324523
12,0.155581,0.432149,0.0915424,0.14925,0.0866185,0.0848601,0.171479,0.240792,0.102234,0.0326393
13,0.112929,0.373177,0.104746,0.179327,0.107579,0.12224,0.22982,0.284074,0.116843,0.0321572
14,0.0784397,0.308609,0.111963,0.202609,0.129923,0.168457,0.29838,0.314572,0.130478,0.0311071
15,0.0527572,0.247048,0.111439,0.214786,0.152365,0.221604,0.373969,0.326225,0.142347,0.0296094
16,0.0350417,0.194769,0.103685,0.214531,0.173594,0.27838,0.451974,0.318216,0.151764,0.0277883
17,0.0234798,0.154064,0.091066,0.20374,0.192624,0.335026,0.527651,0.294806,0.158236,0.0257602
18,0.0161311,0.124056,0.0764353,0.186028,0.208961,0.388389,0.59735,0.262463,0.161528,0.0236266
19,0.0114601,0.102505,0.0620257,0.164989,0.222548,0.436472,0.65902,0.227015,0.161668,0.0214706
