i,S,V,Ip(e1=e2=0.90),Im(e1=e2=0.90),Rs,Rv,P,I(e1=e2=0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.496396,0.498,0.00222116,0.0023738,0.0005043,0.0005043,0.0010086,0.00459496
2,0.24728,0.746015,0.00210893,0.00243506,0.00128288,0.000878054,0.00216094,0.00454399
3,0.123188,0.869383,0.0018329,0.00230224,0.00209109,0.00120219,0.00329328,0.00413514
4,0.0613892,0.93069,0.00151961,0.00208449,0.00280492,0.00151173,0.00431665,0.0036041
5,0.0306057,0.961117,0.00122954,0.00184575,0.0033879,0.00181427,0.00520217,0.00307529
6,0.015265,0.976184,0.000982616,0.00161599,0.00384565,0.00210661,0.00595225,0.00259861
7,0.00761656,0.983615,0.0007804,0.00140681,0.00419809,0.00238333,0.00658143,0.00218721
8,0.00380159,0.987252,0.000617861,0.00122122,0.00446698,0.00264017,0.00710716,0.00183908
9,0.00189799,0.989009,0.000488407,0.0010586,0.00467137,0.00287468,0.00754605,0.001547
10,0.000947816,0.989837,0.00038577,0.000916964,0.00482663,0.00308604,0.00791267,0.00130273
11,0.000473412,0.990209,0.00030458,0.000793993,0.00494466,0.00327463,0.00821929,0.00109857
12,0.000236498,0.99036,0.000240428,0.000687385,0.00503454,0.00344162,0.00847616,0.000927813
13,0.000118161,0.990405,0.000189768,0.000595035,0.00510312,0.00358859,0.00869171,0.000784803
14,5.90E-05,0.990403,0.000149774,0.000515065,0.00515557,0.00371735,0.00887292,0.00066484
15,2.95E-05,0.990381,0.000118206,0.000445831,0.00519577,0.00382976,0.00902553,0.000564037
16,1.47E-05,0.990352,9.33E-05,0.000385897,0.00522665,0.00392762,0.00915427,0.000479186
17,7.37E-06,0.990322,7.36E-05,0.000334017,0.00525043,0.00401263,0.00926306,0.000407641
18,3.68E-06,0.990294,5.81E-05,0.00028911,0.00526876,0.00408637,0.00935513,0.000347214
19,1.84E-06,0.990269,4.59E-05,0.00025024,0.00528293,0.00415024,0.00943317,0.000296095
20,9.21E-07,0.990247,3.62E-05,0.000216595,0.00529391,0.00420552,0.00949942,0.000252783
21,4.60E-07,0.990228,2.86E-05,0.000187473,0.00530241,0.00425333,0.00955574,0.000216032
22,2.30E-07,0.990211,2.25E-05,0.000162266,0.00530902,0.00429465,0.00960367,0.000184805
23,1.15E-07,0.990197,1.78E-05,0.000140448,0.00531416,0.00433036,0.00964452,0.000158235
24,5.75E-08,0.990185,1.40E-05,0.000121564,0.00531816,0.00436121,0.00967937,0.000135601
25,2.87E-08,0.990175,1.11E-05,0.000105219,0.00532129,0.00438785,0.00970914,0.000116297
26,1.44E-08,0.990166,8.74E-06,9.11E-05,0.00532372,0.00441087,0.00973459,9.98E-05
27,7.18E-09,0.990158,6.90E-06,7.88E-05,0.00532563,0.00443074,0.00975637,8.57E-05
28,3.59E-09,0.990151,5.44E-06,6.82E-05,0.00532712,0.00444791,0.00977503,7.37E-05
29,1.80E-09,0.990146,4.30E-06,5.91E-05,0.00532828,0.00446274,0.00979102,6.33E-05
30,8.98E-10,0.990141,3.39E-06,5.11E-05,0.00532919,0.00447555,0.00980474,5.45E-05
31,4.49E-10,0.990137,2.68E-06,4.42E-05,0.00532991,0.00448661,0.00981652,4.69E-05
32,2.24E-10,0.990133,2.11E-06,3.83E-05,0.00533047,0.00449617,0.00982664,4.04E-05
33,1.12E-10,0.99013,1.67E-06,3.31E-05,0.00533091,0.00450442,0.00983534,3.48E-05
34,5.61E-11,0.990127,1.32E-06,2.87E-05,0.00533126,0.00451156,0.00984282,3.00E-05
35,2.81E-11,0.990125,1.04E-06,2.48E-05,0.00533153,0.00451773,0.00984926,2.59E-05
36,1.40E-11,0.990123,8.19E-07,2.15E-05,0.00533174,0.00452306,0.0098548,2.23E-05
37,7.01E-12,0.990121,6.47E-07,1.86E-05,0.00533191,0.00452766,0.00985958,1.92E-05
38,3.51E-12,0.99012,5.10E-07,1.61E-05,0.00533204,0.00453165,0.00986369,1.66E-05
39,1.75E-12,0.990118,4.03E-07,1.39E-05,0.00533215,0.00453509,0.00986724,1.43E-05
40,8.77E-13,0.990117,3.18E-07,1.21E-05,0.00533223,0.00453806,0.0098703,1.24E-05
41,4.38E-13,0.990116,2.51E-07,1.04E-05,0.0053323,0.00454064,0.00987293,1.07E-05
42,2.19E-13,0.990116,1.98E-07,9.04E-06,0.00533235,0.00454286,0.00987521,9.23E-06
43,1.10E-13,0.990115,1.56E-07,7.82E-06,0.00533239,0.00454479,0.00987717,7.98E-06
44,5.48E-14,0.990114,1.23E-07,6.77E-06,0.00533242,0.00454645,0.00987887,6.89E-06
45,2.74E-14,0.990114,9.73E-08,5.86E-06,0.00533244,0.00454789,0.00988033,5.96E-06
46,1.37E-14,0.990113,7.68E-08,5.07E-06,0.00533246,0.00454914,0.0098816,5.15E-06
47,6.85E-15,0.990113,6.06E-08,4.39E-06,0.00533248,0.00455021,0.00988269,4.45E-06
48,3.42E-15,0.990113,4.78E-08,3.80E-06,0.00533249,0.00455115,0.00988364,3.85E-06
49,1.71E-15,0.990112,3.77E-08,3.29E-06,0.0053325,0.00455195,0.00988445,3.33E-06
50,8.56E-16,0.990112,2.98E-08,2.85E-06,0.00533251,0.00455265,0.00988516,2.88E-06
51,4.28E-16,0.990112,2.35E-08,2.46E-06,0.00533251,0.00455325,0.00988577,2.49E-06
52,2.14E-16,0.990112,1.85E-08,2.13E-06,0.00533252,0.00455377,0.00988629,2.15E-06
53,1.07E-16,0.990111,1.46E-08,1.85E-06,0.00533252,0.00455423,0.00988675,1.86E-06
54,5.35E-17,0.990111,1.15E-08,1.60E-06,0.00533252,0.00455462,0.00988714,1.61E-06
55,2.68E-17,0.990111,9.11E-09,1.38E-06,0.00533253,0.00455495,0.00988748,1.39E-06
56,1.34E-17,0.990111,7.19E-09,1.20E-06,0.00533253,0.00455525,0.00988778,1.20E-06
57,6.69E-18,0.990111,5.68E-09,1.04E-06,0.00533253,0.0045555,0.00988803,1.04E-06
58,3.34E-18,0.990111,4.48E-09,8.96E-07,0.00533253,0.00455572,0.00988825,9.01E-07
59,1.67E-18,0.990111,3.54E-09,7.76E-07,0.00533253,0.00455591,0.00988844,7.79E-07
60,8.36E-19,0.990111,2.79E-09,6.72E-07,0.00533253,0.00455607,0.00988861,6.74E-07
