i,S,V,Ip(e1=e2=0.90),Im(e1=e2=0.90),Rs,Rv,P,I(e1=e2=0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.0992793,0.8964,0.00157495,0.00173716,0.0005043,0.0005043,0.0010086,0.00331211
2,0.00990147,0.985513,0.0012433,0.00150477,0.00095902,0.000878054,0.00183707,0.00274807
3,0.000987958,0.994208,0.000981706,0.00130309,0.00130346,0.00121578,0.00251924,0.00228479
4,9.86E-05,0.994916,0.000775152,0.00112838,0.00156065,0.00152147,0.00308213,0.00190354
5,9.85E-06,0.994853,0.000612048,0.000977085,0.00175292,0.00179465,0.00354757,0.00158913
6,9.83E-07,0.994736,0.000483256,0.000846061,0.00189705,0.0020362,0.00393325,0.00132932
7,9.82E-08,0.994632,0.000381561,0.000732598,0.00200541,0.00224809,0.0042535,0.00111416
8,9.81E-09,0.994544,0.000301262,0.000634346,0.00208714,0.00243286,0.00451999,0.000935608
9,9.81E-10,0.994471,0.00023786,0.000549266,0.00214895,0.00259326,0.0047422,0.000787127
10,9.80E-11,0.994409,0.0001878,0.000475595,0.00219582,0.00273204,0.00492786,0.000663395
11,9.80E-12,0.994357,0.000148275,0.000411802,0.00223148,0.00285182,0.00508329,0.000560077
12,9.79E-13,0.994313,0.000117067,0.000356565,0.00225866,0.00295501,0.00521367,0.000473632
13,9.79E-14,0.994276,9.24E-05,0.000308735,0.00227945,0.0030438,0.00532324,0.000401163
14,9.78E-15,0.994244,7.30E-05,0.000267321,0.00229538,0.00312012,0.0054155,0.000340294
15,9.78E-16,0.994218,5.76E-05,0.000231461,0.00230761,0.00318569,0.0054933,0.000289075
16,9.78E-17,0.994195,4.55E-05,0.000200411,0.00231703,0.00324201,0.00555904,0.000245899
17,9.78E-18,0.994176,3.59E-05,0.000173526,0.00232429,0.00329038,0.00561467,0.000209439
18,9.78E-19,0.99416,2.84E-05,0.000150248,0.00232991,0.00333191,0.00566182,0.000178602
19,9.77E-20,0.994146,2.24E-05,0.000130092,0.00233425,0.00336758,0.00570183,0.000152478
20,9.77E-21,0.994134,1.77E-05,0.00011264,0.00233762,0.00339822,0.00573585,0.000130313
21,9.77E-22,0.994124,1.40E-05,9.75E-05,0.00234024,0.00342456,0.0057648,0.000111482
22,9.77E-23,0.994115,1.10E-05,8.44E-05,0.00234228,0.00344719,0.00578947,9.55E-05
23,9.77E-24,0.994108,8.70E-06,7.31E-05,0.00234387,0.00346666,0.00581052,8.18E-05
24,9.77E-25,0.994101,6.87E-06,6.33E-05,0.0023451,0.0034834,0.0058285,7.02E-05
25,9.77E-26,0.994096,5.42E-06,5.48E-05,0.00234607,0.0034978,0.00584387,6.02E-05
26,9.77E-27,0.994091,4.28E-06,4.75E-05,0.00234682,0.0035102,0.00585703,5.17E-05
27,9.77E-28,0.994087,3.38E-06,4.11E-05,0.00234741,0.00352088,0.0058683,4.45E-05
28,9.77E-29,0.994084,2.67E-06,3.56E-05,0.00234787,0.00353008,0.00587796,3.82E-05
29,9.77E-30,0.994081,2.11E-06,3.08E-05,0.00234824,0.00353801,0.00588625,3.29E-05
30,9.77E-31,0.994078,1.66E-06,2.67E-05,0.00234852,0.00354485,0.00589337,2.83E-05
31,9.77E-32,0.994076,1.31E-06,2.31E-05,0.00234874,0.00355074,0.00589948,2.44E-05
