Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.757594, 0.145246,0.002,0.147246
0.01,0 ,0.756445, 0.14647,0.00307596,0.149546
0.02,0 ,0.755238, 0.147719,0.00420867,0.151928
0.03,0 ,0.753971, 0.148993,0.00540093,0.154394
0.04,0 ,0.752641, 0.150291,0.00665571,0.156947
0.05,0 ,0.751246, 0.151615,0.00797606,0.159591
0.06,0 ,0.749781, 0.152963,0.00936516,0.162329
0.07,0 ,0.748244, 0.154337,0.0108263,0.165163
0.08,0 ,0.746631, 0.155734,0.0123628,0.168097
0.09,0 ,0.744939, 0.157156,0.0139783,0.171135
0.1,0 ,0.743163, 0.158602,0.0156763,0.174279
0.11,0 ,0.741301, 0.160072,0.0174605,0.177532
0.12,0 ,0.739349, 0.161565,0.0193346,0.180899
0.13,0 ,0.737303, 0.16308,0.0213027,0.184382
0.14,0 ,0.735158, 0.164616,0.0233685,0.187985
0.15,0 ,0.732911, 0.166174,0.025536,0.19171
0.16,0 ,0.730559, 0.167752,0.0278093,0.195561
0.17,0 ,0.728096, 0.169349,0.0301924,0.199541
0.18,0 ,0.725518, 0.170963,0.0326894,0.203653
0.19,0 ,0.722823, 0.172595,0.0353042,0.207899
0.2,0 ,0.720005, 0.174241,0.038041,0.212282
0.21,0 ,0.717061, 0.175902,0.0409035,0.216806
0.22,0 ,0.713987, 0.177575,0.0438958,0.221471
0.23,0 ,0.710779, 0.179259,0.0470215,0.226281
0.24,0 ,0.707434, 0.180952,0.0502842,0.231236
0.25,0 ,0.703948, 0.182652,0.0536873,0.236339
0.26,0 ,0.700317, 0.184358,0.0572342,0.241592
0.27,0 ,0.69654, 0.186066,0.0609278,0.246994
0.28,0 ,0.692613, 0.187776,0.0647709,0.252547
0.29,0 ,0.688533, 0.189486,0.0687659,0.258251
0.3,0 ,0.6843, 0.191192,0.0729149,0.264107
0.31,0 ,0.67991, 0.192893,0.0772197,0.270113
0.32,0 ,0.675362, 0.194587,0.0816816,0.276269
0.33,0 ,0.670656, 0.196272,0.0863017,0.282574
0.34,0 ,0.665791, 0.197945,0.0910803,0.289025
0.35,0 ,0.660767, 0.199605,0.0960176,0.295622
0.36,0 ,0.655584, 0.201248,0.101113,0.302361
0.37,0 ,0.650244, 0.202874,0.106366,0.30924
0.38,0 ,0.644748, 0.204481,0.111774,0.316255
0.39,0 ,0.639097, 0.206065,0.117336,0.323401
0.4,0 ,0.633295, 0.207627,0.123049,0.330676
0.41,0 ,0.627345, 0.209164,0.12891,0.338074
0.42,0 ,0.62125, 0.210674,0.134915,0.345589
0.43,0 ,0.615014, 0.212156,0.141061,0.353217
0.44,0 ,0.608642, 0.21361,0.147341,0.360951
0.45,0 ,0.60214, 0.215033,0.153752,0.368785
0.46,0 ,0.595514, 0.216425,0.160287,0.376712
0.47,0 ,0.588768, 0.217785,0.166939,0.384725
0.48,0 ,0.58191, 0.219113,0.173704,0.392817
0.49,0 ,0.574947, 0.220408,0.180573,0.400981
0.5,0 ,0.567886, 0.221669,0.187539,0.409208
0.51,0 ,0.560735, 0.222897,0.194594,0.417492
0.52,0 ,0.553502, 0.224092,0.201731,0.425823
0.53,0 ,0.546194, 0.225253,0.208941,0.434194
0.54,0 ,0.538821, 0.226381,0.216217,0.442597
0.55,0 ,0.531389, 0.227476,0.223549,0.451024
0.56,0 ,0.523909, 0.228538,0.230929,0.459467
0.57,0 ,0.516387, 0.229569,0.238348,0.467917
0.58,0 ,0.508833, 0.230568,0.245799,0.476367
0.59,0 ,0.501254, 0.231537,0.253272,0.484809
0.6,0 ,0.49366, 0.232477,0.26076,0.493236
0.61,0 ,0.486058, 0.233387,0.268253,0.501641
0.62,0 ,0.478455, 0.23427,0.275745,0.510015
0.63,0 ,0.47086, 0.235126,0.283227,0.518353
0.64,0 ,0.463279, 0.235956,0.290692,0.526648
0.65,0 ,0.455719, 0.236762,0.298133,0.534894
0.66,0 ,0.448188, 0.237543,0.305542,0.543085
0.67,0 ,0.440691, 0.238302,0.312913,0.551214
0.68,0 ,0.433235, 0.239039,0.320239,0.559278
0.69,0 ,0.425824, 0.239756,0.327515,0.567271
0.7,0 ,0.418464, 0.240453,0.334735,0.575188
0.71,0 ,0.411159, 0.241131,0.341894,0.583026
0.72,0 ,0.403915, 0.241792,0.348987,0.59078
0.73,0 ,0.396734, 0.242437,0.356009,0.598446
0.74,0 ,0.38962, 0.243066,0.362957,0.606022
0.75,0 ,0.382576, 0.24368,0.369825,0.613505
0.76,0 ,0.375605, 0.24428,0.376611,0.620892
0.77,0 ,0.36871, 0.244868,0.383312,0.62818
0.78,0 ,0.361891, 0.245443,0.389925,0.635367
0.79,0 ,0.35515, 0.246007,0.396446,0.642453
0.8,0 ,0.34849, 0.24656,0.402875,0.649435
0.81,0 ,0.34191, 0.247103,0.409209,0.656312
0.82,0 ,0.335412, 0.247637,0.415446,0.663083
0.83,0 ,0.328997, 0.248162,0.421585,0.669747
0.84,0 ,0.322663, 0.248678,0.427625,0.676303
0.85,0 ,0.316413, 0.249187,0.433565,0.682752
0.86,0 ,0.310247, 0.249689,0.439404,0.689093
0.87,0 ,0.304164, 0.250184,0.445141,0.695325
0.88,0 ,0.298166, 0.250673,0.450777,0.70145
0.89,0 ,0.292253, 0.251156,0.456311,0.707467
0.9,0 ,0.286427, 0.251633,0.461744,0.713377
0.91,0 ,0.280689, 0.252105,0.467075,0.71918
0.92,0 ,0.27504, 0.252572,0.472305,0.724877
0.93,0 ,0.269482, 0.253034,0.477434,0.730468
0.94,0 ,0.264018, 0.253492,0.482464,0.735955
0.95,0 ,0.258648, 0.253945,0.487394,0.741339
0.96,0 ,0.253375, 0.254394,0.492225,0.746619
0.97,0 ,0.248199, 0.25484,0.496959,0.751799
0.98,0 ,0.243122, 0.255282,0.501596,0.756878
0.99,0 ,0.238142, 0.25572,0.506138,0.761858
1,0 ,0.23326, 0.256155,0.510585,0.76674
0,0.01 ,0.757102, 0.145618,0.00245535,0.148073
0.01,0.01 ,0.755956, 0.146833,0.0035274,0.150361
0.02,0.01 ,0.754754, 0.148074,0.00465594,0.15273
0.03,0.01 ,0.753491, 0.149339,0.00584378,0.155183
0.04,0.01 ,0.752167, 0.150629,0.00709385,0.157723
0.05,0.01 ,0.750776, 0.151944,0.0084092,0.160353
0.06,0.01 ,0.749316, 0.153283,0.00979298,0.163076
