Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.776025, 0.0737906,0.002,0.0757906
0.01,0 ,0.775895, 0.0739136,0.00214334,0.0760569
0.02,0 ,0.77576, 0.074041,0.0022937,0.0763347
0.03,0 ,0.775617, 0.074173,0.00245152,0.0766245
0.04,0 ,0.775466, 0.07431,0.00261731,0.0769273
0.05,0 ,0.775307, 0.0744521,0.00279161,0.0772437
0.06,0 ,0.77514, 0.0745998,0.00297501,0.0775748
0.07,0 ,0.774963, 0.0747533,0.00316814,0.0779214
0.08,0 ,0.774777, 0.074913,0.0033717,0.0782847
0.09,0 ,0.77458, 0.0750793,0.00358645,0.0786658
0.1,0 ,0.774371, 0.0752527,0.00381323,0.079066
0.11,0 ,0.774149, 0.0754337,0.00405295,0.0794866
0.12,0 ,0.773915, 0.0756226,0.00430661,0.0799292
0.13,0 ,0.773666, 0.0758202,0.00457531,0.0803955
0.14,0 ,0.773401, 0.0760269,0.00486028,0.0808872
0.15,0 ,0.773119, 0.0762436,0.00516284,0.0814064
0.16,0 ,0.772819, 0.0764708,0.00548448,0.0819553
0.17,0 ,0.772498, 0.0767095,0.00582685,0.0825363
0.18,0 ,0.772156, 0.0769605,0.00619177,0.0831523
0.19,0 ,0.77179, 0.0772249,0.00658128,0.0838061
0.2,0 ,0.771397, 0.0775036,0.00699765,0.0845012
0.21,0 ,0.770976, 0.077798,0.00744341,0.0852414
0.22,0 ,0.770524, 0.0781093,0.0079214,0.0860307
0.23,0 ,0.770037, 0.0784391,0.00843482,0.0868739
0.24,0 ,0.769511, 0.0787891,0.00898726,0.0877763
0.25,0 ,0.768944, 0.079161,0.00958279,0.0887438
0.26,0 ,0.768329, 0.0795571,0.010226,0.0897831
0.27,0 ,0.767663, 0.0799796,0.0109221,0.0909017
0.28,0 ,0.766939, 0.0804312,0.011677,0.0921082
0.29,0 ,0.76615, 0.0809149,0.0124974,0.0934123
0.3,0 ,0.765289, 0.0814339,0.013391,0.094825
0.31,0 ,0.764347, 0.0819921,0.0143667,0.0963589
0.32,0 ,0.763314, 0.0825937,0.0154345,0.0980282
0.33,0 ,0.762179, 0.0832434,0.016606,0.0998494
0.34,0 ,0.760928, 0.0839466,0.0178943,0.101841
0.35,0 ,0.759546, 0.0847093,0.0193148,0.104024
0.36,0 ,0.758016, 0.0855381,0.0208847,0.106423
0.37,0 ,0.756318, 0.0864407,0.0226239,0.109065
0.38,0 ,0.754429, 0.087425,0.0245549,0.11198
0.39,0 ,0.752325, 0.0885001,0.0267034,0.115204
0.4,0 ,0.749976, 0.0896754,0.029098,0.118773
