Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.974771, 0.0232286,0.002,0.0252286
0.01,0 ,0.974449, 0.0232808,0.00226974,0.0255505
0.02,0 ,0.974117, 0.0233332,0.0025495,0.0258827
0.03,0 ,0.973774, 0.0233859,0.00283979,0.0262257
0.04,0 ,0.97342, 0.0234389,0.00314116,0.02658
0.05,0 ,0.973054, 0.0234921,0.00345418,0.0269463
0.06,0 ,0.972675, 0.0235456,0.00377948,0.0273251
0.07,0 ,0.972283, 0.0235995,0.0041177,0.0277172
0.08,0 ,0.971877, 0.0236535,0.00446958,0.0281231
0.09,0 ,0.971456, 0.0237079,0.00483586,0.0285438
0.1,0 ,0.97102, 0.0237626,0.00521736,0.0289799
0.11,0 ,0.970568, 0.0238175,0.00561496,0.0294325
0.12,0 ,0.970098, 0.0238728,0.00602962,0.0299024
0.13,0 ,0.969609, 0.0239283,0.00646234,0.0303906
0.14,0 ,0.969102, 0.0239841,0.00691422,0.0308984
0.15,0 ,0.968573, 0.0240402,0.00738647,0.0314267
0.16,0 ,0.968023, 0.0240967,0.00788036,0.031977
0.17,0 ,0.967449, 0.0241534,0.00839729,0.0325507
0.18,0 ,0.966851, 0.0242104,0.00893877,0.0331492
0.19,0 ,0.966226, 0.0242677,0.00950645,0.0337741
0.2,0 ,0.965573, 0.0243253,0.0101021,0.0344274
0.21,0 ,0.964889, 0.0243832,0.0107277,0.035111
0.22,0 ,0.964173, 0.0244415,0.0113854,0.0358269
0.23,0 ,0.963423, 0.0245,0.0120775,0.0365775
0.24,0 ,0.962635, 0.0245588,0.0128066,0.0373654
0.25,0 ,0.961807, 0.024618,0.0135754,0.0381934
0.26,0 ,0.960935, 0.0246775,0.0143871,0.0390646
0.27,0 ,0.960018, 0.0247373,0.0152451,0.0399824
0.28,0 ,0.95905, 0.0247974,0.0161531,0.0409505
0.29,0 ,0.958027, 0.0248578,0.0171153,0.0419731
0.3,0 ,0.956945, 0.0249185,0.0181364,0.0430549
0.31,0 ,0.955799, 0.0249796,0.0192213,0.044201
0.32,0 ,0.954583, 0.025041,0.020376,0.045417
0.33,0 ,0.953291, 0.0251027,0.0216067,0.0467094
0.34,0 ,0.951915, 0.0251648,0.0229206,0.0480854
0.35,0 ,0.950447, 0.0252272,0.0243256,0.0495528
0.36,0 ,0.948879, 0.0252899,0.0258309,0.0511207
0.37,0 ,0.947201, 0.0253529,0.0274464,0.0527993
0.38,0 ,0.9454, 0.0254163,0.0291836,0.0546
0.39,0 ,0.943464, 0.02548,0.0310555,0.0565356
0.4,0 ,0.941379, 0.0255441,0.0330767,0.0586208
0.41,0 ,0.939128, 0.0256085,0.0352637,0.0608722
0.42,0 ,0.936691, 0.0256732,0.0376354,0.0633087
0.43,0 ,0.934048, 0.0257383,0.0402133,0.0659516
0.44,0 ,0.931174, 0.0258038,0.0430217,0.0688255
0.45,0 ,0.928042, 0.0258696,0.0460884,0.071958
0.46,0 ,0.924619, 0.0259357,0.0494449,0.0753806
0.47,0 ,0.920871, 0.0260022,0.0531267,0.0791289
0.48,0 ,0.916757, 0.026069,0.0571741,0.0832432
0.49,0 ,0.912232, 0.0261362,0.0616322,0.0877684
0.5,0 ,0.907245, 0.0262038,0.0665508,0.0927546
0.51,0 ,0.901744, 0.0262717,0.0719847,0.0982564
0.52,0 ,0.895667, 0.02634,0.0779929,0.104333
0.53,0 ,0.888954, 0.0264086,0.0846371,0.111046
0.54,0 ,0.881543, 0.0264776,0.0919799,0.118457
0.55,0 ,0.873371, 0.026547,0.100082,0.126629
0.56,0 ,0.864387, 0.0266167,0.108996,0.135613
0.57,0 ,0.854547, 0.0266869,0.118766,0.145453
0.58,0 ,0.843825, 0.0267573,0.129417,0.156175
0.59,0 ,0.832217, 0.0268282,0.140955,0.167783
0.6,0 ,0.819743, 0.0268994,0.153358,0.180257
0.61,0 ,0.80645, 0.026971,0.166579,0.19355
0.62,0 ,0.792409, 0.027043,0.180548,0.207591
0.63,0 ,0.777713, 0.0271154,0.195172,0.222287
0.64,0 ,0.762467, 0.0271882,0.210345,0.237533
0.65,0 ,0.746786, 0.0272613,0.225953,0.253214
0.66,0 ,0.730784, 0.0273348,0.241881,0.269216
0.67,0 ,0.714571, 0.0274087,0.258021,0.285429
0.68,0 ,0.698247, 0.027483,0.27427,0.301753
0.69,0 ,0.681904, 0.0275577,0.290538,0.318096
0.7,0 ,0.665619, 0.0276328,0.306748,0.334381
0.71,0 ,0.649459, 0.0277083,0.322833,0.350541
0.72,0 ,0.633477, 0.0277842,0.338738,0.366523
0.73,0 ,0.617719, 0.0278605,0.35442,0.382281
0.74,0 ,0.602219, 0.0279371,0.369844,0.397781
0.75,0 ,0.587005, 0.0280142,0.384981,0.412995
0.76,0 ,0.572097, 0.0280917,0.399812,0.427903
0.77,0 ,0.55751, 0.0281696,0.414321,0.44249
0.78,0 ,0.543254, 0.0282479,0.428498,0.456746
0.79,0 ,0.529336, 0.0283266,0.442338,0.470664
0.8,0 ,0.515759, 0.0284057,0.455836,0.484241
0.81,0 ,0.502523, 0.0284852,0.468992,0.497477
0.82,0 ,0.489628, 0.0285651,0.481806,0.510372
0.83,0 ,0.477071, 0.0286455,0.494283,0.522929
0.84,0 ,0.464847, 0.0287262,0.506427,0.535153
0.85,0 ,0.452951, 0.0288074,0.518241,0.547049
0.86,0 ,0.441377, 0.028889,0.529734,0.558623
0.87,0 ,0.430119, 0.028971,0.54091,0.569881
0.88,0 ,0.41917, 0.0290535,0.551777,0.58083
0.89,0 ,0.408521, 0.0291363,0.562342,0.591479
0.9,0 ,0.398167, 0.0292196,0.572614,0.601833
0.91,0 ,0.388098, 0.0293033,0.582598,0.611902
0.92,0 ,0.378309, 0.0293874,0.592304,0.621691
0.93,0 ,0.36879, 0.029472,0.601738,0.63121
0.94,0 ,0.359534, 0.029557,0.610909,0.640466
0.95,0 ,0.350534, 0.0296424,0.619824,0.649466
0.96,0 ,0.341782, 0.0297283,0.62849,0.658218
0.97,0 ,0.333271, 0.0298145,0.636914,0.666729
0.98,0 ,0.324994, 0.0299013,0.645104,0.675006
0.99,0 ,0.316945, 0.0299884,0.653067,0.683055
1,0 ,0.309115, 0.030076,0.660809,0.690885
0,0.01 ,0.974759, 0.0232292,0.00201158,0.0252407
0.01,0.01 ,0.974437, 0.0232813,0.00228131,0.0255626
0.02,0.01 ,0.974105, 0.0233337,0.00256107,0.0258948
0.03,0.01 ,0.973762, 0.0233864,0.00285136,0.0262378
0.04,0.01 ,0.973408, 0.0234394,0.00315272,0.0265921
0.05,0.01 ,0.973042, 0.0234926,0.00346574,0.0269584
0.06,0.01 ,0.972663, 0.0235462,0.00379102,0.0273372
0.07,0.01 ,0.972271, 0.0236,0.00412925,0.0277292
0.08,0.01 ,0.971865, 0.0236541,0.00448111,0.0281352
0.09,0.01 ,0.971444, 0.0237084,0.00484739,0.0285558
0.1,0.01 ,0.971008, 0.0237631,0.00522888,0.028992
0.11,0.01 ,0.970555, 0.0238181,0.00562648,0.0294445
0.12,0.01 ,0.970086, 0.0238733,0.00604112,0.0299144
0.13,0.01 ,0.969597, 0.0239288,0.00647383,0.0304027
0.14,0.01 ,0.96909, 0.0239846,0.00692571,0.0309104
0.15,0.01 ,0.968561, 0.0240408,0.00739794,0.0314387
0.16,0.01 ,0.968011, 0.0240972,0.00789182,0.031989
0.17,0.01 ,0.967437, 0.0241539,0.00840874,0.0325626
0.18,0.01 ,0.966839, 0.0242109,0.00895021,0.0331611
0.19,0.01 ,0.966214, 0.0242682,0.00951787,0.0337861
0.2,0.01 ,0.965561, 0.0243258,0.0101135,0.0344393
0.21,0.01 ,0.964877, 0.0243837,0.0107391,0.0351229
0.22,0.01 ,0.964161, 0.024442,0.0113968,0.0358388
0.23,0.01 ,0.963411, 0.0245005,0.0120889,0.0365894
0.24,0.01 ,0.962623, 0.0245594,0.0128179,0.0373772
0.25,0.01 ,0.961795, 0.0246185,0.0135867,0.0382052
0.26,0.01 ,0.960924, 0.024678,0.0143984,0.0390764
0.27,0.01 ,0.960006, 0.0247378,0.0152563,0.0399941
0.28,0.01 ,0.959038, 0.0247979,0.0161643,0.0409622
0.29,0.01 ,0.958015, 0.0248583,0.0171265,0.0419848
0.3,0.01 ,0.956933, 0.0249191,0.0181475,0.0430666
0.31,0.01 ,0.955787, 0.0249801,0.0192325,0.0442126
0.32,0.01 ,0.954571, 0.0250415,0.0203871,0.0454286
0.33,0.01 ,0.953279, 0.0251032,0.0216177,0.0467209
0.34,0.01 ,0.951903, 0.0251653,0.0229315,0.0480968
0.35,0.01 ,0.950436, 0.0252277,0.0243365,0.0495642
0.36,0.01 ,0.948868, 0.0252904,0.0258417,0.0511321
0.37,0.01 ,0.947189, 0.0253534,0.0274572,0.0528106
0.38,0.01 ,0.945389, 0.0254168,0.0291943,0.0546111
0.39,0.01 ,0.943453, 0.0254805,0.0310661,0.0565466
0.4,0.01 ,0.941368, 0.0255446,0.0330872,0.0586317
0.41,0.01 ,0.939117, 0.025609,0.0352741,0.060883
0.42,0.01 ,0.936681, 0.0256737,0.0376457,0.0633194
0.43,0.01 ,0.934038, 0.0257388,0.0402234,0.0659622
0.44,0.01 ,0.931164, 0.0258043,0.0430317,0.0688359
0.45,0.01 ,0.928032, 0.02587,0.0460982,0.0719682
0.46,0.01 ,0.924609, 0.0259362,0.0494544,0.0753906
0.47,0.01 ,0.920861, 0.0260027,0.053136,0.0791386
0.48,0.01 ,0.916747, 0.0260695,0.0571831,0.0832526
0.49,0.01 ,0.912223, 0.0261367,0.0616408,0.0877775
0.5,0.01 ,0.907237, 0.0262043,0.066559,0.0927633
0.51,0.01 ,0.901735, 0.0262722,0.0719925,0.0982647
0.52,0.01 ,0.895659, 0.0263405,0.0780002,0.104341
0.53,0.01 ,0.888947, 0.0264091,0.0846439,0.111053
0.54,0.01 ,0.881536, 0.0264781,0.091986,0.118464
