Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.987987, 0.0100125,0.002,0.0120125
0.01,0 ,0.987969, 0.0100144,0.00201621,0.0120306
0.02,0 ,0.987951, 0.0100162,0.00203287,0.0120491
0.03,0 ,0.987932, 0.0100181,0.00205001,0.0120681
0.04,0 ,0.987912, 0.0100201,0.00206766,0.0120877
0.05,0 ,0.987892, 0.010022,0.00208582,0.0121078
0.06,0 ,0.987871, 0.010024,0.00210454,0.0121285
0.07,0 ,0.98785, 0.010026,0.00212384,0.0121498
0.08,0 ,0.987828, 0.010028,0.00214376,0.0121717
0.09,0 ,0.987806, 0.01003,0.00216431,0.0121943
0.1,0 ,0.987782, 0.0100321,0.00218555,0.0122177
0.11,0 ,0.987758, 0.0100342,0.0022075,0.0122417
0.12,0 ,0.987733, 0.0100363,0.00223022,0.0122666
0.13,0 ,0.987708, 0.0100385,0.00225373,0.0122922
0.14,0 ,0.987681, 0.0100407,0.0022781,0.0123188
0.15,0 ,0.987654, 0.0100429,0.00230336,0.0123463
0.16,0 ,0.987625, 0.0100452,0.00232959,0.0123748
0.17,0 ,0.987596, 0.0100475,0.00235684,0.0124043
0.18,0 ,0.987565, 0.0100498,0.00238518,0.012435
0.19,0 ,0.987533, 0.0100521,0.00241467,0.0124668
0.2,0 ,0.9875, 0.0100545,0.00244541,0.0124999
0.21,0 ,0.987466, 0.010057,0.00247748,0.0125344
0.22,0 ,0.98743, 0.0100594,0.00251098,0.0125704
0.23,0 ,0.987392, 0.0100619,0.002546,0.0126079
0.24,0 ,0.987353, 0.0100645,0.00258268,0.0126472
0.25,0 ,0.987312, 0.0100671,0.00262114,0.0126882
0.26,0 ,0.987269, 0.0100697,0.00266153,0.0127312
0.27,0 ,0.987224, 0.0100724,0.00270401,0.0127764
0.28,0 ,0.987176, 0.0100751,0.00274876,0.0128238
0.29,0 ,0.987126, 0.0100778,0.00279599,0.0128738
0.3,0 ,0.987073, 0.0100806,0.00284592,0.0129266
0.31,0 ,0.987018, 0.0100835,0.00289882,0.0129823
0.32,0 ,0.986959, 0.0100864,0.00295497,0.0130414
0.33,0 ,0.986896, 0.0100894,0.00301472,0.0131041
0.34,0 ,0.986829, 0.0100924,0.00307846,0.0131708
0.35,0 ,0.986758, 0.0100954,0.00314661,0.0132421
0.36,0 ,0.986682, 0.0100986,0.0032197,0.0133183
0.37,0 ,0.9866, 0.0101018,0.00329832,0.0134001
0.38,0 ,0.986512, 0.010105,0.00338317,0.0134882
0.39,0 ,0.986417, 0.0101083,0.00347507,0.0135834
0.4,0 ,0.986313, 0.0101117,0.003575,0.0136867
0.41,0 ,0.986201, 0.0101151,0.00368412,0.0137992
0.42,0 ,0.986078, 0.0101186,0.00380385,0.0139225
0.43,0 ,0.985942, 0.0101222,0.00393588,0.0140581
0.44,0 ,0.985792, 0.0101259,0.00408234,0.0142082
0.45,0 ,0.985625, 0.0101296,0.00424583,0.0143755
0.46,0 ,0.985437, 0.0101335,0.00442965,0.0145631
0.47,0 ,0.985225, 0.0101374,0.00463801,0.0147754
0.48,0 ,0.984982, 0.0101414,0.00487636,0.0150177
0.49,0 ,0.984703, 0.0101455,0.0051519,0.0152974
0.5,0 ,0.984376, 0.0101497,0.00547432,0.015624
0.51,0 ,0.983989, 0.0101539,0.00585696,0.0160109
0.52,0 ,0.983523, 0.0101583,0.00631871,0.016477
0.53,0 ,0.98295, 0.0101628,0.00688714,0.01705
0.54,0 ,0.982229, 0.0101675,0.00760398,0.0177714
0.55,0 ,0.981293, 0.0101722,0.00853518,0.0187074
0.56,0 ,0.980032, 0.0101771,0.00979046,0.0199675
0.57,0 ,0.978255, 0.0101821,0.0115634,0.0217455
0.58,0 ,0.975594, 0.0101872,0.0142186,0.0244058
0.59,0 ,0.971329, 0.0101925,0.0184785,0.028671
0.6,0 ,0.964056, 0.0101979,0.0257455,0.0359433
0.61,0 ,0.951701, 0.0102035,0.0380947,0.0482981
0.62,0 ,0.933234, 0.0102092,0.0565557,0.0667649
0.63,0 ,0.910364, 0.0102151,0.0794202,0.0896353
0.64,0 ,0.885536, 0.0102213,0.104243,0.114464
0.65,0 ,0.860217, 0.0102276,0.129555,0.139783
0.66,0 ,0.835104, 0.0102341,0.154662,0.164896
0.67,0 ,0.810517, 0.0102408,0.179242,0.189483
0.68,0 ,0.786601, 0.0102477,0.203152,0.213399
0.69,0 ,0.763418, 0.0102549,0.226327,0.236582
0.7,0 ,0.740991, 0.0102624,0.248747,0.259009
0.71,0 ,0.719316, 0.0102701,0.270414,0.280684
0.72,0 ,0.698382, 0.0102781,0.29134,0.301618
0.73,0 ,0.678168, 0.0102864,0.311545,0.321832
0.74,0 ,0.658652, 0.010295,0.331053,0.341348
0.75,0 ,0.63981, 0.0103039,0.349887,0.36019
0.76,0 ,0.621615, 0.0103132,0.368072,0.378385
0.77,0 ,0.604043, 0.0103228,0.385634,0.395957
0.78,0 ,0.587071, 0.0103328,0.402597,0.412929
0.79,0 ,0.570672, 0.0103432,0.418984,0.429328
0.8,0 ,0.554826, 0.0103541,0.43482,0.445174
0.81,0 ,0.539509, 0.0103654,0.450126,0.460491
0.82,0 ,0.5247, 0.0103771,0.464923,0.4753
0.83,0 ,0.510379, 0.0103893,0.479231,0.489621
0.84,0 ,0.496527, 0.0104021,0.493071,0.503473
0.85,0 ,0.483124, 0.0104153,0.506461,0.516876
0.86,0 ,0.470153, 0.0104291,0.519418,0.529847
0.87,0 ,0.457597, 0.0104435,0.531959,0.542403
0.88,0 ,0.44544, 0.0104584,0.544102,0.55456
0.89,0 ,0.433666, 0.0104739,0.55586,0.566334
0.9,0 ,0.422261, 0.0104901,0.567249,0.577739
0.91,0 ,0.41121, 0.0105069,0.578283,0.58879
0.92,0 ,0.400501, 0.0105243,0.588975,0.599499
0.93,0 ,0.39012, 0.0105424,0.599338,0.60988
0.94,0 ,0.380055, 0.0105612,0.609384,0.619945
0.95,0 ,0.370294, 0.0105807,0.619125,0.629706
0.96,0 ,0.360827, 0.0106009,0.628572,0.639173
