Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.984844, 0.0131556,0.002,0.0151556
0.01,0 ,0.984657, 0.0132182,0.00212463,0.0153429
0.02,0 ,0.984464, 0.0132819,0.00225454,0.0155364
0.03,0 ,0.984263, 0.0133466,0.00239001,0.0157366
0.04,0 ,0.984056, 0.0134123,0.00253135,0.0159437
0.05,0 ,0.983842, 0.0134791,0.00267892,0.0161581
0.06,0 ,0.98362, 0.0135471,0.00283307,0.0163801
0.07,0 ,0.98339, 0.0136161,0.00299419,0.0166103
0.08,0 ,0.983151, 0.0136863,0.0031627,0.016849
0.09,0 ,0.982903, 0.0137578,0.00333906,0.0170968
0.1,0 ,0.982646, 0.0138304,0.00352376,0.0173542
0.11,0 ,0.982378, 0.0139043,0.00371732,0.0176216
0.12,0 ,0.9821, 0.0139795,0.00392031,0.0178998
0.13,0 ,0.981811, 0.014056,0.00413336,0.0181894
0.14,0 ,0.981509, 0.0141339,0.00435713,0.018491
0.15,0 ,0.981195, 0.0142131,0.00459235,0.0188055
0.16,0 ,0.980866, 0.0142938,0.00483982,0.0191337
0.17,0 ,0.980524, 0.014376,0.0051004,0.0194764
0.18,0 ,0.980165, 0.0144597,0.00537504,0.0198347
0.19,0 ,0.97979, 0.014545,0.00566476,0.0202097
0.2,0 ,0.979398, 0.0146318,0.00597069,0.0206025
0.21,0 ,0.978986, 0.0147203,0.00629407,0.0210144
0.22,0 ,0.978553, 0.0148105,0.00663626,0.0214467
0.23,0 ,0.978099, 0.0149024,0.00699877,0.0219012
0.24,0 ,0.977621, 0.0149961,0.00738324,0.0223794
0.25,0 ,0.977117, 0.0150917,0.00779151,0.0228832
0.26,0 ,0.976585, 0.0151891,0.0082256,0.0234147
0.27,0 ,0.976024, 0.0152885,0.00868777,0.0239763
0.28,0 ,0.97543, 0.0153899,0.00918053,0.0245704
0.29,0 ,0.9748, 0.0154934,0.00970668,0.0252001
0.3,0 ,0.974132, 0.015599,0.0102694,0.0258683
0.31,0 ,0.973421, 0.0157068,0.0108721,0.0265788
0.32,0 ,0.972664, 0.0158168,0.0115188,0.0273356
0.33,0 ,0.971857, 0.0159292,0.0122141,0.0281432
0.34,0 ,0.970993, 0.0160439,0.0129629,0.0290068
0.35,0 ,0.970068, 0.0161611,0.013771,0.0299321
0.36,0 ,0.969074, 0.0162809,0.014645,0.0309259
0.37,0 ,0.968004, 0.0164033,0.0155924,0.0319957
0.38,0 ,0.96685, 0.0165283,0.0166219,0.0331502
0.39,0 ,0.9656, 0.0166562,0.0177433,0.0343995
0.4,0 ,0.964245, 0.0167869,0.0189683,0.0357552
0.41,0 ,0.962769, 0.0169205,0.0203101,0.0372306
0.42,0 ,0.961159, 0.0170572,0.0217842,0.0388414
0.43,0 ,0.959394, 0.017197,0.0234091,0.0406061
0.44,0 ,0.957454, 0.01734,0.0252059,0.0425459
0.45,0 ,0.955314, 0.0174863,0.0271999,0.0446862
0.46,0 ,0.952943, 0.0176361,0.0294208,0.0470569
0.47,0 ,0.950307, 0.0177893,0.031904,0.0496933
0.48,0 ,0.947363, 0.0179461,0.0346913,0.0526374
0.49,0 ,0.944061, 0.0181067,0.0378322,0.0559389
0.5,0 ,0.940344, 0.018271,0.0413854,0.0596565
0.51,0 ,0.93614, 0.0184393,0.0454202,0.0638595
0.52,0 ,0.931371, 0.0186116,0.0500174,0.068629
0.53,0 ,0.925942, 0.0187879,0.0552699,0.0740578
0.54,0 ,0.919749, 0.0189685,0.0612824,0.0802509
0.55,0 ,0.912678, 0.0191534,0.0681687,0.0873222
0.56,0 ,0.904611, 0.0193427,0.0760465,0.0953892
0.57,0 ,0.895436, 0.0195366,0.0850275,0.104564
0.58,0 ,0.88506, 0.019735,0.0952051,0.11494
0.59,0 ,0.873424, 0.0199381,0.106638,0.126576
0.6,0 ,0.860519, 0.0201459,0.119336,0.139481
0.61,0 ,0.846393, 0.0203586,0.133249,0.153607
0.62,0 ,0.831153, 0.0205763,0.14827,0.168847
0.63,0 ,0.814956, 0.0207989,0.164245,0.185044
0.64,0 ,0.797986, 0.0210265,0.180987,0.202014
0.65,0 ,0.78044, 0.0212593,0.198301,0.21956
0.66,0 ,0.762506, 0.0214972,0.215997,0.237494
0.67,0 ,0.744358, 0.0217403,0.233902,0.255642
0.68,0 ,0.726143, 0.0219885,0.251869,0.273857
0.69,0 ,0.707984, 0.022242,0.269774,0.292016
0.7,0 ,0.689979, 0.0225007,0.28752,0.310021
0.71,0 ,0.672207, 0.0227647,0.305029,0.327793
0.72,0 ,0.654725, 0.0230338,0.322242,0.345275
0.73,0 ,0.637577, 0.0233082,0.339115,0.362423
0.74,0 ,0.620795, 0.0235878,0.355617,0.379205
0.75,0 ,0.6044, 0.0238725,0.371727,0.3956
0.76,0 ,0.588407, 0.0241623,0.387431,0.411593
0.77,0 ,0.572823, 0.0244572,0.40272,0.427177
0.78,0 ,0.557652, 0.0247571,0.417591,0.442348
0.79,0 ,0.542894, 0.025062,0.432044,0.457106
0.8,0 ,0.528544, 0.0253718,0.446084,0.471456
0.81,0 ,0.514599, 0.0256864,0.459714,0.485401
0.82,0 ,0.501052, 0.0260057,0.472942,0.498948
0.83,0 ,0.487894, 0.0263297,0.485776,0.512106
0.84,0 ,0.475117, 0.0266584,0.498225,0.524883
0.85,0 ,0.462711, 0.0269915,0.510297,0.537289
0.86,0 ,0.450668, 0.027329,0.522003,0.549332
0.87,0 ,0.438975, 0.0276709,0.533354,0.561025
0.88,0 ,0.427625, 0.0280169,0.544358,0.572375
0.89,0 ,0.416606, 0.0283672,0.555027,0.583394
0.9,0 ,0.405909, 0.0287214,0.565369,0.594091
0.91,0 ,0.395524, 0.0290796,0.575396,0.604476
0.92,0 ,0.385441, 0.0294416,0.585118,0.614559
0.93,0 ,0.37565, 0.0298073,0.594543,0.62435
0.94,0 ,0.366143, 0.0301767,0.603681,0.633857
0.95,0 ,0.356909, 0.0305496,0.612541,0.643091
0.96,0 ,0.347941, 0.030926,0.621133,0.652059
0.97,0 ,0.33923, 0.0313057,0.629464,0.66077
0.98,0 ,0.330767, 0.0316886,0.637544,0.669233
0.99,0 ,0.322545, 0.0320746,0.64538,0.677455
1,0 ,0.314555, 0.0324637,0.652981,0.685445
0,0.01 ,0.984833, 0.0131567,0.00201015,0.0151669
0.01,0.01 ,0.984646, 0.0132194,0.00213478,0.0153542
0.02,0.01 ,0.984452, 0.013283,0.00226468,0.0155477
0.03,0.01 ,0.984252, 0.0133477,0.00240015,0.0157479
0.04,0.01 ,0.984045, 0.0134134,0.00254149,0.0159549
0.05,0.01 ,0.983831, 0.0134803,0.00268906,0.0161693
0.06,0.01 ,0.983609, 0.0135482,0.0028432,0.0163914
0.07,0.01 ,0.983378, 0.0136172,0.00300432,0.0166216
0.08,0.01 ,0.98314, 0.0136875,0.00317283,0.0168603
0.09,0.01 ,0.982892, 0.0137589,0.00334918,0.0171081
0.1,0.01 ,0.982635, 0.0138315,0.00353387,0.0173654
0.11,0.01 ,0.982367, 0.0139054,0.00372743,0.0176328
0.12,0.01 ,0.982089, 0.0139806,0.00393042,0.017911
0.13,0.01 ,0.981799, 0.0140571,0.00414346,0.0182006
0.14,0.01 ,0.981498, 0.014135,0.00436722,0.0185022
0.15,0.01 ,0.981183, 0.0142142,0.00460244,0.0188167
0.16,0.01 ,0.980855, 0.0142949,0.0048499,0.0191448
0.17,0.01 ,0.980512, 0.0143771,0.00511048,0.0194876
0.18,0.01 ,0.980154, 0.0144608,0.0053851,0.0198459
0.19,0.01 ,0.979779, 0.0145461,0.00567481,0.0202209
0.2,0.01 ,0.979386, 0.0146329,0.00598073,0.0206136
0.21,0.01 ,0.978975, 0.0147214,0.0063041,0.0210255
0.22,0.01 ,0.978542, 0.0148116,0.00664629,0.0214578
0.23,0.01 ,0.978088, 0.0149035,0.00700878,0.0219123
0.24,0.01 ,0.97761, 0.0149972,0.00739324,0.0223904
0.25,0.01 ,0.977106, 0.0150927,0.00780149,0.0228942
0.26,0.01 ,0.976574, 0.0151902,0.00823556,0.0234257
0.27,0.01 ,0.976013, 0.0152896,0.00869771,0.0239873
0.28,0.01 ,0.975419, 0.015391,0.00919045,0.0245814
0.29,0.01 ,0.974789, 0.0154944,0.00971658,0.025211
0.3,0.01 ,0.974121, 0.0156,0.0102792,0.0258793
0.31,0.01 ,0.97341, 0.0157078,0.0108819,0.0265897
0.32,0.01 ,0.972654, 0.0158178,0.0115286,0.0273465
0.33,0.01 ,0.971846, 0.0159302,0.0122238,0.028154
0.34,0.01 ,0.970982, 0.016045,0.0129726,0.0290175
0.35,0.01 ,0.970057, 0.0161622,0.0137807,0.0299428
0.36,0.01 ,0.969063, 0.0162819,0.0146546,0.0309366
0.37,0.01 ,0.967994, 0.0164043,0.015602,0.0320063
0.38,0.01 ,0.966839, 0.0165293,0.0166314,0.0331608
