Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.930908, 0.0670922,0.002,0.0690922
0.01,0 ,0.929768, 0.0675297,0.00270277,0.0702324
0.02,0 ,0.92859, 0.0679727,0.00343704,0.0714097
0.03,0 ,0.927374, 0.0684212,0.00420442,0.0726256
0.04,0 ,0.926118, 0.0688753,0.00500657,0.0738818
0.05,0 ,0.92482, 0.069335,0.00584527,0.0751803
0.06,0 ,0.923477, 0.0698004,0.00672241,0.0765228
0.07,0 ,0.922088, 0.0702716,0.00763998,0.0779116
0.08,0 ,0.920651, 0.0707486,0.00860011,0.0793487
0.09,0 ,0.919164, 0.0712314,0.00960502,0.0808364
0.1,0 ,0.917623, 0.0717201,0.0106571,0.0823772
0.11,0 ,0.916026, 0.0722147,0.0117589,0.0839736
0.12,0 ,0.914372, 0.0727154,0.012913,0.0856284
0.13,0 ,0.912656, 0.073222,0.0141224,0.0873444
0.14,0 ,0.910875, 0.0737347,0.01539,0.0891247
0.15,0 ,0.909028, 0.0742535,0.016719,0.0909725
0.16,0 ,0.907109, 0.0747784,0.0181129,0.0928913
0.17,0 ,0.905115, 0.0753094,0.0195752,0.0948847
0.18,0 ,0.903043, 0.0758467,0.0211099,0.0969565
0.19,0 ,0.900889, 0.07639,0.022721,0.099111
0.2,0 ,0.898648, 0.0769396,0.0244128,0.101352
0.21,0 ,0.896315, 0.0774954,0.0261899,0.103685
0.22,0 ,0.893885, 0.0780574,0.0280573,0.106115
0.23,0 ,0.891354, 0.0786256,0.0300202,0.108646
0.24,0 ,0.888716, 0.0791999,0.032084,0.111284
0.25,0 ,0.885965, 0.0797805,0.0342547,0.114035
0.26,0 ,0.883094, 0.0803672,0.0365385,0.116906
0.27,0 ,0.880098, 0.08096,0.0389418,0.119902
0.28,0 ,0.876969, 0.0815589,0.0414718,0.123031
0.29,0 ,0.8737, 0.0821639,0.0441358,0.1263
0.3,0 ,0.870284, 0.0827748,0.0469414,0.129716
0.31,0 ,0.866711, 0.0833917,0.049897,0.133289
0.32,0 ,0.862974, 0.0840145,0.0530111,0.137026
0.33,0 ,0.859064, 0.0846431,0.0562926,0.140936
0.34,0 ,0.854972, 0.0852774,0.0597511,0.145028
0.35,0 ,0.850686, 0.0859173,0.0633963,0.149314
0.36,0 ,0.846199, 0.0865628,0.0672384,0.153801
0.37,0 ,0.841499, 0.0872137,0.0712878,0.158501
0.38,0 ,0.836575, 0.0878699,0.0755553,0.163425
0.39,0 ,0.831417, 0.0885314,0.0800518,0.168583
0.4,0 ,0.826014, 0.0891979,0.0847883,0.173986
0.41,0 ,0.820355, 0.0898694,0.0897758,0.179645
0.42,0 ,0.814429, 0.0905457,0.0950251,0.185571
0.43,0 ,0.808227, 0.0912267,0.100547,0.191773
0.44,0 ,0.801737, 0.0919122,0.106351,0.198263
0.45,0 ,0.794952, 0.092602,0.112446,0.205048
0.46,0 ,0.787862, 0.093296,0.118842,0.212138
0.47,0 ,0.780462, 0.0939941,0.125544,0.219538
0.48,0 ,0.772745, 0.0946959,0.132559,0.227255
0.49,0 ,0.764708, 0.0954015,0.13989,0.235292
0.5,0 ,0.75635, 0.0961105,0.147539,0.24365
0.51,0 ,0.747672, 0.0968229,0.155505,0.252328
0.52,0 ,0.738676, 0.0975383,0.163786,0.261324
0.53,0 ,0.729369, 0.0982567,0.172374,0.270631
0.54,0 ,0.719761, 0.0989779,0.181262,0.280239
0.55,0 ,0.709862, 0.0997016,0.190437,0.290138
0.56,0 ,0.699688, 0.100428,0.199884,0.300312
0.57,0 ,0.689256, 0.101156,0.209588,0.310744
0.58,0 ,0.678587, 0.101886,0.219526,0.321413
0.59,0 ,0.667703, 0.102618,0.229679,0.332297
0.6,0 ,0.656628, 0.103352,0.24002,0.343372
0.61,0 ,0.645388, 0.104087,0.250525,0.354612
0.62,0 ,0.63401, 0.104823,0.261166,0.36599
0.63,0 ,0.622522, 0.105561,0.271918,0.377478
0.64,0 ,0.61095, 0.106299,0.282751,0.38905
0.65,0 ,0.599322, 0.107038,0.293639,0.400678
0.66,0 ,0.587666, 0.107778,0.304556,0.412334
0.67,0 ,0.576006, 0.108518,0.315476,0.423994
0.68,0 ,0.564367, 0.109259,0.326374,0.435633
0.69,0 ,0.552772, 0.11,0.337228,0.447228
0.7,0 ,0.541243, 0.11074,0.348017,0.458757
0.71,0 ,0.529799, 0.111481,0.35872,0.470201
0.72,0 ,0.518458, 0.112221,0.369322,0.481542
0.73,0 ,0.507235, 0.112961,0.379804,0.492765
0.74,0 ,0.496145, 0.1137,0.390155,0.503855
0.75,0 ,0.4852, 0.114439,0.400361,0.5148
0.76,0 ,0.474412, 0.115177,0.410411,0.525588
0.77,0 ,0.463789, 0.115914,0.420298,0.536211
0.78,0 ,0.453338, 0.11665,0.430012,0.546662
0.79,0 ,0.443068, 0.117385,0.439548,0.556932
0.8,0 ,0.432981, 0.118119,0.4489,0.567019
0.81,0 ,0.423083, 0.118851,0.458065,0.576917
0.82,0 ,0.413377, 0.119582,0.467041,0.586623
0.83,0 ,0.403864, 0.120312,0.475824,0.596136
0.84,0 ,0.394546, 0.121041,0.484414,0.605454
0.85,0 ,0.385423, 0.121767,0.49281,0.614577
0.86,0 ,0.376495, 0.122492,0.501013,0.623505
0.87,0 ,0.367762, 0.123216,0.509023,0.632238
0.88,0 ,0.359221, 0.123937,0.516841,0.640779
0.89,0 ,0.350873, 0.124657,0.52447,0.649127
0.9,0 ,0.342713, 0.125375,0.531912,0.657287
0.91,0 ,0.334742, 0.126091,0.539168,0.665258
0.92,0 ,0.326954, 0.126805,0.546241,0.673046
0.93,0 ,0.319349, 0.127516,0.553135,0.680651
0.94,0 ,0.311922, 0.128226,0.559852,0.688078
0.95,0 ,0.304672, 0.128934,0.566395,0.695328
0.96,0 ,0.297594, 0.129639,0.572767,0.702406
0.97,0 ,0.290685, 0.130342,0.578973,0.709315
0.98,0 ,0.283942, 0.131043,0.585015,0.716058
0.99,0 ,0.277361, 0.131742,0.590897,0.722639
1,0 ,0.270939, 0.132438,0.596623,0.729061
0,0.01 ,0.930817, 0.0671192,0.00206334,0.0691825
0.01,0.01 ,0.929677, 0.0675566,0.00276595,0.0703225
0.02,0.01 ,0.928501, 0.0679994,0.00350007,0.0714995
0.03,0.01 ,0.927285, 0.0684478,0.00426728,0.0727151
0.04,0.01 ,0.926029, 0.0689017,0.00506925,0.073971
0.05,0.01 ,0.924731, 0.0693613,0.00590776,0.0752691
0.06,0.01 ,0.923389, 0.0698266,0.0067847,0.0766113
0.07,0.01 ,0.922, 0.0702976,0.00770206,0.0779997
0.08,0.01 ,0.920564, 0.0707744,0.00866195,0.0794364
0.09,0.01 ,0.919076, 0.0712571,0.00966661,0.0809237
0.1,0.01 ,0.917536, 0.0717457,0.0107184,0.0824641
0.11,0.01 ,0.91594, 0.0722401,0.0118199,0.0840601
0.12,0.01 ,0.914286, 0.0727406,0.0129738,0.0857144
0.13,0.01 ,0.91257, 0.0732471,0.0141828,0.0874299
0.14,0.01 ,0.91079, 0.0737596,0.0154501,0.0892097
0.15,0.01 ,0.908943, 0.0742782,0.0167787,0.091057
0.16,0.01 ,0.907025, 0.0748029,0.0181722,0.0929752
0.17,0.01 ,0.905032, 0.0753338,0.0196342,0.094968
0.18,0.01 ,0.902961, 0.0758708,0.0211684,0.0970393
0.19,0.01 ,0.900807, 0.0764141,0.022779,0.0991931
0.2,0.01 ,0.898566, 0.0769635,0.0244703,0.101434
0.21,0.01 ,0.896234, 0.077519,0.0262469,0.103766
0.22,0.01 ,0.893805, 0.0780808,0.0281138,0.106195
0.23,0.01 ,0.891275, 0.0786488,0.030076,0.108725
0.24,0.01 ,0.888638, 0.079223,0.0321392,0.111362
0.25,0.01 ,0.885887, 0.0798034,0.0343092,0.114113
0.26,0.01 ,0.883018, 0.0803898,0.0365922,0.116982
0.27,0.01 ,0.880023, 0.0809825,0.0389948,0.119977
0.28,0.01 ,0.876895, 0.0815812,0.0415239,0.123105
0.29,0.01 ,0.873627, 0.0821859,0.0441869,0.126373
0.3,0.01 ,0.870212, 0.0827967,0.0469916,0.129788
0.31,0.01 ,0.866641, 0.0834133,0.0499461,0.133359
0.32,0.01 ,0.862905, 0.0840359,0.0530591,0.137095
0.33,0.01 ,0.858996, 0.0846643,0.0563395,0.141004
0.34,0.01 ,0.854905, 0.0852984,0.0597967,0.145095
0.35,0.01 ,0.850621, 0.0859381,0.0634405,0.149379
0.36,0.01 ,0.846135, 0.0865833,0.0672812,0.153865
0.37,0.01 ,0.841437, 0.087234,0.0713291,0.158563
0.38,0.01 ,0.836515, 0.0878901,0.0755949,0.163485
0.39,0.01 ,0.831359, 0.0885513,0.0800897,0.168641
0.4,0.01 ,0.825958, 0.0892176,0.0848243,0.174042
0.41,0.01 ,0.820301, 0.0898889,0.0898098,0.179699
0.42,0.01 ,0.814378, 0.090565,0.0950571,0.185622
0.43,0.01 ,0.808178, 0.0912457,0.100577,0.191822
0.44,0.01 ,0.801691, 0.091931,0.106378,0.198309
0.45,0.01 ,0.794908, 0.0926206,0.112471,0.205092
0.46,0.01 ,0.787821, 0.0933144,0.118864,0.212179
0.47,0.01 ,0.780424, 0.0940122,0.125564,0.219576
0.48,0.01 ,0.77271, 0.0947138,0.132576,0.22729
0.49,0.01 ,0.764676, 0.0954191,0.139905,0.235324
0.5,0.01 ,0.756321, 0.096128,0.147551,0.243679
0.51,0.01 ,0.747646, 0.0968401,0.155514,0.252354
0.52,0.01 ,0.738653, 0.0975553,0.163791,0.261347
0.53,0.01 ,0.72935, 0.0982735,0.172376,0.27065
0.54,0.01 ,0.719745, 0.0989944,0.181261,0.280255
