Betamv, Betapv,V,Rs,Rv,P
0.01,0.01 ,0.970839, 0.0268815,0.00227943,0.0291609
0.02,0.01 ,0.970738, 0.0268977,0.00236467,0.0292623
0.03,0.01 ,0.970633, 0.026914,0.00245302,0.029367
0.04,0.01 ,0.970525, 0.0269304,0.00254466,0.0294751
0.05,0.01 ,0.970413, 0.026947,0.00263974,0.0295867
0.06,0.01 ,0.970298, 0.0269637,0.00273846,0.0297022
0.07,0.01 ,0.970178, 0.0269806,0.00284102,0.0298216
0.08,0.01 ,0.970055, 0.0269977,0.00294763,0.0299453
0.09,0.01 ,0.969927, 0.0270148,0.00305852,0.0300734
0.1,0.01 ,0.969794, 0.0270322,0.00317394,0.0302061
0.11,0.01 ,0.969656, 0.0270497,0.00329415,0.0303438
0.12,0.01 ,0.969513, 0.0270673,0.00341945,0.0304867
0.13,0.01 ,0.969365, 0.0270851,0.00355015,0.0306352
0.14,0.01 ,0.96921, 0.0271031,0.00368658,0.0307896
0.15,0.01 ,0.96905, 0.0271212,0.0038291,0.0309503
0.16,0.01 ,0.968882, 0.0271395,0.00397812,0.0311176
0.17,0.01 ,0.968708, 0.0271579,0.00413407,0.031292
0.18,0.01 ,0.968526, 0.0271766,0.0042974,0.031474
0.19,0.01 ,0.968336, 0.0271954,0.00446865,0.031664
0.2,0.01 ,0.968137, 0.0272144,0.00464836,0.0318627
0.21,0.01 ,0.967929, 0.0272335,0.00483714,0.0320706
0.22,0.01 ,0.967711, 0.0272528,0.00503568,0.0322885
0.23,0.01 ,0.967483, 0.0272724,0.00524471,0.0325171
0.24,0.01 ,0.967243, 0.0272921,0.00546504,0.0327571
0.25,0.01 ,0.96699, 0.027312,0.00569758,0.0330095
0.26,0.01 ,0.966725, 0.027332,0.00594332,0.0332754
0.27,0.01 ,0.966444, 0.0273523,0.00620337,0.0335557
0.28,0.01 ,0.966148, 0.0273728,0.00647897,0.0338518
0.29,0.01 ,0.965835, 0.0273935,0.00677149,0.034165
0.3,0.01 ,0.965503, 0.0274143,0.00708248,0.0344968
0.31,0.01 ,0.965151, 0.0274354,0.00741366,0.0348491
0.32,0.01 ,0.964776, 0.0274567,0.00776698,0.0352237
0.33,0.01 ,0.964377, 0.0274782,0.00814467,0.0356229
0.34,0.01 ,0.963951, 0.0274999,0.00854921,0.0360492
0.35,0.01 ,0.963495, 0.0275219,0.00898346,0.0365053
0.36,0.01 ,0.963005, 0.027544,0.00945069,0.0369947
0.37,0.01 ,0.962479, 0.0275664,0.00995464,0.0375211
0.38,0.01 ,0.961911, 0.027589,0.0104996,0.0380887
0.39,0.01 ,0.961297, 0.0276119,0.0110907,0.0387026
0.4,0.01 ,0.960631, 0.027635,0.0117337,0.0393687
0.41,0.01 ,0.959906, 0.0276583,0.0124355,0.0400938
0.42,0.01 ,0.959114, 0.0276818,0.0132041,0.0408859
0.43,0.01 ,0.958245, 0.0277056,0.0140491,0.0417547
0.44,0.01 ,0.957288, 0.0277297,0.0149819,0.0427116
0.45,0.01 ,0.95623, 0.027754,0.0160162,0.0437703
0.46,0.01 ,0.955053, 0.0277786,0.0171687,0.0449473
0.47,0.01 ,0.953737, 0.0278034,0.0184595,0.0462629
0.48,0.01 ,0.952258, 0.0278285,0.0199133,0.0477418
0.49,0.01 ,0.950585, 0.0278539,0.0215609,0.0494148
0.5,0.01 ,0.94868, 0.0278795,0.0234403,0.0513198
0.51,0.01 ,0.946495, 0.0279054,0.0255995,0.0535049
0.52,0.01 ,0.94397, 0.0279316,0.0280988,0.0560304
0.53,0.01 ,0.941027, 0.0279581,0.0310147,0.0589729
0.54,0.01 ,0.937571, 0.0279849,0.0344444,0.0624293
0.55,0.01 ,0.933478, 0.028012,0.0385105,0.0665225
0.56,0.01 ,0.928594, 0.0280394,0.0433662,0.0714056
0.57,0.01 ,0.922735, 0.028067,0.0491981,0.0772651
0.58,0.01 ,0.915682, 0.028095,0.0562232,0.0843183
0.59,0.01 ,0.907202, 0.0281233,0.0646749,0.0927982
0.6,0.01 ,0.897078, 0.028152,0.0747705,0.102922
0.61,0.01 ,0.885156, 0.0281809,0.0866627,0.114844
0.62,0.01 ,0.871404, 0.0282102,0.100386,0.128596
0.63,0.01 ,0.855934, 0.0282398,0.115827,0.144066
0.64,0.01 ,0.838993, 0.0282697,0.132737,0.161007
0.65,0.01 ,0.82091, 0.0283,0.15079,0.17909
0.66,0.01 ,0.802034, 0.0283306,0.169636,0.197966
0.67,0.01 ,0.782681, 0.0283616,0.188958,0.217319
0.68,0.01 ,0.763117, 0.028393,0.20849,0.236883
0.69,0.01 ,0.743549, 0.0284247,0.228026,0.256451
0.7,0.01 ,0.724133, 0.0284567,0.24741,0.275867
0.71,0.01 ,0.704981, 0.0284892,0.26653,0.295019
0.72,0.01 ,0.686172, 0.028522,0.285306,0.313828
0.73,0.01 ,0.667762, 0.0285552,0.303683,0.332238
0.74,0.01 ,0.649784, 0.0285888,0.321627,0.350216
0.75,0.01 ,0.632262, 0.0286228,0.339115,0.367738
0.76,0.01 ,0.615208, 0.0286572,0.356135,0.384792
0.77,0.01 ,0.598625, 0.0286919,0.372683,0.401375
0.78,0.01 ,0.582513, 0.0287271,0.38876,0.417487
0.79,0.01 ,0.566869, 0.0287627,0.404369,0.433131
0.8,0.01 ,0.551683, 0.0287988,0.419518,0.448317
0.81,0.01 ,0.536948, 0.0288352,0.434216,0.463052
0.82,0.01 ,0.522653, 0.0288721,0.448474,0.477347
0.83,0.01 ,0.508787, 0.0289094,0.462304,0.491213
0.84,0.01 ,0.495337, 0.0289471,0.475716,0.504663
0.85,0.01 ,0.482291, 0.0289853,0.488723,0.517709
0.86,0.01 ,0.469638, 0.0290239,0.501338,0.530362
0.87,0.01 ,0.457364, 0.029063,0.513573,0.542636
0.88,0.01 ,0.445457, 0.0291025,0.52544,0.554543
0.89,0.01 ,0.433906, 0.0291425,0.536951,0.566094
0.9,0.01 ,0.422699, 0.029183,0.548118,0.577301
0.91,0.01 ,0.411824, 0.0292239,0.558952,0.588176
0.92,0.01 ,0.40127, 0.0292653,0.569465,0.59873
0.93,0.01 ,0.391026, 0.0293072,0.579667,0.608974
0.94,0.01 ,0.381082, 0.0293496,0.589568,0.618918
0.95,0.01 ,0.371427, 0.0293924,0.59918,0.628573
0.96,0.01 ,0.362053, 0.0294357,0.608512,0.637947
0.97,0.01 ,0.352948, 0.0294796,0.617572,0.647052
0.98,0.01 ,0.344105, 0.0295239,0.626371,0.655895
0.99,0.01 ,0.335515, 0.0295687,0.634917,0.664485
1,0.01 ,0.327168, 0.029614,0.643218,0.672832
0,0.02 ,0.970661, 0.0269379,0.00240153,0.0293394
0.01,0.02 ,0.970562, 0.0269539,0.00248377,0.0294377
0.02,0.02 ,0.970461, 0.0269701,0.00256898,0.0295391
0.03,0.02 ,0.970356, 0.0269864,0.0026573,0.0296437
0.04,0.02 ,0.970248, 0.0270028,0.0027489,0.0297517
0.05,0.02 ,0.970137, 0.0270194,0.00284394,0.0298633
0.06,0.02 ,0.970021, 0.0270361,0.00294262,0.0299787
0.07,0.02 ,0.969902, 0.027053,0.00304514,0.0300981
0.08,0.02 ,0.969778, 0.02707,0.0031517,0.0302217
0.09,0.02 ,0.96965, 0.0270872,0.00326254,0.0303497
0.1,0.02 ,0.969518, 0.0271045,0.00337791,0.0304824
0.11,0.02 ,0.96938, 0.0271219,0.00349808,0.03062
0.12,0.02 ,0.969237, 0.0271396,0.00362332,0.0307629
0.13,0.02 ,0.969089, 0.0271574,0.00375395,0.0309113
0.14,0.02 ,0.968934, 0.0271753,0.00389032,0.0310656
0.15,0.02 ,0.968774, 0.0271934,0.00403278,0.0312262
0.16,0.02 ,0.968607, 0.0272117,0.00418172,0.0313934
0.17,0.02 ,0.968432, 0.0272301,0.00433759,0.0315677
0.18,0.02 ,0.96825, 0.0272487,0.00450084,0.0317496
0.19,0.02 ,0.96806, 0.0272675,0.00467199,0.0319395
0.2,0.02 ,0.967862, 0.0272865,0.0048516,0.0321381
0.21,0.02 ,0.967654, 0.0273056,0.00504028,0.0323459
0.22,0.02 ,0.967436, 0.0273249,0.0052387,0.0325636
0.23,0.02 ,0.967208, 0.0273444,0.0054476,0.0327921
0.24,0.02 ,0.966968, 0.0273641,0.0056678,0.0330319
0.25,0.02 ,0.966716, 0.027384,0.00590019,0.0332842
0.26,0.02 ,0.96645, 0.0274041,0.00614577,0.0335498
0.27,0.02 ,0.96617, 0.0274243,0.00640565,0.03383
0.28,0.02 ,0.965874, 0.0274448,0.00668105,0.0341258
0.29,0.02 ,0.965561, 0.0274654,0.00697336,0.0344388
0.3,0.02 ,0.96523, 0.0274863,0.00728411,0.0347704
0.31,0.02 ,0.964878, 0.0275074,0.00761503,0.0351224
0.32,0.02 ,0.964503, 0.0275286,0.00796807,0.0354967
0.33,0.02 ,0.964104, 0.0275501,0.00834543,0.0358955
0.34,0.02 ,0.963679, 0.0275718,0.00874962,0.0363214
0.35,0.02 ,0.963223, 0.0275937,0.00918347,0.0367772
0.36,0.02 ,0.962734, 0.0276159,0.00965025,0.0372661
0.37,0.02 ,0.962208, 0.0276382,0.0101537,0.0377919
0.38,0.02 ,0.961641, 0.0276608,0.0106981,0.0383589
0.39,0.02 ,0.961028, 0.0276836,0.0112885,0.0389722
0.4,0.02 ,0.960363, 0.0277067,0.0119308,0.0396375
0.41,0.02 ,0.959638, 0.02773,0.0126317,0.0403617
0.42,0.02 ,0.958847, 0.0277535,0.0133993,0.0411528
0.43,0.02 ,0.95798, 0.0277773,0.0142431,0.0420204
0.44,0.02 ,0.957024, 0.0278013,0.0151746,0.0429759
0.45,0.02 ,0.955967, 0.0278256,0.0162074,0.044033
0.46,0.02 ,0.954792, 0.0278502,0.0173579,0.0452081
0.47,0.02 ,0.953479, 0.027875,0.0186465,0.0465214
0.48,0.02 ,0.952002, 0.0279,0.0200976,0.0479976
0.49,0.02 ,0.950333, 0.0279254,0.0217419,0.0496673
0.5,0.02 ,0.948432, 0.027951,0.0236174,0.0515684
0.51,0.02 ,0.946251, 0.0279769,0.0257717,0.0537485
0.52,0.02 ,0.943732, 0.0280031,0.0282649,0.056268
0.53,0.02 ,0.940797, 0.0280295,0.0311733,0.0592028
