Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.966987, 0.031013,0.002,0.033013
0.01,0 ,0.966591, 0.0311001,0.00230933,0.0334094
0.02,0 ,0.966181, 0.0311878,0.00263073,0.0338185
0.03,0 ,0.965759, 0.0312763,0.00296481,0.0342411
0.04,0 ,0.965322, 0.0313655,0.00331223,0.0346778
0.05,0 ,0.964871, 0.0314555,0.00367369,0.0351292
0.06,0 ,0.964404, 0.0315463,0.00404996,0.0355962
0.07,0 ,0.96392, 0.0316378,0.00444182,0.0360796
0.08,0 ,0.96342, 0.03173,0.00485014,0.0365802
0.09,0 ,0.962901, 0.0318231,0.00527583,0.0370989
0.1,0 ,0.962363, 0.031917,0.00571989,0.0376368
0.11,0 ,0.961805, 0.0320116,0.00618338,0.038195
0.12,0 ,0.961226, 0.0321071,0.00666743,0.0387745
0.13,0 ,0.960623, 0.0322033,0.00717327,0.0393766
0.14,0 ,0.959997, 0.0323004,0.00770222,0.0400027
0.15,0 ,0.959346, 0.0323984,0.00825572,0.0406541
0.16,0 ,0.958668, 0.0324971,0.00883529,0.0413324
0.17,0 ,0.957961, 0.0325968,0.0094426,0.0420394
0.18,0 ,0.957223, 0.0326973,0.0100795,0.0427767
0.19,0 ,0.956454, 0.0327986,0.0107478,0.0435464
0.2,0 ,0.955649, 0.0329008,0.0114498,0.0443507
0.21,0 ,0.954808, 0.0330039,0.0121878,0.0451917
0.22,0 ,0.953928, 0.0331079,0.0129642,0.0460721
0.23,0 ,0.953005, 0.0332128,0.0137818,0.0469946
0.24,0 ,0.952038, 0.0333186,0.0146436,0.0479622
0.25,0 ,0.951022, 0.0334254,0.0155529,0.0489782
0.26,0 ,0.949954, 0.033533,0.0165132,0.0500463
0.27,0 ,0.94883, 0.0336416,0.0175287,0.0511703
0.28,0 ,0.947645, 0.0337512,0.0186034,0.0523546
0.29,0 ,0.946396, 0.0338616,0.0197424,0.053604
0.3,0 ,0.945076, 0.0339731,0.0209508,0.0549238
0.31,0 ,0.94368, 0.0340855,0.0222344,0.0563199
0.32,0 ,0.942201, 0.0341989,0.0235998,0.0577987
0.33,0 ,0.940633, 0.0343133,0.025054,0.0593673
0.34,0 ,0.938966, 0.0344286,0.0266051,0.0610338
0.35,0 ,0.937193, 0.034545,0.0282619,0.0628069
0.36,0 ,0.935303, 0.0346624,0.0300343,0.0646967
0.37,0 ,0.933286, 0.0347808,0.0319332,0.066714
0.38,0 ,0.931129, 0.0349002,0.0339709,0.0688711
0.39,0 ,0.928818, 0.0350206,0.0361612,0.0711818
0.4,0 ,0.926338, 0.0351421,0.0385194,0.0736616
0.41,0 ,0.923672, 0.0352647,0.0410628,0.0763275
0.42,0 ,0.920801, 0.0353883,0.0438107,0.0791989
0.43,0 ,0.917703, 0.0355129,0.0467844,0.0822973
0.44,0 ,0.914353, 0.0356386,0.0500083,0.0856469
0.45,0 ,0.910726, 0.0357654,0.053509,0.0892744
0.46,0 ,0.90679, 0.0358932,0.0573164,0.0932097
0.47,0 ,0.902514, 0.0360222,0.0614635,0.0974857
0.48,0 ,0.897861, 0.0361522,0.0659864,0.102139
0.49,0 ,0.892792, 0.0362833,0.0709244,0.107208
0.5,0 ,0.887265, 0.0364156,0.0763198,0.112735
0.51,0 ,0.881234, 0.0365489,0.0822171,0.118766
0.52,0 ,0.874654, 0.0366833,0.0886624,0.125346
0.53,0 ,0.867479, 0.0368189,0.0957018,0.132521
0.54,0 ,0.859665, 0.0369555,0.10338,0.140335
0.55,0 ,0.851171, 0.0370933,0.111736,0.148829
0.56,0 ,0.841964, 0.0372322,0.120804,0.158036
0.57,0 ,0.832022, 0.0373723,0.130605,0.167978
0.58,0 ,0.821336, 0.0375134,0.14115,0.178664
0.59,0 ,0.809912, 0.0376557,0.152432,0.190088
0.6,0 ,0.797775, 0.0377991,0.164426,0.202225
0.61,0 ,0.784966, 0.0379437,0.177091,0.215034
0.62,0 ,0.771543, 0.0380894,0.190367,0.228457
0.63,0 ,0.757579, 0.0382362,0.204184,0.242421
0.64,0 ,0.743156, 0.0383841,0.21846,0.256844
0.65,0 ,0.728361, 0.0385332,0.233106,0.271639
0.66,0 ,0.713283, 0.0386834,0.248033,0.286717
0.67,0 ,0.69801, 0.0388348,0.263155,0.30199
0.68,0 ,0.682623, 0.0389873,0.27839,0.317377
0.69,0 ,0.667197, 0.0391409,0.293662,0.332803
0.7,0 ,0.651801, 0.0392956,0.308904,0.348199
0.71,0 ,0.636491, 0.0394514,0.324058,0.363509
0.72,0 ,0.621317, 0.0396084,0.339075,0.378683
0.73,0 ,0.606322, 0.0397665,0.353911,0.393678
0.74,0 ,0.59154, 0.0399257,0.368535,0.40846
0.75,0 ,0.576998, 0.040086,0.382916,0.423002
0.76,0 ,0.562718, 0.0402474,0.397035,0.437282
0.77,0 ,0.548717, 0.04041,0.410873,0.451283
0.78,0 ,0.535008, 0.0405736,0.424418,0.464992
0.79,0 ,0.521599, 0.0407383,0.437662,0.478401
0.8,0 ,0.508496, 0.040904,0.4506,0.491504
0.81,0 ,0.495703, 0.0410709,0.463226,0.504297
0.82,0 ,0.48322, 0.0412388,0.475542,0.51678
0.83,0 ,0.471046, 0.0414078,0.487546,0.528954
0.84,0 ,0.45918, 0.0415779,0.499242,0.54082
0.85,0 ,0.447618, 0.041749,0.510633,0.552382
0.86,0 ,0.436356, 0.0419211,0.521723,0.563644
0.87,0 ,0.42539, 0.0420943,0.532516,0.57461
0.88,0 ,0.414713, 0.0422684,0.543018,0.585287
0.89,0 ,0.404321, 0.0424436,0.553236,0.595679
0.9,0 ,0.394206, 0.0426199,0.563174,0.605794
0.91,0 ,0.384363, 0.0427971,0.57284,0.615637
0.92,0 ,0.374784, 0.0429753,0.582241,0.625216
0.93,0 ,0.365464, 0.0431544,0.591382,0.634536
