Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.985444, 0.0125557,0.002,0.0145557
0.01,0 ,0.985354, 0.0125669,0.00207887,0.0146458
0.02,0 ,0.985261, 0.0125782,0.00216053,0.0147388
0.03,0 ,0.985165, 0.0125896,0.00224514,0.0148347
0.04,0 ,0.985066, 0.012601,0.00233284,0.0149338
0.05,0 ,0.984964, 0.0126125,0.00242381,0.0150363
0.06,0 ,0.984858, 0.012624,0.00251821,0.0151422
0.07,0 ,0.984748, 0.0126356,0.00261625,0.0152519
0.08,0 ,0.984635, 0.0126473,0.00271811,0.0153654
0.09,0 ,0.984517, 0.012659,0.00282403,0.0154831
0.1,0 ,0.984395, 0.0126708,0.00293424,0.0156051
0.11,0 ,0.984268, 0.0126827,0.003049,0.0157317
0.12,0 ,0.984137, 0.0126946,0.00316857,0.0158632
0.13,0 ,0.984, 0.0127066,0.00329326,0.0159999
0.14,0 ,0.983858, 0.0127187,0.00342339,0.016142
0.15,0 ,0.98371, 0.0127308,0.00355932,0.0162901
0.16,0 ,0.983556, 0.012743,0.00370142,0.0164444
0.17,0 ,0.983395, 0.0127552,0.00385011,0.0166053
0.18,0 ,0.983227, 0.0127676,0.00400584,0.0167734
0.19,0 ,0.983051, 0.01278,0.00416912,0.0169491
0.2,0 ,0.982867, 0.0127924,0.00434047,0.0171329
0.21,0 ,0.982675, 0.012805,0.00452049,0.0173254
0.22,0 ,0.982473, 0.0128176,0.00470985,0.0175274
0.23,0 ,0.98226, 0.0128302,0.00490926,0.0177395
0.24,0 ,0.982037, 0.012843,0.00511952,0.0179625
0.25,0 ,0.981803, 0.0128558,0.00534152,0.0181973
0.26,0 ,0.981555, 0.0128687,0.00557623,0.0184449
0.27,0 ,0.981294, 0.0128817,0.00582475,0.0187064
0.28,0 ,0.981017, 0.0128947,0.0060883,0.018983
0.29,0 ,0.980724, 0.0129078,0.00636824,0.0192761
0.3,0 ,0.980413, 0.012921,0.00666611,0.0195871
0.31,0 ,0.980082, 0.0129343,0.00698364,0.0199179
0.32,0 ,0.97973, 0.0129476,0.0073228,0.0202704
0.33,0 ,0.979353, 0.012961,0.0076858,0.0206468
0.34,0 ,0.97895, 0.0129745,0.00807518,0.0210497
0.35,0 ,0.978518, 0.0129881,0.00849384,0.0214819
0.36,0 ,0.978053, 0.0130018,0.00894512,0.0219469
0.37,0 ,0.977552, 0.0130155,0.00943287,0.0224484
0.38,0 ,0.977009, 0.0130293,0.00996158,0.0229909
0.39,0 ,0.97642, 0.0130432,0.0105365,0.0235796
0.4,0 ,0.975779, 0.0130572,0.0111636,0.0242208
0.41,0 ,0.975078, 0.0130712,0.0118503,0.0249215
0.42,0 ,0.974309, 0.0130853,0.0126052,0.0256905
0.43,0 ,0.973462, 0.0130996,0.0134384,0.026538
0.44,0 ,0.972524, 0.0131139,0.0143625,0.0274763
0.45,0 ,0.971479, 0.0131282,0.0153923,0.0285206
0.46,0 ,0.970311, 0.0131427,0.0165464,0.0296891
0.47,0 ,0.968995, 0.0131573,0.0178474,0.0310047
0.48,0 ,0.967505, 0.0131719,0.0193235,0.0324954
0.49,0 ,0.965803, 0.0131866,0.0210101,0.0341967
0.5,0 ,0.963847, 0.0132014,0.022952,0.0361534
0.51,0 ,0.961577, 0.0132163,0.0252066,0.0384229
0.52,0 ,0.958921, 0.0132313,0.0278473,0.0410786
0.53,0 ,0.955784, 0.0132464,0.0309691,0.0442155
0.54,0 ,0.952043, 0.0132616,0.034695,0.0479566
0.55,0 ,0.947541, 0.0132768,0.0391826,0.0524594
0.56,0 ,0.942077, 0.0132922,0.0446312,0.0579233
0.57,0 ,0.935409, 0.0133076,0.051283,0.0645906
0.58,0 ,0.927263, 0.0133231,0.0594138,0.072737
0.59,0 ,0.91736, 0.0133388,0.0693007,0.0826395
0.6,0 ,0.905482, 0.0133545,0.081163,0.0945175
0.61,0 ,0.891542, 0.0133703,0.0950874,0.108458
0.62,0 ,0.875638, 0.0133862,0.110975,0.124362
0.63,0 ,0.858047, 0.0134022,0.128551,0.141953
0.64,0 ,0.839157, 0.0134183,0.147425,0.160843
0.65,0 ,0.819379, 0.0134345,0.167187,0.180621
0.66,0 ,0.799086, 0.0134508,0.187463,0.200914
0.67,0 ,0.778583, 0.0134672,0.20795,0.221417
0.68,0 ,0.758101, 0.0134837,0.228415,0.241899
0.69,0 ,0.737808, 0.0135003,0.248691,0.262192
0.7,0 ,0.717824, 0.013517,0.268659,0.282176
0.71,0 ,0.69823, 0.0135338,0.288236,0.30177
0.72,0 ,0.67908, 0.0135507,0.30737,0.32092
0.73,0 ,0.660407, 0.0135677,0.326025,0.339593
0.74,0 ,0.642232, 0.0135848,0.344184,0.357768
0.75,0 ,0.624563, 0.013602,0.361835,0.375437
0.76,0 ,0.607403, 0.0136193,0.378978,0.392597
0.77,0 ,0.590748, 0.0136368,0.395615,0.409252
0.78,0 ,0.574592, 0.0136543,0.411753,0.425408
0.79,0 ,0.558925, 0.013672,0.427403,0.441075
0.8,0 ,0.543736, 0.0136897,0.442574,0.456264
0.81,0 ,0.529013, 0.0137076,0.45728,0.470987
0.82,0 ,0.514741, 0.0137255,0.471533,0.485259
0.83,0 ,0.500909, 0.0137436,0.485347,0.499091
0.84,0 ,0.487502, 0.0137618,0.498736,0.512498
0.85,0 ,0.474506, 0.0137801,0.511714,0.525494
0.86,0 ,0.461908, 0.0137986,0.524293,0.538092
0.87,0 ,0.449695, 0.0138171,0.536488,0.550305
0.88,0 ,0.437853, 0.0138357,0.548311,0.562147
0.89,0 ,0.42637, 0.0138545,0.559775,0.57363
0.9,0 ,0.415233, 0.0138734,0.570893,0.584767
0.91,0 ,0.404431, 0.0138924,0.581677,0.595569
0.92,0 ,0.393952, 0.0139115,0.592137,0.606048
0.93,0 ,0.383784, 0.0139308,0.602286,0.616216
0.94,0 ,0.373917, 0.0139501,0.612133,0.626083
0.95,0 ,0.36434, 0.0139696,0.621691,0.63566
0.96,0 ,0.355043, 0.0139892,0.630967,0.644957
0.97,0 ,0.346018, 0.014009,0.639973,0.653982
0.98,0 ,0.337254, 0.0140288,0.648718,0.662746
0.99,0 ,0.328742, 0.0140488,0.657209,0.671258
1,0 ,0.320474, 0.0140689,0.665457,0.679526
0,0.01 ,0.985383, 0.0125655,0.00205107,0.0146165
0.01,0.01 ,0.985293, 0.0125767,0.00212993,0.0147066
0.02,0.01 ,0.9852, 0.012588,0.00221159,0.0147996
0.03,0.01 ,0.985104, 0.0125993,0.00229619,0.0148955
0.04,0.01 ,0.985005, 0.0126107,0.00238389,0.0149946
0.05,0.01 ,0.984903, 0.0126222,0.00247485,0.0150971
0.06,0.01 ,0.984797, 0.0126338,0.00256924,0.015203
0.07,0.01 ,0.984687, 0.0126454,0.00266727,0.0153126
0.08,0.01 ,0.984574, 0.012657,0.00276913,0.0154262
0.09,0.01 ,0.984456, 0.0126688,0.00287504,0.0155438
0.1,0.01 ,0.984334, 0.0126806,0.00298524,0.0156658
0.11,0.01 ,0.984208, 0.0126924,0.00309998,0.0157924
0.12,0.01 ,0.984076, 0.0127043,0.00321954,0.0159239
0.13,0.01 ,0.983939, 0.0127163,0.00334422,0.0160606
0.14,0.01 ,0.983797, 0.0127284,0.00347434,0.0162027
0.15,0.01 ,0.983649, 0.0127405,0.00361026,0.0163508
0.16,0.01 ,0.983495, 0.0127527,0.00375234,0.016505
0.17,0.01 ,0.983334, 0.012765,0.00390102,0.016666
0.18,0.01 ,0.983166, 0.0127773,0.00405673,0.016834
0.19,0.01 ,0.98299, 0.0127897,0.00421999,0.0170097
0.2,0.01 ,0.982807, 0.0128022,0.00439132,0.0171935
0.21,0.01 ,0.982614, 0.0128147,0.00457132,0.017386
0.22,0.01 ,0.982412, 0.0128273,0.00476066,0.017588
0.23,0.01 ,0.9822, 0.01284,0.00496004,0.0178
0.24,0.01 ,0.981977, 0.0128527,0.00517028,0.018023
0.25,0.01 ,0.981742, 0.0128655,0.00539224,0.0182578
0.26,0.01 ,0.981495, 0.0128784,0.00562692,0.0185054
0.27,0.01 ,0.981233, 0.0128914,0.0058754,0.0187668
0.28,0.01 ,0.980957, 0.0129044,0.00613891,0.0190433
0.29,0.01 ,0.980664, 0.0129176,0.00641881,0.0193364
0.3,0.01 ,0.980353, 0.0129307,0.00671663,0.0196474
0.31,0.01 ,0.980022, 0.012944,0.00703411,0.0199781
0.32,0.01 ,0.979669, 0.0129573,0.0073732,0.0203305
0.33,0.01 ,0.979293, 0.0129708,0.00773614,0.0207069
0.34,0.01 ,0.97889, 0.0129843,0.00812544,0.0211097
0.35,0.01 ,0.978458, 0.0129978,0.00854402,0.0215418
0.36,0.01 ,0.977993, 0.0130115,0.0089952,0.0220067
0.37,0.01 ,0.977492, 0.0130252,0.00948285,0.022508
0.38,0.01 ,0.97695, 0.013039,0.0100114,0.0230504
0.39,0.01 ,0.976361, 0.0130529,0.0105862,0.0236391
0.4,0.01 ,0.97572, 0.0130669,0.0112132,0.02428
0.41,0.01 ,0.975019, 0.0130809,0.0118997,0.0249806
0.42,0.01 ,0.974251, 0.013095,0.0126543,0.0257494
0.43,0.01 ,0.973403, 0.0131093,0.0134873,0.0265966
0.44,0.01 ,0.972465, 0.0131236,0.0144111,0.0275346
0.45,0.01 ,0.971421, 0.0131379,0.0154406,0.0285785
0.46,0.01 ,0.970253, 0.0131524,0.0165942,0.0297466
0.47,0.01 ,0.968938, 0.013167,0.0178947,0.0310616
0.48,0.01 ,0.967448, 0.0131816,0.0193701,0.0325517
0.49,0.01 ,0.965748, 0.0131963,0.0210559,0.0342522
0.5,0.01 ,0.963792, 0.0132111,0.0229969,0.0362081
0.51,0.01 ,0.961524, 0.013226,0.0252503,0.0384763
0.52,0.01 ,0.95887, 0.013241,0.0278895,0.0411305
0.53,0.01 ,0.955734, 0.0132561,0.0310095,0.0442655
0.54,0.01 ,0.951996, 0.0132712,0.0347329,0.0480041
0.55,0.01 ,0.947496, 0.0132865,0.0392173,0.0525038
0.56,0.01 ,0.942036, 0.0133019,0.0446618,0.0579637
