e1,e2,V,Rs,Rv,P
0,0 ,0.0158123, 0.435395,0.548793,0.984188
0,0.01 ,0.0163688, 0.435253,0.548379,0.983631
0,0.02 ,0.0169512, 0.43511,0.547939,0.983049
0,0.03 ,0.0175608, 0.434966,0.547473,0.982439
0,0.04 ,0.0181988, 0.434822,0.546979,0.981801
0,0.05 ,0.0188665, 0.434677,0.546456,0.981133
0,0.06 ,0.0195653, 0.434531,0.545904,0.980435
0,0.07 ,0.0202965, 0.434384,0.545319,0.979703
0,0.08 ,0.0210616, 0.434236,0.544702,0.978938
0,0.09 ,0.021862, 0.434087,0.54405,0.978137
0,0.1 ,0.0226993, 0.433937,0.543363,0.9773
0,0.11 ,0.023575, 0.433786,0.542638,0.976423
0,0.12 ,0.0244907, 0.433633,0.541873,0.975506
0,0.13 ,0.025448, 0.433479,0.541068,0.974547
0,0.14 ,0.0264483, 0.433324,0.540221,0.973544
0,0.15 ,0.0274933, 0.433167,0.539329,0.972496
0,0.16 ,0.0285843, 0.433009,0.538391,0.971399
0,0.17 ,0.029723, 0.432848,0.537404,0.970253
0,0.18 ,0.0309105, 0.432686,0.536368,0.969054
0,0.19 ,0.0321481, 0.432522,0.53528,0.967802
0,0.2 ,0.0334371, 0.432356,0.534137,0.966493
0,0.21 ,0.0347786, 0.432188,0.532938,0.965126
0,0.22 ,0.0361734, 0.432017,0.531681,0.963698
0,0.23 ,0.0376225, 0.431843,0.530363,0.962207
0,0.24 ,0.0391268, 0.431667,0.528983,0.96065
0,0.25 ,0.0406871, 0.431488,0.527537,0.959025
0,0.26 ,0.0423042, 0.431306,0.526024,0.95733
0,0.27 ,0.0439789, 0.43112,0.524441,0.955561
0,0.28 ,0.0457121, 0.430931,0.522786,0.953717
0,0.29 ,0.0475047, 0.430737,0.521057,0.951794
0,0.3 ,0.049358, 0.43054,0.519251,0.949791
0,0.31 ,0.0512732, 0.430338,0.517366,0.947704
0,0.32 ,0.0532516, 0.430131,0.515401,0.945532
0,0.33 ,0.0552947, 0.429919,0.513352,0.943271
0,0.34 ,0.0574044, 0.429702,0.511218,0.940919
0,0.35 ,0.0595824, 0.429478,0.508997,0.938475
0,0.36 ,0.0618307, 0.429248,0.506687,0.935936
0,0.37 ,0.0641512, 0.429012,0.504288,0.933299
0,0.38 ,0.0665461, 0.428768,0.501796,0.930564
0,0.39 ,0.0690173, 0.428516,0.499212,0.927729
0,0.4 ,0.0715665, 0.428257,0.496535,0.924792
0,0.41 ,0.0741956, 0.427988,0.493765,0.921753
0,0.42 ,0.0769058, 0.42771,0.490901,0.918611
0,0.43 ,0.079698, 0.427422,0.487943,0.915366
0,0.44 ,0.0825728, 0.427124,0.484894,0.912018
0,0.45 ,0.0855302, 0.426814,0.481755,0.908569
0,0.46 ,0.0885693, 0.426493,0.478528,0.905021
0,0.47 ,0.0916887, 0.426159,0.475216,0.901375
0,0.48 ,0.0948859, 0.425813,0.471823,0.897636
0,0.49 ,0.0981578, 0.425453,0.468353,0.893806
0,0.5 ,0.1015, 0.425079,0.464813,0.889892
0,0.51 ,0.104907, 0.424691,0.461208,0.885899
0,0.52 ,0.108373, 0.424287,0.457547,0.881834
0,0.53 ,0.111889, 0.423868,0.453837,0.877705
0,0.54 ,0.115448, 0.423434,0.450089,0.873523
0,0.55 ,0.119038, 0.422984,0.446313,0.869297
0,0.56 ,0.12265, 0.422518,0.442521,0.865039
0,0.57 ,0.12627, 0.422036,0.438725,0.860761
0,0.58 ,0.129886, 0.421539,0.434939,0.856479
0,0.59 ,0.133483, 0.421027,0.431178,0.852205
0,0.6 ,0.137048, 0.420501,0.427456,0.847957
0,0.61 ,0.140564, 0.419961,0.423788,0.843749
0,0.62 ,0.144016, 0.419408,0.420191,0.8396
0,0.63 ,0.147388, 0.418845,0.41668,0.835525
0,0.64 ,0.150665, 0.418272,0.413271,0.831542
0,0.65 ,0.153832, 0.41769,0.409978,0.827668
0,0.66 ,0.156874, 0.417103,0.406815,0.823918
0,0.67 ,0.159778, 0.416512,0.403797,0.820309
0,0.68 ,0.162532, 0.415918,0.400935,0.816853
0,0.69 ,0.165125, 0.415325,0.398239,0.813564
0,0.7 ,0.167548, 0.414734,0.395719,0.810453
0,0.71 ,0.169794, 0.414148,0.393381,0.807529
0,0.72 ,0.171858, 0.41357,0.39123,0.8048
0,0.73 ,0.173736, 0.413,0.389271,0.802271
0,0.74 ,0.175426, 0.412442,0.387504,0.799946
0,0.75 ,0.17693, 0.411897,0.385928,0.797825
0,0.76 ,0.178248, 0.411367,0.384542,0.795909
0,0.77 ,0.179386, 0.410854,0.38334,0.794194
0,0.78 ,0.180348, 0.410358,0.382319,0.792677
0,0.79 ,0.181141, 0.409882,0.38147,0.791352
0,0.8 ,0.181773, 0.409425,0.380786,0.790211
0,0.81 ,0.182251, 0.408989,0.380259,0.789248
0,0.82 ,0.182586, 0.408574,0.379879,0.788452
0,0.83 ,0.182787, 0.40818,0.379636,0.787815
0,0.84 ,0.182864, 0.407806,0.37952,0.787326
0,0.85 ,0.182826, 0.407454,0.379521,0.786976
0,0.86 ,0.182684, 0.407123,0.37963,0.786752
0,0.87 ,0.182448, 0.406812,0.379835,0.786647
0,0.88 ,0.182127, 0.40652,0.380128,0.786648
0,0.89 ,0.18173, 0.406248,0.380499,0.786747
0,0.9 ,0.181265, 0.405994,0.380939,0.786933
0,0.91 ,0.180742, 0.405758,0.381441,0.787198
0,0.92 ,0.180168, 0.405538,0.381995,0.787533
0,0.93 ,0.17955, 0.405335,0.382595,0.78793
0,0.94 ,0.178895, 0.405147,0.383234,0.788381
0,0.95 ,0.178209, 0.404973,0.383906,0.788879
0,0.96 ,0.177497, 0.404813,0.384605,0.789418
0,0.97 ,0.176765, 0.404666,0.385325,0.789991
0,0.98 ,0.176018, 0.404531,0.386062,0.790593
0,0.99 ,0.175259, 0.404407,0.386812,0.791219
0,1 ,0.174493, 0.404293,0.387571,0.791865
0.01,0 ,0.0157637, 0.435411,0.548825,0.984236
0.01,0.01 ,0.0163185, 0.435269,0.548412,0.983682
0.01,0.02 ,0.0168992, 0.435127,0.547974,0.983101
0.01,0.03 ,0.017507, 0.434984,0.547509,0.982493
0.01,0.04 ,0.0181432, 0.43484,0.547017,0.981857
0.01,0.05 ,0.0188091, 0.434695,0.546495,0.981191
0.01,0.06 ,0.0195061, 0.43455,0.545944,0.980494
0.01,0.07 ,0.0202354, 0.434403,0.545361,0.979764
0.01,0.08 ,0.0209986, 0.434256,0.544745,0.979001
0.01,0.09 ,0.0217972, 0.434107,0.544095,0.978202
0.01,0.1 ,0.0226326, 0.433958,0.543408,0.977366
0.01,0.11 ,0.0235064, 0.433807,0.542685,0.976492
0.01,0.12 ,0.0244203, 0.433655,0.541922,0.975577
0.01,0.13 ,0.0253757, 0.433502,0.541118,0.97462
0.01,0.14 ,0.0263742, 0.433347,0.540272,0.973619
0.01,0.15 ,0.0274175, 0.433191,0.539381,0.972572
0.01,0.16 ,0.0285069, 0.433033,0.538444,0.971477
0.01,0.17 ,0.029644, 0.432874,0.537458,0.970332
0.01,0.18 ,0.0308301, 0.432712,0.536423,0.969135
0.01,0.19 ,0.0320665, 0.432549,0.535335,0.967884
0.01,0.2 ,0.0333544, 0.432383,0.534193,0.966577
0.01,0.21 ,0.0346949, 0.432216,0.532995,0.965211
0.01,0.22 ,0.036089, 0.432046,0.531738,0.963784
0.01,0.23 ,0.0375377, 0.431873,0.53042,0.962293
0.01,0.24 ,0.0390419, 0.431698,0.529039,0.960737
0.01,0.25 ,0.0406024, 0.43152,0.527592,0.959112
0.01,0.26 ,0.04222, 0.431338,0.526077,0.957416
0.01,0.27 ,0.0438956, 0.431153,0.524493,0.955646
0.01,0.28 ,0.0456302, 0.430965,0.522836,0.953801
0.01,0.29 ,0.0474248, 0.430773,0.521103,0.951876
0.01,0.3 ,0.0492806, 0.430576,0.519294,0.94987
0.01,0.31 ,0.0511989, 0.430375,0.517405,0.94778
