e1,e2,V,Rs,Rv,P
0,0 ,0.0838771, 0.426988,0.48351,0.910498
0,0.01 ,0.0855302, 0.426814,0.481755,0.908569
0,0.02 ,0.0872086, 0.426637,0.479973,0.90661
0,0.03 ,0.088912, 0.426457,0.478164,0.90462
0,0.04 ,0.0906401, 0.426272,0.476329,0.902601
0,0.05 ,0.0923926, 0.426084,0.474469,0.900552
0,0.06 ,0.0941689, 0.425891,0.472583,0.898474
0,0.07 ,0.0959685, 0.425695,0.470674,0.896369
0,0.08 ,0.0977907, 0.425494,0.468742,0.894236
0,0.09 ,0.0996349, 0.425289,0.466788,0.892076
0,0.1 ,0.1015, 0.425079,0.464813,0.889892
0,0.11 ,0.103385, 0.424865,0.462818,0.887683
0,0.12 ,0.105289, 0.424646,0.460804,0.88545
0,0.13 ,0.107212, 0.424423,0.458773,0.883196
0,0.14 ,0.10915, 0.424195,0.456726,0.880921
0,0.15 ,0.111104, 0.423963,0.454665,0.878628
0,0.16 ,0.113071, 0.423725,0.452591,0.876317
0,0.17 ,0.115051, 0.423483,0.450507,0.87399
0,0.18 ,0.11704, 0.423236,0.448414,0.871649
0,0.19 ,0.119038, 0.422984,0.446313,0.869297
0,0.2 ,0.121043, 0.422727,0.444207,0.866934
0,0.21 ,0.123052, 0.422465,0.442099,0.864564
0,0.22 ,0.125063, 0.422198,0.43999,0.862188
0,0.23 ,0.127074, 0.421927,0.437883,0.85981
0,0.24 ,0.129084, 0.421651,0.435779,0.85743
0,0.25 ,0.131088, 0.42137,0.433682,0.855052
0,0.26 ,0.133085, 0.421085,0.431594,0.852679
0,0.27 ,0.135073, 0.420795,0.429518,0.850313
0,0.28 ,0.137048, 0.420501,0.427456,0.847957
0,0.29 ,0.139008, 0.420202,0.425411,0.845613
0,0.3 ,0.140951, 0.4199,0.423385,0.843285
0,0.31 ,0.142873, 0.419594,0.421382,0.840975
0,0.32 ,0.144772, 0.419284,0.419403,0.838687
0,0.33 ,0.146646, 0.418971,0.417452,0.836423
0,0.34 ,0.148492, 0.418655,0.415532,0.834186
0,0.35 ,0.150306, 0.418336,0.413644,0.83198
0,0.36 ,0.152087, 0.418014,0.411792,0.829806
0,0.37 ,0.153832, 0.41769,0.409978,0.827668
0,0.38 ,0.155538, 0.417365,0.408204,0.825568
0,0.39 ,0.157203, 0.417038,0.406472,0.82351
0,0.4 ,0.158826, 0.416709,0.404786,0.821495
0,0.41 ,0.160403, 0.41638,0.403147,0.819527
0,0.42 ,0.161933, 0.41605,0.401557,0.817607
0,0.43 ,0.163415, 0.41572,0.400017,0.815737
0,0.44 ,0.164845, 0.415391,0.39853,0.813921
0,0.45 ,0.166223, 0.415062,0.397097,0.812159
0,0.46 ,0.167548, 0.414734,0.395719,0.810453
0,0.47 ,0.168818, 0.414408,0.394397,0.808805
0,0.48 ,0.170033, 0.414084,0.393132,0.807216
0,0.49 ,0.171191, 0.413762,0.391926,0.805688
0,0.5 ,0.172291, 0.413442,0.390778,0.804221
0,0.51 ,0.173335, 0.413126,0.38969,0.802816
0,0.52 ,0.17432, 0.412813,0.388661,0.801473
0,0.53 ,0.175248, 0.412503,0.387691,0.800194
0,0.54 ,0.176117, 0.412198,0.38678,0.798978
0,0.55 ,0.17693, 0.411897,0.385928,0.797825
0,0.56 ,0.177685, 0.411601,0.385135,0.796735
0,0.57 ,0.178383, 0.411309,0.384399,0.795708
0,0.58 ,0.179026, 0.411023,0.38372,0.794744
0,0.59 ,0.179615, 0.410742,0.383098,0.79384
0,0.6 ,0.180149, 0.410467,0.38253,0.792997
0,0.61 ,0.180631, 0.410197,0.382017,0.792214
0,0.62 ,0.181061, 0.409934,0.381556,0.79149
0,0.63 ,0.181441, 0.409676,0.381146,0.790822
0,0.64 ,0.181773, 0.409425,0.380786,0.790211
0,0.65 ,0.182057, 0.40918,0.380474,0.789655
0,0.66 ,0.182295, 0.408942,0.380209,0.789151
0,0.67 ,0.18249, 0.40871,0.37999,0.788699
0,0.68 ,0.182642, 0.408484,0.379813,0.788297
0,0.69 ,0.182753, 0.408265,0.379678,0.787943
0,0.7 ,0.182826, 0.408053,0.379583,0.787636
0,0.71 ,0.182861, 0.407847,0.379527,0.787374
0,0.72 ,0.18286, 0.407647,0.379507,0.787154
0,0.73 ,0.182826, 0.407454,0.379521,0.786976
0,0.74 ,0.18276, 0.407268,0.379569,0.786836
0,0.75 ,0.182662, 0.407087,0.379648,0.786735
0,0.76 ,0.182537, 0.406913,0.379756,0.78667
0,0.77 ,0.182384, 0.406745,0.379893,0.786638
0,0.78 ,0.182205, 0.406583,0.380056,0.786639
0,0.79 ,0.182002, 0.406427,0.380243,0.786671
0,0.8 ,0.181777, 0.406277,0.380454,0.786731
0,0.81 ,0.181531, 0.406133,0.380687,0.786819
0,0.82 ,0.181265, 0.405994,0.380939,0.786933
0,0.83 ,0.180982, 0.40586,0.381211,0.787071
0,0.84 ,0.180681, 0.405732,0.3815,0.787232
0,0.85 ,0.180365, 0.40561,0.381805,0.787414
0,0.86 ,0.180034, 0.405492,0.382125,0.787616
0,0.87 ,0.179691, 0.405379,0.382458,0.787837
0,0.88 ,0.179336, 0.405271,0.382804,0.788075
0,0.89 ,0.178969, 0.405167,0.383161,0.788328
0,0.9 ,0.178593, 0.405068,0.383529,0.788597
0,0.91 ,0.178209, 0.404973,0.383906,0.788879
0,0.92 ,0.177816, 0.404883,0.384291,0.789174
0,0.93 ,0.177417, 0.404796,0.384684,0.78948
0,0.94 ,0.177011, 0.404714,0.385083,0.789796
0,0.95 ,0.1766, 0.404635,0.385488,0.790122
0,0.96 ,0.176185, 0.40456,0.385897,0.790457
0,0.97 ,0.175766, 0.404488,0.386311,0.790799
0,0.98 ,0.175344, 0.40442,0.386729,0.791149
0,0.99 ,0.174919, 0.404355,0.387149,0.791504
0,1 ,0.174493, 0.404293,0.387571,0.791865
0.01,0 ,0.0839684, 0.427039,0.483355,0.910394
0.01,0.01 ,0.0856368, 0.426866,0.481583,0.908449
0.01,0.02 ,0.0873315, 0.426689,0.479783,0.906472
0.01,0.03 ,0.0890523, 0.426508,0.477956,0.904464
0.01,0.04 ,0.0907989, 0.426324,0.476101,0.902425
