e1,e2,V,Rs,Rv,P
0,0 ,0.018186, 0.365434,0.61638,0.981814
0,0.01 ,0.0187937, 0.365093,0.616113,0.981206
0,0.02 ,0.0194195, 0.364751,0.615829,0.980581
0,0.03 ,0.0200632, 0.364409,0.615528,0.979937
0,0.04 ,0.0207248, 0.364066,0.615209,0.979275
0,0.05 ,0.0214042, 0.363723,0.614873,0.978596
0,0.06 ,0.0221012, 0.363379,0.614519,0.977899
0,0.07 ,0.0228157, 0.363035,0.614149,0.977184
0,0.08 ,0.0235472, 0.362691,0.613761,0.976453
0,0.09 ,0.0242954, 0.362347,0.613357,0.975705
0,0.1 ,0.0250599, 0.362003,0.612937,0.97494
0,0.11 ,0.02584, 0.361658,0.612502,0.97416
0,0.12 ,0.0266351, 0.361314,0.612051,0.973365
0,0.13 ,0.0274446, 0.36097,0.611586,0.972555
0,0.14 ,0.0282674, 0.360626,0.611107,0.971733
0,0.15 ,0.0291028, 0.360282,0.610615,0.970897
0,0.16 ,0.0299498, 0.359939,0.610111,0.97005
0,0.17 ,0.0308071, 0.359596,0.609597,0.969193
0,0.18 ,0.0316736, 0.359254,0.609072,0.968326
0,0.19 ,0.032548, 0.358913,0.608539,0.967452
0,0.2 ,0.0334288, 0.358572,0.607999,0.966571
0,0.21 ,0.0343147, 0.358233,0.607453,0.965685
0,0.22 ,0.035204, 0.357894,0.606902,0.964796
0,0.23 ,0.0360951, 0.357556,0.606348,0.963905
0,0.24 ,0.0369863, 0.35722,0.605793,0.963014
0,0.25 ,0.0378759, 0.356885,0.605239,0.962124
0,0.26 ,0.038762, 0.356552,0.604686,0.961238
0,0.27 ,0.0396428, 0.356221,0.604137,0.960357
0,0.28 ,0.0405163, 0.355891,0.603593,0.959484
0,0.29 ,0.0413809, 0.355563,0.603056,0.958619
0,0.3 ,0.0422344, 0.355237,0.602528,0.957766
0,0.31 ,0.0430752, 0.354914,0.602011,0.956925
0,0.32 ,0.0439014, 0.354593,0.601506,0.956099
0,0.33 ,0.0447111, 0.354274,0.601015,0.955289
0,0.34 ,0.0455027, 0.353958,0.600539,0.954497
0,0.35 ,0.0462744, 0.353645,0.60008,0.953726
0,0.36 ,0.0470249, 0.353335,0.59964,0.952975
0,0.37 ,0.0477525, 0.353028,0.59922,0.952248
0,0.38 ,0.0484559, 0.352724,0.59882,0.951544
0,0.39 ,0.049134, 0.352423,0.598442,0.950866
0,0.4 ,0.0497856, 0.352126,0.598088,0.950214
0,0.41 ,0.0504097, 0.351833,0.597757,0.94959
0,0.42 ,0.0510055, 0.351543,0.597451,0.948994
0,0.43 ,0.0515724, 0.351257,0.59717,0.948428
0,0.44 ,0.0521098, 0.350976,0.596915,0.94789
0,0.45 ,0.0526174, 0.350698,0.596685,0.947383
0,0.46 ,0.0530948, 0.350424,0.596481,0.946905
0,0.47 ,0.0535422, 0.350155,0.596303,0.946458
0,0.48 ,0.0539593, 0.349889,0.596151,0.94604
0,0.49 ,0.0543466, 0.349629,0.596024,0.945653
0,0.5 ,0.0547042, 0.349373,0.595923,0.945296
0,0.51 ,0.0550326, 0.349121,0.595846,0.944967
0,0.52 ,0.0553323, 0.348874,0.595793,0.944667
0,0.53 ,0.055604, 0.348632,0.595764,0.944396
0,0.54 ,0.0558483, 0.348394,0.595757,0.944151
0,0.55 ,0.0560661, 0.348161,0.595773,0.943933
0,0.56 ,0.0562581, 0.347932,0.595809,0.943741
0,0.57 ,0.0564254, 0.347709,0.595865,0.943574
0,0.58 ,0.0565689, 0.34749,0.59594,0.94343
0,0.59 ,0.0566895, 0.347276,0.596034,0.94331
0,0.6 ,0.0567884, 0.347066,0.596144,0.943211
0,0.61 ,0.0568666, 0.346862,0.596271,0.943132
0,0.62 ,0.056925, 0.346662,0.596412,0.943074
0,0.63 ,0.0569648, 0.346466,0.596568,0.943034
0,0.64 ,0.0569871, 0.346276,0.596736,0.943012
0,0.65 ,0.0569929, 0.346089,0.596917,0.943006
0,0.66 ,0.0569832, 0.345908,0.597108,0.943015
0,0.67 ,0.0569591, 0.34573,0.597309,0.94304
0,0.68 ,0.0569215, 0.345558,0.59752,0.943077
0,0.69 ,0.0568714, 0.345389,0.597738,0.943127
0,0.7 ,0.0568098, 0.345225,0.597964,0.943189
0,0.71 ,0.0567375, 0.345065,0.598196,0.943261
0,0.72 ,0.0566555, 0.344909,0.598434,0.943343
0,0.73 ,0.0565646, 0.344757,0.598676,0.943434
0,0.74 ,0.0564655, 0.34461,0.598923,0.943533
0,0.75 ,0.0563591, 0.344466,0.599173,0.943639
0,0.76 ,0.056246, 0.344326,0.599426,0.943752
0,0.77 ,0.056127, 0.34419,0.599681,0.943871
0,0.78 ,0.0560027, 0.344057,0.599938,0.943995
0,0.79 ,0.0558738, 0.343928,0.600196,0.944124
0,0.8 ,0.0557407, 0.343803,0.600455,0.944257
0,0.81 ,0.0556041, 0.343681,0.600713,0.944394
0,0.82 ,0.0554645, 0.343562,0.600971,0.944534
0,0.83 ,0.0553223, 0.343447,0.601229,0.944676
0,0.84 ,0.055178, 0.343335,0.601485,0.94482
0,0.85 ,0.055032, 0.343226,0.60174,0.944966
0,0.86 ,0.0548847, 0.34312,0.601993,0.945113
0,0.87 ,0.0547365, 0.343017,0.602244,0.945262
0,0.88 ,0.0545877, 0.342917,0.602493,0.94541
0,0.89 ,0.0544386, 0.34282,0.60274,0.94556
0,0.9 ,0.0542894, 0.342725,0.602984,0.945709
0,0.91 ,0.0541405, 0.342633,0.603224,0.945858
0,0.92 ,0.0539921, 0.342544,0.603462,0.946006
0,0.93 ,0.0538444, 0.342457,0.603697,0.946154
0,0.94 ,0.0536975, 0.342373,0.603928,0.946301
0,0.95 ,0.0535518, 0.342291,0.604156,0.946446
0,0.96 ,0.0534072, 0.342211,0.60438,0.946591
0,0.97 ,0.0532641, 0.342133,0.604601,0.946734
0,0.98 ,0.0531225, 0.342058,0.604818,0.946876
0,0.99 ,0.0529825, 0.341985,0.605031,0.947016
0,1 ,0.0528443, 0.341913,0.605241,0.947154
0.01,0 ,0.0181958, 0.365319,0.616485,0.981804
0.01,0.01 ,0.018811, 0.364975,0.616214,0.981189
0.01,0.02 ,0.0194449, 0.364631,0.615924,0.980555
0.01,0.03 ,0.0200976, 0.364286,0.615616,0.979902
0.01,0.04 ,0.020769, 0.363941,0.61529,0.979231
0.01,0.05 ,0.0214591, 0.363595,0.614946,0.978541
0.01,0.06 ,0.0221678, 0.363248,0.614584,0.977832
0.01,0.07 ,0.0228948, 0.362902,0.614204,0.977105
0.01,0.08 ,0.02364, 0.362554,0.613806,0.97636
0.01,0.09 ,0.0244029, 0.362207,0.61339,0.975597
0.01,0.1 ,0.0251832, 0.36186,0.612957,0.974817
0.01,0.11 ,0.0259804, 0.361512,0.612508,0.97402
0.01,0.12 ,0.0267938, 0.361164,0.612042,0.973206
0.01,0.13 ,0.0276227, 0.360817,0.61156,0.972377
0.01,0.14 ,0.0284664, 0.360469,0.611064,0.971534
0.01,0.15 ,0.0293239, 0.360122,0.610554,0.970676
0.01,0.16 ,0.0301943, 0.359775,0.61003,0.969806
0.01,0.17 ,0.0310765, 0.359429,0.609495,0.968923
0.01,0.18 ,0.0319693, 0.359083,0.608948,0.968031
0.01,0.19 ,0.0328713, 0.358737,0.608391,0.967129
