e1,e2,V,Rs,Rv,P
0,0 ,0.0122348, 0.36116,0.626605,0.987765
0,0.01 ,0.0127316, 0.360746,0.626522,0.987268
0,0.02 ,0.0132535, 0.36033,0.626417,0.986746
0,0.03 ,0.0138019, 0.35991,0.626288,0.986198
0,0.04 ,0.0143781, 0.359489,0.626133,0.985622
0,0.05 ,0.0149835, 0.359064,0.625952,0.985017
0,0.06 ,0.0156196, 0.358637,0.625743,0.98438
0,0.07 ,0.016288, 0.358207,0.625505,0.983712
0,0.08 ,0.0169903, 0.357775,0.625235,0.98301
0,0.09 ,0.0177283, 0.35734,0.624932,0.982272
0,0.1 ,0.0185038, 0.356901,0.624595,0.981496
0,0.11 ,0.0193187, 0.35646,0.624221,0.980681
0,0.12 ,0.0201751, 0.356017,0.623808,0.979825
0,0.13 ,0.0210751, 0.35557,0.623355,0.978925
0,0.14 ,0.0220209, 0.35512,0.622859,0.977979
0,0.15 ,0.0230149, 0.354668,0.622318,0.976985
0,0.16 ,0.0240596, 0.354212,0.621728,0.97594
0,0.17 ,0.0251576, 0.353753,0.621089,0.974842
0,0.18 ,0.0263115, 0.353291,0.620397,0.973688
0,0.19 ,0.0275245, 0.352827,0.619649,0.972476
0,0.2 ,0.0287994, 0.352359,0.618842,0.971201
0,0.21 ,0.0301394, 0.351887,0.617973,0.969861
0,0.22 ,0.0315481, 0.351413,0.617039,0.968452
0,0.23 ,0.0330289, 0.350935,0.616036,0.966971
0,0.24 ,0.0345857, 0.350454,0.61496,0.965414
0,0.25 ,0.0362222, 0.349969,0.613808,0.963778
0,0.26 ,0.0379429, 0.349481,0.612576,0.962057
0,0.27 ,0.0397519, 0.34899,0.611258,0.960248
0,0.28 ,0.0416541, 0.348495,0.609851,0.958346
0,0.29 ,0.0436542, 0.347996,0.60835,0.956346
0,0.3 ,0.0457574, 0.347494,0.606749,0.954243
0,0.31 ,0.0479692, 0.346987,0.605043,0.952031
0,0.32 ,0.0502953, 0.346477,0.603228,0.949705
0,0.33 ,0.0527417, 0.345963,0.601295,0.947258
0,0.34 ,0.0553147, 0.345445,0.59924,0.944685
0,0.35 ,0.0580211, 0.344922,0.597056,0.941978
0,0.36 ,0.0608677, 0.344396,0.594736,0.939131
0,0.37 ,0.0638618, 0.343864,0.592272,0.936136
0,0.38 ,0.0670109, 0.343328,0.589657,0.932985
0,0.39 ,0.0703227, 0.342787,0.586882,0.929669
0,0.4 ,0.0738052, 0.342242,0.58394,0.926181
0,0.41 ,0.0774662, 0.34169,0.58082,0.922511
0,0.42 ,0.081314, 0.341134,0.577515,0.918648
0,0.43 ,0.0853566, 0.340571,0.574013,0.914584
0,0.44 ,0.0896019, 0.340002,0.570304,0.910307
0,0.45 ,0.0940582, 0.339427,0.566378,0.905805
0,0.46 ,0.0987335, 0.338845,0.562223,0.901068
0,0.47 ,0.103636, 0.338254,0.557828,0.896082
0,0.48 ,0.108774, 0.337656,0.553179,0.890835
0,0.49 ,0.114158, 0.337049,0.548264,0.885312
