e1,e2,V,Rs,Rv,P
0,0 ,0.110478, 0.196131,0.693391,0.889522
0,0.01 ,0.113879, 0.195242,0.690879,0.886121
0,0.02 ,0.117391, 0.194346,0.688263,0.882609
0,0.03 ,0.121019, 0.193444,0.685538,0.878981
0,0.04 ,0.124766, 0.192534,0.6827,0.875234
0,0.05 ,0.128637, 0.191618,0.679744,0.871363
0,0.06 ,0.132637, 0.190696,0.676667,0.867363
0,0.07 ,0.13677, 0.189766,0.673464,0.86323
0,0.08 ,0.141041, 0.188829,0.67013,0.858959
0,0.09 ,0.145456, 0.187885,0.666659,0.854544
0,0.1 ,0.150018, 0.186934,0.663048,0.849982
0,0.11 ,0.154735, 0.185976,0.65929,0.845265
0,0.12 ,0.15961, 0.18501,0.655379,0.84039
0,0.13 ,0.164651, 0.184038,0.651311,0.835349
0,0.14 ,0.169863, 0.183057,0.647079,0.830137
0,0.15 ,0.175253, 0.18207,0.642678,0.824747
0,0.16 ,0.180826, 0.181075,0.638099,0.819174
0,0.17 ,0.186591, 0.180072,0.633338,0.813409
0,0.18 ,0.192553, 0.179061,0.628386,0.807447
0,0.19 ,0.19872, 0.178043,0.623237,0.80128
0,0.2 ,0.205099, 0.177018,0.617884,0.794901
0,0.21 ,0.211698, 0.175984,0.612318,0.788302
0,0.22 ,0.218524, 0.174943,0.606533,0.781476
0,0.23 ,0.225587, 0.173894,0.60052,0.774413
0,0.24 ,0.232893, 0.172837,0.59427,0.767107
0,0.25 ,0.240451, 0.171772,0.587777,0.759549
0,0.26 ,0.248271, 0.170699,0.58103,0.751729
0,0.27 ,0.25636, 0.169618,0.574022,0.74364
0,0.28 ,0.264727, 0.16853,0.566743,0.735273
0,0.29 ,0.273381, 0.167433,0.559185,0.726619
0,0.3 ,0.282331, 0.166329,0.55134,0.717669
0,0.31 ,0.291586, 0.165217,0.543197,0.708414
0,0.32 ,0.301153, 0.164097,0.53475,0.698847
0,0.33 ,0.311041, 0.162969,0.52599,0.688959
0,0.34 ,0.321258, 0.161834,0.516908,0.678742
0,0.35 ,0.33181, 0.160691,0.507499,0.66819
0,0.36 ,0.342705, 0.15954,0.497755,0.657295
0,0.37 ,0.353948, 0.158382,0.48767,0.646052
0,0.38 ,0.365542, 0.157217,0.477241,0.634458
0,0.39 ,0.377492, 0.156045,0.466464,0.622508
0,0.4 ,0.389797, 0.154866,0.455338,0.610203
0,0.41 ,0.402456, 0.15368,0.443864,0.597544
0,0.42 ,0.415467, 0.152488,0.432045,0.584533
0,0.43 ,0.428822, 0.151289,0.419888,0.571178
0,0.44 ,0.442512, 0.150085,0.407403,0.557488
0,0.45 ,0.456521, 0.148875,0.394604,0.543479
0,0.46 ,0.470832, 0.14766,0.381508,0.529168
0,0.47 ,0.485421, 0.14644,0.368139,0.514579
0,0.48 ,0.500259, 0.145216,0.354525,0.499741
0,0.49 ,0.51531, 0.143988,0.340702,0.48469
0,0.5 ,0.530534, 0.142757,0.326709,0.469466
