e1,e2,V,Rs,Rv,P
0,0 ,0.051797, 0.226764,0.721439,0.948203
0,0.01 ,0.0517778, 0.226742,0.72148,0.948222
0,0.02 ,0.0517586, 0.22672,0.721521,0.948241
0,0.03 ,0.0517394, 0.226698,0.721562,0.948261
0,0.04 ,0.0517203, 0.226677,0.721603,0.94828
0,0.05 ,0.0517012, 0.226655,0.721644,0.948299
0,0.06 ,0.0516821, 0.226634,0.721684,0.948318
0,0.07 ,0.0516631, 0.226612,0.721725,0.948337
0,0.08 ,0.0516441, 0.226591,0.721765,0.948356
0,0.09 ,0.0516251, 0.226569,0.721806,0.948375
0,0.1 ,0.0516062, 0.226548,0.721846,0.948394
0,0.11 ,0.0515873, 0.226527,0.721886,0.948413
0,0.12 ,0.0515685, 0.226505,0.721926,0.948432
0,0.13 ,0.0515496, 0.226484,0.721966,0.94845
0,0.14 ,0.0515308, 0.226463,0.722006,0.948469
0,0.15 ,0.0515121, 0.226442,0.722046,0.948488
0,0.16 ,0.0514933, 0.226421,0.722086,0.948507
0,0.17 ,0.0514747, 0.2264,0.722125,0.948525
0,0.18 ,0.051456, 0.226379,0.722165,0.948544
0,0.19 ,0.0514374, 0.226358,0.722204,0.948563
0,0.2 ,0.0514188, 0.226338,0.722244,0.948581
0,0.21 ,0.0514002, 0.226317,0.722283,0.9486
0,0.22 ,0.0513817, 0.226296,0.722322,0.948618
0,0.23 ,0.0513633, 0.226275,0.722361,0.948637
0,0.24 ,0.0513448, 0.226255,0.7224,0.948655
0,0.25 ,0.0513264, 0.226234,0.722439,0.948674
0,0.26 ,0.051308, 0.226214,0.722478,0.948692
0,0.27 ,0.0512897, 0.226193,0.722517,0.94871
0,0.28 ,0.0512714, 0.226173,0.722556,0.948729
0,0.29 ,0.0512531, 0.226153,0.722594,0.948747
0,0.3 ,0.0512349, 0.226132,0.722633,0.948765
0,0.31 ,0.0512167, 0.226112,0.722671,0.948783
0,0.32 ,0.0511986, 0.226092,0.72271,0.948801
0,0.33 ,0.0511805, 0.226072,0.722748,0.94882
0,0.34 ,0.0511624, 0.226052,0.722786,0.948838
0,0.35 ,0.0511443, 0.226032,0.722824,0.948856
0,0.36 ,0.0511263, 0.226012,0.722862,0.948874
0,0.37 ,0.0511084, 0.225992,0.7229,0.948892
0,0.38 ,0.0510905, 0.225972,0.722938,0.94891
0,0.39 ,0.0510726, 0.225952,0.722975,0.948927
0,0.4 ,0.0510547, 0.225932,0.723013,0.948945
0,0.41 ,0.0510369, 0.225912,0.723051,0.948963
0,0.42 ,0.0510191, 0.225893,0.723088,0.948981
0,0.43 ,0.0510014, 0.225873,0.723126,0.948999
0,0.44 ,0.0509837, 0.225854,0.723163,0.949016
0,0.45 ,0.050966, 0.225834,0.7232,0.949034
0,0.46 ,0.0509484, 0.225814,0.723237,0.949052
0,0.47 ,0.0509308, 0.225795,0.723274,0.949069
0,0.48 ,0.0509133, 0.225776,0.723311,0.949087
0,0.49 ,0.0508958, 0.225756,0.723348,0.949104
0,0.5 ,0.0508783, 0.225737,0.723385,0.949122
0,0.51 ,0.0508609, 0.225718,0.723421,0.949139
0,0.52 ,0.0508435, 0.225698,0.723458,0.949157
0,0.53 ,0.0508261, 0.225679,0.723495,0.949174
0,0.54 ,0.0508088, 0.22566,0.723531,0.949191
0,0.55 ,0.0507915, 0.225641,0.723567,0.949208
0,0.56 ,0.0507743, 0.225622,0.723604,0.949226
0,0.57 ,0.0507571, 0.225603,0.72364,0.949243
0,0.58 ,0.0507399, 0.225584,0.723676,0.94926
0,0.59 ,0.0507228, 0.225565,0.723712,0.949277
0,0.6 ,0.0507057, 0.225546,0.723748,0.949294
0,0.61 ,0.0506887, 0.225528,0.723784,0.949311
0,0.62 ,0.0506717, 0.225509,0.723819,0.949328
0,0.63 ,0.0506547, 0.22549,0.723855,0.949345
0,0.64 ,0.0506378, 0.225472,0.723891,0.949362
0,0.65 ,0.0506209, 0.225453,0.723926,0.949379
0,0.66 ,0.050604, 0.225434,0.723961,0.949396
0,0.67 ,0.0505872, 0.225416,0.723997,0.949413
0,0.68 ,0.0505705, 0.225397,0.724032,0.94943
0,0.69 ,0.0505537, 0.225379,0.724067,0.949446
0,0.7 ,0.0505371, 0.225361,0.724102,0.949463
0,0.71 ,0.0505204, 0.225342,0.724137,0.94948
0,0.72 ,0.0505038, 0.225324,0.724172,0.949496
0,0.73 ,0.0504872, 0.225306,0.724207,0.949513
0,0.74 ,0.0504707, 0.225288,0.724242,0.949529
0,0.75 ,0.0504542, 0.22527,0.724276,0.949546
0,0.76 ,0.0504378, 0.225251,0.724311,0.949562
0,0.77 ,0.0504213, 0.225233,0.724345,0.949579
0,0.78 ,0.050405, 0.225215,0.72438,0.949595
0,0.79 ,0.0503886, 0.225197,0.724414,0.949611
0,0.8 ,0.0503723, 0.225179,0.724448,0.949628
0,0.81 ,0.0503561, 0.225162,0.724482,0.949644
0,0.82 ,0.0503399, 0.225144,0.724516,0.94966
0,0.83 ,0.0503237, 0.225126,0.72455,0.949676
0,0.84 ,0.0503076, 0.225108,0.724584,0.949692
0,0.85 ,0.0502915, 0.22509,0.724618,0.949709
0,0.86 ,0.0502754, 0.225073,0.724652,0.949725
0,0.87 ,0.0502594, 0.225055,0.724685,0.949741
0,0.88 ,0.0502435, 0.225038,0.724719,0.949757
0,0.89 ,0.0502275, 0.22502,0.724752,0.949772
0,0.9 ,0.0502116, 0.225003,0.724786,0.949788
0,0.91 ,0.0501958, 0.224985,0.724819,0.949804
0,0.92 ,0.05018, 0.224968,0.724852,0.94982
0,0.93 ,0.0501642, 0.22495,0.724885,0.949836
0,0.94 ,0.0501485, 0.224933,0.724918,0.949852
0,0.95 ,0.0501328, 0.224916,0.724951,0.949867
0,0.96 ,0.0501171, 0.224899,0.724984,0.949883
0,0.97 ,0.0501015, 0.224881,0.725017,0.949898
0,0.98 ,0.0500859, 0.224864,0.72505,0.949914
0,0.99 ,0.0500704, 0.224847,0.725083,0.94993
0,1 ,0.0500549, 0.22483,0.725115,0.949945
0.01,0 ,0.0536894, 0.22571,0.720601,0.946311
0.01,0.01 ,0.0536695, 0.225687,0.720643,0.946331
0.01,0.02 ,0.0536495, 0.225665,0.720685,0.94635
0.01,0.03 ,0.0536296, 0.225643,0.720727,0.94637
0.01,0.04 ,0.0536097, 0.225621,0.720769,0.94639
