e1,e2,V,Rs,Rv,P
0,0 ,0.0111078, 0.250987,0.737905,0.988892
0,0.01 ,0.0116643, 0.250021,0.738315,0.988336
0,0.02 ,0.0122511, 0.249045,0.738704,0.987749
0,0.03 ,0.0128699, 0.24806,0.73907,0.98713
0,0.04 ,0.0135222, 0.247065,0.739413,0.986478
0,0.05 ,0.0142101, 0.24606,0.739729,0.98579
0,0.06 ,0.0149354, 0.245046,0.740019,0.985065
0,0.07 ,0.0157, 0.24402,0.74028,0.9843
0,0.08 ,0.0165063, 0.242985,0.740509,0.983494
0,0.09 ,0.0173563, 0.241939,0.740705,0.982644
0,0.1 ,0.0182525, 0.240882,0.740866,0.981747
0,0.11 ,0.0191975, 0.239814,0.740989,0.980803
0,0.12 ,0.0201938, 0.238735,0.741072,0.979806
0,0.13 ,0.0212443, 0.237644,0.741112,0.978756
0,0.14 ,0.0223519, 0.236542,0.741106,0.977648
0,0.15 ,0.0235198, 0.235428,0.741052,0.97648
0,0.16 ,0.0247514, 0.234302,0.740946,0.975249
0,0.17 ,0.02605, 0.233164,0.740786,0.97395
0,0.18 ,0.0274196, 0.232014,0.740567,0.97258
0,0.19 ,0.028864, 0.230851,0.740285,0.971136
0,0.2 ,0.0303874, 0.229674,0.739938,0.969613
0,0.21 ,0.0319942, 0.228485,0.739521,0.968006
0,0.22 ,0.0336892, 0.227282,0.739028,0.966311
0,0.23 ,0.0354773, 0.226066,0.738457,0.964523
0,0.24 ,0.0373639, 0.224836,0.737801,0.962636
0,0.25 ,0.0393545, 0.223591,0.737054,0.960646
0,0.26 ,0.0414551, 0.222332,0.736213,0.958545
0,0.27 ,0.0436722, 0.221058,0.73527,0.956328
0,0.28 ,0.0460124, 0.219769,0.734218,0.953988
0,0.29 ,0.048483, 0.218465,0.733052,0.951517
0,0.3 ,0.0510915, 0.217145,0.731763,0.948908
0,0.31 ,0.0538462, 0.215809,0.730344,0.946154
0,0.32 ,0.0567557, 0.214457,0.728787,0.943244
0,0.33 ,0.0598293, 0.213089,0.727082,0.940171
0,0.34 ,0.0630769, 0.211703,0.72522,0.936923
