e1,e2,V,Rs,Rv,P
0,0 ,0.0540037, 0.261645,0.684351,0.945996
0,0.01 ,0.054236, 0.261397,0.684367,0.945764
0,0.02 ,0.0544569, 0.261152,0.684391,0.945543
0,0.03 ,0.0546667, 0.260908,0.684425,0.945333
0,0.04 ,0.0548653, 0.260667,0.684468,0.945135
0,0.05 ,0.055053, 0.260428,0.684519,0.944947
0,0.06 ,0.0552297, 0.260191,0.68458,0.94477
0,0.07 ,0.0553957, 0.259956,0.684649,0.944604
0,0.08 ,0.0555512, 0.259723,0.684726,0.944449
0,0.09 ,0.0556962, 0.259492,0.684811,0.944304
0,0.1 ,0.055831, 0.259264,0.684905,0.944169
0,0.11 ,0.0559557, 0.259038,0.685006,0.944044
0,0.12 ,0.0560706, 0.258814,0.685115,0.943929
0,0.13 ,0.0561759, 0.258592,0.685232,0.943824
0,0.14 ,0.0562718, 0.258373,0.685355,0.943728
0,0.15 ,0.0563584, 0.258156,0.685486,0.943642
0,0.16 ,0.0564361, 0.25794,0.685623,0.943564
0,0.17 ,0.0565051, 0.257728,0.685767,0.943495
0,0.18 ,0.0565656, 0.257517,0.685918,0.943434
0,0.19 ,0.0566178, 0.257308,0.686074,0.943382
0,0.2 ,0.056662, 0.257102,0.686236,0.943338
0,0.21 ,0.0566985, 0.256898,0.686404,0.943302
0,0.22 ,0.0567274, 0.256696,0.686577,0.943273
0,0.23 ,0.0567491, 0.256496,0.686755,0.943251
0,0.24 ,0.0567637, 0.256299,0.686937,0.943236
0,0.25 ,0.0567716, 0.256103,0.687125,0.943228
0,0.26 ,0.056773, 0.25591,0.687317,0.943227
0,0.27 ,0.0567681, 0.255719,0.687513,0.943232
0,0.28 ,0.0567572, 0.25553,0.687713,0.943243
0,0.29 ,0.0567404, 0.255344,0.687916,0.94326
0,0.3 ,0.0567182, 0.255159,0.688123,0.943282
0,0.31 ,0.0566906, 0.254976,0.688333,0.943309
0,0.32 ,0.0566579, 0.254796,0.688546,0.943342
0,0.33 ,0.0566204, 0.254618,0.688762,0.94338
0,0.34 ,0.0565782, 0.254442,0.68898,0.943422
0,0.35 ,0.0565317, 0.254267,0.689201,0.943468
0,0.36 ,0.056481, 0.254095,0.689424,0.943519
0,0.37 ,0.0564263, 0.253925,0.689648,0.943574
0,0.38 ,0.0563678, 0.253757,0.689875,0.943632
0,0.39 ,0.0563057, 0.253591,0.690103,0.943694
0,0.4 ,0.0562403, 0.253427,0.690332,0.94376
0,0.41 ,0.0561717, 0.253265,0.690563,0.943828
0,0.42 ,0.0561001, 0.253105,0.690795,0.9439
0,0.43 ,0.0560257, 0.252947,0.691027,0.943974
0,0.44 ,0.0559486, 0.252791,0.69126,0.944051
0,0.45 ,0.0558691, 0.252637,0.691494,0.944131
0,0.46 ,0.0557873, 0.252484,0.691728,0.944213
0,0.47 ,0.0557033, 0.252334,0.691963,0.944297
0,0.48 ,0.0556174, 0.252185,0.692197,0.944383
0,0.49 ,0.0555296, 0.252039,0.692432,0.94447
0,0.5 ,0.0554401, 0.251894,0.692666,0.94456
0,0.51 ,0.0553491, 0.251751,0.6929,0.944651
0,0.52 ,0.0552566, 0.251609,0.693134,0.944743
0,0.53 ,0.0551628, 0.25147,0.693367,0.944837
0,0.54 ,0.0550679, 0.251332,0.6936,0.944932
0,0.55 ,0.0549719, 0.251196,0.693832,0.945028
0,0.56 ,0.054875, 0.251062,0.694063,0.945125
0,0.57 ,0.0547773, 0.250929,0.694294,0.945223
0,0.58 ,0.0546788, 0.250798,0.694523,0.945321
0,0.59 ,0.0545797, 0.250669,0.694751,0.94542
0,0.6 ,0.0544801, 0.250541,0.694979,0.94552
0,0.61 ,0.05438, 0.250415,0.695205,0.94562
0,0.62 ,0.0542796, 0.250291,0.695429,0.94572
0,0.63 ,0.0541789, 0.250168,0.695653,0.945821
0,0.64 ,0.054078, 0.250047,0.695875,0.945922
0,0.65 ,0.0539771, 0.249928,0.696095,0.946023
0,0.66 ,0.0538761, 0.24981,0.696314,0.946124
0,0.67 ,0.0537751, 0.249693,0.696532,0.946225
0,0.68 ,0.0536742, 0.249578,0.696748,0.946326
0,0.69 ,0.0535735, 0.249464,0.696962,0.946427
0,0.7 ,0.053473, 0.249352,0.697175,0.946527
