e1,e2,V,Rs,Rv,P
0,0 ,0.0186395, 0.43423,0.54713,0.98136
0,0.01 ,0.0191715, 0.434066,0.546763,0.980829
0,0.02 ,0.0197184, 0.433901,0.546381,0.980282
0,0.03 ,0.0202802, 0.433734,0.545985,0.97972
0,0.04 ,0.0208569, 0.433567,0.545576,0.979143
0,0.05 ,0.0214486, 0.433399,0.545152,0.978551
0,0.06 ,0.0220549, 0.43323,0.544715,0.977945
0,0.07 ,0.0226759, 0.433059,0.544265,0.977324
0,0.08 ,0.0233113, 0.432888,0.5438,0.976688
0,0.09 ,0.0239608, 0.432715,0.543323,0.976038
0,0.1 ,0.0246241, 0.432542,0.542833,0.975375
0,0.11 ,0.0253007, 0.432367,0.542331,0.974698
0,0.12 ,0.0259902, 0.432192,0.541816,0.974007
0,0.13 ,0.0266921, 0.432015,0.54129,0.973305
0,0.14 ,0.0274058, 0.431837,0.540753,0.97259
0,0.15 ,0.0281304, 0.431658,0.540205,0.971864
0,0.16 ,0.0288653, 0.431478,0.539648,0.971127
0,0.17 ,0.0296095, 0.431298,0.539082,0.97038
0,0.18 ,0.0303621, 0.431116,0.538508,0.969623
0,0.19 ,0.0311221, 0.430933,0.537926,0.968859
0,0.2 ,0.0318883, 0.430749,0.537338,0.968088
0,0.21 ,0.0326596, 0.430565,0.536745,0.96731
0,0.22 ,0.0334347, 0.430379,0.536148,0.966527
0,0.23 ,0.0342123, 0.430193,0.535547,0.96574
0,0.24 ,0.0349909, 0.430006,0.534944,0.96495
0,0.25 ,0.0357693, 0.429818,0.534341,0.964159
0,0.26 ,0.0365459, 0.42963,0.533737,0.963367
0,0.27 ,0.0373192, 0.429441,0.533136,0.962577
0,0.28 ,0.0380877, 0.429251,0.532537,0.961789
0,0.29 ,0.0388498, 0.429061,0.531943,0.961004
0,0.3 ,0.0396041, 0.428871,0.531355,0.960226
0,0.31 ,0.0403491, 0.428681,0.530773,0.959453
0,0.32 ,0.0410833, 0.42849,0.530199,0.958689
0,0.33 ,0.0418051, 0.428299,0.529636,0.957935
0,0.34 ,0.0425133, 0.428109,0.529083,0.957191
0,0.35 ,0.0432065, 0.427918,0.528542,0.95646
0,0.36 ,0.0438834, 0.427728,0.528014,0.955742
0,0.37 ,0.0445428, 0.427538,0.527501,0.955039
0,0.38 ,0.0451835, 0.427349,0.527003,0.954352
0,0.39 ,0.0458046, 0.427161,0.526522,0.953683
0,0.4 ,0.0464051, 0.426973,0.526058,0.953032
0,0.41 ,0.0469841, 0.426786,0.525613,0.9524
0,0.42 ,0.0475409, 0.426601,0.525187,0.951788
0,0.43 ,0.0480749, 0.426416,0.524781,0.951197
0,0.44 ,0.0485855, 0.426233,0.524395,0.950628
0,0.45 ,0.0490722, 0.426051,0.524031,0.950082
0,0.46 ,0.0495349, 0.425871,0.523687,0.949558
0,0.47 ,0.0499732, 0.425693,0.523365,0.949058
0,0.48 ,0.0503871, 0.425516,0.523066,0.948582
0,0.49 ,0.0507765, 0.425342,0.522788,0.94813
0,0.5 ,0.0511415, 0.425169,0.522532,0.947701
0,0.51 ,0.0514822, 0.424999,0.522298,0.947297
0,0.52 ,0.051799, 0.424831,0.522086,0.946917
0,0.53 ,0.0520922, 0.424665,0.521896,0.946561
0,0.54 ,0.0523621, 0.424502,0.521726,0.946229
0,0.55 ,0.0526093, 0.424342,0.521578,0.94592
0,0.56 ,0.0528342, 0.424184,0.52145,0.945634
0,0.57 ,0.0530376, 0.424029,0.521341,0.94537
0,0.58 ,0.05322, 0.423877,0.521253,0.945129
0,0.59 ,0.0533821, 0.423727,0.521182,0.944909
0,0.6 ,0.0535246, 0.42358,0.52113,0.944711
0,0.61 ,0.0536483, 0.423437,0.521095,0.944532
0,0.62 ,0.0537539, 0.423296,0.521077,0.944373
0,0.63 ,0.0538423, 0.423159,0.521075,0.944233
0,0.64 ,0.0539141, 0.423024,0.521087,0.944111
0,0.65 ,0.0539703, 0.422893,0.521114,0.944007
0,0.66 ,0.0540116, 0.422764,0.521155,0.943919
0,0.67 ,0.0540389, 0.422639,0.521209,0.943847
0,0.68 ,0.0540528, 0.422516,0.521274,0.943791
0,0.69 ,0.0540543, 0.422397,0.521351,0.943748
0,0.7 ,0.054044, 0.422281,0.521438,0.943719
0,0.71 ,0.0540227, 0.422168,0.521536,0.943703
0,0.72 ,0.0539912, 0.422058,0.521642,0.943699
0,0.73 ,0.0539501, 0.42195,0.521756,0.943707
0,0.74 ,0.0539002, 0.421846,0.521879,0.943725
0,0.75 ,0.0538421, 0.421745,0.522008,0.943753
0,0.76 ,0.0537765, 0.421646,0.522144,0.94379
0,0.77 ,0.0537039, 0.421551,0.522286,0.943836
0,0.78 ,0.053625, 0.421458,0.522432,0.94389
0,0.79 ,0.0535404, 0.421368,0.522584,0.943952
0,0.8 ,0.0534505, 0.421281,0.522739,0.94402
