i,S,V,Ip(e1 = 0.90),Im(e1 = 0.90),Rs,Rv,P,I(e1 = 0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532
2,0.29917,0.693405,0.00227337,0.00294942,0.00132337,0.000878054,0.00220142,0.0052228
3,0.163853,0.82711,0.00204128,0.0035053,0.00221976,0.00127077,0.00349053,0.00554658
4,0.0897174,0.899583,0.0017324,0.00413865,0.00305707,0.00177179,0.00482885,0.00587105
5,0.049112,0.938387,0.00142343,0.00486753,0.00377859,0.00243163,0.00621022,0.00629096
6,0.0268754,0.958611,0.00114839,0.00571092,0.00437352,0.00328125,0.00765477,0.00685931
7,0.0147003,0.968497,0.000917034,0.00668928,0.00485197,0.00434462,0.00919659,0.00760632
8,0.00803591,0.972534,0.000728064,0.00782501,0.00523125,0.00564574,0.010877,0.00855308
9,0.00438951,0.97315,0.000576114,0.00914287,0.00552941,0.00721221,0.0127416,0.00971898
10,0.00239547,0.97164,0.00045497,0.0106702,0.00576264,0.0090771,0.0148397,0.0111252
11,0.00130579,0.968674,0.000358837,0.0124371,0.00594456,0.01128,0.0172246,0.0127959
12,0.000710837,0.964576,0.000282754,0.0144764,0.00608624,0.0138678,0.0199541,0.0147591
13,0.000386349,0.959476,0.000222631,0.0168233,0.00619649,0.016895,0.0230915,0.0170459
14,0.000209597,0.953394,0.000175165,0.0195151,0.00628226,0.0204243,0.0267065,0.0196903
15,0.000113465,0.946283,0.000137717,0.0225903,0.00634899,0.0245266,0.0308756,0.022728
16,6.13E-05,0.938061,0.000108187,0.026087,0.00640093,0.0292816,0.0356825,0.0261952
17,3.30E-05,0.928622,8.49E-05,0.0300415,0.00644136,0.0347773,0.0412186,0.0301264
18,1.77E-05,0.917848,6.66E-05,0.0344854,0.00647287,0.0411094,0.0475823,0.034552
19,9.47E-06,0.905617,5.21E-05,0.0394429,0.00649743,0.0483808,0.0548782,0.039495
20,5.04E-06,0.891812,4.08E-05,0.0449265,0.00651659,0.0566994,0.063216,0.0449672
21,2.68E-06,0.876326,3.19E-05,0.0509326,0.00653155,0.0661759,0.0727074,0.0509644
22,1.41E-06,0.859074,2.48E-05,0.0574367,0.00654324,0.0769203,0.0834635,0.0574615
23,7.41E-07,0.840002,1.93E-05,0.0643884,0.00655238,0.0890376,0.0955899,0.0644077
24,3.86E-07,0.819096,1.50E-05,0.0717069,0.00655952,0.102622,0.109182,0.0717219
25,2.00E-07,0.796394,1.16E-05,0.0792777,0.00656512,0.117751,0.124316,0.0792894
26,1.03E-07,0.771991,8.99E-06,0.0869523,0.0065695,0.134478,0.141047,0.0869613
27,5.28E-08,0.746047,6.93E-06,0.0945498,0.00657294,0.152824,0.159397,0.0945567
28,2.69E-08,0.718783,5.33E-06,0.101863,0.00657563,0.172773,0.179349,0.101868
29,1.36E-08,0.690484,4.09E-06,0.108668,0.00657775,0.194266,0.200843,0.108672
30,6.81E-09,0.661483,3.12E-06,0.11474,0.00657941,0.217194,0.223774,0.114743
31,3.40E-09,0.632148,2.38E-06,0.119865,0.00658071,0.241404,0.247985,0.119867
32,1.69E-09,0.602862,1.81E-06,0.123859,0.00658174,0.266695,0.273277,0.123861
33,8.39E-10,0.574002,1.37E-06,0.126585,0.00658254,0.292829,0.299412,0.126586
34,4.15E-10,0.545919,1.03E-06,0.127958,0.00658317,0.319538,0.326121,0.127959
35,2.05E-10,0.51892,7.76E-07,0.127958,0.00658367,0.346537,0.353121,0.127959
36,1.01E-10,0.493257,5.82E-07,0.126623,0.00658406,0.373536,0.38012,0.126623
37,5.00E-11,0.469117,4.35E-07,0.124045,0.00658437,0.400253,0.406838,0.124045
38,2.48E-11,0.446626,3.25E-07,0.120363,0.00658462,0.426427,0.433011,0.120363
39,1.23E-11,0.425849,2.41E-07,0.115743,0.00658481,0.451823,0.458408,0.115743
40,6.15E-12,0.406798,1.79E-07,0.110372,0.00658496,0.476245,0.48283,0.110372
41,3.08E-12,0.389445,1.33E-07,0.104437,0.00658508,0.499533,0.506118,0.104437
42,1.55E-12,0.373725,9.81E-08,0.0981204,0.00658517,0.521569,0.528154,0.0981205
43,7.88E-13,0.359552,7.24E-08,0.0915899,0.00658524,0.542273,0.548858,0.09159
44,4.01E-13,0.346824,5.33E-08,0.0849924,0.0065853,0.561598,0.568183,0.0849925
45,2.06E-13,0.335431,3.92E-08,0.078452,0.00658535,0.579531,0.586117,0.0784521
46,1.06E-13,0.32526,2.88E-08,0.0720695,0.00658538,0.596085,0.60267,0.0720695
47,5.50E-14,0.3162,2.11E-08,0.0659229,0.00658541,0.611291,0.617877,0.0659229
48,2.87E-14,0.308144,1.55E-08,0.0600697,0.00658543,0.625201,0.631787,0.0600697
49,1.50E-14,0.300989,1.13E-08,0.0545492,0.00658545,0.637876,0.644461,0.0545492
50,7.89E-15,0.294644,8.30E-09,0.0493851,0.00658547,0.649386,0.655971,0.0493851
51,4.17E-15,0.28902,6.07E-09,0.0445888,0.00658548,0.659806,0.666391,0.0445888
52,2.21E-15,0.284039,4.44E-09,0.0401614,0.00658549,0.669214,0.6758,0.0401614
53,1.18E-15,0.27963,3.24E-09,0.0360963,0.00658549,0.677688,0.684274,0.0360963
54,6.29E-16,0.275729,2.37E-09,0.0323812,0.0065855,0.685305,0.69189,0.0323812
55,3.37E-16,0.272278,1.73E-09,0.0289996,0.0065855,0.692137,0.698723,0.0289996
56,1.81E-16,0.269226,1.26E-09,0.0259325,0.00658551,0.698256,0.704841,0.0259325
57,9.75E-17,0.266528,9.18E-10,0.0231591,0.00658551,0.703728,0.710313,0.0231591
58,5.26E-17,0.264142,6.69E-10,0.0206582,0.00658551,0.708614,0.7152,0.0206582
59,2.85E-17,0.262033,4.88E-10,0.0184084,0.00658551,0.712973,0.719559,0.0184084
60,1.54E-17,0.260169,3.55E-10,0.0163885,0.00658551,0.716857,0.723443,0.0163885
61,8.37E-18,0.258521,2.59E-10,0.0145785,0.00658551,0.720315,0.726901,0.0145785
62,4.55E-18,0.257064,1.88E-10,0.0129591,0.00658551,0.723391,0.729977,0.0129591
63,2.48E-18,0.255776,1.37E-10,0.0115123,0.00658552,0.726126,0.732711,0.0115123
64,1.35E-18,0.254638,9.99E-11,0.0102213,0.00658552,0.728555,0.73514,0.0102213
65,7.37E-19,0.253632,7.27E-11,0.00907053,0.00658552,0.730712,0.737297,0.00907053
66,4.02E-19,0.252743,5.29E-11,0.00804583,0.00658552,0.732625,0.739211,0.00804583
67,2.20E-19,0.251957,3.85E-11,0.00713411,0.00658552,0.734323,0.740909,0.00713411
68,1.20E-19,0.251263,2.80E-11,0.00632355,0.00658552,0.735828,0.742414,0.00632355
69,6.58E-20,0.250648,2.04E-11,0.00560338,0.00658552,0.737163,0.743748,0.00560338
70,3.60E-20,0.250106,1.48E-11,0.0049639,0.00658552,0.738345,0.74493,0.0049639
71,1.97E-20,0.249626,1.08E-11,0.00439635,0.00658552,0.739392,0.745978,0.00439635
72,1.08E-20,0.249202,7.85E-12,0.00389288,0.00658552,0.74032,0.746905,0.00389288
73,5.93E-21,0.248827,5.71E-12,0.00344643,0.00658552,0.741141,0.747727,0.00344643
74,3.25E-21,0.248495,4.16E-12,0.00305069,0.00658552,0.741869,0.748454,0.00305069
75,1.78E-21,0.248202,3.02E-12,0.00269999,0.00658552,0.742512,0.749098,0.00269999
76,9.79E-22,0.247943,2.20E-12,0.0023893,0.00658552,0.743082,0.749667,0.0023893
77,5.37E-22,0.247714,1.60E-12,0.00211413,0.00658552,0.743586,0.750172,0.00211413
78,2.95E-22,0.247512,1.16E-12,0.00187045,0.00658552,0.744032,0.750618,0.00187045
79,1.62E-22,0.247333,8.46E-13,0.00165472,0.00658552,0.744427,0.751012,0.00165472
80,8.90E-23,0.247175,6.15E-13,0.00146376,0.00658552,0.744776,0.751362,0.00146376
