i,S,V,Ip(e1 = 0.90),Im(e1 = 0.90),Rs,Rv,P,I(e1 = 0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532
2,0.29917,0.693745,0.00227337,0.00260942,0.00132337,0.000878054,0.00220142,0.0048828
3,0.163897,0.828101,0.00204134,0.00254183,0.00221976,0.00119903,0.00341879,0.00458317
4,0.0898112,0.901551,0.00173266,0.00235129,0.00304763,0.00150621,0.00455384,0.00408395
5,0.049234,0.941672,0.00142401,0.00211183,0.00374711,0.00181105,0.00555815,0.00353583
6,0.0270017,0.963562,0.00114932,0.00186564,0.0043098,0.00211161,0.00642141,0.00301496
7,0.014815,0.975481,0.000918315,0.00163309,0.00475032,0.00240183,0.00715216,0.00255141
8,0.00813153,0.98195,0.000729662,0.00142228,0.00509014,0.00267594,0.00776608,0.00215195
9,0.00446461,0.985442,0.000577983,0.00123522,0.00535029,0.0029299,0.00828019,0.0018132
10,0.00245196,0.98731,0.000457056,0.00107111,0.00554879,0.00316156,0.00871035,0.00152816
11,0.00134693,0.988294,0.000361091,0.000928003,0.0057001,0.00337031,0.0090704,0.00128909
12,0.000740043,0.988799,0.000285127,0.000803638,0.00581549,0.00355663,0.00937212,0.00108877
13,0.000406668,0.989047,0.000225078,0.000695757,0.00590361,0.0037217,0.00962532,0.000920836
14,0.000223502,0.989158,0.000177647,0.00060227,0.00597103,0.00386711,0.00983814,0.000779917
15,0.000122849,0.989198,0.000140199,0.000521301,0.0060227,0.00399462,0.0100173,0.0006615
16,6.75E-05,0.989202,0.000110638,0.000451196,0.00606238,0.00410605,0.0101684,0.000561834
17,3.71E-05,0.989189,8.73E-05,0.000390508,0.00609292,0.00420317,0.0102961,0.000477816
18,2.04E-05,0.989169,6.89E-05,0.000337977,0.00611647,0.00428762,0.0104041,0.000406873
19,1.12E-05,0.989146,5.44E-05,0.000292509,0.00613466,0.00436095,0.0104956,0.000346876
20,6.17E-06,0.989124,4.29E-05,0.000253157,0.00614875,0.00442453,0.0105733,0.000296058
21,3.39E-06,0.989104,3.39E-05,0.000219098,0.00615966,0.00447961,0.0106393,0.000252951
22,1.87E-06,0.989086,2.67E-05,0.00018962,0.00616814,0.0045273,0.0106954,0.000216333
23,1.03E-06,0.989071,2.11E-05,0.000164108,0.00617473,0.00456855,0.0107433,0.000185187
24,5.64E-07,0.989057,1.66E-05,0.000142028,0.00617986,0.00460423,0.0107841,0.000158662
25,3.10E-07,0.989045,1.31E-05,0.000122919,0.00618386,0.00463508,0.0108189,0.000136044
26,1.71E-07,0.989034,1.04E-05,0.000106381,0.00618698,0.00466174,0.0108487,0.000116738
27,9.38E-08,0.989025,8.17E-06,9.21E-05,0.00618942,0.00468479,0.0108742,0.00010024
28,5.16E-08,0.989018,6.45E-06,7.97E-05,0.00619133,0.0047047,0.010896,8.61E-05
29,2.84E-08,0.989011,5.09E-06,6.90E-05,0.00619282,0.00472191,0.0109147,7.40E-05
30,1.56E-08,0.989006,4.02E-06,5.97E-05,0.00619399,0.00473679,0.0109308,6.37E-05
31,8.58E-09,0.989001,3.17E-06,5.17E-05,0.0061949,0.00474964,0.0109445,5.48E-05
32,4.72E-09,0.988996,2.50E-06,4.47E-05,0.00619562,0.00476075,0.0109564,4.72E-05
33,2.60E-09,0.988993,1.97E-06,3.87E-05,0.00619619,0.00477035,0.0109665,4.07E-05
34,1.43E-09,0.98899,1.56E-06,3.35E-05,0.00619663,0.00477865,0.0109753,3.50E-05
35,7.85E-10,0.988987,1.23E-06,2.90E-05,0.00619698,0.00478582,0.0109828,3.02E-05
36,4.32E-10,0.988985,9.69E-07,2.51E-05,0.00619725,0.00479202,0.0109893,2.60E-05
37,2.38E-10,0.988983,7.65E-07,2.17E-05,0.00619747,0.00479738,0.0109948,2.25E-05
38,1.31E-10,0.988981,6.04E-07,1.88E-05,0.00619764,0.00480202,0.0109997,1.94E-05
39,7.19E-11,0.988979,4.76E-07,1.63E-05,0.00619777,0.00480603,0.0110038,1.67E-05
40,3.95E-11,0.988978,3.76E-07,1.41E-05,0.00619787,0.00480949,0.0110074,1.44E-05
41,2.17E-11,0.988977,2.97E-07,1.22E-05,0.00619796,0.00481249,0.0110104,1.25E-05
42,1.20E-11,0.988976,2.34E-07,1.05E-05,0.00619802,0.00481508,0.0110131,1.08E-05
43,6.58E-12,0.988975,1.85E-07,9.12E-06,0.00619807,0.00481732,0.0110154,9.30E-06
44,3.62E-12,0.988975,1.46E-07,7.89E-06,0.00619811,0.00481926,0.0110174,8.04E-06
45,1.99E-12,0.988974,1.15E-07,6.83E-06,0.00619814,0.00482093,0.0110191,6.95E-06
46,1.09E-12,0.988973,9.07E-08,5.91E-06,0.00619817,0.00482238,0.0110206,6.00E-06
47,6.02E-13,0.988973,7.16E-08,5.12E-06,0.00619819,0.00482364,0.0110218,5.19E-06
48,3.31E-13,0.988973,5.65E-08,4.43E-06,0.0061982,0.00482472,0.0110229,4.48E-06
49,1.82E-13,0.988972,4.46E-08,3.83E-06,0.00619822,0.00482566,0.0110239,3.88E-06
50,1.00E-13,0.988972,3.52E-08,3.32E-06,0.00619823,0.00482647,0.0110247,3.35E-06
51,5.51E-14,0.988972,2.78E-08,2.87E-06,0.00619823,0.00482718,0.0110254,2.90E-06
52,3.03E-14,0.988971,2.19E-08,2.48E-06,0.00619824,0.00482778,0.011026,2.51E-06
53,1.67E-14,0.988971,1.73E-08,2.15E-06,0.00619824,0.00482831,0.0110266,2.17E-06
54,9.16E-15,0.988971,1.36E-08,1.86E-06,0.00619825,0.00482876,0.011027,1.87E-06
55,5.04E-15,0.988971,1.08E-08,1.61E-06,0.00619825,0.00482916,0.0110274,1.62E-06
56,2.77E-15,0.988971,8.49E-09,1.39E-06,0.00619825,0.0048295,0.0110278,1.40E-06
57,1.52E-15,0.988971,6.70E-09,1.21E-06,0.00619825,0.00482979,0.011028,1.21E-06
58,8.38E-16,0.988971,5.29E-09,1.04E-06,0.00619826,0.00483005,0.0110283,1.05E-06
59,4.61E-16,0.988971,4.17E-09,9.03E-07,0.00619826,0.00483027,0.0110285,9.07E-07
60,2.54E-16,0.98897,3.29E-09,7.82E-07,0.00619826,0.00483046,0.0110287,7.85E-07
61,1.39E-16,0.98897,2.60E-09,6.77E-07,0.00619826,0.00483062,0.0110289,6.79E-07
62,7.67E-17,0.98897,2.05E-09,5.86E-07,0.00619826,0.00483077,0.011029,5.88E-07
63,4.22E-17,0.98897,1.62E-09,5.07E-07,0.00619826,0.00483089,0.0110292,5.08E-07
64,2.32E-17,0.98897,1.28E-09,4.39E-07,0.00619826,0.004831,0.0110293,4.40E-07
65,1.28E-17,0.98897,1.01E-09,3.80E-07,0.00619826,0.00483109,0.0110294,3.81E-07
66,7.02E-18,0.98897,7.95E-10,3.28E-07,0.00619826,0.00483117,0.0110294,3.29E-07
67,3.86E-18,0.98897,6.27E-10,2.84E-07,0.00619826,0.00483124,0.0110295,2.85E-07
68,2.12E-18,0.98897,4.95E-10,2.46E-07,0.00619826,0.0048313,0.0110296,2.47E-07
69,1.17E-18,0.98897,3.90E-10,2.13E-07,0.00619826,0.00483135,0.0110296,2.13E-07
70,6.42E-19,0.98897,3.08E-10,1.84E-07,0.00619826,0.0048314,0.0110297,1.85E-07
71,3.53E-19,0.98897,2.43E-10,1.59E-07,0.00619826,0.00483144,0.0110297,1.60E-07
72,1.94E-19,0.98897,1.92E-10,1.38E-07,0.00619826,0.00483147,0.0110297,1.38E-07
73,1.07E-19,0.98897,1.51E-10,1.19E-07,0.00619826,0.0048315,0.0110298,1.20E-07
74,5.88E-20,0.98897,1.19E-10,1.03E-07,0.00619826,0.00483152,0.0110298,1.03E-07
75,3.23E-20,0.98897,9.42E-11,8.95E-08,0.00619826,0.00483155,0.0110298,8.96E-08
76,1.78E-20,0.98897,7.44E-11,7.74E-08,0.00619826,0.00483156,0.0110298,7.75E-08
77,9.78E-21,0.98897,5.87E-11,6.70E-08,0.00619826,0.00483158,0.0110298,6.71E-08
78,5.38E-21,0.98897,4.63E-11,5.80E-08,0.00619826,0.0048316,0.0110299,5.80E-08
79,2.96E-21,0.98897,3.65E-11,5.02E-08,0.00619826,0.00483161,0.0110299,5.02E-08
80,1.63E-21,0.98897,2.88E-11,4.34E-08,0.00619826,0.00483162,0.0110299,4.35E-08
