i,S,V,Ip(e1 = 0.50),Im(e1 = 0.50),Rs,Rv,P,I(e1 = 0.50)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532
2,0.29917,0.692722,0.00261715,0.00328942,0.00132337,0.000878054,0.00220142,0.00590657
3,0.163762,0.825008,0.00295388,0.00461307,0.00221976,0.00144334,0.0036631,0.00756695
4,0.0895214,0.895038,0.00331827,0.0066194,0.00307995,0.00242288,0.00550283,0.00993768
5,0.0488439,0.929964,0.00371452,0.00960488,0.00385475,0.00401802,0.00787277,0.0133194
6,0.026577,0.944291,0.00414473,0.0139985,0.00452836,0.00646051,0.0109889,0.0181433
7,0.0144047,0.945424,0.00460832,0.0204046,0.0051016,0.0100566,0.0151582,0.0250129
8,0.00776383,0.936671,0.00510093,0.0296491,0.00558285,0.0152323,0.0208152,0.03475
9,0.00415129,0.918854,0.00561248,0.0428149,0.0059832,0.0225841,0.0285673,0.0484274
10,0.00219471,0.891205,0.00612464,0.0612284,0.00631409,0.0329333,0.0392473,0.067353
11,0.00114204,0.851957,0.00660767,0.0863305,0.00658612,0.0473768,0.0539629,0.0929382
12,0.00058143,0.798957,0.00701767,0.119327,0.00680866,0.067308,0.0741167,0.126344
13,0.000287477,0.730558,0.00729645,0.160505,0.00698978,0.0943631,0.101353,0.167802
14,0.0001369,0.646891,0.00737748,0.208236,0.00713632,0.130223,0.13736,0.215613
15,6.23E-05,0.55125,0.00720183,0.258025,0.00725409,0.176207,0.183461,0.265227
16,2.70E-05,0.45067,0.00674324,0.302543,0.00734807,0.232669,0.240017,0.309286
17,1.12E-05,0.35456,0.00603126,0.333566,0.00742254,0.298408,0.305831,0.339598
18,4.48E-06,0.271395,0.00515299,0.345465,0.00748121,0.370501,0.377982,0.350618
19,1.77E-06,0.205587,0.0042241,0.3378,0.00752724,0.44486,0.452387,0.342024
20,7.09E-07,0.156912,0.00334687,0.314839,0.00756327,0.517338,0.524902,0.318186
21,2.91E-07,0.122324,0.00258397,0.282777,0.00759144,0.584723,0.592314,0.285361
22,1.23E-07,0.0981282,0.00195774,0.247176,0.00761347,0.645125,0.652738,0.249133
23,5.44E-08,0.0811741,0.00146355,0.211896,0.00763071,0.697836,0.705466,0.213359
24,2.48E-08,0.0691583,0.00108377,0.179152,0.0076442,0.742962,0.750606,0.180236
25,1.17E-08,0.0605075,0.000797117,0.149971,0.00765477,0.78107,0.788725,0.150768
26,5.65E-09,0.0541744,0.000583411,0.12464,0.00766306,0.812939,0.820602,0.125223
27,2.80E-09,0.0494636,0.00042546,0.103038,0.00766956,0.839403,0.847072,0.103464
28,1.41E-09,0.0459091,0.000309438,0.0848431,0.00767466,0.861264,0.868938,0.0851525
29,7.23E-10,0.0431934,0.000224597,0.069651,0.00767866,0.879252,0.886931,0.0698756
30,3.76E-10,0.0410964,0.000162763,0.0570476,0.00768181,0.894011,0.901693,0.0572104
31,1.97E-10,0.0394626,0.000117811,0.0466416,0.00768428,0.906094,0.913778,0.0467594
32,1.04E-10,0.0381801,8.52E-05,0.0380807,0.00768623,0.915968,0.923654,0.0381659
33,5.57E-11,0.0371673,6.16E-05,0.0310572,0.00768776,0.924026,0.931714,0.0311188
34,2.99E-11,0.0363633,4.45E-05,0.0253072,0.00768896,0.930596,0.938285,0.0253516
35,1.61E-11,0.0357224,3.21E-05,0.0206076,0.00768991,0.935948,0.943638,0.0206397
36,8.70E-12,0.0352098,2.32E-05,0.0167715,0.00769065,0.940305,0.947996,0.0167947
37,4.72E-12,0.0347986,1.67E-05,0.0136436,0.00769124,0.94385,0.951541,0.0136603
38,2.57E-12,0.0344681,1.20E-05,0.0110951,0.0076917,0.946733,0.954425,0.0111071
39,1.40E-12,0.0342018,8.69E-06,0.00902006,0.00769206,0.949077,0.956769,0.00902875
40,7.65E-13,0.0339871,6.26E-06,0.00733145,0.00769235,0.950983,0.958675,0.00733772
41,4.18E-13,0.0338136,4.51E-06,0.00595787,0.00769258,0.952531,0.960224,0.00596238
42,2.29E-13,0.0336734,3.25E-06,0.00484091,0.00769276,0.95379,0.961482,0.00484417
43,1.25E-13,0.03356,2.35E-06,0.00393289,0.0076929,0.954812,0.962505,0.00393523
44,6.87E-14,0.0334681,1.69E-06,0.00319487,0.00769301,0.955642,0.963335,0.00319656
45,3.77E-14,0.0333937,1.22E-06,0.00259514,0.00769309,0.956317,0.96401,0.00259636
46,2.07E-14,0.0333334,8.78E-07,0.00210786,0.00769316,0.956865,0.964558,0.00210873
47,1.14E-14,0.0332845,6.32E-07,0.00171198,0.00769322,0.95731,0.965003,0.00171261
48,6.24E-15,0.0332448,4.56E-07,0.0013904,0.00769326,0.957671,0.965364,0.00139085
49,3.43E-15,0.0332127,3.28E-07,0.00112918,0.00769329,0.957965,0.965658,0.00112951
50,1.88E-15,0.0331866,2.37E-07,0.000917014,0.00769332,0.958203,0.965896,0.00091725
51,1.04E-15,0.0331654,1.70E-07,0.000744696,0.00769334,0.958396,0.96609,0.000744866
52,5.69E-16,0.0331482,1.23E-07,0.000604747,0.00769336,0.958554,0.966247,0.00060487
53,3.13E-16,0.0331343,8.85E-08,0.000491092,0.00769337,0.958681,0.966375,0.00049118
54,1.72E-16,0.033123,6.38E-08,0.000398792,0.00769338,0.958785,0.966478,0.000398856
55,9.46E-17,0.0331138,4.59E-08,0.000323836,0.00769339,0.958869,0.966562,0.000323882
56,5.20E-17,0.0331063,3.31E-08,0.000262967,0.0076934,0.958937,0.966631,0.000263
57,2.86E-17,0.0331003,2.38E-08,0.000213538,0.0076934,0.958993,0.966686,0.000213562
58,1.57E-17,0.0330953,1.72E-08,0.000173399,0.0076934,0.959038,0.966731,0.000173416
59,8.65E-18,0.0330913,1.24E-08,0.000140804,0.00769341,0.959074,0.966768,0.000140816
60,4.76E-18,0.0330881,8.92E-09,0.000114336,0.00769341,0.959104,0.966798,0.000114345
61,2.62E-18,0.0330855,6.43E-09,9.28E-05,0.00769341,0.959128,0.966822,9.28E-05
62,1.44E-18,0.0330833,4.63E-09,7.54E-05,0.00769341,0.959148,0.966841,7.54E-05
63,7.91E-19,0.0330816,3.34E-09,6.12E-05,0.00769341,0.959164,0.966857,6.12E-05
64,4.35E-19,0.0330802,2.40E-09,4.97E-05,0.00769342,0.959177,0.96687,4.97E-05
65,2.39E-19,0.033079,1.73E-09,4.04E-05,0.00769342,0.959187,0.966881,4.04E-05
66,1.32E-19,0.0330781,1.25E-09,3.28E-05,0.00769342,0.959196,0.966889,3.28E-05
67,7.24E-20,0.0330774,8.99E-10,2.66E-05,0.00769342,0.959203,0.966896,2.66E-05
68,3.98E-20,0.0330767,6.48E-10,2.16E-05,0.00769342,0.959208,0.966902,2.16E-05
69,2.19E-20,0.0330762,4.67E-10,1.75E-05,0.00769342,0.959213,0.966906,1.75E-05
70,1.20E-20,0.0330758,3.36E-10,1.43E-05,0.00769342,0.959216,0.96691,1.43E-05
71,6.62E-21,0.0330755,2.42E-10,1.16E-05,0.00769342,0.959219,0.966913,1.16E-05
72,3.64E-21,0.0330753,1.74E-10,9.40E-06,0.00769342,0.959222,0.966915,9.40E-06
73,2.00E-21,0.033075,1.26E-10,7.63E-06,0.00769342,0.959224,0.966917,7.63E-06
74,1.10E-21,0.0330749,9.06E-11,6.20E-06,0.00769342,0.959226,0.966919,6.20E-06
75,6.06E-22,0.0330747,6.53E-11,5.03E-06,0.00769342,0.959227,0.96692,5.03E-06
76,3.33E-22,0.0330746,4.70E-11,4.08E-06,0.00769342,0.959228,0.966921,4.09E-06
77,1.83E-22,0.0330745,3.39E-11,3.32E-06,0.00769342,0.959229,0.966922,3.32E-06
78,1.01E-22,0.0330744,2.44E-11,2.69E-06,0.00769342,0.959229,0.966923,2.69E-06
79,5.55E-23,0.0330744,1.76E-11,2.19E-06,0.00769342,0.95923,0.966923,2.19E-06
80,3.05E-23,0.0330743,1.27E-11,1.78E-06,0.00769342,0.95923,0.966924,1.78E-06
