i,S,V,Ip(e1 = 0.50),Im(e1 = 0.50),Rs,Rv,P,I(e1 = 0.50)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532
2,0.29917,0.693402,0.00261715,0.00260942,0.00132337,0.000878054,0.00220142,0.00522657
3,0.163851,0.827133,0.00295462,0.00254176,0.00221976,0.00129986,0.00351962,0.00549638
4,0.0897193,0.899685,0.00332184,0.00235098,0.00306109,0.00186143,0.00492252,0.00567282
5,0.04912,0.938651,0.00372524,0.00211112,0.00378962,0.00260325,0.00639287,0.00583635
6,0.0268888,0.959145,0.00417062,0.00186442,0.00439147,0.00353946,0.00793093,0.00603504
7,0.0147168,0.969441,0.00466349,0.00163129,0.00487439,0.00467317,0.00954756,0.00629478
8,0.00805307,0.974058,0.00520929,0.00141988,0.00525476,0.00600481,0.0112596,0.00662917
9,0.00440545,0.975462,0.0058135,0.00123222,0.00555075,0.0075363,0.013087,0.00704572
10,0.00240919,0.974989,0.00648174,0.00106752,0.00577926,0.00927289,0.0150521,0.00754926
11,0.00131696,0.973361,0.00721973,0.000923861,0.00595478,0.0112237,0.0171785,0.00814359
12,0.000719552,0.970957,0.00803334,0.000798973,0.00608917,0.0134018,0.019491,0.00883231
13,0.000392922,0.967972,0.00892845,0.000690609,0.0061919,0.0158238,0.0220157,0.00961906
14,0.000214423,0.964498,0.0099109,0.000596684,0.00627035,0.0185098,0.0247802,0.0105076
15,0.000116929,0.960568,0.0109863,0.000515326,0.00633026,0.0214827,0.0278129,0.0115016
16,6.37E-05,0.956187,0.01216,0.000444883,0.00637604,0.0247679,0.031144,0.0126049
17,3.47E-05,0.951341,0.0134365,0.000383908,0.00641106,0.0283933,0.0348043,0.0138204
18,1.89E-05,0.946004,0.0148198,0.000331141,0.00643787,0.0323884,0.0388263,0.015151
19,1.02E-05,0.940149,0.0163125,0.000285488,0.00645842,0.0367844,0.0432428,0.0165979
20,5.56E-06,0.933745,0.0179156,0.000245999,0.00647421,0.0416133,0.0480875,0.0181616
21,3.01E-06,0.926763,0.0196284,0.00021185,0.00648635,0.0469077,0.053394,0.0198403
22,1.63E-06,0.919172,0.021448,0.000182326,0.0064957,0.0527001,0.0591958,0.0216303
23,8.81E-07,0.910949,0.0233683,0.00015681,0.00650292,0.059022,0.0655249,0.0235251
24,4.75E-07,0.902072,0.0253806,0.000134765,0.0065085,0.0659034,0.0724119,0.0255154
25,2.56E-07,0.892527,0.0274723,0.000115727,0.00651282,0.0733717,0.0798845,0.027588
26,1.38E-07,0.882307,0.0296272,9.93E-05,0.00651617,0.0814504,0.0879665,0.0297264
27,7.39E-08,0.871413,0.0318249,8.51E-05,0.00651877,0.0901584,0.0966771,0.03191
28,3.96E-08,0.859856,0.0340413,7.29E-05,0.00652079,0.0995086,0.106029,0.0341142
29,2.12E-08,0.84766,0.0362482,6.24E-05,0.00652236,0.109507,0.116029,0.0363106
30,1.13E-08,0.834859,0.0384141,5.33E-05,0.00652359,0.12015,0.126674,0.0384674
31,6.02E-09,0.821498,0.0405045,4.55E-05,0.00652454,0.131427,0.137952,0.04055
32,3.20E-09,0.807636,0.0424833,3.88E-05,0.00652529,0.143316,0.149841,0.0425221
33,1.70E-09,0.793343,0.0443135,3.30E-05,0.00652588,0.155784,0.16231,0.0443465
34,9.02E-10,0.778699,0.0459588,2.81E-05,0.00652633,0.168788,0.175314,0.0459869
35,4.77E-10,0.763792,0.0473848,2.38E-05,0.00652669,0.182273,0.1888,0.0474086
36,2.53E-10,0.748716,0.0485609,2.02E-05,0.00652697,0.196176,0.202703,0.0485811
37,1.33E-10,0.733572,0.0494612,1.71E-05,0.00652719,0.210423,0.21695,0.0494783
38,7.04E-11,0.718459,0.0500662,1.45E-05,0.00652736,0.224933,0.23146,0.0500807
39,3.72E-11,0.703476,0.0503635,1.22E-05,0.0065275,0.23962,0.246148,0.0503758
40,1.96E-11,0.688719,0.0503483,1.03E-05,0.00652761,0.254395,0.260922,0.0503586
41,1.03E-11,0.674276,0.0500236,8.69E-06,0.00652769,0.269164,0.275692,0.0500323
42,5.46E-12,0.660227,0.0494001,7.31E-06,0.00652776,0.283838,0.290365,0.0494075
43,2.88E-12,0.646643,0.0484954,6.14E-06,0.00652781,0.298328,0.304856,0.0485015
44,1.52E-12,0.633581,0.0473328,5.15E-06,0.00652785,0.312553,0.319081,0.0473379
45,8.05E-13,0.62109,0.0459406,4.31E-06,0.00652788,0.326437,0.332965,0.0459449
46,4.26E-13,0.609206,0.0443503,3.61E-06,0.00652791,0.339912,0.34644,0.0443539
47,2.26E-13,0.597953,0.0425955,3.02E-06,0.00652793,0.352921,0.359449,0.0425986
48,1.20E-13,0.587344,0.0407106,2.52E-06,0.00652794,0.365415,0.371943,0.0407131
49,6.38E-14,0.577385,0.0387291,2.10E-06,0.00652795,0.377356,0.383883,0.0387312
50,3.40E-14,0.568072,0.0366835,1.75E-06,0.00652796,0.388715,0.395243,0.0366853
51,1.81E-14,0.559392,0.0346036,1.46E-06,0.00652797,0.399475,0.406003,0.0346051
52,9.70E-15,0.55133,0.0325166,1.22E-06,0.00652798,0.409624,0.416152,0.0325178
53,5.20E-15,0.543863,0.0304462,1.01E-06,0.00652798,0.419162,0.42569,0.0304472
54,2.79E-15,0.536966,0.028413,8.40E-07,0.00652799,0.428092,0.43462,0.0284138
55,1.50E-15,0.530612,0.0264339,6.98E-07,0.00652799,0.436426,0.442954,0.0264346
56,8.06E-16,0.52477,0.0245227,5.79E-07,0.00652799,0.444179,0.450707,0.0245233
57,4.34E-16,0.51941,0.0226901,4.81E-07,0.00652799,0.451371,0.457899,0.0226905
58,2.35E-16,0.514501,0.0209437,3.98E-07,0.00652799,0.458026,0.464554,0.0209441
59,1.27E-16,0.510013,0.0192889,3.30E-07,0.00652799,0.464169,0.470697,0.0192893
60,6.87E-17,0.505916,0.0177289,2.74E-07,0.006528,0.469827,0.476355,0.0177291
61,3.72E-17,0.50218,0.0162647,2.27E-07,0.006528,0.475027,0.481555,0.0162649
62,2.02E-17,0.498778,0.0148962,1.88E-07,0.006528,0.479797,0.486325,0.0148964
63,1.10E-17,0.495684,0.0136217,1.55E-07,0.006528,0.484166,0.490694,0.0136218
64,5.97E-18,0.492872,0.0124387,1.28E-07,0.006528,0.488162,0.49469,0.0124388
65,3.25E-18,0.490318,0.0113438,1.06E-07,0.006528,0.49181,0.498338,0.0113439
66,1.77E-18,0.488002,0.0103333,8.78E-08,0.006528,0.495137,0.501665,0.0103334
67,9.66E-19,0.485901,0.0094028,7.26E-08,0.006528,0.498168,0.504696,0.00940287
68,5.27E-19,0.483998,0.00854788,6.00E-08,0.006528,0.500926,0.507454,0.00854794
69,2.88E-19,0.482275,0.00776391,4.96E-08,0.006528,0.503433,0.509961,0.00776396
70,1.57E-19,0.480716,0.00704627,4.10E-08,0.006528,0.50571,0.512238,0.00704631
71,8.61E-20,0.479305,0.00639039,3.39E-08,0.006528,0.507777,0.514305,0.00639043
72,4.71E-20,0.478029,0.00579181,2.80E-08,0.006528,0.509651,0.516179,0.00579184
73,2.58E-20,0.476876,0.00524621,2.31E-08,0.006528,0.51135,0.517878,0.00524624
74,1.41E-20,0.475834,0.0047495,1.91E-08,0.006528,0.512888,0.519416,0.00474952
75,7.74E-21,0.474893,0.00429775,1.58E-08,0.006528,0.514281,0.520809,0.00429776
76,4.24E-21,0.474043,0.00388728,1.30E-08,0.006528,0.515542,0.52207,0.0038873
77,2.32E-21,0.473275,0.00351464,1.07E-08,0.006528,0.516682,0.52321,0.00351465
78,1.27E-21,0.472582,0.0031766,8.87E-09,0.006528,0.517713,0.524241,0.00317661
79,6.99E-22,0.471957,0.00287016,7.32E-09,0.006528,0.518645,0.525173,0.00287016
80,3.84E-22,0.471393,0.00259253,6.04E-09,0.006528,0.519487,0.526015,0.00259253
