i,S,V,Ip(e1 = 0.10),Im(e1 = 0.10),Rs,Rv,P,I(e1 = 0.10)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532
2,0.29917,0.692718,0.00296092,0.00294942,0.00132337,0.000878054,0.00220142,0.00591034
3,0.163761,0.825017,0.00402529,0.00350452,0.00221976,0.00147243,0.00369219,0.00752981
4,0.0895223,0.895102,0.00562841,0.00413475,0.00308398,0.00252828,0.00561226,0.00976316
5,0.0488498,0.93018,0.00797934,0.00485543,0.00386696,0.00426854,0.0081355,0.0128348
6,0.0265893,0.944852,0.0113773,0.00568076,0.00455079,0.00694955,0.0115003,0.0170581
7,0.0144228,0.946684,0.0162345,0.00662303,0.00513374,0.0109022,0.0160359,0.0228575
8,0.00778612,0.939229,0.0230994,0.00769087,0.00562216,0.0165728,0.022195,0.0307903
9,0.00417583,0.923675,0.0326698,0.00888629,0.00602601,0.0245668,0.0305928,0.0415561
10,0.00221955,0.899759,0.0457717,0.0102,0.00635638,0.0356935,0.0420498,0.0559717
11,0.00116549,0.866335,0.0632675,0.0116049,0.00662411,0.0510028,0.0576269,0.0748723
12,0.000602183,0.821882,0.0858357,0.0130479,0.00683924,0.0717926,0.0786319,0.0988836
13,0.000304692,0.76512,0.113572,0.0144431,0.00701065,0.0995499,0.106561,0.128015
14,0.000150211,0.695839,0.145423,0.0156686,0.00714607,0.135773,0.142919,0.161092
15,7.18E-05,0.61583,0.178643,0.0165775,0.00725213,0.181625,0.188877,0.195221
16,3.33E-05,0.529439,0.20873,0.0170259,0.00733447,0.237437,0.244771,0.225756
17,1.49E-05,0.443121,0.230362,0.0169177,0.00739786,0.302186,0.309584,0.24728
18,6.57E-06,0.363702,0.239326,0.0162456,0.00744633,0.373273,0.380719,0.255572
19,2.87E-06,0.296165,0.234389,0.0151015,0.00748319,0.446858,0.454341,0.249491
20,1.26E-06,0.242395,0.217686,0.0136437,0.00751115,0.518763,0.526274,0.23133
21,5.62E-07,0.201559,0.193397,0.0120431,0.00753234,0.585468,0.593,0.20544
22,2.58E-07,0.171397,0.165898,0.0104402,0.0075484,0.644716,0.652265,0.176338
23,1.22E-07,0.149388,0.138557,0.00892894,0.00756059,0.695565,0.703125,0.147486
24,5.89E-08,0.133355,0.113436,0.00756048,0.00756987,0.738078,0.745648,0.120997
25,2.92E-08,0.121624,0.0915064,0.0063549,0.00757695,0.772938,0.780514,0.0978613
26,1.48E-08,0.112982,0.0730113,0.00531274,0.00758236,0.801112,0.808694,0.078324
27,7.62E-09,0.106566,0.0577813,0.00442375,0.00758651,0.823643,0.831229,0.0622051
28,3.98E-09,0.101767,0.0454503,0.00367254,0.0075897,0.84152,0.84911,0.0491229
29,2.10E-09,0.098155,0.0355874,0.00304209,0.00759215,0.855623,0.863216,0.0386295
30,1.12E-09,0.0954208,0.0277684,0.00251561,0.00759404,0.866701,0.874295,0.030284
31,6.00E-10,0.0933416,0.0216104,0.00207759,0.0075955,0.875375,0.88297,0.023688
32,3.24E-10,0.0917543,0.0167843,0.00171417,0.00759663,0.882151,0.889747,0.0184985
33,1.75E-10,0.090539,0.013016,0.00141327,0.00759751,0.887434,0.895032,0.0144293
34,9.54E-11,0.0896061,0.0100819,0.00116453,0.00759819,0.891549,0.899148,0.0112464
35,5.20E-11,0.0888884,0.00780217,0.000959143,0.00759872,0.894752,0.90235,0.00876131
36,2.84E-11,0.0883356,0.00603373,0.000789716,0.00759913,0.897242,0.904841,0.00682344
37,1.55E-11,0.087909,0.00466362,0.000650048,0.00759945,0.899178,0.906777,0.00531367
38,8.50E-12,0.0875796,0.00360314,0.000534975,0.0075997,0.900683,0.908282,0.00413811
39,4.66E-12,0.0873249,0.00278291,0.000440204,0.0075999,0.901852,0.909452,0.00322312
40,2.56E-12,0.0871278,0.00214887,0.000362178,0.00760005,0.902761,0.910361,0.00251105
41,1.40E-12,0.0869753,0.00165897,0.000297955,0.00760017,0.903468,0.911068,0.00195693
42,7.71E-13,0.0868571,0.00128057,0.000245102,0.00760026,0.904017,0.911617,0.00152567
43,4.23E-13,0.0867655,0.000988366,0.000201614,0.00760034,0.904444,0.912045,0.00118998
44,2.33E-13,0.0866944,0.00076277,0.000165834,0.0076004,0.904777,0.912377,0.000928604
45,1.28E-13,0.0866393,0.000588625,0.0001364,0.00760044,0.905035,0.912636,0.000725025
46,7.03E-14,0.0865965,0.000454215,0.000112187,0.00760048,0.905237,0.912837,0.000566402
47,3.86E-14,0.0865632,0.000350482,9.23E-05,0.00760051,0.905394,0.912994,0.000442752
48,2.12E-14,0.0865374,0.000270431,7.59E-05,0.00760053,0.905516,0.913116,0.000346319
49,1.17E-14,0.0865173,0.000208658,6.24E-05,0.00760054,0.905611,0.913212,0.000271072
50,6.42E-15,0.0865017,0.000160993,5.13E-05,0.00760056,0.905685,0.913286,0.000212324
51,3.53E-15,0.0864895,0.000124214,4.22E-05,0.00760057,0.905743,0.913344,0.000166431
52,1.94E-15,0.0864801,9.58E-05,3.47E-05,0.00760058,0.905789,0.913389,0.000130557
53,1.07E-15,0.0864727,7.39E-05,2.86E-05,0.00760058,0.905824,0.913425,0.000102496
54,5.87E-16,0.086467,5.70E-05,2.35E-05,0.00760059,0.905852,0.913453,8.05E-05
55,3.23E-16,0.0864625,4.40E-05,1.93E-05,0.00760059,0.905874,0.913474,6.33E-05
56,1.78E-16,0.086459,3.40E-05,1.59E-05,0.0076006,0.905891,0.913491,4.98E-05
57,9.77E-17,0.0864562,2.62E-05,1.31E-05,0.0076006,0.905904,0.913504,3.93E-05
58,5.37E-17,0.0864541,2.02E-05,1.07E-05,0.0076006,0.905914,0.913515,3.10E-05
59,2.96E-17,0.0864524,1.56E-05,8.84E-06,0.0076006,0.905923,0.913523,2.44E-05
60,1.63E-17,0.0864511,1.20E-05,7.27E-06,0.0076006,0.905929,0.91353,1.93E-05
61,8.94E-18,0.0864501,9.28E-06,5.98E-06,0.0076006,0.905934,0.913535,1.53E-05
62,4.92E-18,0.0864493,7.16E-06,4.91E-06,0.00760061,0.905938,0.913539,1.21E-05
63,2.70E-18,0.0864487,5.53E-06,4.04E-06,0.00760061,0.905941,0.913542,9.57E-06
64,1.49E-18,0.0864482,4.26E-06,3.32E-06,0.00760061,0.905944,0.913544,7.59E-06
65,8.18E-19,0.0864478,3.29E-06,2.73E-06,0.00760061,0.905946,0.913546,6.02E-06
66,4.50E-19,0.0864475,2.54E-06,2.25E-06,0.00760061,0.905947,0.913548,4.79E-06
67,2.47E-19,0.0864473,1.96E-06,1.85E-06,0.00760061,0.905948,0.913549,3.81E-06
68,1.36E-19,0.0864471,1.51E-06,1.52E-06,0.00760061,0.905949,0.91355,3.03E-06
69,7.49E-20,0.0864469,1.17E-06,1.25E-06,0.00760061,0.90595,0.913551,2.42E-06
70,4.12E-20,0.0864468,8.99E-07,1.03E-06,0.00760061,0.905951,0.913551,1.93E-06
71,2.26E-20,0.0864467,6.94E-07,8.46E-07,0.00760061,0.905951,0.913552,1.54E-06
72,1.25E-20,0.0864466,5.35E-07,6.96E-07,0.00760061,0.905952,0.913552,1.23E-06
73,6.85E-21,0.0864466,4.13E-07,5.72E-07,0.00760061,0.905952,0.913552,9.85E-07
74,3.77E-21,0.0864465,3.18E-07,4.71E-07,0.00760061,0.905952,0.913553,7.89E-07
75,2.07E-21,0.0864465,2.46E-07,3.87E-07,0.00760061,0.905952,0.913553,6.33E-07
76,1.14E-21,0.0864465,1.90E-07,3.18E-07,0.00760061,0.905952,0.913553,5.08E-07
77,6.27E-22,0.0864464,1.46E-07,2.62E-07,0.00760061,0.905953,0.913553,4.08E-07
78,3.45E-22,0.0864464,1.13E-07,2.15E-07,0.00760061,0.905953,0.913553,3.28E-07
79,1.90E-22,0.0864464,8.71E-08,1.77E-07,0.00760061,0.905953,0.913553,2.64E-07
80,1.04E-22,0.0864464,6.72E-08,1.46E-07,0.00760061,0.905953,0.913553,2.13E-07
