i,S,V,Ip(e1 = 0.10),Im(e1 = 0.10),Rs,Rv,P,I(e1 = 0.10)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532
2,0.29917,0.693058,0.00296092,0.00260942,0.00132337,0.000878054,0.00220142,0.00557034
3,0.163806,0.826006,0.00402605,0.00254169,0.00221976,0.00140069,0.00362045,0.00656774
4,0.0896159,0.897063,0.00563253,0.00235065,0.00307454,0.00226304,0.00533758,0.00798318
5,0.048971,0.933439,0.0079937,0.00211023,0.00383552,0.00365007,0.00748559,0.0101039
6,0.0267141,0.94973,0.0114177,0.00186265,0.00448731,0.0057881,0.0102754,0.0132804
7,0.0145348,0.953485,0.0163345,0.00162824,0.00503277,0.00898448,0.0140172,0.0179628
8,0.00787784,0.948229,0.0233259,0.00141509,0.00548252,0.0136692,0.0191517,0.024741
9,0.00424595,0.935089,0.0331485,0.00122513,0.00584959,0.0204422,0.0262918,0.0343736
10,0.00227021,0.913672,0.0467271,0.00105747,0.00614685,0.0301259,0.0362728,0.0477846
11,0.00120024,0.882612,0.0650765,0.000910083,0.00638599,0.043815,0.0502009,0.0659866
12,0.000624813,0.840029,0.0890852,0.000780627,0.00657715,0.0629028,0.0694799,0.0898658
13,0.000318605,0.784157,0.119084,0.000666819,0.00672895,0.0890444,0.0957733,0.119751
14,0.000158216,0.714252,0.154182,0.000566633,0.00684859,0.123993,0.130841,0.154748
15,7.61E-05,0.631732,0.191531,0.000478397,0.00694211,0.16924,0.176183,0.19201
16,3.53E-05,0.541031,0.226073,0.000400833,0.00701454,0.225445,0.23246,0.226474
17,1.59E-05,0.449333,0.251467,0.000333027,0.00707012,0.291781,0.298851,0.2518
18,6.94E-06,0.364618,0.262424,0.000274328,0.0071124,0.365564,0.372677,0.262698
19,3.01E-06,0.292879,0.25719,0.000224177,0.00714435,0.442559,0.449704,0.257414
20,1.31E-06,0.236404,0.238228,0.000181952,0.00716838,0.518016,0.525185,0.23841
21,5.80E-07,0.194179,0.210578,0.000146885,0.00718643,0.587909,0.595096,0.210725
22,2.65E-07,0.163522,0.17947,0.000118097,0.00719999,0.649689,0.656889,0.179589
23,1.24E-07,0.141519,0.148834,9.47E-05,0.00721018,0.702342,0.709553,0.148928
24,6.01E-08,0.125727,0.120971,7.57E-05,0.00721786,0.746008,0.753225,0.121047
25,2.98E-08,0.114324,0.096893,6.05E-05,0.00722367,0.781499,0.788722,0.0969535
26,1.51E-08,0.106019,0.0767789,4.83E-05,0.00722806,0.809926,0.817154,0.0768271
27,7.79E-09,0.099916,0.0603622,3.85E-05,0.0072314,0.832452,0.839683,0.0604007
28,4.08E-09,0.0953942,0.0471795,3.07E-05,0.00723395,0.850162,0.857396,0.0472102
29,2.16E-09,0.0920198,0.0367159,2.44E-05,0.00723589,0.864004,0.87124,0.0367403
30,1.15E-09,0.0894867,0.0284801,1.94E-05,0.00723737,0.874776,0.882014,0.0284995
31,6.18E-10,0.0875759,0.0220375,1.55E-05,0.00723851,0.883133,0.890371,0.022053
32,3.34E-10,0.0861289,0.0170208,1.23E-05,0.00723939,0.889599,0.896838,0.0170331
33,1.81E-10,0.0850298,0.0131277,9.79E-06,0.00724007,0.894593,0.901833,0.0131375
34,9.86E-11,0.0841929,0.0101142,7.79E-06,0.00724059,0.898445,0.905685,0.010122
35,5.38E-11,0.0835544,0.00778608,6.20E-06,0.00724099,0.901412,0.908653,0.00779228
36,2.94E-11,0.0830667,0.00599015,4.93E-06,0.0072413,0.903697,0.910938,0.00599508
37,1.61E-11,0.0826936,0.00460627,3.92E-06,0.00724155,0.905455,0.912696,0.0046102
38,8.81E-12,0.082408,0.00354082,3.12E-06,0.00724174,0.906806,0.914048,0.00354394
39,4.83E-12,0.0821892,0.00272106,2.48E-06,0.00724188,0.907845,0.915087,0.00272354
40,2.65E-12,0.0820215,0.00209063,1.97E-06,0.007242,0.908644,0.915886,0.00209261
41,1.46E-12,0.081893,0.00160601,1.57E-06,0.00724209,0.909257,0.916499,0.00160758
42,8.00E-13,0.0817944,0.00123357,1.25E-06,0.00724216,0.909729,0.916971,0.00123481
43,4.40E-13,0.0817187,0.000947405,9.93E-07,0.00724221,0.910091,0.917333,0.000948398
44,2.42E-13,0.0816607,0.000727574,7.90E-07,0.00724225,0.910369,0.917611,0.000728363
45,1.33E-13,0.0816161,0.000558719,6.28E-07,0.00724229,0.910582,0.917825,0.000559347
46,7.30E-14,0.0815819,0.000429033,4.99E-07,0.00724231,0.910746,0.917989,0.000429533
47,4.01E-14,0.0815557,0.000329438,3.97E-07,0.00724233,0.910872,0.918114,0.000329836
48,2.21E-14,0.0815355,0.000252957,3.16E-07,0.00724235,0.910969,0.918211,0.000253273
49,1.21E-14,0.0815201,0.000194227,2.51E-07,0.00724236,0.911043,0.918285,0.000194478
50,6.67E-15,0.0815082,0.000149131,2.00E-07,0.00724237,0.9111,0.918342,0.00014933
51,3.67E-15,0.0814991,0.000114503,1.59E-07,0.00724238,0.911144,0.918386,0.000114662
52,2.02E-15,0.0814921,8.79E-05,1.26E-07,0.00724239,0.911177,0.91842,8.80E-05
53,1.11E-15,0.0814867,6.75E-05,1.00E-07,0.00724239,0.911203,0.918446,6.76E-05
54,6.10E-16,0.0814826,5.18E-05,7.99E-08,0.00724239,0.911223,0.918466,5.19E-05
55,3.36E-16,0.0814794,3.98E-05,6.36E-08,0.0072424,0.911238,0.918481,3.99E-05
56,1.85E-16,0.081477,3.06E-05,5.06E-08,0.0072424,0.91125,0.918492,3.06E-05
57,1.02E-16,0.0814751,2.35E-05,4.02E-08,0.0072424,0.911259,0.918501,2.35E-05
58,5.58E-17,0.0814737,1.80E-05,3.20E-08,0.0072424,0.911266,0.918508,1.80E-05
59,3.07E-17,0.0814726,1.38E-05,2.54E-08,0.0072424,0.911271,0.918514,1.39E-05
60,1.69E-17,0.0814717,1.06E-05,2.02E-08,0.00724241,0.911275,0.918518,1.06E-05
61,9.29E-18,0.0814711,8.15E-06,1.61E-08,0.00724241,0.911278,0.918521,8.17E-06
62,5.11E-18,0.0814706,6.26E-06,1.28E-08,0.00724241,0.911281,0.918523,6.27E-06
63,2.81E-18,0.0814702,4.81E-06,1.02E-08,0.00724241,0.911283,0.918525,4.82E-06
64,1.55E-18,0.0814699,3.69E-06,8.09E-09,0.00724241,0.911284,0.918526,3.70E-06
65,8.50E-19,0.0814697,2.83E-06,6.43E-09,0.00724241,0.911285,0.918527,2.84E-06
66,4.68E-19,0.0814695,2.17E-06,5.12E-09,0.00724241,0.911286,0.918528,2.18E-06
67,2.57E-19,0.0814694,1.67E-06,4.07E-09,0.00724241,0.911287,0.918529,1.67E-06
68,1.41E-19,0.0814693,1.28E-06,3.24E-09,0.00724241,0.911287,0.918529,1.29E-06
69,7.78E-20,0.0814692,9.84E-07,2.57E-09,0.00724241,0.911287,0.91853,9.87E-07
70,4.28E-20,0.0814692,7.56E-07,2.05E-09,0.00724241,0.911288,0.91853,7.58E-07
71,2.35E-20,0.0814691,5.80E-07,1.63E-09,0.00724241,0.911288,0.91853,5.82E-07
72,1.29E-20,0.0814691,4.45E-07,1.29E-09,0.00724241,0.911288,0.91853,4.47E-07
73,7.12E-21,0.081469,3.42E-07,1.03E-09,0.00724241,0.911288,0.918531,3.43E-07
74,3.92E-21,0.081469,2.63E-07,8.19E-10,0.00724241,0.911288,0.918531,2.63E-07
75,2.15E-21,0.081469,2.02E-07,6.51E-10,0.00724241,0.911288,0.918531,2.02E-07
76,1.18E-21,0.081469,1.55E-07,5.18E-10,0.00724241,0.911288,0.918531,1.55E-07
77,6.51E-22,0.081469,1.19E-07,4.12E-10,0.00724241,0.911288,0.918531,1.19E-07
78,3.58E-22,0.081469,9.12E-08,3.28E-10,0.00724241,0.911289,0.918531,9.16E-08
79,1.97E-22,0.081469,7.01E-08,2.61E-10,0.00724241,0.911289,0.918531,7.03E-08
80,1.08E-22,0.081469,5.38E-08,2.07E-10,0.00724241,0.911289,0.918531,5.40E-08
