e1,e2,V,Rs,Rv,P 
0.01,0.08,0.989287,0.00534753,0.00536569,0.0107132
0.01,0.09,0.989328,0.00534698,0.00532507,0.010672
0.01,0.1,0.989368,0.00534643,0.0052851,0.0106315
0.01,0.11,0.989408,0.00534588,0.00524577,0.0105917
0.01,0.12,0.989448,0.00534533,0.00520708,0.0105524
0.01,0.13,0.989486,0.00534478,0.005169,0.0105138
0.01,0.14,0.989524,0.00534424,0.00513153,0.0104758
0.01,0.15,0.989562,0.00534369,0.00509464,0.0104383
0.01,0.16,0.989599,0.00534314,0.00505832,0.0104015
0.01,0.17,0.989635,0.0053426,0.00502256,0.0103652
0.01,0.18,0.989671,0.00534206,0.00498736,0.0103294
0.01,0.19,0.989706,0.00534151,0.00495268,0.0102942
0.01,0.2,0.98974,0.00534097,0.00491853,0.0102595
0.01,0.21,0.989775,0.00534043,0.00488489,0.0102253
0.01,0.22,0.989808,0.00533989,0.00485175,0.0101916
0.01,0.23,0.989842,0.00533935,0.0048191,0.0101585
0.01,0.24,0.989874,0.00533881,0.00478693,0.0101257
0.01,0.25,0.989906,0.00533827,0.00475523,0.0100935
0.01,0.26,0.989938,0.00533774,0.00472399,0.0100617
0.01,0.27,0.98997,0.0053372,0.00469319,0.0100304
0.01,0.28,0.990001,0.00533666,0.00466283,0.0099995
0.01,0.29,0.990031,0.00533613,0.00463291,0.00996904
0.01,0.3,0.990061,0.0053356,0.0046034,0.009939
0.01,0.31,0.990091,0.00533506,0.00457431,0.00990937
0.01,0.32,0.99012,0.00533453,0.00454562,0.00988015
0.01,0.33,0.990149,0.005334,0.00451732,0.00985132
0.01,0.34,0.990177,0.00533347,0.00448942,0.00982288
0.01,0.35,0.990205,0.00533294,0.00446189,0.00979483
0.01,0.36,0.990233,0.00533241,0.00443473,0.00976714
0.01,0.37,0.99026,0.00533188,0.00440794,0.00973982
0.01,0.38,0.990287,0.00533135,0.00438151,0.00971286
0.01,0.39,0.990314,0.00533083,0.00435542,0.00968625
0.01,0.4,0.99034,0.0053303,0.00432968,0.00965999
0.01,0.41,0.990366,0.00532978,0.00430428,0.00963406
0.01,0.42,0.990392,0.00532925,0.00427921,0.00960846
0.01,0.43,0.990417,0.00532873,0.00425446,0.00958319
0.01,0.44,0.990442,0.00532821,0.00423003,0.00955824
0.01,0.45,0.990466,0.00532769,0.00420591,0.0095336
0.01,0.46,0.990491,0.00532717,0.0041821,0.00950926
0.01,0.47,0.990515,0.00532665,0.00415858,0.00948523
0.01,0.48,0.990539,0.00532613,0.00413536,0.00946149
0.01,0.49,0.990562,0.00532561,0.00411244,0.00943804
0.01,0.5,0.990585,0.00532509,0.00408979,0.00941488
0.01,0.51,0.990608,0.00532457,0.00406742,0.009392
0.01,0.52,0.990631,0.00532406,0.00404533,0.00936939
0.01,0.53,0.990653,0.00532354,0.00402351,0.00934705
0.01,0.54,0.990675,0.00532303,0.00400195,0.00932498
0.01,0.55,0.990697,0.00532251,0.00398065,0.00930316
0.01,0.56,0.990718,0.005322,0.0039596,0.0092816
0.01,0.57,0.99074,0.00532149,0.00393881,0.0092603
0.01,0.58,0.990761,0.00532098,0.00391826,0.00923924
0.01,0.59,0.990782,0.00532047,0.00389795,0.00921842
0.01,0.6,0.990802,0.00531996,0.00387788,0.00919784
0.01,0.61,0.990823,0.00531945,0.00385804,0.00917749
0.01,0.62,0.990843,0.00531894,0.00383843,0.00915737
0.01,0.63,0.990863,0.00531843,0.00381905,0.00913748
0.01,0.64,0.990882,0.00531793,0.00379989,0.00911781
0.01,0.65,0.990902,0.00531742,0.00378095,0.00909837
0.01,0.66,0.990921,0.00531691,0.00376222,0.00907913
0.01,0.67,0.99094,0.00531641,0.0037437,0.00906011
0.01,0.68,0.990959,0.00531591,0.00372539,0.00904129
0.01,0.69,0.990977,0.0053154,0.00370728,0.00902268
