e1,e2,V,Rs,Rv,P
0,0,0.0141171,0.287144,0.698739,0.985883
0,0.01,0.0147763,0.286264,0.69896,0.985224
0,0.02,0.0154707,0.285375,0.699154,0.984529
0,0.03,0.0162024,0.284479,0.699319,0.983798
0,0.04,0.0169731,0.283574,0.699453,0.983027
0,0.05,0.017785,0.282661,0.699554,0.982215
0,0.06,0.01864,0.281739,0.699621,0.98136
0,0.07,0.0195406,0.280809,0.699651,0.980459
0,0.08,0.020489,0.27987,0.699641,0.979511
0,0.09,0.0214876,0.278922,0.69959,0.978512
0,0.1,0.022539,0.277965,0.699496,0.977461
0,0.11,0.023646,0.276999,0.699355,0.976354
0,0.12,0.0248114,0.276024,0.699164,0.975189
0,0.13,0.0260382,0.27504,0.698922,0.973962
0,0.14,0.0273295,0.274046,0.698624,0.97267
0,0.15,0.0286886,0.273043,0.698269,0.971311
0,0.16,0.0301189,0.272029,0.697852,0.969881
0,0.17,0.0316241,0.271006,0.69737,0.968376
0,0.18,0.0332078,0.269973,0.696819,0.966792
0,0.19,0.0348742,0.26893,0.696196,0.965126
0,0.2,0.0366272,0.267877,0.695496,0.963373
0,0.21,0.0384713,0.266813,0.694716,0.961529
0,0.22,0.040411,0.265739,0.69385,0.959589
0,0.23,0.0424509,0.264654,0.692895,0.957549
0,0.24,0.044596,0.263559,0.691846,0.955404
0,0.25,0.0468513,0.262452,0.690696,0.953149
0,0.26,0.0492223,0.261335,0.689443,0.950778
0,0.27,0.0517144,0.260207,0.688079,0.948286
0,0.28,0.0543334,0.259068,0.686599,0.945667
0,0.29,0.057085,0.257917,0.684998,0.942915
0,0.3,0.0599754,0.256756,0.683269,0.940025
0,0.31,0.0630107,0.255583,0.681406,0.936989
0,0.32,0.0661974,0.254399,0.679404,0.933803
0,0.33,0.0695418,0.253203,0.677255,0.930458
0,0.34,0.0730506,0.251996,0.674953,0.926949
0,0.35,0.0767301,0.250778,0.672492,0.92327
0,0.36,0.0805868,0.249549,0.669864,0.919413
0,0.37,0.0846272,0.248309,0.667064,0.915373
0,0.38,0.0888575,0.247057,0.664086,0.911143
0,0.39,0.0932833,0.245794,0.660922,0.906717
0,0.4,0.0979103,0.244521,0.657569,0.90209
0,0.41,0.102743,0.243237,0.65402,0.897257
0,0.42,0.107786,0.241943,0.650271,0.892214
0,0.43,0.113041,0.240639,0.646319,0.886959
0,0.44,0.118512,0.239326,0.642162,0.881488
0,0.45,0.124198,0.238003,0.637799,0.875802
0,0.46,0.130097,0.236672,0.633231,0.869903
0,0.47,0.136207,0.235332,0.628461,0.863793
0,0.48,0.14252,0.233986,0.623494,0.85748
0,0.49,0.149029,0.232633,0.618338,0.850971
0,0.5,0.15572,0.231275,0.613006,0.84428
0,0.51,0.162577,0.229911,0.607511,0.837423
0,0.52,0.16958,0.228545,0.601875,0.83042
0,0.53,0.176705,0.227176,0.596119,0.823295
0,0.54,0.183921,0.225807,0.590272,0.816079
0,0.55,0.191195,0.224438,0.584367,0.808805
0,0.56,0.198488,0.223071,0.578442,0.801512
0,0.57,0.205755,0.221708,0.572537,0.794245
0,0.58,0.212951,0.220351,0.566698,0.787049
0,0.59,0.220025,0.219001,0.560974,0.779975
0,0.6,0.226925,0.217661,0.555414,0.773075
0,0.61,0.233599,0.216332,0.550068,0.766401
0,0.62,0.239998,0.215017,0.544985,0.760002
0,0.63,0.246073,0.213718,0.540209,0.753927
0,0.64,0.251783,0.212436,0.535781,0.748217
0,0.65,0.257093,0.211174,0.531734,0.742907
0,0.66,0.261974,0.209932,0.528094,0.738026
0,0.67,0.266408,0.208714,0.524878,0.733592
0,0.68,0.270385,0.20752,0.522095,0.729615
0,0.69,0.273905,0.206352,0.519743,0.726095
0,0.7,0.276974,0.20521,0.517815,0.723026
0,0.71,0.279608,0.204096,0.516295,0.720392
0,0.72,0.281828,0.203011,0.51516,0.718172
0,0.73,0.28366,0.201955,0.514385,0.71634
0,0.74,0.285132,0.200928,0.51394,0.714868
0,0.75,0.286277,0.199931,0.513793,0.713723
0,0.76,0.287125,0.198963,0.513912,0.712875
0,0.77,0.287709,0.198024,0.514266,0.712291
0,0.78,0.288061,0.197115,0.514824,0.711939
0,0.79,0.288209,0.196235,0.515556,0.711791
0,0.8,0.288182,0.195383,0.516435,0.711818
0,0.81,0.288005,0.194558,0.517437,0.711995
0,0.82,0.287701,0.193761,0.518538,0.712299
0,0.83,0.287291,0.19299,0.519719,0.712709
