e1,e2,V,Rs,Rv,P
0,0,0.0172279,0.298809,0.683963,0.982772
0,0.01,0.0178723,0.298155,0.683973,0.982128
0,0.02,0.0185378,0.297499,0.683963,0.981462
0,0.03,0.0192242,0.296842,0.683934,0.980776
0,0.04,0.0199317,0.296183,0.683885,0.980068
0,0.05,0.02066,0.295524,0.683816,0.97934
0,0.06,0.0214089,0.294863,0.683728,0.978591
0,0.07,0.0221782,0.294202,0.68362,0.977822
0,0.08,0.0229674,0.293539,0.683493,0.977033
0,0.09,0.023776,0.292877,0.683347,0.976224
0,0.1,0.0246034,0.292214,0.683183,0.975397
0,0.11,0.0254488,0.29155,0.683001,0.974551
0,0.12,0.0263114,0.290887,0.682802,0.973689
0,0.13,0.0271902,0.290223,0.682587,0.97281
0,0.14,0.0280841,0.28956,0.682356,0.971916
0,0.15,0.0289919,0.288897,0.682111,0.971008
0,0.16,0.0299122,0.288236,0.681852,0.970088
0,0.17,0.0308434,0.287574,0.681582,0.969157
0,0.18,0.031784,0.286915,0.681301,0.968216
0,0.19,0.0327322,0.286256,0.681012,0.967268
0,0.2,0.0336862,0.285599,0.680715,0.966314
0,0.21,0.0346438,0.284944,0.680413,0.965356
0,0.22,0.0356031,0.28429,0.680106,0.964397
0,0.23,0.0365619,0.28364,0.679799,0.963438
0,0.24,0.0375178,0.282991,0.679491,0.962482
0,0.25,0.0384686,0.282346,0.679186,0.961531
0,0.26,0.039412,0.281703,0.678885,0.960588
0,0.27,0.0403454,0.281064,0.678591,0.959655
0,0.28,0.0412666,0.280428,0.678305,0.958733
0,0.29,0.0421731,0.279796,0.678031,0.957827
0,0.3,0.0430625,0.279168,0.677769,0.956937
0,0.31,0.0439326,0.278545,0.677523,0.956067
0,0.32,0.0447812,0.277926,0.677293,0.955219
0,0.33,0.0456061,0.277311,0.677082,0.954394
0,0.34,0.0464054,0.276702,0.676892,0.953595
0,0.35,0.0471771,0.276098,0.676724,0.952823
0,0.36,0.0479196,0.2755,0.67658,0.95208
