Betapv,Betamv,V,Rs,Rv,P
0,0 ,0.94161, 0.0563899,0.002,0.0583899
0,0.01 ,0.941565, 0.0563949,0.00204024,0.0584352
0,0.02 ,0.941517, 0.0564001,0.00208331,0.0584834
0,0.03 ,0.941465, 0.0564055,0.00212956,0.058535
0,0.04 ,0.94141, 0.0564111,0.0021794,0.0585905
0,0.05 ,0.94135, 0.0564169,0.00223331,0.0586502
0,0.06 ,0.941285, 0.0564229,0.0022919,0.0587148
0,0.07 ,0.941215, 0.0564292,0.00235585,0.0587851
0,0.08 ,0.941138, 0.0564358,0.00242606,0.0588619
0,0.09 ,0.941054, 0.0564427,0.00250358,0.0589463
0,0.1 ,0.94096, 0.0564499,0.00258978,0.0590397
0,0.11 ,0.940856, 0.0564574,0.00268639,0.0591438
0,0.12 ,0.940739, 0.0564654,0.00279564,0.059261
0,0.13 ,0.940606, 0.0564738,0.0029205,0.0593943
0,0.14 ,0.940452, 0.0564826,0.00306498,0.0595476
0,0.15 ,0.940273, 0.056492,0.00323466,0.0597266
0,0.16 ,0.940061, 0.0565019,0.00343754,0.0599395
0,0.17 ,0.939802, 0.0565125,0.00368555,0.0601981
0,0.18 ,0.939479, 0.0565238,0.0039973,0.0605211
0,0.19 ,0.93906, 0.056536,0.00440356,0.0609395
0,0.2 ,0.938492, 0.056549,0.00495921,0.0615083
0,0.21 ,0.937664, 0.0565632,0.00577243,0.0623356
0,0.22 ,0.936333, 0.0565786,0.00708879,0.0636674
0,0.23 ,0.933808, 0.0565954,0.0095965,0.0661919
0,0.24 ,0.927422, 0.056614,0.0159642,0.0725782
0,0.25 ,0.904348, 0.0566346,0.0390161,0.0956507
0,0.26 ,0.851951, 0.0566576,0.0913914,0.148049
0,0.27 ,0.792875, 0.0566837,0.150441,0.207125
0,0.28 ,0.736767, 0.0567136,0.206519,0.263233
0,0.29 ,0.684958, 0.056748,0.258294,0.315042
0,0.3 ,0.637407, 0.0567881,0.305804,0.362593
0,0.31 ,0.593807, 0.0568353,0.349358,0.406193
0,0.32 ,0.553805, 0.0568908,0.389304,0.446195
0,0.33 ,0.517064, 0.0569561,0.42598,0.482936
0,0.34 ,0.483274, 0.0570327,0.459694,0.516726
0,0.35 ,0.452155, 0.057122,0.490723,0.547845
0,0.36 ,0.423459, 0.0572249,0.519316,0.576541
0,0.37 ,0.396963, 0.0573427,0.545695,0.603037
0,0.38 ,0.372468, 0.0574759,0.570056,0.627532
