Betapv,Betamv,V,Rs,Rv,P
0,0 ,0.993898, 0.00410229,0.002,0.00610229
0,0.01 ,0.993758, 0.00410755,0.00213419,0.00624175
0,0.02 ,0.993606, 0.00411289,0.00228106,0.00639395
0,0.03 ,0.993439, 0.0041183,0.00244244,0.00656073
0,0.04 ,0.993256, 0.00412378,0.00262055,0.00674433
0,0.05 ,0.993053, 0.00412933,0.00281809,0.00694742
0,0.06 ,0.992827, 0.00413497,0.00303835,0.00717332
0,0.07 ,0.992574, 0.00414068,0.00328543,0.00742611
0,0.08 ,0.992289, 0.00414647,0.00356446,0.00771092
0,0.09 ,0.991966, 0.00415234,0.00388194,0.00803428
0,0.1 ,0.991595, 0.00415829,0.00424628,0.00840457
0,0.11 ,0.991167, 0.00416433,0.0046685,0.00883284
0,0.12 ,0.990666, 0.00417046,0.00516337,0.00933383
0,0.13 ,0.990072, 0.00417668,0.00575105,0.00992773
0,0.14 ,0.989357, 0.00418299,0.0064599,0.0106429
0,0.15 ,0.98848, 0.00418939,0.00733091,0.0115203
0,0.16 ,0.987378, 0.00419589,0.00842567,0.0126216
0,0.17 ,0.985957, 0.00420249,0.00984064,0.0140431
0,0.18 ,0.984056, 0.00420918,0.0117353,0.0159445
0,0.19 ,0.981393, 0.00421598,0.0143909,0.0186069
0,0.2 ,0.977433, 0.00422289,0.0183444,0.0225672
0,0.21 ,0.97105, 0.0042299,0.0247201,0.02895
0,0.22 ,0.959691, 0.00423702,0.0360715,0.0403086
0,0.23 ,0.937847, 0.00424425,0.0579088,0.062153
0,0.24 ,0.899009, 0.0042516,0.0967393,0.100991
0,0.25 ,0.846275, 0.00425907,0.149466,0.153725
0,0.26 ,0.789312, 0.00426666,0.206421,0.210688
0,0.27 ,0.733736, 0.00427438,0.261989,0.266264
0,0.28 ,0.681501, 0.00428222,0.314217,0.318499
0,0.29 ,0.633092, 0.00429019,0.362618,0.366908
0,0.3 ,0.588472, 0.0042983,0.407229,0.411528
0,0.31 ,0.547421, 0.00430654,0.448273,0.452579
0,0.32 ,0.509661, 0.00431492,0.486024,0.490339
0,0.33 ,0.47491, 0.00432345,0.520766,0.52509
0,0.34 ,0.442898, 0.00433213,0.55277,0.557102
0,0.35 ,0.413376, 0.00434096,0.582283,0.586624
0,0.36 ,0.386117, 0.00434994,0.609533,0.613883
0,0.37 ,0.360918, 0.00435908,0.634723,0.639082
0,0.38 ,0.337593, 0.00436839,0.658039,0.662407
0,0.39 ,0.315978, 0.00437786,0.679644,0.684022
0,0.4 ,0.295925, 0.00438751,0.699688,0.704075
0,0.41 ,0.2773, 0.00439733,0.718303,0.7227
0,0.42 ,0.259983, 0.00440732,0.73561,0.740017
0,0.43 ,0.243866, 0.00441751,0.751716,0.756134
0,0.44 ,0.228852, 0.00442788,0.76672,0.771148
0,0.45 ,0.214852, 0.00443844,0.780709,0.785148
0,0.46 ,0.201787, 0.0044492,0.793764,0.798213
0,0.47 ,0.189585, 0.00446017,0.805955,0.810415
0,0.48 ,0.178178, 0.00447134,0.81735,0.821822
0,0.49 ,0.167509, 0.00448271,0.828008,0.832491
0,0.5 ,0.157522, 0.00449431,0.837984,0.842478
0,0.51 ,0.148168, 0.00450612,0.847326,0.851832
0,0.52 ,0.1394, 0.00451815,0.856082,0.8606
0,0.53 ,0.131178, 0.00453042,0.864291,0.868822
0,0.54 ,0.123464, 0.00454291,0.871994,0.876536
0,0.55 ,0.116221, 0.00455564,0.879223,0.883779
0,0.56 ,0.109419, 0.00456861,0.886013,0.890581
0,0.57 ,0.103027, 0.00458182,0.892391,0.896973
0,0.58 ,0.0970179, 0.00459528,0.898387,0.902982
0,0.59 ,0.0913669, 0.00460899,0.904024,0.908633
0,0.6 ,0.0860505, 0.00462295,0.909327,0.913949
0,0.61 ,0.0810471, 0.00463717,0.914316,0.918953
0,0.62 ,0.0763368, 0.00465166,0.919012,0.923663
0,0.63 ,0.0719011, 0.00466641,0.923432,0.928099
0,0.64 ,0.0677228, 0.00468142,0.927596,0.932277
0,0.65 ,0.063786, 0.00469671,0.931517,0.936214
0,0.66 ,0.0600759, 0.00471226,0.935212,0.939924
0,0.67 ,0.0565787, 0.0047281,0.938693,0.943421
0,0.68 ,0.0532815, 0.00474421,0.941974,0.946718
0,0.69 ,0.0501724, 0.0047606,0.945067,0.949828
0,0.7 ,0.0472402, 0.00477727,0.947982,0.95276
0,0.71 ,0.0444745, 0.00479423,0.950731,0.955525
0,0.72 ,0.0418655, 0.00481147,0.953323,0.958134
0,0.73 ,0.0394041, 0.00482899,0.955767,0.960596
0,0.74 ,0.0370818, 0.00484681,0.958071,0.962918
0,0.75 ,0.0348905, 0.00486492,0.960245,0.965109
0,0.76 ,0.0328229, 0.00488331,0.962294,0.967177
0,0.77 ,0.0308718, 0.004902,0.964226,0.969128
0,0.78 ,0.0290307, 0.00492098,0.966048,0.970969
0,0.79 ,0.0272934, 0.00494025,0.967766,0.972707
0,0.8 ,0.025654, 0.00495981,0.969386,0.974346
0,0.81 ,0.0241072, 0.00497967,0.970913,0.975893
0,0.82 ,0.0226477, 0.00499982,0.972353,0.977352
0,0.83 ,0.0212707, 0.00502027,0.973709,0.978729
0,0.84 ,0.0199717, 0.005041,0.974987,0.980028
0,0.85 ,0.0187463, 0.00506203,0.976192,0.981254
0,0.86 ,0.0175906, 0.00508335,0.977326,0.982409
0,0.87 ,0.0165007, 0.00510497,0.978394,0.983499
0,0.88 ,0.015473, 0.00512687,0.9794,0.984527
0,0.89 ,0.014504, 0.00514906,0.980347,0.985496
0,0.9 ,0.0135907, 0.00517155,0.981238,0.986409
0,0.91 ,0.01273, 0.00519432,0.982076,0.98727
0,0.92 ,0.011919, 0.00521738,0.982864,0.988081
0,0.93 ,0.011155, 0.00524072,0.983604,0.988845
0,0.94 ,0.0104354, 0.00526435,0.9843,0.989565
0,0.95 ,0.00975789, 0.00528826,0.984954,0.990242
0,0.96 ,0.00912011, 0.00531245,0.985567,0.99088
0,0.97 ,0.0085199, 0.00533692,0.986143,0.99148
0,0.98 ,0.00795523, 0.00536167,0.986683,0.992045
0,0.99 ,0.00742416, 0.0053867,0.987189,0.992576
0,1 ,0.00692484, 0.005412,0.987663,0.993075
0.01,0 ,0.993859, 0.00410254,0.00203849,0.00614103
0.01,0.01 ,0.99372, 0.0041078,0.00217268,0.00628048
0.01,0.02 ,0.993567, 0.00411314,0.00231954,0.00643268
0.01,0.03 ,0.993401, 0.00411855,0.00248091,0.00659946
0.01,0.04 ,0.993217, 0.00412403,0.00265901,0.00678304
0.01,0.05 ,0.993014, 0.00412958,0.00285654,0.00698613
0.01,0.06 ,0.992788, 0.00413522,0.00307679,0.00721201
0.01,0.07 ,0.992535, 0.00414093,0.00332386,0.00746479
0.01,0.08 ,0.99225, 0.00414672,0.00360287,0.00774958
0.01,0.09 ,0.991927, 0.00415259,0.00392032,0.00807291
0.01,0.1 ,0.991557, 0.00415854,0.00428463,0.00844318
0.01,0.11 ,0.991129, 0.00416458,0.00470682,0.00887141
0.01,0.12 ,0.990628, 0.00417071,0.00520164,0.00937235
0.01,0.13 ,0.990034, 0.00417693,0.00578926,0.00996619
0.01,0.14 ,0.989319, 0.00418324,0.00649801,0.0106813
0.01,0.15 ,0.988441, 0.00418964,0.00736891,0.0115585
0.01,0.16 ,0.98734, 0.00419614,0.00846348,0.0126596
0.01,0.17 ,0.985919, 0.00420274,0.00987818,0.0140809
0.01,0.18 ,0.984018, 0.00420943,0.0117724,0.0159818
0.01,0.19 ,0.981357, 0.00421623,0.0144272,0.0186435
0.01,0.2 ,0.977398, 0.00422313,0.0183793,0.0226024
0.01,0.21 ,0.971018, 0.00423015,0.0247522,0.0289824
0.01,0.22 ,0.959665, 0.00423727,0.0360972,0.0403345
0.01,0.23 ,0.937835, 0.0042445,0.0579207,0.0621652
0.01,0.24 ,0.899016, 0.00425185,0.0967321,0.100984
0.01,0.25 ,0.846295, 0.00425932,0.149446,0.153705
0.01,0.26 ,0.789338, 0.00426691,0.206395,0.210662
0.01,0.27 ,0.733764, 0.00427462,0.261962,0.266236
0.01,0.28 ,0.681528, 0.00428247,0.314189,0.318472
0.01,0.29 ,0.633119, 0.00429044,0.36259,0.366881
0.01,0.3 ,0.588499, 0.00429854,0.407203,0.411501
0.01,0.31 ,0.547446, 0.00430679,0.448247,0.452554
0.01,0.32 ,0.509686, 0.00431517,0.485999,0.490314
0.01,0.33 ,0.474934, 0.0043237,0.520742,0.525066
0.01,0.34 ,0.442921, 0.00433238,0.552747,0.557079
0.01,0.35 ,0.413398, 0.0043412,0.582261,0.586602
0.01,0.36 ,0.386139, 0.00435019,0.609511,0.613861
0.01,0.37 ,0.360938, 0.00435933,0.634703,0.639062
0.01,0.38 ,0.337613, 0.00436863,0.658019,0.662387
0.01,0.39 ,0.315997, 0.00437811,0.679625,0.684003
0.01,0.4 ,0.295943, 0.00438775,0.699669,0.704057
0.01,0.41 ,0.277317, 0.00439757,0.718285,0.722683
0.01,0.42 ,0.26, 0.00440757,0.735593,0.74
0.01,0.43 ,0.243882, 0.00441775,0.7517,0.756118
0.01,0.44 ,0.228868, 0.00442812,0.766704,0.771132
0.01,0.45 ,0.214867, 0.00443869,0.780694,0.785133
0.01,0.46 ,0.201802, 0.00444945,0.793749,0.798198
0.01,0.47 ,0.189599, 0.00446041,0.805941,0.810401
0.01,0.48 ,0.178192, 0.00447158,0.817337,0.821808
0.01,0.49 ,0.167522, 0.00448296,0.827995,0.832478
0.01,0.5 ,0.157535, 0.00449455,0.837971,0.842465
0.01,0.51 ,0.14818, 0.00450636,0.847314,0.85182
0.01,0.52 ,0.139412, 0.00451839,0.85607,0.860588
0.01,0.53 ,0.131189, 0.00453065,0.86428,0.868811
0.01,0.54 ,0.123474, 0.00454315,0.871983,0.876526
0.01,0.55 ,0.116231, 0.00455588,0.879213,0.883769
0.01,0.56 ,0.109429, 0.00456884,0.886003,0.890571
0.01,0.57 ,0.103036, 0.00458206,0.892382,0.896964
0.01,0.58 ,0.0970271, 0.00459551,0.898377,0.902973
0.01,0.59 ,0.0913757, 0.00460922,0.904015,0.908624
0.01,0.6 ,0.086059, 0.00462319,0.909318,0.913941
0.01,0.61 ,0.0810553, 0.00463741,0.914307,0.918945
0.01,0.62 ,0.0763447, 0.00465189,0.919003,0.923655
0.01,0.63 ,0.0719086, 0.00466664,0.923425,0.928091
0.01,0.64 ,0.0677301, 0.00468165,0.927588,0.93227
0.01,0.65 ,0.063793, 0.00469694,0.93151,0.936207
0.01,0.66 ,0.0600826, 0.0047125,0.935205,0.939917
0.01,0.67 ,0.0565852, 0.00472833,0.938687,0.943415
0.01,0.68 ,0.0532877, 0.00474444,0.941968,0.946712
0.01,0.69 ,0.0501784, 0.00476083,0.945061,0.949822
0.01,0.7 ,0.047246, 0.0047775,0.947977,0.952754
0.01,0.71 ,0.04448, 0.00479445,0.950726,0.95552
0.01,0.72 ,0.0418708, 0.00481169,0.953318,0.958129
0.01,0.73 ,0.0394092, 0.00482922,0.955762,0.960591
0.01,0.74 ,0.0370867, 0.00484704,0.958066,0.962913
