Betapv,Betamv,V,Rs,Rv,P
0,0 ,0.994021, 0.00397863,0.002,0.00597863
0,0.01 ,0.993957, 0.00397895,0.00206422,0.00604317
0,0.02 ,0.993886, 0.00397928,0.00213428,0.00611357
0,0.03 ,0.993809, 0.00397962,0.00221104,0.00619066
0,0.04 ,0.993725, 0.00397996,0.00229552,0.00627547
0,0.05 ,0.993631, 0.0039803,0.00238895,0.00636925
0,0.06 ,0.993526, 0.00398065,0.00249285,0.0064735
0,0.07 ,0.99341, 0.003981,0.00260912,0.00659012
0,0.08 ,0.993279, 0.00398136,0.00274012,0.00672148
0,0.09 ,0.993129, 0.00398172,0.00288886,0.00687058
0,0.1 ,0.992959, 0.00398209,0.00305923,0.00704132
0,0.11 ,0.992761, 0.00398246,0.00325636,0.00723882
0,0.12 ,0.99253, 0.00398284,0.00348712,0.00746995
0,0.13 ,0.992256, 0.00398322,0.00376094,0.00774416
0,0.14 ,0.991925, 0.00398361,0.00409113,0.00807475
0,0.15 ,0.991519, 0.00398401,0.00449712,0.00848113
0,0.16 ,0.991007, 0.00398441,0.0050083,0.00899271
0,0.17 ,0.990344, 0.00398481,0.0056714,0.00965621
0,0.18 ,0.98945, 0.00398523,0.00656519,0.0105504
0,0.19 ,0.988181, 0.00398565,0.00783312,0.0118188
0,0.2 ,0.98625, 0.00398607,0.00976412,0.0137502
0,0.21 ,0.982988, 0.0039865,0.0130259,0.0170124
0,0.22 ,0.976541, 0.00398694,0.0194719,0.0234588
0,0.23 ,0.96083, 0.00398739,0.035183,0.0391704
0,0.24 ,0.922348, 0.00398784,0.0736646,0.0776524
0,0.25 ,0.863875, 0.0039883,0.132137,0.136125
0,0.26 ,0.802156, 0.00398877,0.193855,0.197844
0,0.27 ,0.74353, 0.00398925,0.252481,0.25647
0,0.28 ,0.689301, 0.00398973,0.30671,0.310699
0,0.29 ,0.639517, 0.00399022,0.356493,0.360483
0,0.3 ,0.593901, 0.00399072,0.402108,0.406099
0,0.31 ,0.552099, 0.00399123,0.44391,0.447901
0,0.32 ,0.513754, 0.00399175,0.482255,0.486246
0,0.33 ,0.478534, 0.00399227,0.517474,0.521466
0,0.34 ,0.446139, 0.00399281,0.549868,0.553861
0,0.35 ,0.416299, 0.00399335,0.579708,0.583701
0,0.36 ,0.388771, 0.00399391,0.607235,0.611229
0,0.37 ,0.36334, 0.00399447,0.632665,0.63666
0,0.38 ,0.339816, 0.00399505,0.656189,0.660184
0,0.39 ,0.318027, 0.00399564,0.677977,0.681973
0,0.4 ,0.297821, 0.00399623,0.698183,0.702179
0,0.41 ,0.279059, 0.00399684,0.716944,0.720941
0,0.42 ,0.261621, 0.00399746,0.734382,0.738379
0,0.43 ,0.245395, 0.00399809,0.750607,0.754605
0,0.44 ,0.230282, 0.00399874,0.76572,0.769718
0,0.45 ,0.216192, 0.00399939,0.779808,0.783808
0,0.46 ,0.203046, 0.00400006,0.792954,0.796954
0,0.47 ,0.190768, 0.00400075,0.805231,0.809232
0,0.48 ,0.179293, 0.00400145,0.816705,0.820707
0,0.49 ,0.168561, 0.00400216,0.827437,0.831439
0,0.5 ,0.158515, 0.00400288,0.837482,0.841485
