Betapv,Betamv,V,Rs,Rv,P
0,0 ,0.994883, 0.00311678,0.002,0.00511678
0,0.01 ,0.994786, 0.00311901,0.00209512,0.00521413
0,0.02 ,0.99468, 0.00312128,0.00219908,0.00532036
0,0.03 ,0.994563, 0.00312358,0.00231317,0.00543675
0,0.04 ,0.994435, 0.00312591,0.00243894,0.00556485
0,0.05 ,0.994293, 0.00312827,0.00257827,0.00570654
0,0.06 ,0.994136, 0.00313066,0.00273347,0.00586413
0,0.07 ,0.99396, 0.00313309,0.00290739,0.00604048
0,0.08 ,0.993761, 0.00313555,0.00310363,0.00623917
0,0.09 ,0.993535, 0.00313804,0.00332675,0.00646479
0,0.1 ,0.993277, 0.00314057,0.00358265,0.00672322
0,0.11 ,0.992978, 0.00314314,0.00387909,0.00702222
0,0.12 ,0.992628, 0.00314574,0.00422645,0.0073722
0,0.13 ,0.992213, 0.00314838,0.00463902,0.0077874
0,0.14 ,0.991712, 0.00315106,0.00513687,0.00828793
0,0.15 ,0.991097, 0.00315378,0.00574923,0.00890301
0,0.16 ,0.990323, 0.00315654,0.00652024,0.00967678
0,0.17 ,0.989321, 0.00315934,0.00751966,0.010679
0,0.18 ,0.987973, 0.00316219,0.00886433,0.0120265
0,0.19 ,0.986071, 0.00316508,0.0107643,0.0139294
0,0.2 ,0.983198, 0.00316801,0.0136338,0.0168018
0,0.21 ,0.978438, 0.00317099,0.0183908,0.0215618
0,0.22 ,0.969466, 0.00317401,0.02736,0.0305341
0,0.23 ,0.950129, 0.00317709,0.0466936,0.0498707
0,0.24 ,0.910861, 0.00318021,0.0859584,0.0891386
0,0.25 ,0.855153, 0.00318338,0.141663,0.144847
0,0.26 ,0.795689, 0.00318661,0.201124,0.204311
0,0.27 ,0.738476, 0.00318989,0.258334,0.261524
0,0.28 ,0.685167, 0.00319322,0.31164,0.314833
0,0.29 ,0.63602, 0.00319661,0.360783,0.36398
0,0.3 ,0.59087, 0.00320005,0.405929,0.40913
0,0.31 ,0.549424, 0.00320356,0.447372,0.450576
0,0.32 ,0.511362, 0.00320713,0.485431,0.488638
0,0.33 ,0.476372, 0.00321075,0.520418,0.523628
0,0.34 ,0.444168, 0.00321445,0.552618,0.555832
0,0.35 ,0.414488, 0.0032182,0.582293,0.585512
0,0.36 ,0.387099, 0.00322203,0.609679,0.612901
0,0.37 ,0.36179, 0.00322592,0.634984,0.63821
0,0.38 ,0.338372, 0.00322989,0.658398,0.661628
0,0.39 ,0.316678, 0.00323393,0.680088,0.683322
0,0.4 ,0.296556, 0.00323804,0.700206,0.703444
0,0.41 ,0.277871, 0.00324223,0.718887,0.722129
0,0.42 ,0.260501, 0.0032465,0.736252,0.739499
0,0.43 ,0.244338, 0.00325085,0.752411,0.755662
0,0.44 ,0.229283, 0.00325529,0.767461,0.770717
0,0.45 ,0.215247, 0.00325981,0.781493,0.784753
0,0.46 ,0.20215, 0.00326442,0.794586,0.79785
0,0.47 ,0.189918, 0.00326912,0.806813,0.810082
0,0.48 ,0.178486, 0.00327391,0.81824,0.821514
0,0.49 ,0.167793, 0.0032788,0.828929,0.832207
0,0.5 ,0.157784, 0.00328378,0.838932,0.842216
0,0.51 ,0.14841, 0.00328887,0.848301,0.85159
0,0.52 ,0.139625, 0.00329406,0.857081,0.860375
0,0.53 ,0.131387, 0.00329935,0.865314,0.868613
0,0.54 ,0.123657, 0.00330475,0.873038,0.876343
0,0.55 ,0.116401, 0.00331026,0.880288,0.883599
0,0.56 ,0.109587, 0.00331589,0.887097,0.890413
0,0.57 ,0.103183, 0.00332163,0.893495,0.896817
0,0.58 ,0.0971638, 0.00332749,0.899509,0.902836
0,0.59 ,0.0915031, 0.00333347,0.905163,0.908497
0,0.6 ,0.0861777, 0.00333957,0.910483,0.913822
0,0.61 ,0.081166, 0.0033458,0.915488,0.918834
0,0.62 ,0.0764479, 0.00335216,0.9202,0.923552
0,0.63 ,0.0720051, 0.00335865,0.924636,0.927995
0,0.64 ,0.0678201, 0.00336527,0.928815,0.93218
0,0.65 ,0.0638772, 0.00337203,0.932751,0.936123
0,0.66 ,0.0601613, 0.00337892,0.93646,0.939839
0,0.67 ,0.0566588, 0.00338596,0.939955,0.943341
0,0.68 ,0.0533566, 0.00339314,0.94325,0.946643
0,0.69 ,0.0502428, 0.00340046,0.946357,0.949757
0,0.7 ,0.0473063, 0.00340793,0.949286,0.952694
0,0.71 ,0.0445365, 0.00341555,0.952048,0.955463
0,0.72 ,0.0419237, 0.00342332,0.954653,0.958076
0,0.73 ,0.0394588, 0.00343125,0.95711,0.960541
0,0.74 ,0.0371331, 0.00343933,0.959428,0.962867
0,0.75 ,0.0349388, 0.00344756,0.961614,0.965061
0,0.76 ,0.0328682, 0.00345596,0.963676,0.967132
0,0.77 ,0.0309144, 0.00346451,0.965621,0.969086
0,0.78 ,0.0290707, 0.00347323,0.967456,0.970929
0,0.79 ,0.027331, 0.00348211,0.969187,0.972669
0,0.8 ,0.0256894, 0.00349115,0.970819,0.974311
0,0.81 ,0.0241404, 0.00350036,0.972359,0.97586
0,0.82 ,0.0226789, 0.00350974,0.973811,0.977321
0,0.83 ,0.0213001, 0.00351928,0.975181,0.9787
0,0.84 ,0.0199993, 0.003529,0.976472,0.980001
0,0.85 ,0.0187723, 0.00353888,0.977689,0.981228
0,0.86 ,0.0176151, 0.00354894,0.978836,0.982385
0,0.87 ,0.0165237, 0.00355917,0.979917,0.983476
0,0.88 ,0.0154946, 0.00356957,0.980936,0.984505
0,0.89 ,0.0145244, 0.00358014,0.981895,0.985476
0,0.9 ,0.0136099, 0.00359089,0.982799,0.98639
0,0.91 ,0.0127481, 0.00360181,0.98365,0.987252
0,0.92 ,0.011936, 0.00361291,0.984451,0.988064
0,0.93 ,0.011171, 0.00362418,0.985205,0.988829
0,0.94 ,0.0104505, 0.00363563,0.985914,0.989549
0,0.95 ,0.00977213, 0.00364726,0.986581,0.990228
0,0.96 ,0.00913354, 0.00365906,0.987207,0.990866
0,0.97 ,0.00853257, 0.00367104,0.987796,0.991467
0,0.98 ,0.00796719, 0.00368319,0.98835,0.992033
0,0.99 ,0.00743544, 0.00369552,0.988869,0.992565
0,1 ,0.0069355, 0.00370803,0.989356,0.993065
0.01,0 ,0.994844, 0.00311703,0.00203851,0.00515554
0.01,0.01 ,0.994747, 0.00311927,0.00213363,0.00525289
0.01,0.02 ,0.994641, 0.00312153,0.00223759,0.00535912
0.01,0.03 ,0.994524, 0.00312383,0.00235167,0.0054755
0.01,0.04 ,0.994396, 0.00312616,0.00247744,0.0056036
0.01,0.05 ,0.994255, 0.00312852,0.00261676,0.00574528
0.01,0.06 ,0.994097, 0.00313091,0.00277195,0.00590286
0.01,0.07 ,0.993921, 0.00313334,0.00294586,0.0060792
0.01,0.08 ,0.993722, 0.0031358,0.00314208,0.00627788
0.01,0.09 ,0.993497, 0.00313829,0.00336519,0.00650348
0.01,0.1 ,0.993238, 0.00314082,0.00362107,0.00676189
0.01,0.11 ,0.992939, 0.00314339,0.00391748,0.00706087
0.01,0.12 ,0.992589, 0.00314599,0.00426482,0.00741081
0.01,0.13 ,0.992174, 0.00314863,0.00467733,0.00782597
0.01,0.14 ,0.991674, 0.00315131,0.00517512,0.00832644
0.01,0.15 ,0.991059, 0.00315403,0.0057874,0.00894143
0.01,0.16 ,0.990285, 0.00315679,0.00655827,0.00971507
0.01,0.17 ,0.989283, 0.0031596,0.00755751,0.0107171
0.01,0.18 ,0.987936, 0.00316244,0.00890185,0.0120643
0.01,0.19 ,0.986033, 0.00316533,0.0108013,0.0139666
0.01,0.2 ,0.983162, 0.00316826,0.0136697,0.016838
0.01,0.21 ,0.978404, 0.00317124,0.0184245,0.0215957
0.01,0.22 ,0.969438, 0.00317426,0.0273881,0.0305624
0.01,0.23 ,0.950116, 0.00317734,0.0467071,0.0498845
0.01,0.24 ,0.910871, 0.00318046,0.085949,0.0891295
0.01,0.25 ,0.855176, 0.00318363,0.14164,0.144824
0.01,0.26 ,0.795717, 0.00318686,0.201096,0.204283
0.01,0.27 ,0.738505, 0.00319014,0.258305,0.261495
0.01,0.28 ,0.685195, 0.00319347,0.311612,0.314805
0.01,0.29 ,0.636048, 0.00319686,0.360755,0.363952
0.01,0.3 ,0.590897, 0.0032003,0.405902,0.409103
0.01,0.31 ,0.54945, 0.00320381,0.447346,0.45055
0.01,0.32 ,0.511387, 0.00320738,0.485406,0.488613
0.01,0.33 ,0.476396, 0.003211,0.520393,0.523604
0.01,0.34 ,0.444191, 0.0032147,0.552595,0.555809
0.01,0.35 ,0.414511, 0.00321845,0.582271,0.585489
0.01,0.36 ,0.387121, 0.00322228,0.609657,0.612879
0.01,0.37 ,0.361811, 0.00322617,0.634963,0.638189
0.01,0.38 ,0.338392, 0.00323014,0.658378,0.661608
0.01,0.39 ,0.316697, 0.00323418,0.680069,0.683303
0.01,0.4 ,0.296574, 0.00323829,0.700188,0.703426
0.01,0.41 ,0.277888, 0.00324248,0.718869,0.722112
0.01,0.42 ,0.260518, 0.00324675,0.736235,0.739482
0.01,0.43 ,0.244355, 0.0032511,0.752394,0.755645
0.01,0.44 ,0.229299, 0.00325554,0.767445,0.770701
0.01,0.45 ,0.215263, 0.00326006,0.781477,0.784737
0.01,0.46 ,0.202164, 0.00326467,0.794571,0.797836
0.01,0.47 ,0.189932, 0.00326937,0.806799,0.810068
0.01,0.48 ,0.178499, 0.00327416,0.818227,0.821501
0.01,0.49 ,0.167806, 0.00327905,0.828915,0.832194
0.01,0.5 ,0.157797, 0.00328403,0.838919,0.842203
0.01,0.51 ,0.148422, 0.00328912,0.848289,0.851578
0.01,0.52 ,0.139637, 0.0032943,0.857069,0.860363
0.01,0.53 ,0.131398, 0.0032996,0.865302,0.868602
0.01,0.54 ,0.123668, 0.003305,0.873027,0.876332
0.01,0.55 ,0.116412, 0.00331051,0.880278,0.883588
0.01,0.56 ,0.109597, 0.00331613,0.887087,0.890403
0.01,0.57 ,0.103193, 0.00332188,0.893485,0.896807
0.01,0.58 ,0.0971731, 0.00332773,0.899499,0.902827
0.01,0.59 ,0.091512, 0.00333371,0.905154,0.908488
0.01,0.6 ,0.0861862, 0.00333982,0.910474,0.913814
0.01,0.61 ,0.0811742, 0.00334605,0.91548,0.918826
0.01,0.62 ,0.0764558, 0.0033524,0.920192,0.923544
0.01,0.63 ,0.0720127, 0.00335889,0.924628,0.927987
0.01,0.64 ,0.0678275, 0.00336551,0.928807,0.932173
0.01,0.65 ,0.0638842, 0.00337227,0.932744,0.936116
0.01,0.66 ,0.0601681, 0.00337917,0.936453,0.939832
0.01,0.67 ,0.0566653, 0.0033862,0.939949,0.943335
0.01,0.68 ,0.0533628, 0.00339338,0.943244,0.946637
0.01,0.69 ,0.0502488, 0.0034007,0.94635,0.949751
0.01,0.7 ,0.0473121, 0.00340817,0.94928,0.952688
0.01,0.71 ,0.0445421, 0.00341579,0.952042,0.955458
0.01,0.72 ,0.041929, 0.00342356,0.954647,0.958071
0.01,0.73 ,0.0394639, 0.00343149,0.957105,0.960536
0.01,0.74 ,0.037138, 0.00343957,0.959422,0.962862
0.01,0.75 ,0.0349435, 0.0034478,0.961609,0.965057
0.01,0.76 ,0.0328727, 0.0034562,0.963671,0.967127
0.01,0.77 ,0.0309187, 0.00346475,0.965617,0.969081
0.01,0.78 ,0.0290749, 0.00347347,0.967452,0.970925
0.01,0.79 ,0.027335, 0.00348235,0.969183,0.972665
0.01,0.8 ,0.0256932, 0.00349139,0.970815,0.974307
0.01,0.81 ,0.0241441, 0.0035006,0.972355,0.975856
0.01,0.82 ,0.0226824, 0.00350997,0.973808,0.977318
0.01,0.83 ,0.0213034, 0.00351952,0.975177,0.978697
0.01,0.84 ,0.0200025, 0.00352923,0.976468,0.979997
0.01,0.85 ,0.0187754, 0.00353912,0.977685,0.981225
0.01,0.86 ,0.017618, 0.00354917,0.978833,0.982382
0.01,0.87 ,0.0165265, 0.0035594,0.979914,0.983473
0.01,0.88 ,0.0154973, 0.0035698,0.980933,0.984503
0.01,0.89 ,0.014527, 0.00358037,0.981893,0.985473
0.01,0.9 ,0.0136124, 0.00359112,0.982796,0.986388
0.01,0.91 ,0.0127504, 0.00360204,0.983648,0.98725
0.01,0.92 ,0.0119383, 0.00361314,0.984449,0.988062
0.01,0.93 ,0.0111732, 0.00362441,0.985202,0.988827
0.01,0.94 ,0.0104526, 0.00363586,0.985912,0.989547
0.01,0.95 ,0.00977408, 0.00364749,0.986578,0.990226
0.01,0.96 ,0.00913539, 0.00365929,0.987205,0.990865
0.01,0.97 ,0.00853434, 0.00367127,0.987794,0.991466
0.01,0.98 ,0.00796887, 0.00368342,0.988348,0.992031
0.01,0.99 ,0.00743704, 0.00369575,0.988867,0.992563
0.01,1 ,0.00693702, 0.00370825,0.989355,0.993063
0.02,0 ,0.994803, 0.00311728,0.00207945,0.00519673
0.02,0.01 ,0.994706, 0.00311952,0.00217456,0.00529408
0.02,0.02 ,0.9946, 0.00312179,0.00227851,0.0054003
0.02,0.03 ,0.994483, 0.00312409,0.00239259,0.00551668
0.02,0.04 ,0.994355, 0.00312642,0.00251835,0.00564477
0.02,0.05 ,0.994214, 0.00312878,0.00265767,0.00578644
0.02,0.06 ,0.994056, 0.00313117,0.00281284,0.00594401
0.02,0.07 ,0.99388, 0.00313359,0.00298674,0.00612034
0.02,0.08 ,0.993681, 0.00313605,0.00318296,0.00631901
0.02,0.09 ,0.993455, 0.00313855,0.00340604,0.00654459
0.02,0.1 ,0.993197, 0.00314108,0.0036619,0.00680298
0.02,0.11 ,0.992898, 0.00314365,0.00395829,0.00710193
0.02,0.12 ,0.992548, 0.00314625,0.00430559,0.00745184
0.02,0.13 ,0.992133, 0.00314889,0.00471806,0.00786695
0.02,0.14 ,0.991633, 0.00315157,0.00521578,0.00836735
0.02,0.15 ,0.991018, 0.00315429,0.00582797,0.00898225
0.02,0.16 ,0.990244, 0.00315705,0.00659871,0.00975575
0.02,0.17 ,0.989242, 0.00315985,0.00759773,0.0107576
0.02,0.18 ,0.987896, 0.00316269,0.00894174,0.0121044
0.02,0.19 ,0.985994, 0.00316558,0.0108406,0.0140062
0.02,0.2 ,0.983124, 0.00316851,0.0137079,0.0168764
0.02,0.21 ,0.978368, 0.00317149,0.0184603,0.0216318
0.02,0.22 ,0.969408, 0.00317452,0.027418,0.0305925
0.02,0.23 ,0.950101, 0.00317759,0.0467216,0.0498992
0.02,0.24 ,0.91088, 0.00318071,0.0859392,0.0891199
0.02,0.25 ,0.8552, 0.00318389,0.141616,0.1448
0.02,0.26 ,0.795746, 0.00318711,0.201067,0.204254
0.02,0.27 ,0.738535, 0.00319039,0.258274,0.261465
0.02,0.28 ,0.685225, 0.00319372,0.311581,0.314775
0.02,0.29 ,0.636077, 0.00319711,0.360726,0.363923
0.02,0.3 ,0.590926, 0.00320056,0.405873,0.409074
0.02,0.31 ,0.549478, 0.00320406,0.447318,0.450522
0.02,0.32 ,0.511413, 0.00320763,0.485379,0.488587
0.02,0.33 ,0.476422, 0.00321126,0.520367,0.523578
0.02,0.34 ,0.444216, 0.00321495,0.55257,0.555784
0.02,0.35 ,0.414534, 0.00321871,0.582247,0.585466
0.02,0.36 ,0.387144, 0.00322253,0.609634,0.612856
0.02,0.37 ,0.361833, 0.00322643,0.634941,0.638167
0.02,0.38 ,0.338413, 0.00323039,0.658356,0.661587
0.02,0.39 ,0.316717, 0.00323443,0.680048,0.683283
0.02,0.4 ,0.296594, 0.00323854,0.700168,0.703406
0.02,0.41 ,0.277907, 0.00324273,0.71885,0.722093
0.02,0.42 ,0.260536, 0.003247,0.736217,0.739464
0.02,0.43 ,0.244372, 0.00325136,0.752376,0.755628
0.02,0.44 ,0.229316, 0.00325579,0.767428,0.770684
0.02,0.45 ,0.215279, 0.00326031,0.781461,0.784721
0.02,0.46 ,0.20218, 0.00326492,0.794555,0.79782
0.02,0.47 ,0.189947, 0.00326962,0.806783,0.810053
0.02,0.48 ,0.178514, 0.00327441,0.818212,0.821486
0.02,0.49 ,0.167819, 0.0032793,0.828901,0.832181
0.02,0.5 ,0.15781, 0.00328428,0.838906,0.84219
0.02,0.51 ,0.148435, 0.00328937,0.848276,0.851565
0.02,0.52 ,0.139649, 0.00329455,0.857056,0.860351
0.02,0.53 ,0.13141, 0.00329985,0.86529,0.86859
0.02,0.54 ,0.12368, 0.00330525,0.873015,0.87632
0.02,0.55 ,0.116423, 0.00331076,0.880266,0.883577
0.02,0.56 ,0.109607, 0.00331638,0.887076,0.890393
0.02,0.57 ,0.103203, 0.00332212,0.893475,0.896797
0.02,0.58 ,0.0971828, 0.00332798,0.899489,0.902817
0.02,0.59 ,0.0915214, 0.00333396,0.905145,0.908479
0.02,0.6 ,0.0861953, 0.00334007,0.910465,0.913805
0.02,0.61 ,0.0811829, 0.00334629,0.915471,0.918817
0.02,0.62 ,0.0764642, 0.00335265,0.920183,0.923536
0.02,0.63 ,0.0720207, 0.00335914,0.92462,0.927979
0.02,0.64 ,0.0678352, 0.00336576,0.928799,0.932165
0.02,0.65 ,0.0638917, 0.00337252,0.932736,0.936108
0.02,0.66 ,0.0601752, 0.00337941,0.936445,0.939825
0.02,0.67 ,0.0566721, 0.00338645,0.939941,0.943328
0.02,0.68 ,0.0533695, 0.00339363,0.943237,0.946631
0.02,0.69 ,0.0502552, 0.00340095,0.946344,0.949745
0.02,0.7 ,0.0473182, 0.00340842,0.949273,0.952682
0.02,0.71 ,0.0445479, 0.00341604,0.952036,0.955452
0.02,0.72 ,0.0419347, 0.00342381,0.954642,0.958065
0.02,0.73 ,0.0394693, 0.00343173,0.957099,0.960531
0.02,0.74 ,0.0371432, 0.00343981,0.959417,0.962857
0.02,0.75 ,0.0349484, 0.00344805,0.961604,0.965052
0.02,0.76 ,0.0328775, 0.00345644,0.963666,0.967123
0.02,0.77 ,0.0309233, 0.00346499,0.965612,0.969077
0.02,0.78 ,0.0290792, 0.00347371,0.967447,0.970921
0.02,0.79 ,0.0273392, 0.00348259,0.969178,0.972661
0.02,0.8 ,0.0256972, 0.00349163,0.970811,0.974303
0.02,0.81 ,0.0241479, 0.00350084,0.972351,0.975852
0.02,0.82 ,0.0226861, 0.00351021,0.973804,0.977314
0.02,0.83 ,0.021307, 0.00351976,0.975173,0.978693
0.02,0.84 ,0.0200059, 0.00352947,0.976465,0.979994
0.02,0.85 ,0.0187786, 0.00353936,0.977682,0.981221
0.02,0.86 ,0.0176211, 0.00354941,0.978829,0.982379
0.02,0.87 ,0.0165295, 0.00355964,0.979911,0.983471
0.02,0.88 ,0.0155002, 0.00357004,0.98093,0.9845
0.02,0.89 ,0.0145297, 0.00358061,0.98189,0.98547
0.02,0.9 ,0.013615, 0.00359136,0.982794,0.986385
0.02,0.91 ,0.0127529, 0.00360228,0.983645,0.987247
0.02,0.92 ,0.0119406, 0.00361338,0.984446,0.988059
0.02,0.93 ,0.0111754, 0.00362465,0.9852,0.988825
0.02,0.94 ,0.0104547, 0.0036361,0.985909,0.989545
0.02,0.95 ,0.00977613, 0.00364772,0.986576,0.990224
0.02,0.96 ,0.00913734, 0.00365952,0.987203,0.990863
0.02,0.97 ,0.0085362, 0.0036715,0.987792,0.991464
0.02,0.98 ,0.00797064, 0.00368365,0.988346,0.992029
0.02,0.99 ,0.00743873, 0.00369598,0.988865,0.992561
0.02,1 ,0.00693862, 0.00370848,0.989353,0.993061
0.03,0 ,0.994759, 0.00311754,0.00212304,0.00524059
0.03,0.01 ,0.994662, 0.00311978,0.00221815,0.00533793
0.03,0.02 ,0.994556, 0.00312205,0.0023221,0.00544415
0.03,0.03 ,0.994439, 0.00312434,0.00243618,0.00556052
0.03,0.04 ,0.994311, 0.00312667,0.00256193,0.0056886
0.03,0.05 ,0.99417, 0.00312903,0.00270123,0.00583027
0.03,0.06 ,0.994012, 0.00313143,0.0028564,0.00598783
0.03,0.07 ,0.993836, 0.00313385,0.00303029,0.00616414
0.03,0.08 ,0.993637, 0.00313631,0.00322649,0.0063628
0.03,0.09 ,0.993412, 0.00313881,0.00344956,0.00658837
0.03,0.1 ,0.993153, 0.00314134,0.0037054,0.00684673
0.03,0.11 ,0.992854, 0.0031439,0.00400175,0.00714566
0.03,0.12 ,0.992504, 0.00314651,0.00434902,0.00749552
0.03,0.13 ,0.992089, 0.00314915,0.00476144,0.00791058
0.03,0.14 ,0.991589, 0.00315183,0.00525909,0.00841092
0.03,0.15 ,0.990974, 0.00315455,0.00587118,0.00902572
0.03,0.16 ,0.990201, 0.00315731,0.00664177,0.00979908
0.03,0.17 ,0.989199, 0.00316011,0.00764058,0.0108007
0.03,0.18 ,0.987853, 0.00316295,0.00898424,0.0121472
0.03,0.19 ,0.985952, 0.00316584,0.0108825,0.0140483
0.03,0.2 ,0.983083, 0.00316877,0.0137486,0.0169174
0.03,0.21 ,0.97833, 0.00317175,0.0184984,0.0216702
0.03,0.22 ,0.969375, 0.00317477,0.0274498,0.0306246
0.03,0.23 ,0.950085, 0.00317785,0.0467371,0.0499149
0.03,0.24 ,0.91089, 0.00318097,0.0859288,0.0891098
