Betapv,Betamv,V,Rs,Rv,P
0,0 ,0.931636, 0.066364,0.002,0.068364
0,0.01 ,0.931328, 0.0664794,0.00219282,0.0686722
0,0.02 ,0.931005, 0.0665979,0.00239749,0.0689954
0,0.03 ,0.930665, 0.0667198,0.00261495,0.0693347
0,0.04 ,0.930309, 0.0668451,0.00284626,0.0696913
0,0.05 ,0.929934, 0.0669739,0.00309257,0.0700665
0,0.06 ,0.929538, 0.0671065,0.00335514,0.0704616
0,0.07 ,0.929122, 0.0672429,0.00363539,0.0708783
0,0.08 ,0.928682, 0.0673835,0.00393489,0.0713184
0,0.09 ,0.928216, 0.0675283,0.00425539,0.0717836
0,0.1 ,0.927724, 0.0676775,0.00459882,0.0722763
0,0.11 ,0.927201, 0.0678314,0.00496737,0.0727988
0,0.12 ,0.926646, 0.0679902,0.00536348,0.0733536
0,0.13 ,0.926056, 0.0681541,0.00578989,0.0739439
0,0.14 ,0.925427, 0.0683233,0.0062497,0.074573
0,0.15 ,0.924755, 0.0684982,0.00674641,0.0752446
0,0.16 ,0.924037, 0.068679,0.00728399,0.075963
0,0.17 ,0.923267, 0.068866,0.00786696,0.076733
0,0.18 ,0.92244, 0.0690595,0.00850048,0.07756
0,0.19 ,0.92155, 0.0692599,0.00919046,0.0784504
0,0.2 ,0.920589, 0.0694676,0.00994371,0.0794113
0,0.21 ,0.919549, 0.0696829,0.0107681,0.0804509
0,0.22 ,0.918421, 0.0699062,0.0116726,0.0815788
0,0.23 ,0.917194, 0.070138,0.012668,0.082806
0,0.24 ,0.915855, 0.0703787,0.0137666,0.0841454
0,0.25 ,0.914388, 0.0706289,0.014983,0.085612
0,0.26 ,0.912777, 0.0708892,0.0163343,0.0872235
0,0.27 ,0.910999, 0.07116,0.0178409,0.0890009
0,0.28 ,0.909031, 0.0714419,0.0195271,0.090969
0,0.29 ,0.906842, 0.0717358,0.0214218,0.0931575
0,0.3 ,0.904398, 0.0720421,0.0235599,0.095602
0,0.31 ,0.901655, 0.0723618,0.0259836,0.0983454
0,0.32 ,0.898561, 0.0726955,0.0287439,0.101439
0,0.33 ,0.895053, 0.0730441,0.0319027,0.104947
0,0.34 ,0.891056, 0.0734084,0.0355351,0.108944
0,0.35 ,0.886478, 0.0737895,0.0397324,0.113522
0,0.36 ,0.881207, 0.0741882,0.0446045,0.118793
0,0.37 ,0.875112, 0.0746056,0.0502825,0.124888
0,0.38 ,0.868038, 0.0750426,0.0569194,0.131962
0,0.39 ,0.859811, 0.0755003,0.0646883,0.140189
0,0.4 ,0.850245, 0.0759798,0.0737749,0.149755
0,0.41 ,0.839156, 0.076482,0.084362,0.160844
