Betapv,Betamv,V,Rs,Rv,P
0,0 ,0.974834, 0.0231655,0.002,0.0251655
0,0.01 ,0.974482, 0.0233083,0.00220997,0.0255183
0,0.02 ,0.974111, 0.0234551,0.00243374,0.0258889
0,0.03 ,0.973721, 0.0236062,0.00267248,0.0262787
0,0.04 ,0.973311, 0.0237618,0.00292749,0.0266893
0,0.05 ,0.972878, 0.023922,0.00320022,0.0271222
0,0.06 ,0.972421, 0.0240871,0.00349227,0.0275794
0,0.07 ,0.971937, 0.0242573,0.00380543,0.0280627
0,0.08 ,0.971425, 0.0244329,0.0041417,0.0285746
0,0.09 ,0.970883, 0.024614,0.00450332,0.0291174
0,0.1 ,0.970306, 0.0248011,0.00489281,0.0296939
0,0.11 ,0.969693, 0.0249943,0.00531299,0.0303073
0,0.12 ,0.969039, 0.0251939,0.00576707,0.030961
0,0.13 ,0.968341, 0.0254004,0.00625867,0.0316591
0,0.14 ,0.967594, 0.0256141,0.00679191,0.032406
0,0.15 ,0.966793, 0.0258353,0.00737149,0.0332068
0,0.16 ,0.965933, 0.0260644,0.00800278,0.0340671
0,0.17 ,0.965006, 0.0263018,0.00869194,0.0349938
0,0.18 ,0.964006, 0.0265481,0.00944609,0.0359942
0,0.19 ,0.962923, 0.0268037,0.0102734,0.0370771
0,0.2 ,0.961747, 0.0270691,0.0111835,0.0382527
0,0.21 ,0.960468, 0.0273449,0.0121876,0.0395325
0,0.22 ,0.95907, 0.0276317,0.0132985,0.0409302
0,0.23 ,0.957538, 0.0279301,0.0145318,0.0424619
0,0.24 ,0.955854, 0.0282408,0.0159056,0.0441464
0,0.25 ,0.953994, 0.0285645,0.0174416,0.0460061
0,0.26 ,0.951932, 0.0289021,0.0191654,0.0480675
0,0.27 ,0.949637, 0.0292543,0.0211083,0.0503625
0,0.28 ,0.947071, 0.029622,0.0233074,0.0529294
0,0.29 ,0.944186, 0.0300063,0.0258082,0.0558145
0,0.3 ,0.940926, 0.030408,0.0286657,0.0590736
0,0.31 ,0.937225, 0.0308283,0.0319469,0.0627752
0,0.32 ,0.932998, 0.0312683,0.035734,0.0670024
0,0.33 ,0.928144, 0.0317292,0.040127,0.0718562
0,0.34 ,0.922541, 0.0322122,0.0452469,0.0774592
0,0.35 ,0.916042, 0.0327187,0.0512396,0.0839583
0,0.36 ,0.908474, 0.0332499,0.0582764,0.0915263
0,0.37 ,0.89964, 0.0338071,0.0665529,0.10036
0,0.38 ,0.889327, 0.0343918,0.0762808,0.110673
0,0.39 ,0.877325, 0.0350052,0.0876701,0.122675
0,0.4 ,0.863451, 0.0356485,0.1009,0.136549
0,0.41 ,0.847596, 0.0363231,0.116081,0.152404
0,0.42 ,0.829758, 0.0370298,0.133212,0.170242
0,0.43 ,0.810066, 0.0377696,0.152165,0.189934
0,0.44 ,0.788775, 0.038543,0.172682,0.211225
0,0.45 ,0.766232, 0.0393506,0.194418,0.233768
0,0.46 ,0.742818, 0.0401925,0.216989,0.257182
0,0.47 ,0.718908, 0.0410686,0.240023,0.281092
0,0.48 ,0.694832, 0.0419784,0.263189,0.305168
0,0.49 ,0.670863, 0.0429212,0.286216,0.329137
0,0.5 ,0.647211, 0.0438962,0.308893,0.352789
