i,S,V,Ip (Cv=0.50),Im (Cv=0.50),R,x,I (Cv=0.50)
,,,,,,,
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.12268,0.00587781
2,0.780189,0.209017,0.00393253,0.00437668,0.0024848,0.147224,0.0083092
3,0.660878,0.323286,0.00514067,0.00613339,0.00456169,0.172572,0.0112741
4,0.541869,0.436084,0.00639722,0.00828539,0.00736359,0.197534,0.0146826
5,0.429697,0.540912,0.00759023,0.0108122,0.0109881,0.221045,0.0184025
6,0.329763,0.632437,0.00862141,0.0136829,0.0154957,0.242391,0.0223043
7,0.245353,0.707435,0.00942924,0.0168717,0.0209115,0.261314,0.026301
8,0.17741,0.764991,0.0099944,0.0203681,0.027237,0.277971,0.0303625
9,0.124972,0.806054,0.0103304,0.0241773,0.034466,0.292809,0.0345077
10,0.0859314,0.832687,0.0104686,0.0283153,0.0425973,0.306422,0.038784
11,0.0577457,0.847364,0.0104456,0.032802,0.0516423,0.319433,0.0432477
12,0.0379369,0.852487,0.0102955,0.0376537,0.0616273,0.33243,0.0479491
13,0.0243521,0.850133,0.0100461,0.042877,0.0725918,0.345934,0.0529231
14,0.0152525,0.841979,0.00971935,0.048464,0.0845854,0.360399,0.0581834
15,0.00930083,0.829318,0.00933146,0.0543873,0.097662,0.376211,0.0637187
16,0.00550573,0.813128,0.00889468,0.0605965,0.111875,0.393702,0.0694912
17,0.00315241,0.794143,0.00841859,0.0670162,0.127269,0.413147,0.0754348
18,0.00173831,0.772927,0.00791122,0.0735445,0.143879,0.43477,0.0814558
19,0.000918506,0.74993,0.00737994,0.0800548,0.161717,0.458729,0.0874347
20,0.000462385,0.725534,0.00683194,0.0863988,0.180773,0.485107,0.0932307
21,0.000220325,0.700085,0.00627461,0.0924129,0.201007,0.513889,0.0986875
22,9.86E-05,0.673912,0.00571552,0.097927,0.222347,0.544946,0.103643
23,4.12E-05,0.647336,0.00516234,0.102775,0.244686,0.578012,0.107937
24,1.59E-05,0.620672,0.0046226,0.106804,0.267885,0.612681,0.111427
25,5.60E-06,0.594224,0.0041033,0.10989,0.291777,0.648406,0.113994
26,1.79E-06,0.568278,0.00361069,0.111942,0.316167,0.684526,0.115553
27,5.12E-07,0.543094,0.0031499,0.112909,0.340846,0.720311,0.116059
28,1.30E-07,0.518896,0.00272479,0.112786,0.365594,0.755014,0.115511
29,2.89E-08,0.495864,0.00233783,0.111607,0.390191,0.787944,0.113945
30,5.57E-09,0.474136,0.00199012,0.109448,0.414425,0.818522,0.111438
31,9.21E-10,0.453805,0.00168152,0.106411,0.438103,0.846327,0.108093
32,1.29E-10,0.434918,0.00141081,0.102623,0.461049,0.871116,0.104033
33,1.53E-11,0.417489,0.00117591,0.0982196,0.483116,0.892817,0.0993955
34,1.51E-12,0.401497,0.000974144,0.0933439,0.504185,0.911508,0.0943181
35,1.23E-13,0.386898,0.000802457,0.0881333,0.524166,0.927381,0.0889358
36,8.32E-15,0.373628,0.000657614,0.0827163,0.542998,0.940698,0.0833739
37,4.61E-16,0.361612,0.00053637,0.077208,0.560644,0.951759,0.0777444
38,2.08E-17,0.350764,0.000435601,0.0717079,0.577092,0.960872,0.0721435
39,7.69E-19,0.340998,0.000352386,0.066299,0.59235,0.96833,0.0666514
40,2.30E-20,0.332225,0.000284065,0.0610479,0.606443,0.974405,0.0613319
41,5.61E-22,0.324359,0.000228263,0.0560056,0.619407,0.979333,0.0562339
42,1.11E-23,0.317316,0.0001829,0.0512096,0.631291,0.983321,0.0513925
43,1.77E-25,0.311019,0.000146176,0.0466848,0.64215,0.986541,0.046831
44,2.29E-27,0.305394,0.000116558,0.0424463,0.652043,0.989139,0.0425628
45,2.41E-29,0.300373,9.27E-05,0.0385002,0.661034,0.991233,0.038593
46,2.05E-31,0.295895,7.37E-05,0.0348463,0.669185,0.992921,0.03492
47,1.41E-33,0.291904,5.84E-05,0.0314789,0.676559,0.994281,0.0315373
