i,S,V,Ip (Cv=0.10),Im (Cv=0.10),R,x,I (Cv=0.10)
,,,,,,,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.192934,0.00396993,0.00441536,0.0024848,0.109175,0.00838529
3,0.704486,0.279306,0.00531243,0.00631519,0.00458082,0.113507,0.0116276
4,0.61868,0.358156,0.00687757,0.00881566,0.00747146,0.117718,0.0156932
5,0.53896,0.429047,0.00862313,0.0120207,0.0113488,0.121866,0.0206438
6,0.465424,0.491656,0.0104824,0.0160233,0.0164143,0.126026,0.0265057
7,0.398103,0.545764,0.0123686,0.0208949,0.0228697,0.130285,0.0332635
8,0.336982,0.591255,0.014182,0.026674,0.0309062,0.134743,0.040856
9,0.282009,0.628121,0.0158207,0.0333556,0.040694,0.139507,0.0491763
10,0.233085,0.656468,0.0171912,0.0408826,0.0523723,0.144691,0.0580738
11,0.190068,0.676531,0.0182188,0.0491414,0.0660407,0.15041,0.0673603
12,0.152754,0.688676,0.0188547,0.0579624,0.0817531,0.156781,0.0768171
13,0.12087,0.693411,0.0190799,0.0671256,0.0995133,0.163917,0.0862055
14,0.0940737,0.691377,0.0189048,0.076372,0.119273,0.171925,0.0952769
15,0.0719522,0.683332,0.018365,0.085419,0.140932,0.180904,0.103784
16,0.0540356,0.670129,0.0175152,0.0939778,0.164342,0.190939,0.111493
17,0.0398144,0.652684,0.016421,0.101772,0.189309,0.202099,0.118193
18,0.0287617,0.631933,0.0151525,0.108554,0.215599,0.214429,0.123707
19,0.020357,0.608795,0.0137777,0.114123,0.242948,0.227948,0.1279
20,0.0141079,0.584137,0.0123577,0.118329,0.271069,0.242645,0.130687
21,0.00956744,0.55874,0.0109449,0.121087,0.299661,0.258474,0.132032
22,0.00634515,0.533281,0.00958065,0.122373,0.32842,0.275355,0.131953
23,0.00411268,0.508316,0.00829596,0.122224,0.357051,0.293176,0.13052
24,0.0026035,0.48428,0.00711177,0.120732,0.385273,0.311794,0.127843
25,0.00160857,0.461489,0.00604034,0.118028,0.412834,0.331044,0.124068
26,0.000969314,0.440157,0.00508669,0.114278,0.439509,0.350744,0.119364
27,0.000569274,0.420403,0.00425013,0.109664,0.465114,0.37071,0.113914
28,0.000325614,0.402275,0.00352573,0.104375,0.489499,0.390757,0.1079
29,0.000181267,0.38576,0.00290571,0.0985963,0.512556,0.410716,0.101502
30,9.82E-05,0.370808,0.00238052,0.0925012,0.534213,0.430432,0.0948817
31,5.17E-05,0.357335,0.00193978,0.0862446,0.554428,0.449775,0.0881844
32,2.64E-05,0.345245,0.00157297,0.0799602,0.573195,0.468639,0.0815332
33,1.31E-05,0.33443,0.00126997,0.0737592,0.590528,0.486943,0.0750291
