i,S,V,Ip (Cv=0.10),Im (Cv=0.10),R,x,I (Cv=0.10)
34,6.33E-06,0.324778,0.00102132,0.0677303,0.606464,0.504629,0.0687516
35,2.96E-06,0.316183,0.000818476,0.0619413,0.621054,0.521662,0.0627598
36,1.35E-06,0.30854,0.000653867,0.0564413,0.634364,0.538024,0.0570952
37,5.94E-07,0.301751,0.000520907,0.0512629,0.646465,0.553713,0.0517838
38,2.54E-07,0.295727,0.000413952,0.046425,0.657434,0.568739,0.046839
39,1.05E-07,0.290385,0.00032823,0.0419357,0.667351,0.58312,0.0422639
40,4.25E-08,0.28565,0.000259749,0.0377938,0.676296,0.596882,0.0380536
41,1.66E-08,0.281456,0.000205197,0.0339919,0.684347,0.610054,0.0341971
42,6.30E-09,0.277742,0.000161851,0.0305174,0.691579,0.622668,0.0306792
43,2.32E-09,0.274453,0.000127486,0.0273542,0.698066,0.634757,0.0274816
44,8.28E-10,0.271541,0.000100295,0.024484,0.703875,0.646354,0.0245843
45,2.87E-10,0.268963,7.88E-05,0.0218875,0.70907,0.657489,0.0219663
46,9.66E-11,0.266682,6.19E-05,0.0195446,0.713712,0.668194,0.0196064
47,3.15E-11,0.264662,4.85E-05,0.0174352,0.717854,0.678496,0.0174837
48,1.00E-11,0.262875,3.81E-05,0.0155398,0.721547,0.688424,0.0155779
49,3.08E-12,0.261293,2.98E-05,0.0138398,0.724837,0.698,0.0138696
50,9.19E-13,0.259894,2.33E-05,0.0123173,0.727766,0.707247,0.0123406
51,2.66E-13,0.258655,1.83E-05,0.0109556,0.730372,0.716187,0.0109738
52,7.49E-14,0.257558,1.43E-05,0.00973918,0.732689,0.724837,0.00975346
53,2.05E-14,0.256587,1.12E-05,0.00865371,0.734748,0.733213,0.00866488
54,5.42E-15,0.255728,8.73E-06,0.00768598,0.736577,0.741332,0.0076947
55,1.39E-15,0.254968,6.82E-06,0.00682391,0.738201,0.749206,0.00683073
56,3.48E-16,0.254295,5.32E-06,0.00605653,0.739643,0.756847,0.00606185
57,8.41E-17,0.253699,4.16E-06,0.00537387,0.740923,0.764266,0.00537802
58,1.97E-17,0.253172,3.25E-06,0.00476691,0.742058,0.771473,0.00477016
59,4.49E-18,0.252705,2.53E-06,0.00422754,0.743065,0.778477,0.00423008
60,9.92E-19,0.252292,1.98E-06,0.00374844,0.743957,0.785286,0.00375042
61,2.12E-19,0.251927,1.54E-06,0.00332303,0.744749,0.791905,0.00332457
62,4.41E-20,0.251603,1.20E-06,0.00294543,0.74545,0.798343,0.00294664
63,8.87E-21,0.251316,9.39E-07,0.00261038,0.746072,0.804605,0.00261131
64,1.73E-21,0.251063,7.32E-07,0.00231314,0.746623,0.810695,0.00231387
65,3.27E-22,0.250838,5.71E-07,0.00204953,0.747112,0.81662,0.0020501
66,5.98E-23,0.25064,4.45E-07,0.00181578,0.747544,0.822382,0.00181622
67,1.06E-23,0.250464,3.47E-07,0.00160855,0.747927,0.827988,0.00160889
68,1.82E-24,0.250308,2.71E-07,0.00142486,0.748267,0.83344,0.00142513
69,3.03E-25,0.25017,2.11E-07,0.00126206,0.748568,0.838743,0.00126227
70,4.88E-26,0.250048,1.65E-07,0.00111779,0.748834,0.843899,0.00111796
71,7.62E-27,0.24994,1.28E-07,0.000989966,0.74907,0.848912,0.000990094
72,1.15E-27,0.249844,1.00E-07,0.000876716,0.749279,0.853786,0.000876816
73,1.68E-28,0.24976,7.80E-08,0.000776389,0.749464,0.858523,0.000776467
74,2.38E-29,0.249685,6.08E-08,0.000687517,0.749628,0.863126,0.000687578
75,3.25E-30,0.249618,4.74E-08,0.000608799,0.749773,0.867599,0.000608846
76,4.30E-31,0.24956,3.69E-08,0.000539077,0.749901,0.871944,0.000539114
77,5.51E-32,0.249508,2.88E-08,0.000477329,0.750015,0.876164,0.000477357
78,6.82E-33,0.249462,2.24E-08,0.000422643,0.750116,0.880261,0.000422666
79,8.16E-34,0.249421,1.75E-08,0.000374216,0.750205,0.884239,0.000374233
80,9.44E-35,0.249385,1.36E-08,0.000331331,0.750284,0.888099,0.000331345
81,1.06E-35,0.249353,1.06E-08,0.000293356,0.750354,0.891845,0.000293367
82,1.14E-36,0.249325,8.28E-09,0.00025973,0.750416,0.89548,0.000259738
83,1.19E-37,0.2493,6.45E-09,0.000229956,0.750471,0.899005,0.000229962
84,1.21E-38,0.249277,5.03E-09,0.000203592,0.750519,0.902423,0.000203597
85,1.18E-39,0.249258,3.92E-09,0.00018025,0.750562,0.905738,0.000180253
86,1.11E-40,0.24924,3.05E-09,0.000159582,0.7506,0.90895,0.000159585
87,1.01E-41,0.249225,2.38E-09,0.000141283,0.750634,0.912063,0.000141285
88,8.87E-43,0.249211,1.86E-09,0.000125081,0.750664,0.91508,0.000125083
89,7.53E-44,0.249199,1.45E-09,0.000110737,0.75069,0.918002,0.000110738
90,6.18E-45,0.249189,1.13E-09,9.80E-05,0.750713,0.920832,9.80E-05
91,4.89E-46,0.249179,8.78E-10,8.68E-05,0.750734,0.923572,8.68E-05
92,3.74E-47,0.249171,6.85E-10,7.68E-05,0.750752,0.926225,7.68E-05
93,2.76E-48,0.249163,5.33E-10,6.80E-05,0.750768,0.928793,6.80E-05
94,1.96E-49,0.249157,4.16E-10,6.02E-05,0.750783,0.931278,6.02E-05
95,1.35E-50,0.249151,3.24E-10,5.33E-05,0.750796,0.933683,5.33E-05
96,8.94E-52,0.249146,2.53E-10,4.72E-05,0.750807,0.936009,4.72E-05
97,5.72E-53,0.249141,1.97E-10,4.18E-05,0.750817,0.938259,4.18E-05
98,3.53E-54,0.249137,1.53E-10,3.70E-05,0.750826,0.940435,3.70E-05
99,2.10E-55,0.249134,1.20E-10,3.27E-05,0.750833,0.942539,3.27E-05
100,1.21E-56,0.249131,9.32E-11,2.90E-05,0.75084,0.944573,2.90E-05
