i,S,V,Ip (Cv=0.90),Im (Cv=0.90),R,x,I (Cv=0.90)
,,,,,,,
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.192934,0.00396993,0.00441536,0.0024848,0.105441,0.00838529
3,0.707439,0.276333,0.005322,0.00632568,0.00458082,0.102363,0.0116477
4,0.629072,0.347644,0.00693068,0.0088761,0.00747648,0.0960669,0.0158068
5,0.56141,0.406182,0.00879657,0.0122287,0.0113821,0.0875101,0.0210252
6,0.503621,0.45235,0.0109129,0.0165735,0.0165424,0.0777467,0.0274864
7,0.454205,0.487168,0.013262,0.0221247,0.0232402,0.0677217,0.0353867
8,0.411406,0.511878,0.0158103,0.0291078,0.0317982,0.0581546,0.0449181
9,0.373501,0.527685,0.018501,0.0377365,0.0425771,0.0495068,0.0562374
10,0.338979,0.535633,0.0212476,0.0481745,0.0559659,0.0420089,0.0694221
11,0.306643,0.536582,0.0239296,0.0604825,0.0723626,0.0357178,0.0844121
12,0.275663,0.531248,0.0263931,0.0745535,0.092143,0.0305771,0.100947
13,0.245595,0.520281,0.02846,0.0900492,0.115615,0.0264691,0.118509
14,0.216373,0.504357,0.0299483,0.106359,0.142963,0.0232513,0.136308
15,0.188249,0.484251,0.0307013,0.122611,0.174188,0.0207803,0.153312
16,0.161689,0.46088,0.0306209,0.137747,0.209064,0.0189233,0.168368
17,0.137231,0.435288,0.0296936,0.150678,0.247109,0.0175641,0.180371
18,0.115343,0.40858,0.0279995,0.160466,0.287612,0.0166031,0.188465
19,0.0963092,0.38182,0.0256983,0.166491,0.329682,0.0159561,0.192189
20,0.0801901,0.355926,0.0229969,0.168538,0.372349,0.0155521,0.191535
21,0.0668401,0.331602,0.0201106,0.166792,0.414655,0.0153317,0.186903
22,0.0559709,0.309306,0.0172299,0.161747,0.455747,0.0152446,0.178976
23,0.0472243,0.289269,0.0145003,0.154077,0.494929,0.0152491,0.168578
24,0.0402323,0.27154,0.0120171,0.144518,0.531692,0.0153109,0.156536
25,0.0346557,0.256037,0.00982996,0.133767,0.56571,0.0154025,0.143597
26,0.0302029,0.2426,0.00795264,0.122426,0.596818,0.0155023,0.130379
27,0.0266343,0.231027,0.0063744,0.110982,0.624983,0.0155942,0.117357
28,0.0237585,0.221103,0.00506968,0.0997997,0.650269,0.0156666,0.104869
29,0.0214253,0.21262,0.0040057,0.0891353,0.672814,0.0157119,0.093141
30,0.0195182,0.205383,0.00314765,0.0791546,0.692797,0.0157257,0.0823022
31,0.0179472,0.199218,0.00246196,0.0699513,0.710421,0.015706,0.0724133
32,0.0166428,0.193971,0.00191814,0.061565,0.725903,0.0156528,0.0634832
33,0.0155509,0.189507,0.00148951,0.0539962,0.739456,0.0155674,0.0554857
34,0.0146299,0.185712,0.00115342,0.0472184,0.751286,0.0154519,0.0483718
