i,S,V,Ip (Cv=0.90),Im (Cv=0.90),R,x,I (Cv=0.90)
,,,,,,,
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.14068,0.00587781
2,0.764182,0.2251,0.00389513,0.00433799,0.0024848,0.190017,0.00823312
3,0.614873,0.369675,0.00496362,0.00594548,0.00454256,0.24432,0.0109091
4,0.46057,0.518516,0.0059132,0.00774775,0.00725288,0.297696,0.013661
5,0.319906,0.65318,0.00662396,0.00966804,0.010622,0.344424,0.016292
6,0.206976,0.759661,0.00706923,0.0116889,0.0146048,0.381503,0.0187581
7,0.126085,0.833625,0.00729543,0.0138501,0.0191445,0.409235,0.0211455
8,0.0732215,0.878988,0.00736949,0.0162144,0.0242066,0.429892,0.0235839
9,0.0409539,0.903068,0.00734608,0.0188425,0.0297894,0.446128,0.0261886
10,0.0222066,0.912828,0.00726076,0.0217849,0.0359197,0.460142,0.0290457
11,0.0117091,0.913428,0.00713412,0.0250829,0.0426459,0.473494,0.032217
12,0.0060057,0.908217,0.00697724,0.0287692,0.0500309,0.487222,0.0357464
13,0.00299138,0.899197,0.00679575,0.0328684,0.0581476,0.502006,0.0396642
14,0.00144236,0.887494,0.00659234,0.0373954,0.067076,0.518304,0.0439877
15,0.000670303,0.873708,0.00636828,0.042353,0.0769,0.536435,0.0487212
16,0.000298609,0.858144,0.00612426,0.0477291,0.0877043,0.556625,0.0538534
17,0.000126689,0.840947,0.00586091,0.0534937,0.0995714,0.579025,0.0593547
18,5.08E-05,0.822197,0.00557913,0.0595957,0.112578,0.603705,0.0651748
19,1.91E-05,0.801952,0.00528024,0.0659602,0.126789,0.630644,0.0712405
20,6.65E-06,0.780285,0.00496615,0.0724877,0.142255,0.6597,0.0774538
21,2.12E-06,0.757298,0.00463934,0.0790537,0.159006,0.690591,0.0836931
22,6.13E-07,0.733137,0.00430295,0.0855121,0.177047,0.722869,0.0898151
23,1.58E-07,0.707987,0.00396063,0.0916996,0.196353,0.755923,0.0956602
24,3.55E-08,0.682077,0.00361651,0.0974434,0.216863,0.788992,0.10106
25,6.89E-09,0.65567,0.00327496,0.102571,0.238484,0.821223,0.105846
26,1.13E-09,0.629051,0.00294046,0.106922,0.261087,0.851742,0.109862
27,1.52E-10,0.602516,0.0026173,0.110357,0.28451,0.879757,0.112974
28,1.67E-11,0.576357,0.00230941,0.112771,0.308563,0.904654,0.11508
29,1.44E-12,0.550848,0.00202013,0.114097,0.333035,0.926061,0.116117
30,9.68E-14,0.526232,0.00175206,0.114314,0.357702,0.943876,0.116066
31,4.93E-15,0.502713,0.00150698,0.113444,0.382336,0.958244,0.114951
32,1.87E-16,0.48045,0.00128586,0.111549,0.406715,0.969498,0.112835
33,5.19E-18,0.459556,0.00108883,0.108727,0.430629,0.97808,0.109815
34,1.04E-19,0.440098,0.000915363,0.105097,0.45389,0.984471,0.106012
35,1.47E-21,0.422104,0.000764338,0.100798,0.476334,0.989133,0.101563
36,1.47E-23,0.405565,0.00063422,0.0959745,0.497826,0.992474,0.0966087
37,1.02E-25,0.390446,0.000523195,0.0907679,0.518263,0.994833,0.0912911
38,4.90E-28,0.376689,0.0004293,0.0853135,0.537568,0.996478,0.0857428
39,1.61E-30,0.364221,0.000350534,0.0797331,0.555695,0.997613,0.0800837
40,3.59E-33,0.35296,0.000284945,0.0741336,0.572622,0.998389,0.0744185
41,5.44E-36,0.342817,0.000230693,0.0686046,0.588348,0.998917,0.0688353
42,5.57E-39,0.333704,0.000186088,0.0632191,0.602891,0.999274,0.0634052
43,3.83E-42,0.325532,0.000149613,0.0580336,0.616285,0.999515,0.0581832
44,1.77E-45,0.318216,0.000119931,0.0530902,0.628574,0.999676,0.0532101
45,5.50E-49,0.311675,9.59E-05,0.0484178,0.639811,0.999784,0.0485136
46,1.14E-52,0.305834,7.65E-05,0.0440341,0.650055,0.999856,0.0441106
47,1.58E-56,0.300622,6.09E-05,0.039948,0.659369,0.999904,0.0400089
48,1.47E-60,0.295975,4.83E-05,0.0361605,0.667816,0.999936,0.0362089
49,9.08E-65,0.291835,3.83E-05,0.0326672,0.67546,0.999958,0.0327056
50,3.75E-69,0.288147,3.04E-05,0.0294591,0.682364,0.999972,0.0294895
51,1.03E-73,0.284863,2.40E-05,0.0265241,0.688589,0.999981,0.0265481
52,1.89E-78,0.281941,1.90E-05,0.0238478,0.694192,0.999988,0.0238667
53,2.31E-83,0.279341,1.50E-05,0.0214146,0.69923,0.999992,0.0214296
54,1.88E-88,0.277028,1.18E-05,0.0192081,0.703753,0.999994,0.0192199
55,1.02E-93,0.27497,9.28E-06,0.0172119,0.707809,0.999996,0.0172211
56,3.68E-99,0.27314,7.30E-06,0.0154094,0.711443,0.999998,0.0154167
57,8.85E-105,0.271513,5.74E-06,0.0137847,0.714697,0.999998,0.0137905
58,1.42E-110,0.270066,4.51E-06,0.0123227,0.717607,0.999999,0.0123272
59,1.51E-116,0.268779,3.54E-06,0.0110089,0.720209,0.999999,0.0110124
