i,S,V,Ip (Cv=0.50),Im (Cv=0.50),R,x,I (Cv=0.50)
,,,,,,,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.14068,0.00587781
2,0.764182,0.2251,0.00389513,0.00433799,0.0024848,0.192425,0.00823312
3,0.613045,0.371515,0.00495781,0.00593911,0.00454256,0.254249,0.0108969
4,0.453172,0.525991,0.00587891,0.00770823,0.00724983,0.322994,0.0135871
5,0.303447,0.669895,0.00651893,0.00953838,0.0106006,0.394127,0.0160573
6,0.181478,0.785749,0.00685211,0.0113966,0.0145252,0.463508,0.0182487
7,0.0959336,0.864834,0.00695315,0.0133395,0.0189396,0.52883,0.0202926
8,0.0444643,0.909355,0.00692186,0.0154655,0.0237935,0.589612,0.0223873
9,0.0179197,0.928301,0.00682926,0.0178633,0.0290869,0.646198,0.0246926
10,0.00621442,0.931623,0.00670966,0.0205938,0.0348591,0.698844,0.0273034
11,0.00183053,0.926728,0.00657434,0.0236945,0.0411723,0.747407,0.0302689
12,0.000451161,0.917833,0.00642486,0.0271907,0.0481001,0.79148,0.0336155
13,9.15E-05,0.906825,0.00626019,0.0311012,0.0557218,0.830652,0.0373614
14,1.50E-05,0.894346,0.00607926,0.0354398,0.0641202,0.864691,0.041519
15,1.97E-06,0.880523,0.00588137,0.0402123,0.0733811,0.89361,0.0460937
16,2.02E-07,0.86533,0.00566621,0.0454127,0.0835909,0.917655,0.0510789
17,1.59E-08,0.848712,0.00543382,0.0510189,0.0948349,0.937242,0.0564527
18,9.54E-10,0.830632,0.00518464,0.0569895,0.107194,0.952891,0.0621741
19,4.27E-11,0.811081,0.00491955,0.0632606,0.120739,0.965165,0.0681801
20,1.41E-12,0.790086,0.00463998,0.0697437,0.13553,0.974623,0.0743837
21,3.36E-14,0.76772,0.00434789,0.0763253,0.151607,0.981788,0.0806732
22,5.72E-16,0.744099,0.00404583,0.0828682,0.168987,0.987123,0.086914
23,6.85E-18,0.719389,0.0037369,0.0892154,0.187658,0.991031,0.0929523
24,5.69E-20,0.6938,0.00342464,0.0951968,0.207579,0.993845,0.0986214
25,3.23E-22,0.66758,0.00311292,0.100638,0.22867,0.995839,0.103751
26,1.23E-24,0.641007,0.00280578,0.10537,0.250817,0.997227,0.108175
27,3.12E-27,0.614378,0.0025072,0.109242,0.273873,0.998178,0.111749
28,5.18E-30,0.587988,0.00222093,0.112132,0.297659,0.998818,0.114353
29,5.56E-33,0.562125,0.00195026,0.113955,0.32197,0.999244,0.115905
30,3.81E-36,0.537047,0.00169788,0.114668,0.346587,0.999521,0.116366
31,1.66E-39,0.51298,0.00146574,0.114275,0.37128,0.9997,0.115741
32,4.51E-43,0.490104,0.00125505,0.11282,0.395821,0.999814,0.114075
33,7.62E-47,0.468553,0.00106628,0.110386,0.419995,0.999885,0.111452
