i,S,V,Ip,Im,Rs,Rv,P,I (A=0.10),I (A=0.50),I (A=0.90),,,I (A = 0.10),I (A = 0.50),I (A = 0.90),,,,,,,Ip(e1 = 0.10),Ip(e1 = 0.50),Ip(e1 = 0.90),,Im(e1 = 0.10),Im(e1 = 0.50),Im(e1 = 0.90)
22,0.00503307,0.068042,0.029371,0.103802,0.249535,0.544216,0.793752,0.159116,0.103643,0.086914,,,0.178976,0.120013,0.0898151,,,,,,,0.17947,0.021448,2.67E-05,,0.000118097,0.000182326,0.00018962
23,0.00404618,0.0621334,0.0223627,0.0871894,0.255112,0.569156,0.824268,0.153498,0.107937,0.0929523,,,0.168578,0.123024,0.0956602,,,,,,,0.148834,0.0233683,2.11E-05,,9.47E-05,0.00015681,0.000164108
24,0.00332183,0.0577275,0.0169114,0.072815,0.259505,0.58972,0.849224,0.146185,0.111427,0.0986214,,,0.156536,0.124785,0.10106,,,,,,,0.120971,0.0253806,1.66E-05,,7.57E-05,0.000134765,0.000142028
25,0.00277471,0.0544034,0.0127242,0.0605493,0.262957,0.606591,0.869548,0.137631,0.113994,0.103751,,,0.143597,0.125254,0.105846,,,,,,,0.096893,0.0274723,1.31E-05,,6.05E-05,0.000115727,0.000122919
26,0.00235065,0.0518702,0.00953694,0.0501859,0.265667,0.620389,0.886056,0.128271,0.115553,0.108175,,,0.130379,0.124448,0.109862,,,,,,,0.0767789,0.0296272,1.04E-05,,4.83E-05,9.93E-05,0.000106381
27,0.00201439,0.0499234,0.00712698,0.0414925,0.267794,0.631649,0.899443,0.118489,0.116059,0.111749,,,0.117357,0.122432,0.112974,,,,,,,0.0603622,0.0318249,8.17E-06,,3.85E-05,8.51E-05,9.21E-05
28,0.00174237,0.048417,0.00531386,0.0342388,0.269461,0.640827,0.910288,0.108604,0.115511,0.114353,,,0.104869,0.11932,0.11508,,,,,,,0.0471795,0.0340413,6.45E-06,,3.07E-05,7.29E-05,7.97E-05
29,0.00151848,0.0472451,0.00395495,0.0282106,0.270769,0.648302,0.919071,0.0988727,0.113945,0.115905,,,0.093141,0.115256,0.116117,,,,,,,0.0367159,0.0362482,5.09E-06,,2.44E-05,6.24E-05,6.90E-05
30,0.00133144,0.0463296,0.00293943,0.0232162,0.271796,0.654388,0.926183,0.0894862,0.111438,0.116366,,,0.0823022,0.110406,0.116066,,,,,,,0.0284801,0.0384141,4.02E-06,,1.94E-05,5.33E-05,5.97E-05
31,0.00117321,0.0456124,0.00218225,0.0190881,0.272601,0.659343,0.931944,0.0805795,0.108093,0.115741,,,0.0724133,0.104944,0.114951,,,,,,,0.0220375,0.0405045,3.17E-06,,1.55E-05,4.55E-05,5.17E-05
32,0.00103792,0.0450493,0.00161869,0.0156823,0.273234,0.663378,0.936612,0.0722402,0.104033,0.114075,,,0.0634832,0.0990426,0.112835,,,,,,,0.0170208,0.0424833,2.50E-06,,1.23E-05,3.88E-05,4.47E-05
33,0.000921196,0.044607,0.00119982,0.0128766,0.27373,0.666665,0.940395,0.0645175,0.0993955,0.111452,,,0.0554857,0.0928643,0.109815,,,,,,,0.0131277,0.0443135,1.97E-06,,9.79E-06,3.30E-05,3.87E-05
34,0.00081974,0.0442594,0.000888844,0.0105677,0.274121,0.669343,0.943464,0.0574306,0.0943181,0.107984,,,0.0483718,0.0865546,0.106012,,,,,,,0.0101142,0.0459588,1.56E-06,,7.79E-06,2.81E-05,3.35E-05
35,0.000731005,0.0439865,0.000658171,0.00866957,0.274428,0.671527,0.945955,0.0509764,0.0889358,0.103802,,,0.042079,0.0802396,0.101563,,,,,,,0.00778608,0.0473848,1.23E-06,,6.20E-06,2.38E-05,2.90E-05
36,0.000652996,0.0437725,0.000487185,0.00711015,0.274669,0.673308,0.947977,0.045136,0.0833739,0.0990482,,,0.036538,0.0740238,0.0966087,,,,,,,0.00599015,0.0485609,9.69E-07,,4.93E-06,2.02E-05,2.51E-05
37,0.000584125,0.0436053,0.000360513,0.00582977,0.274859,0.674761,0.94962,0.0398794,0.0777444,0.0938655,,,0.0316775,0.0679909,0.0912911,,,,,,,0.00460627,0.0494612,7.65E-07,,3.92E-06,1.71E-05,2.17E-05
38,0.00052311,0.0434751,0.000266714,0.00477899,0.275009,0.675947,0.950956,0.0351698,0.0721435,0.0883918,,,0.0274275,0.0622044,0.0857428,,,,,,,0.00354082,0.0500662,6.04E-07,,3.12E-06,1.45E-05,1.88E-05
39,0.0004689,0.0433742,0.000197282,0.00391696,0.275126,0.676916,0.952043,0.0309666,0.0666514,0.0827543,,,0.0237212,0.0567104,0.0800837,,,,,,,0.00272106,0.0503635,4.76E-07,,2.48E-06,1.22E-05,1.63E-05
40,0.000420621,0.0432965,0.000145902,0.00321,0.275219,0.677708,0.952927,0.0272278,0.0613319,0.0770654,,,0.0204961,0.051539,0.0744185,,,,,,,0.00209063,0.0503483,3.76E-07,,1.97E-06,1.03E-05,1.41E-05
41,0.000377544,0.0432371,0.000107889,0.00263035,0.275292,0.678355,0.953647,0.0239116,0.0562339,0.0714211,,,0.0176951,0.0467077,0.0688353,,,,,,,0.00160601,0.0500236,2.97E-07,,1.57E-06,8.69E-06,1.22E-05
42,0.000339045,0.0431922,7.98E-05,0.00215518,0.27535,0.678884,0.954234,0.0209772,0.0513925,0.0659006,,,0.0152662,0.0422233,0.0634052,,,,,,,0.00123357,0.0494001,2.34E-07,,1.25E-06,7.31E-06,1.05E-05
43,0.000304596,0.0431588,5.90E-05,0.00176573,0.275395,0.679317,0.954712,0.0183863,0.046831,0.0605663,,,0.0131629,0.0380844,0.0581832,,,,,,,0.000947405,0.0484954,1.85E-07,,9.93E-07,6.14E-06,9.12E-06
44,0.000273736,0.0431343,4.36E-05,0.00144656,0.275431,0.679671,0.955102,0.0161026,0.0425628,0.0554654,,,0.0113435,0.0342829,0.0532101,,,,,,,0.000727574,0.0473328,1.46E-07,,7.90E-07,5.15E-06,7.89E-06
45,0.000246069,0.0431169,3.22E-05,0.00118503,0.275459,0.679961,0.95542,0.0140928,0.038593,0.0506312,,,0.00977134,0.0308064,0.0485136,,,,,,,0.000558719,0.0459406,1.15E-07,,6.28E-07,4.31E-06,6.83E-06
46,0.000221247,0.0431049,2.38E-05,0.000970746,0.275481,0.680198,0.955679,0.0123265,0.03492,0.0460853,,,0.00841384,0.027639,0.0441106,,,,,,,0.000429033,0.0443503,9.07E-08,,4.99E-07,3.61E-06,5.91E-06
47,0.000198964,0.0430971,1.76E-05,0.000795184,0.275499,0.680392,0.955891,0.010776,0.0315373,0.0418393,,,0.00724256,0.0247626,0.0400089,,,,,,,0.000329438,0.0425955,7.16E-08,,3.97E-07,3.02E-06,5.12E-06
48,0.000178951,0.0430926,1.30E-05,0.000651355,0.275513,0.680551,0.956064,0.00941624,0.0284346,0.0378969,,,0.00623255,0.0221581,0.0362089,,,,,,,0.000252957,0.0407106,5.65E-08,,3.16E-07,2.52E-06,4.43E-06
49,0.00016097,0.0430906,9.62E-06,0.00053353,0.275524,0.680682,0.956205,0.00822482,0.0255988,0.034255,,,0.00536207,0.0198056,0.0327056,,,,,,,0.000194227,0.0387291,4.46E-08,,2.51E-07,2.10E-06,3.83E-06
50,0.000144811,0.0430904,7.11E-06,0.000437012,0.275532,0.680789,0.956321,0.00718168,0.023015,0.0309061,,,0.00461217,0.0176857,0.0294895,,,,,,,0.000149131,0.0366835,3.52E-08,,2.00E-07,1.75E-06,3.32E-06
51,0.000130283,0.0430915,5.26E-06,0.000357948,0.275539,0.680876,0.956415,0.00626896,0.0206673,0.0278386,,,0.0039664,0.0157789,0.0265481,,,,,,,0.000114503,0.0346036,2.78E-08,,1.59E-07,1.46E-06,2.87E-06
52,0.000117221,0.0430936,3.88E-06,0.000293186,0.275544,0.680948,0.956492,0.00547081,0.0185394,0.0250388,,,0.00341049,0.0140669,0.0238667,,,,,,,8.79E-05,0.0325166,2.19E-08,,1.26E-07,1.22E-06,2.48E-06
53,0.000105474,0.0430965,2.87E-06,0.000240138,0.275549,0.681007,0.956555,0.00477319,0.0166149,0.0224912,,,0.00293206,0.0125321,0.0214296,,,,,,,6.75E-05,0.0304462,1.73E-08,,1.00E-07,1.01E-06,2.15E-06
54,9.49E-05,0.0430997,2.12E-06,0.000196687,0.275552,0.681055,0.956607,0.0041637,0.0148776,0.0201791,,,0.00252043,0.011158,0.0192199,,,,,,,5.18E-05,0.028413,1.36E-08,,7.99E-08,8.40E-07,1.86E-06
