i,S,V,Ip (Cv=0.10),Im (Cv=0.10),R,x,I (Cv=0.10)
,,,,,,,
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.14068,0.00587781
2,0.764182,0.2251,0.00389513,0.00433799,0.0024848,0.194833,0.00823312
3,0.611217,0.373355,0.00495199,0.00593273,0.00454256,0.264307,0.0108847
4,0.445731,0.533509,0.00584451,0.00766857,0.00724678,0.349237,0.0135131
5,0.286913,0.686684,0.00641427,0.00940905,0.010579,0.446981,0.0158233
6,0.15665,0.811148,0.00664251,0.0111138,0.0144457,0.551685,0.0177563
7,0.0692266,0.892514,0.00664348,0.0128767,0.0187389,0.655148,0.0195201
8,0.0234987,0.931697,0.00655229,0.0148472,0.0234044,0.748939,0.0213995
9,0.00579828,0.94217,0.00644169,0.0171309,0.028459,0.826805,0.0235726
10,0.000985243,0.938957,0.00632706,0.0197682,0.0339629,0.886186,0.0260953
11,0.000109788,0.930924,0.00620395,0.0227729,0.0399898,0.928154,0.0289769
12,7.70E-06,0.921148,0.00606819,0.0261617,0.0466145,0.956024,0.0322299
13,3.30E-07,0.910211,0.00591807,0.0299558,0.0539144,0.973684,0.0358739
14,8.44E-09,0.898103,0.00575279,0.0341735,0.0619708,0.984508,0.0399263
15,1.27E-10,0.884734,0.00557182,0.0388251,0.0708687,0.990991,0.0443969
16,1.10E-12,0.870021,0.00537483,0.0439092,0.080695,0.994812,0.049284
17,5.48E-15,0.853893,0.00516174,0.0494094,0.0915363,0.997037,0.0545712
18,1.55E-17,0.836301,0.00493283,0.0552906,0.103476,0.998321,0.0602234
19,2.48E-20,0.817227,0.00468877,0.0614959,0.116589,0.999056,0.0661846
20,2.22E-23,0.796685,0.00443071,0.0679442,0.13094,0.999473,0.0723749
21,1.10E-26,0.774735,0.00416032,0.0745293,0.146575,0.999708,0.0786896
22,3.02E-30,0.751479,0.00387981,0.0811203,0.163521,0.99984,0.0850001
23,4.51E-34,0.727067,0.0035919,0.087565,0.181776,0.999913,0.0911569
24,3.66E-38,0.701699,0.00329979,0.0936956,0.201305,0.999953,0.0969954
25,1.60E-42,0.675613,0.00300704,0.0993367,0.222043,0.999975,0.102344
26,3.72E-47,0.649082,0.00271739,0.104316,0.243885,0.999986,0.107033
27,4.60E-52,0.622398,0.00243461,0.108475,0.266693,0.999993,0.11091
28,3.00E-57,0.595862,0.00216233,0.111681,0.290295,0.999996,0.113843
29,1.02E-62,0.569766,0.00190376,0.113837,0.314494,0.999998,0.11574
30,1.83E-68,0.544381,0.00166163,0.114886,0.339072,0.999999,0.116547
31,1.69E-74,0.519945,0.001438,0.114817,0.3638,0.999999,0.116255
32,8.16E-81,0.496654,0.00123422,0.113664,0.388448,1,0.114898
33,2.04E-87,0.474656,0.00105094,0.1115,0.412793,1,0.112551
34,2.64E-94,0.454056,0.000888134,0.108428,0.436628,1,0.109316
35,1.77E-101,0.43491,0.000745216,0.104578,0.459767,1,0.105323
36,6.20E-109,0.417236,0.000621136,0.100091,0.482051,1,0.100712
37,1.13E-116,0.40102,0.000514515,0.0951128,0.503353,1,0.0956273
38,1.07E-124,0.386218,0.000423763,0.0897859,0.523572,1,0.0902097
39,5.36E-133,0.372768,0.00034719,0.0842437,0.542642,1,0.0845909
40,1.41E-141,0.360592,0.000283092,0.0786057,0.560519,1,0.0788888
41,1.96E-150,0.349607,0.000229823,0.0729751,0.577188,1,0.0732049
42,1.45E-159,0.339723,0.000185841,0.0674379,0.592653,1,0.0676238
43,5.72E-169,0.33085,0.000149741,0.0620634,0.606937,1,0.0622131
44,1.21E-178,0.3229,0.000120266,0.0569043,0.620076,1,0.0570245
45,1.37E-188,0.315787,9.63E-05,0.0519991,0.632118,1,0.0520955
46,8.40E-199,0.309431,7.69E-05,0.0473739,0.643118,1,0.0474508
47,2.79E-209,0.303758,6.13E-05,0.0430437,0.653137,1,0.043105
48,5.04E-220,0.2987,4.88E-05,0.0390149,0.662237,1,0.0390637
49,4.96E-231,0.294191,3.87E-05,0.0352869,0.670483,1,0.0353256
50,2.67E-242,0.290176,3.07E-05,0.0318537,0.67794,1,0.0318844
51,7.91E-254,0.2866,2.43E-05,0.028705,0.68467,1,0.0287293
52,1.29E-265,0.283419,1.92E-05,0.025828,0.690734,1,0.0258471
53,1.15E-277,0.280588,1.51E-05,0.0232075,0.696189,1,0.0232226
54,5.70E-290,0.27807,1.19E-05,0.0208275,0.701091,1,0.0208394
55,1.56E-302,0.275831,9.40E-06,0.0186713,0.705489,1,0.0186807
56,2.37408e-315,0.273839,7.40E-06,0.0167222,0.709431,1,0.0167296
57,0,0.272069,5.82E-06,0.0149637,0.712962,1,0.0149695
58,0,0.270495,4.58E-06,0.0133798,0.716121,1,0.0133844
59,0,0.269096,3.59E-06,0.0119555,0.718945,1,0.0119591
60,0,0.267852,2.82E-06,0.0106763,0.721469,1,0.0106791
61,0,0.266746,2.22E-06,0.00952888,0.723722,1,0.0095311
62,0,0.265764,1.74E-06,0.00850069,0.725734,1,0.00850243
