i,S,V,Ip (Cv=0.90),Im (Cv=0.90),R,x,I (Cv=0.90)
,,,,,,,
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.12268,0.00587781
2,0.780189,0.209017,0.00393253,0.00437668,0.0024848,0.14508,0.0083092
3,0.66254,0.321613,0.00514601,0.00613924,0.00456169,0.164937,0.0112852
4,0.54824,0.429645,0.0064282,0.00832088,0.00736639,0.180214,0.0147491
5,0.444108,0.526258,0.00769107,0.010935,0.0110075,0.189674,0.018626
6,0.354484,0.60709,0.00886001,0.0139961,0.0155706,0.193132,0.0228561
7,0.280768,0.6707,0.00988477,0.0175255,0.0211224,0.191299,0.0274102
8,0.222058,0.717934,0.0107387,0.0215501,0.0277194,0.185403,0.0322888
9,0.176198,0.750877,0.0114121,0.0260974,0.0354162,0.176805,0.0375095
10,0.140678,0.771957,0.0119057,0.0311891,0.0442699,0.166743,0.0430948
11,0.113168,0.783429,0.0122251,0.036835,0.0543428,0.156206,0.0490602
12,0.0917333,0.787161,0.0123786,0.0430267,0.0657006,0.145924,0.0554053
13,0.0748673,0.784616,0.0123753,0.0497319,0.0784098,0.136387,0.0621072
14,0.0614382,0.776914,0.0122255,0.056889,0.0925329,0.127904,0.0691145
15,0.0506134,0.764921,0.0119402,0.0644033,0.108122,0.120647,0.0763435
16,0.0417858,0.749324,0.0115319,0.0721448,0.125213,0.114702,0.0836767
17,0.0345145,0.730704,0.0110149,0.0799488,0.143818,0.110096,0.0909637
18,0.0284782,0.709578,0.0104052,0.0876205,0.163918,0.10683,0.0980257
19,0.0234405,0.686438,0.00972057,0.0949434,0.185458,0.104893,0.104664
20,0.0192247,0.661762,0.00898032,0.101691,0.208342,0.104277,0.110672
21,0.0156954,0.636024,0.00820444,0.107643,0.232433,0.104981,0.115848
22,0.012746,0.609689,0.00741292,0.1126,0.257552,0.107021,0.120013
23,0.0102895,0.583202,0.00662482,0.116399,0.283485,0.110428,0.123024
24,0.0082528,0.556975,0.00585737,0.118927,0.309988,0.115248,0.124785
25,0.00657316,0.531373,0.00512524,0.120129,0.3368,0.121545,0.125254
26,0.005196,0.506706,0.00444002,0.120008,0.36365,0.129394,0.124448
27,0.00407362,0.48322,0.00380998,0.118622,0.390274,0.13888,0.122432
28,0.00316456,0.461095,0.00324011,0.11608,0.416421,0.150094,0.11932
29,0.00243306,0.440447,0.00273243,0.112523,0.441864,0.163127,0.115256
30,0.00184859,0.421338,0.0022864,0.108119,0.466408,0.178065,0.110406
31,0.00138534,0.40378,0.00189948,0.103044,0.489891,0.194984,0.104944
32,0.00102169,0.387745,0.00156769,0.0974749,0.512191,0.213941,0.0990426
33,0.000739536,0.373178,0.00128613,0.0915782,0.533218,0.234969,0.0928643
34,0.000523781,0.360003,0.00104943,0.0855052,0.552918,0.258068,0.0865546
35,0.00036173,0.348131,0.00085211,0.0793875,0.571267,0.283203,0.0802396
36,0.000242661,0.337465,0.000688852,0.073335,0.588268,0.310296,0.0740238
37,0.000157464,0.327908,0.00055468,0.0674362,0.603944,0.33922,0.0679909
38,9.84E-05,0.319362,0.000445068,0.0617594,0.618336,0.369802,0.0622044
39,5.89E-05,0.311733,0.000355992,0.0563544,0.631497,0.401821,0.0567104
40,3.37E-05,0.304935,0.000283944,0.051255,0.643493,0.435008,0.051539
41,1.82E-05,0.298883,0.000225911,0.0464818,0.654391,0.46906,0.0467077
42,9.32E-06,0.293503,0.000179339,0.042044,0.664265,0.503642,0.0422233
43,4.47E-06,0.288723,0.000142086,0.0379423,0.673188,0.538399,0.0380844
44,2.00E-06,0.284479,0.000112373,0.0341706,0.681236,0.572973,0.0342829
45,8.31E-07,0.280714,8.87E-05,0.0307177,0.688479,0.607013,0.0308064
46,3.18E-07,0.277374,7.00E-05,0.027569,0.694986,0.640191,0.027639
47,1.12E-07,0.274413,5.51E-05,0.0247075,0.700824,0.67221,0.0247626
48,3.60E-08,0.271789,4.34E-05,0.0221147,0.706053,0.702814,0.0221581
