i,S,V,Ip(e1 = e2 = 0.50),Im(e1 = e2 = 0.50),R,x,I(e1 = e2 = 0.50)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10018,0.00587781
2,0.800198,0.188877,0.00401496,0.00442503,0.0024848,0.0964047,0.00843999
3,0.718144,0.265381,0.00550758,0.00637082,0.00459607,0.0893683,0.0118784
4,0.647715,0.328298,0.007422,0.0090089,0.00755569,0.0801329,0.0164309
5,0.587937,0.378044,0.00984632,0.0125399,0.0116334,0.0698488,0.0223862
6,0.537024,0.415728,0.0128757,0.0172055,0.0171673,0.0595233,0.0300812
7,0.492841,0.442699,0.0166026,0.0232828,0.0245741,0.0498926,0.0398854
8,0.453236,0.460243,0.0210992,0.0310648,0.0343563,0.0413945,0.052164
9,0.416256,0.469434,0.0263899,0.04082,0.0470993,0.0342112,0.0672099
10,0.3803,0.471109,0.0324134,0.052725,0.0634525,0.0283418,0.0851385
11,0.344241,0.465927,0.0389804,0.0667674,0.0840844,0.023676,0.105748
12,0.307536,0.454489,0.0457368,0.0826324,0.109605,0.0200516,0.128369
13,0.270294,0.437483,0.0521585,0.0996096,0.140455,0.0172941,0.151768
14,0.233243,0.415811,0.0576001,0.116575,0.176771,0.015238,0.174175
15,0.197565,0.390655,0.0614111,0.132106,0.218262,0.013737,0.193518
16,0.16458,0.36343,0.0630957,0.144746,0.264149,0.0126662,0.207841
17,0.135387,0.335632,0.0624555,0.153329,0.313196,0.0119206,0.215784
18,0.110609,0.308625,0.0596438,0.157255,0.363867,0.0114124,0.216899
19,0.0903185,0.283463,0.0551063,0.156571,0.414541,0.0110691,0.211678
20,0.0741532,0.260803,0.0494413,0.151862,0.46374,0.0108313,0.201304
21,0.0615088,0.240928,0.0432518,0.144027,0.510284,0.0106523,0.187279
22,0.0517161,0.223831,0.0370408,0.134052,0.55336,0.0104966,0.171093
23,0.0441549,0.209324,0.0311671,0.122845,0.592509,0.0103389,0.154012
24,0.0383047,0.197125,0.0258476,0.111153,0.627571,0.010163,0.137
25,0.0337533,0.186923,0.0211835,0.0995352,0.658605,0.00995976,0.120719
26,0.0301854,0.178419,0.0171937,0.0883819,0.68582,0.00972551,0.105576
27,0.0273642,0.17134,0.0138453,0.0779389,0.709511,0.00946065,0.0917842
28,0.025113,0.16545,0.0110768,0.0683431,0.730017,0.00916817,0.0794199
29,0.0233005,0.160546,0.00881484,0.0596518,0.747687,0.00885257,0.0684666
30,0.0218284,0.156462,0.00698397,0.0518674,0.762858,0.00851904,0.0588514
31,0.020623,0.153056,0.00551327,0.0449568,0.775851,0.00817288,0.0504701
32,0.0196282,0.150214,0.00433915,0.0388652,0.786954,0.00781913,0.0432043
33,0.0188015,0.147839,0.00340648,0.0335258,0.796427,0.00746231,0.0369323
34,0.0181097,0.145854,0.00266867,0.0288674,0.8045,0.00710634,0.031536
35,0.0175274,0.144193,0.00208698,0.0248184,0.811374,0.00675449,0.0269054
36,0.0170343,0.142803,0.00162967,0.0213101,0.817223,0.00640942,0.0229398
37,0.0166146,0.141639,0.00127099,0.018278,0.822197,0.00607323,0.019549
38,0.0162555,0.140665,0.000990208,0.0156631,0.826426,0.00574749,0.0166533
39,0.0159468,0.139849,0.000770772,0.013412,0.830022,0.00543335,0.0141828
40,0.0156803,0.139165,0.000599514,0.011477,0.833078,0.0051316,0.0120765
41,0.0154492,0.138594,0.00046601,0.00981572,0.835675,0.00484271,0.0102817
42,0.015248,0.138116,0.00036204,0.00839098,0.837883,0.00456692,0.00875302
43,0.0150721,0.137717,0.000281137,0.00717017,0.83976,0.00430427,0.00745131
44,0.0149179,0.137384,0.000218227,0.00612489,0.841355,0.00405464,0.00634312
45,0.014782,0.137107,0.000169337,0.00523047,0.842712,0.00381779,0.00539981
46,0.014662,0.136876,0.000131363,0.00446555,0.843865,0.00359341,0.00459692
47,0.0145557,0.136685,0.00010188,0.00381169,0.844846,0.0033811,0.00391357
48,0.0144611,0.136527,7.90E-05,0.00325297,0.84568,0.00318043,0.00333196
49,0.0143767,0.136397,6.12E-05,0.00277571,0.846389,0.00299094,0.00283695
50,0.0143012,0.13629,4.75E-05,0.00236815,0.846993,0.00281214,0.00241562
51,0.0142334,0.136203,3.68E-05,0.0020202,0.847507,0.00264354,0.00205699
52,0.0141725,0.136132,2.85E-05,0.0017232,0.847944,0.00248465,0.00175171
53,0.0141175,0.136075,2.21E-05,0.00146974,0.848316,0.00233499,0.00149183
54,0.0140677,0.13603,1.71E-05,0.00125346,0.848632,0.00219409,0.00127058
55,0.0140226,0.135994,1.33E-05,0.00106894,0.848902,0.00206146,0.0010822
56,0.0139816,0.135966,1.03E-05,0.00091153,0.849131,0.00193668,0.000921804
57,0.0139442,0.135944,7.96E-06,0.000777262,0.849326,0.00181931,0.00078522
58,0.0139101,0.135928,6.16E-06,0.000662743,0.849493,0.00170893,0.000668908
59,0.0138789,0.135917,4.77E-06,0.000565076,0.849634,0.00160514,0.000569851
60,0.0138504,0.135909,3.70E-06,0.000481785,0.849755,0.00150758,0.000485484
61,0.0138241,0.135904,2.86E-06,0.00041076,0.849858,0.00141589,0.000413624
62,0.0138,0.135902,2.22E-06,0.000350196,0.849945,0.00132971,0.000352415
63,0.0137777,0.135902,1.72E-06,0.000298555,0.85002,0.00124873,0.000300274
64,0.0137572,0.135904,1.33E-06,0.000254525,0.850083,0.00117265,0.000255855
65,0.0137383,0.135906,1.03E-06,0.000216984,0.850137,0.00110117,0.000218014
66,0.0137208,0.13591,7.98E-07,0.000184977,0.850184,0.00103402,0.000185775
67,0.0137045,0.135914,6.18E-07,0.000157689,0.850223,0.000970937,0.000158308
68,0.0136895,0.135919,4.79E-07,0.000134426,0.850256,0.000911687,0.000134904
69,0.0136756,0.135925,3.71E-07,0.000114593,0.850285,0.000856037,0.000114963
70,0.0136626,0.13593,2.87E-07,9.77E-05,0.850309,0.000803771,9.80E-05
71,0.0136505,0.135936,2.22E-07,8.33E-05,0.85033,0.000754684,8.35E-05
72,0.0136393,0.135942,1.72E-07,7.10E-05,0.850347,0.000708585,7.12E-05
73,0.0136289,0.135948,1.33E-07,6.05E-05,0.850362,0.000665294,6.06E-05
74,0.0136192,0.135954,1.03E-07,5.16E-05,0.850375,0.000624641,5.17E-05
75,0.0136101,0.13596,7.99E-08,4.40E-05,0.850386,0.000586466,4.40E-05
76,0.0136016,0.135965,6.19E-08,3.75E-05,0.850395,0.000550619,3.75E-05
77,0.0135937,0.135971,4.79E-08,3.19E-05,0.850403,0.000516958,3.20E-05
78,0.0135864,0.135976,3.71E-08,2.72E-05,0.85041,0.000485352,2.73E-05
79,0.0135795,0.135981,2.87E-08,2.32E-05,0.850416,0.000455675,2.32E-05
80,0.013573,0.135986,2.23E-08,1.98E-05,0.850421,0.000427809,1.98E-05
