i,S,V,Ip(e1 = e2 = 0.50),Im(e1 = e2 = 0.50),R,x,I(e1 = e2 = 0.50)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10018,0.00587781
2,0.800198,0.188877,0.00401496,0.00442503,0.0024848,0.099996,0.00843999
3,0.71529,0.268255,0.00549822,0.00636066,0.00459607,0.0995259,0.0118589
4,0.637955,0.338171,0.00737198,0.00895146,0.0075508,0.0988552,0.0163234
5,0.567341,0.399028,0.00968519,0.0123444,0.0116018,0.098076,0.0220296
6,0.502632,0.451157,0.0124734,0.0166905,0.0170471,0.0972855,0.0291639
7,0.443092,0.494802,0.0157487,0.0221301,0.0242272,0.0965851,0.0378788
8,0.388106,0.53012,0.0194878,0.0287708,0.0335158,0.0960789,0.0482586
9,0.337208,0.557211,0.0236194,0.0366596,0.0453022,0.0958725,0.060279
10,0.290109,0.576163,0.0280135,0.0457497,0.059965,0.0960701,0.0737631
11,0.246694,0.587124,0.0324773,0.0558702,0.0778345,0.0967712,0.0883475
12,0.207006,0.590377,0.0367625,0.0667067,0.0991487,0.0980663,0.103469
13,0.171188,0.586416,0.0405862,0.0778039,0.124006,0.100031,0.11839
14,0.139415,0.575993,0.0436662,0.0885989,0.152327,0.102721,0.132265
15,0.111809,0.560114,0.0457645,0.098484,0.183828,0.106162,0.144248
16,0.0883657,0.539988,0.0467273,0.106888,0.218031,0.110348,0.153615
17,0.0689215,0.516921,0.0465105,0.113357,0.25429,0.115238,0.159867
18,0.053156,0.492202,0.0451827,0.117609,0.29185,0.120753,0.162792
19,0.0406328,0.466985,0.0429058,0.119559,0.329917,0.126782,0.162465
20,0.0308572,0.442212,0.0399013,0.119301,0.367728,0.13319,0.159202
21,0.0233322,0.418583,0.0364129,0.117068,0.404604,0.139827,0.153481
22,0.0175998,0.396557,0.0326739,0.113184,0.439985,0.14654,0.145857
23,0.0132643,0.376392,0.0288853,0.108008,0.47345,0.153181,0.136893
24,0.01,0.358183,0.0252046,0.1019,0.504712,0.159618,0.127105
25,0.00754782,0.341913,0.021744,0.0951902,0.533605,0.165741,0.116934
26,0.00570688,0.327488,0.018574,0.0881633,0.560068,0.171461,0.106737
27,0.00432407,0.314774,0.0157309,0.0810531,0.584118,0.176717,0.096784
28,0.00328397,0.303615,0.0132249,0.0740423,0.605834,0.181467,0.0872672
29,0.00250018,0.293849,0.0110472,0.0672671,0.625336,0.185694,0.0783143
30,0.00190825,0.285322,0.00917734,0.0608229,0.64277,0.189393,0.0700002
31,0.00146016,0.277885,0.00758774,0.0547718,0.658295,0.192576,0.0623595
32,0.00112011,0.271406,0.00624771,0.0491492,0.672077,0.195264,0.0553969
33,0.000861432,0.265763,0.00512607,0.0439697,0.68428,0.197484,0.0490958
34,0.000664152,0.260849,0.00419287,0.0392329,0.695061,0.199268,0.0434257
35,0.000513328,0.25657,0.00342044,0.0349268,0.704569,0.200652,0.0383472
36,0.000397739,0.252844,0.00278388,0.0310322,0.712942,0.20167,0.0338161
37,0.000308937,0.249599,0.00226125,0.0275249,0.720306,0.202356,0.0297861
38,0.00024055,0.246771,0.00183355,0.0243779,0.726777,0.202746,0.0262114
39,0.000187759,0.244306,0.00148451,0.0215629,0.732459,0.20287,0.0230475
40,0.00014691,0.242157,0.00120034,0.0190518,0.737444,0.202758,0.0202521
41,0.000115226,0.240283,0.000969457,0.0168168,0.741816,0.202438,0.0177862
42,9.06E-05,0.238647,0.000782208,0.0148314,0.745649,0.201934,0.0156137
43,7.14E-05,0.23722,0.000630581,0.0130709,0.749007,0.201269,0.0137015
44,5.64E-05,0.235973,0.000507964,0.0115119,0.75195,0.200464,0.0120199
45,4.47E-05,0.234885,0.000408921,0.0101333,0.754528,0.199536,0.0105422
46,3.54E-05,0.233934,0.000329001,0.00891536,0.756786,0.198502,0.00924436
47,2.82E-05,0.233103,0.000264568,0.0078405,0.758764,0.197376,0.00810507
48,2.25E-05,0.232376,0.000212661,0.00689268,0.760496,0.196172,0.00710534
49,1.80E-05,0.231741,0.000170873,0.00605748,0.762013,0.1949,0.00622835
50,1.44E-05,0.231185,0.000137251,0.00532198,0.763341,0.19357,0.00545923
51,1.16E-05,0.230699,0.000110212,0.00467463,0.764504,0.192192,0.00478484
52,9.30E-06,0.230274,8.85E-05,0.00410513,0.765523,0.190773,0.00419361
53,7.50E-06,0.229902,7.10E-05,0.00360433,0.766415,0.189319,0.00367535
54,6.07E-06,0.229577,5.70E-05,0.00316411,0.767196,0.187837,0.00322109
55,4.91E-06,0.229291,4.57E-05,0.00277725,0.767881,0.186331,0.00282297
56,3.99E-06,0.229042,3.67E-05,0.00243738,0.76848,0.184807,0.00247406
57,3.25E-06,0.228823,2.94E-05,0.00213887,0.769005,0.183268,0.00216829
58,2.65E-06,0.228632,2.36E-05,0.00187673,0.769465,0.181718,0.00190033
59,2.16E-06,0.228464,1.89E-05,0.00164659,0.769868,0.180159,0.00166551
60,1.77E-06,0.228318,1.52E-05,0.00144455,0.770221,0.178595,0.00145973
61,1.45E-06,0.228189,1.22E-05,0.00126723,0.77053,0.177028,0.00127939
62,1.19E-06,0.228076,9.75E-06,0.00111161,0.770801,0.175458,0.00112136
63,9.83E-07,0.227978,7.82E-06,0.00097505,0.771039,0.17389,0.000982869
64,8.12E-07,0.227891,6.27E-06,0.00085523,0.771247,0.172323,0.000861498
65,6.71E-07,0.227815,5.02E-06,0.000750106,0.771429,0.170759,0.00075513
66,5.56E-07,0.227749,4.03E-06,0.000657881,0.771589,0.1692,0.000661909
67,4.62E-07,0.227691,3.23E-06,0.000576978,0.771729,0.167645,0.000580207
68,3.84E-07,0.22764,2.59E-06,0.000506012,0.771851,0.166097,0.000508599
69,3.20E-07,0.227595,2.07E-06,0.000443764,0.771959,0.164556,0.000445838
70,2.68E-07,0.227556,1.66E-06,0.000389165,0.772053,0.163022,0.000390828
71,2.24E-07,0.227522,1.33E-06,0.000341279,0.772136,0.161496,0.000342611
72,1.88E-07,0.227491,1.07E-06,0.00029928,0.772208,0.159979,0.000300348
73,1.58E-07,0.227465,8.56E-07,0.000262446,0.772271,0.158471,0.000263302
74,1.33E-07,0.227442,6.86E-07,0.000230143,0.772327,0.156972,0.000230829
75,1.12E-07,0.227422,5.50E-07,0.000201814,0.772376,0.155482,0.000202364
76,9.44E-08,0.227404,4.41E-07,0.00017697,0.772419,0.154002,0.000177411
77,7.98E-08,0.227388,3.53E-07,0.000155184,0.772456,0.152532,0.000155537
78,6.77E-08,0.227375,2.83E-07,0.000136079,0.772489,0.151073,0.000136361
79,5.74E-08,0.227363,2.27E-07,0.000119325,0.772518,0.149623,0.000119551
80,4.88E-08,0.227352,1.82E-07,0.000104633,0.772543,0.148185,0.000104815
