i,S,V,Ip(e1 = e2 = 0.90),Im(e1 = e2 = 0.90),R,x,I(e1 = e2 = 0.90)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10018,0.00587781
2,0.800198,0.189065,0.0039198,0.00433232,0.0024848,0.0982003,0.00825213
3,0.716826,0.26752,0.00512585,0.00597942,0.0045486,0.09438,0.0111053
4,0.643372,0.334936,0.00643532,0.00794287,0.00731367,0.0891382,0.0143782
5,0.579246,0.3919,0.00778587,0.0101917,0.0108771,0.0829233,0.0179775
6,0.523533,0.43937,0.0091107,0.0126757,0.0153111,0.0761562,0.0217864
7,0.47519,0.478476,0.0103457,0.0153301,0.0206579,0.0691944,0.0256758
8,0.433181,0.510377,0.0114347,0.0180802,0.0269269,0.062317,0.029515
9,0.396552,0.536172,0.0123339,0.0208464,0.0340957,0.0557236,0.0331803
10,0.364472,0.556855,0.0130128,0.0235489,0.0421118,0.0495434,0.0365616
11,0.336241,0.573295,0.0134556,0.0261117,0.0508972,0.0438488,0.0395673
12,0.311281,0.586239,0.01366,0.0284667,0.0603533,0.0386692,0.0421267
13,0.289123,0.596319,0.0136357,0.0305565,0.0703663,0.0340041,0.0441922
14,0.269384,0.604064,0.0134022,0.0323364,0.0808131,0.0298329,0.0457387
15,0.251755,0.609916,0.0129864,0.0337758,0.0915669,0.026124,0.0467621
16,0.235979,0.614241,0.0124194,0.0348581,0.102502,0.0228395,0.0472775
17,0.221845,0.61734,0.0117348,0.0355804,0.1135,0.01994,0.0473152
18,0.209171,0.619462,0.0109656,0.0359518,0.124449,0.0173862,0.0469175
19,0.197802,0.620812,0.0101431,0.0359916,0.135252,0.0151413,0.0461347
20,0.187603,0.621555,0.00929515,0.0357267,0.145821,0.0131709,0.0450218
21,0.178451,0.621828,0.00844574,0.0351896,0.156085,0.0114438,0.0436353
22,0.170241,0.621741,0.00761439,0.0344161,0.165987,0.00993196,0.0420304
23,0.162874,0.621384,0.00681629,0.0334432,0.175483,0.00861016,0.0402595
24,0.156265,0.620827,0.00606251,0.0323078,0.184538,0.00745595,0.0383703
25,0.150333,0.620128,0.00536048,0.031045,0.193133,0.00644934,0.0364055
26,0.145009,0.619332,0.00471449,0.0296876,0.201256,0.00557258,0.0344021
27,0.140229,0.618476,0.0041263,0.0282653,0.208903,0.00480989,0.0323916
28,0.135936,0.617587,0.00359565,0.0268044,0.216077,0.00414729,0.0304
29,0.132079,0.616686,0.00312078,0.0253275,0.222787,0.00357239,0.0284483
30,0.12861,0.61579,0.00269886,0.023854,0.229047,0.00307423,0.0265529
31,0.125491,0.614911,0.00232636,0.0224,0.234872,0.00264311,0.0247264
32,0.122683,0.614059,0.00199933,0.0209784,0.24028,0.00227045,0.0229777
33,0.120154,0.61324,0.00171367,0.0195994,0.245293,0.00194872,0.0213131
34,0.117875,0.612457,0.00146525,0.018271,0.249931,0.00167127,0.0197362
35,0.11582,0.611714,0.00125009,0.0169987,0.254216,0.00143227,0.0182488
36,0.113967,0.611013,0.00106439,0.0157866,0.25817,0.0012266,0.016851
37,0.112293,0.610353,0.000904635,0.014637,0.261813,0.00104978,0.0155416
38,0.110781,0.609734,0.000767597,0.0135511,0.265167,0.000897915,0.0143186
39,0.109414,0.609156,0.000650349,0.0125289,0.268251,0.000767588,0.0131792
40,0.108178,0.608617,0.000550266,0.0115697,0.271085,0.000655837,0.0121199
41,0.107059,0.608116,0.000465015,0.0106721,0.273688,0.000560086,0.0111372
42,0.106047,0.60765,0.000392534,0.00983437,0.276076,0.000478101,0.0102269
43,0.105129,0.607219,0.000331016,0.00905413,0.278266,0.00040795,0.00938515
44,0.104298,0.606821,0.000278883,0.00832892,0.280274,0.00034796,0.0086078
45,0.103544,0.606452,0.000234765,0.00765604,0.282113,0.000296688,0.00789081
46,0.102861,0.606112,0.000197477,0.00703273,0.283797,0.00025289,0.00723021
47,0.10224,0.605799,0.000165997,0.00645617,0.285339,0.000215494,0.00662217
48,0.101677,0.60551,0.000139447,0.00592354,0.28675,0.000183578,0.00606299
49,0.101166,0.605244,0.000117078,0.00543207,0.288041,0.00015635,0.00554915
50,0.100701,0.605,9.82E-05,0.00497906,0.289221,0.00013313,0.0050773
51,0.100279,0.604776,8.24E-05,0.00456189,0.290301,0.000113334,0.0046443
52,0.0998959,0.60457,6.91E-05,0.00417807,0.291287,9.65E-05,0.00424716
53,0.0995472,0.60438,5.79E-05,0.0038252,0.292189,8.21E-05,0.0038831
54,0.0992301,0.604207,4.85E-05,0.00350102,0.293013,6.98E-05,0.00354952
55,0.0989418,0.604048,4.06E-05,0.00320338,0.293766,5.94E-05,0.003244
56,0.0986794,0.603902,3.40E-05,0.00293027,0.294454,5.05E-05,0.00296428
57,0.0984407,0.603769,2.85E-05,0.00267979,0.295082,4.30E-05,0.00270826
58,0.0982234,0.603646,2.38E-05,0.00245019,0.295656,3.66E-05,0.00247402
59,0.0980256,0.603534,1.99E-05,0.00223982,0.29618,3.11E-05,0.00225975
60,0.0978456,0.603432,1.67E-05,0.00204713,0.296659,2.64E-05,0.00206381
61,0.0976816,0.603338,1.39E-05,0.00187072,0.297095,2.25E-05,0.00188466
62,0.0975323,0.603253,1.17E-05,0.00170924,0.297494,1.91E-05,0.0017209
63,0.0973963,0.603174,9.75E-06,0.00156149,0.297858,1.62E-05,0.00157124
64,0.0972725,0.603102,8.15E-06,0.00142634,0.298191,1.38E-05,0.00143449
65,0.0971596,0.603037,6.81E-06,0.00130273,0.298494,1.17E-05,0.00130954
66,0.0970568,0.602977,5.69E-06,0.00118971,0.298771,9.97E-06,0.0011954
67,0.0969631,0.602922,4.76E-06,0.00108639,0.299024,8.47E-06,0.00109115
68,0.0968778,0.602872,3.97E-06,0.000991962,0.299254,7.20E-06,0.000995937
69,0.0968,0.602826,3.32E-06,0.000905668,0.299465,6.12E-06,0.000908989
70,0.0967291,0.602785,2.77E-06,0.000826822,0.299657,5.20E-06,0.000829596
71,0.0966645,0.602746,2.32E-06,0.00075479,0.299832,4.42E-06,0.000757108
72,0.0966056,0.602712,1.94E-06,0.000688993,0.299992,3.75E-06,0.000690929
73,0.0965519,0.60268,1.62E-06,0.000628897,0.300138,3.19E-06,0.000630514
74,0.0965029,0.602651,1.35E-06,0.000574014,0.300271,2.71E-06,0.000575365
75,0.0964583,0.602624,1.13E-06,0.000523897,0.300393,2.30E-06,0.000525025
76,0.0964176,0.6026,9.42E-07,0.000478137,0.300503,1.96E-06,0.000479078
77,0.0963805,0.602578,7.86E-07,0.000436356,0.300605,1.66E-06,0.000437143
78,0.0963467,0.602558,6.57E-07,0.000398213,0.300697,1.41E-06,0.00039887
79,0.0963158,0.602539,5.48E-07,0.000363393,0.300781,1.20E-06,0.000363941
80,0.0962877,0.602522,4.58E-07,0.000331608,0.300858,1.02E-06,0.000332066
