i,S,V,Ip(e1 = e2 = 0.10),Im(e1 = e2 = 0.10),R,x,I(e1 = e2 = 0.10)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10018,0.00587781
2,0.800198,0.188689,0.00411012,0.00451774,0.0024848,0.0964047,0.00862786
3,0.718035,0.264658,0.0058962,0.00676755,0.00464354,0.0893839,0.0126638
4,0.647192,0.326423,0.00846335,0.0101212,0.00780085,0.0802055,0.0185846
5,0.586384,0.373961,0.0121381,0.0150981,0.0124187,0.0700545,0.0272361
6,0.533359,0.407709,0.017349,0.0224186,0.0191645,0.0599786,0.0397675
7,0.485334,0.428038,0.0246177,0.0330278,0.0289833,0.0507555,0.0576455
8,0.439345,0.434936,0.034495,0.0480517,0.0431725,0.042864,0.0825467
9,0.392604,0.42798,0.0473894,0.0685974,0.0634288,0.0365275,0.115987
10,0.342993,0.406691,0.0632331,0.0952803,0.0918022,0.0317906,0.158513
11,0.289777,0.371358,0.0809966,0.127416,0.130453,0.028597,0.208412
12,0.234343,0.324176,0.0982809,0.162107,0.181094,0.0268496,0.260388
13,0.180336,0.270023,0.111518,0.194,0.244124,0.0264397,0.305518
14,0.132475,0.215772,0.117263,0.216724,0.317766,0.0272441,0.333987
15,0.0942961,0.167879,0.114094,0.225843,0.397888,0.0290965,0.339937
16,0.0665605,0.129886,0.103461,0.221087,0.479005,0.0317639,0.324549
17,0.0476544,0.101948,0.0885983,0.2058,0.555999,0.0349571,0.294398
18,0.0351221,0.0822456,0.0726885,0.184535,0.625409,0.0383752,0.257223
19,0.0268035,0.0685527,0.0578419,0.161136,0.685665,0.0417555,0.218978
20,0.0211726,0.0590143,0.0450544,0.138128,0.73663,0.0449021,0.183183
21,0.0172513,0.0523006,0.0345722,0.116886,0.77899,0.0476912,0.151458
22,0.0144336,0.0475148,0.0262484,0.0980104,0.813793,0.0500616,0.124259
23,0.0123454,0.0440625,0.0197766,0.0816438,0.842172,0.0519994,0.10142
24,0.0107523,0.0415484,0.0148171,0.0676831,0.865199,0.0535218,0.0825002
25,0.00950419,0.039706,0.0110551,0.0559087,0.883826,0.0546643,0.0669638
26,0.00850275,0.038352,0.00822227,0.0460577,0.898865,0.0554711,0.05428
27,0.00768199,0.0373584,0.00610064,0.037864,0.910995,0.0559889,0.0439646
28,0.00699661,0.0366336,0.00451807,0.0310782,0.920774,0.0562622,0.0355962
29,0.00641481,0.0361111,0.0033412,0.0254767,0.928656,0.0563319,0.0288179
30,0.00591383,0.0357419,0.00246808,0.0208644,0.935012,0.056234,0.0233325
31,0.00547705,0.0354895,0.0018215,0.0170738,0.940138,0.0559996,0.0188953
32,0.00509217,0.0353262,0.00134336,0.0139633,0.944275,0.0556548,0.0153067
33,0.00474988,0.0352309,0.000990166,0.0114139,0.947615,0.0552215,0.0124041
34,0.00444305,0.0351873,0.000729507,0.00932625,0.950314,0.054718,0.0100558
35,0.00416616,0.0351828,0.000537271,0.00761801,0.952496,0.054159,0.00815528
36,0.00391482,0.0352078,0.000395578,0.00622106,0.954261,0.0535569,0.00661664
37,0.00368555,0.0352547,0.000291185,0.00507921,0.955689,0.0529215,0.0053704
38,0.00347551,0.0353175,0.000214301,0.00414624,0.956846,0.0522609,0.00436054
39,0.0032824,0.0353915,0.000157693,0.00338417,0.957784,0.0515817,0.00354186
40,0.00310427,0.0354733,0.000116024,0.00276185,0.958545,0.0508892,0.00287788
41,0.00293952,0.0355601,8.54E-05,0.00225376,0.959161,0.0501877,0.00233912
42,0.00278677,0.0356496,6.28E-05,0.001839,0.959662,0.0494807,0.00190179
43,0.00264485,0.0357402,4.62E-05,0.00150048,0.960068,0.0487709,0.00154666
44,0.00251275,0.0358306,3.40E-05,0.0012242,0.960398,0.0480606,0.00125817
45,0.00238958,0.03592,2.50E-05,0.000998749,0.960667,0.0473518,0.00102374
46,0.00227456,0.0360075,1.84E-05,0.000814788,0.960885,0.0466457,0.000833165
47,0.00216702,0.0360927,1.35E-05,0.00066469,0.961062,0.0459437,0.000678206
48,0.00206634,0.0361752,9.94E-06,0.000542229,0.961206,0.0452466,0.000552169
49,0.00197197,0.0362548,7.31E-06,0.00044232,0.961324,0.0445553,0.000449629
50,0.00188344,0.0363313,5.38E-06,0.000360812,0.961419,0.0438703,0.000366188
51,0.00180028,0.0364046,3.95E-06,0.00029432,0.961497,0.0431923,0.000298273
52,0.00172211,0.0364748,2.91E-06,0.000240078,0.96156,0.0425214,0.000242985
53,0.00164857,0.0365419,2.14E-06,0.00019583,0.961612,0.0418581,0.000197968
54,0.00157931,0.0366058,1.57E-06,0.000159735,0.961654,0.0412026,0.000161307
55,0.00151404,0.0366668,1.16E-06,0.000130292,0.961688,0.040555,0.000131448
56,0.00145249,0.0367248,8.50E-07,0.000106275,0.961716,0.0399155,0.000107126
57,0.00139439,0.0367801,6.25E-07,8.67E-05,0.961738,0.0392843,8.73E-05
58,0.00133952,0.0368326,4.60E-07,7.07E-05,0.961757,0.0386613,7.12E-05
59,0.00128766,0.0368826,3.38E-07,5.77E-05,0.961772,0.0380466,5.80E-05
60,0.00123861,0.0369301,2.49E-07,4.70E-05,0.961784,0.0374402,4.73E-05
61,0.00119219,0.0369753,1.83E-07,3.84E-05,0.961794,0.0368421,3.86E-05
62,0.00114823,0.0370182,1.34E-07,3.13E-05,0.961802,0.0362524,3.14E-05
63,0.00110658,0.037059,9.89E-08,2.55E-05,0.961809,0.0356709,2.56E-05
64,0.00106709,0.0370978,7.27E-08,2.08E-05,0.961814,0.0350977,2.09E-05
65,0.00102962,0.0371347,5.35E-08,1.70E-05,0.961819,0.0345327,1.70E-05
66,0.000994047,0.0371698,3.93E-08,1.38E-05,0.961822,0.0339759,1.39E-05
67,0.000960263,0.0372033,2.89E-08,1.13E-05,0.961825,0.0334271,1.13E-05
68,0.000928156,0.0372351,2.13E-08,9.21E-06,0.961828,0.0328864,9.23E-06
69,0.000897626,0.0372653,1.56E-08,7.51E-06,0.96183,0.0323536,7.53E-06
70,0.000868579,0.0372942,1.15E-08,6.13E-06,0.961831,0.0318287,6.14E-06
71,0.000840929,0.0373217,8.45E-09,5.00E-06,0.961832,0.0313117,5.01E-06
72,0.000814595,0.0373479,6.21E-09,4.08E-06,0.961833,0.0308023,4.08E-06
73,0.000789501,0.0373729,4.57E-09,3.33E-06,0.961834,0.0303007,3.33E-06
74,0.000765577,0.0373967,3.36E-09,2.71E-06,0.961835,0.0298066,2.72E-06
75,0.000742756,0.0374194,2.47E-09,2.21E-06,0.961836,0.02932,2.21E-06
76,0.000720977,0.0374412,1.82E-09,1.80E-06,0.961836,0.0288407,1.81E-06
77,0.000700182,0.0374619,1.34E-09,1.47E-06,0.961836,0.0283689,1.47E-06
78,0.000680318,0.0374817,9.83E-10,1.20E-06,0.961837,0.0279042,1.20E-06
79,0.000661334,0.0375007,7.22E-10,9.79E-07,0.961837,0.0274467,9.80E-07
80,0.000643182,0.0375188,5.31E-10,7.98E-07,0.961837,0.0269963,7.99E-07
