i,S,V,Ip(e1 = e2 = 0.50),Im(e1 = e2 = 0.50),R,x,I(e1 = e2 = 0.50)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10018,0.00587781
2,0.800198,0.188877,0.00401496,0.00442503,0.0024848,0.0982003,0.00843999
3,0.716717,0.266818,0.0055029,0.00636574,0.00459607,0.0943924,0.0118686
4,0.642866,0.333203,0.00739712,0.00898032,0.00755324,0.0891977,0.0163774
5,0.57781,0.388362,0.00976671,0.0124433,0.0116177,0.0830954,0.02221
6,0.520333,0.432928,0.0126783,0.0169529,0.0171078,0.0765442,0.0296312
7,0.469056,0.467634,0.0161865,0.0227211,0.0244034,0.069941,0.0389075
8,0.422603,0.493181,0.0203184,0.0299533,0.033945,0.0636017,0.0502716
9,0.379733,0.510176,0.0250534,0.0388134,0.0462245,0.0577556,0.0638668
10,0.339435,0.51913,0.0302987,0.0493732,0.0617623,0.0525525,0.0796719
11,0.301008,0.520511,0.0358656,0.0615486,0.0810667,0.048074,0.0974142
12,0.264112,0.514824,0.0414561,0.0750352,0.104573,0.044348,0.116491
13,0.228781,0.502717,0.0466721,0.0892653,0.132564,0.0413618,0.135937
14,0.195374,0.485064,0.0510569,0.103417,0.165088,0.0390735,0.154474
15,0.164453,0.462994,0.0541707,0.116497,0.201884,0.0374203,0.170668
16,0.13661,0.437855,0.055683,0.127498,0.242353,0.0363248,0.183181
17,0.112292,0.411086,0.055451,0.135584,0.285587,0.0356992,0.191035
18,0.0916831,0.384058,0.053551,0.140248,0.330459,0.0354494,0.193799
19,0.0746827,0.357924,0.0502511,0.141384,0.375758,0.0354797,0.191635
20,0.0609601,0.333524,0.0459393,0.139248,0.420329,0.0356965,0.185187
21,0.0500537,0.311369,0.041037,0.134357,0.463184,0.0360136,0.175394
22,0.0414654,0.29168,0.0359285,0.127356,0.503569,0.0363558,0.163285
23,0.0347276,0.274466,0.0309198,0.118908,0.54098,0.0366613,0.149827
24,0.0294371,0.25959,0.0262245,0.10961,0.575138,0.0368837,0.135835
25,0.0252654,0.246843,0.0219712,0.0999629,0.605957,0.036991,0.121934
26,0.021954,0.235982,0.0182195,0.090351,0.633494,0.0369645,0.10857
27,0.0193038,0.226762,0.0149788,0.0810539,0.657901,0.0367968,0.0960327
28,0.0171634,0.218954,0.0122261,0.0722595,0.679397,0.0364894,0.0844856
29,0.0154184,0.21235,0.0099191,0.0640825,0.69823,0.0360501,0.0740016
30,0.013982,0.206769,0.00800667,0.0565816,0.71466,0.0354911,0.0645883
31,0.0127885,0.202054,0.00643542,0.0497743,0.728947,0.034827,0.0562098
32,0.0117878,0.198071,0.00515391,0.0436499,0.741337,0.0340738,0.0488038
33,0.0109415,0.194706,0.00411504,0.0381785,0.752059,0.0332471,0.0422935
34,0.0102197,0.191863,0.00327711,0.0333186,0.761322,0.0323623,0.0365957
35,0.00959947,0.189461,0.00260409,0.0290223,0.769313,0.0314332,0.0316264
36,0.00906248,0.187432,0.00206544,0.0252394,0.776201,0.0304726,0.0273049
37,0.00859442,0.185719,0.0016356,0.0219195,0.782132,0.0294916,0.0235551
38,0.00818381,0.184272,0.00129346,0.019014,0.787237,0.0284998,0.0203074
39,0.00782145,0.183052,0.0010217,0.016477,0.791628,0.0275054,0.0174987
40,0.00749988,0.182023,0.000806234,0.0142662,0.795404,0.0265154,0.0150725
41,0.00721302,0.181157,0.000635662,0.0123429,0.798651,0.0255353,0.0129786
42,0.00695589,0.180429,0.000500808,0.0106721,0.801442,0.0245698,0.0111729
43,0.00672437,0.179819,0.000394312,0.00922239,0.80384,0.0236226,0.0096167
44,0.00651505,0.179307,0.000310292,0.0079658,0.805902,0.0226967,0.00827609
45,0.00632505,0.17888,0.000244058,0.00687759,0.807674,0.0217941,0.00712165
46,0.00615198,0.178524,0.000191884,0.00593591,0.809197,0.0209167,0.0061278
47,0.00599379,0.178229,0.000150809,0.00512158,0.810505,0.0200654,0.00527239
48,0.00584877,0.177985,0.00011849,0.00441776,0.81163,0.0192411,0.00453625
49,0.00571544,0.177785,9.31E-05,0.00380976,0.812597,0.0184442,0.00390284
50,0.00559252,0.177621,7.31E-05,0.00328476,0.813428,0.0176749,0.00335785
51,0.00547893,0.177489,5.74E-05,0.0028316,0.814143,0.0169331,0.00288898
52,0.00537372,0.177384,4.50E-05,0.00244056,0.814757,0.0162185,0.00248561
53,0.00527606,0.1773,3.54E-05,0.00210324,0.815285,0.0155308,0.00213859
54,0.00518524,0.177235,2.77E-05,0.00181231,0.815739,0.0148694,0.00184005
55,0.00510063,0.177186,2.18E-05,0.00156145,0.81613,0.0142338,0.00158323
56,0.00502167,0.17715,1.71E-05,0.00134519,0.816466,0.0136234,0.00136227
57,0.00494786,0.177125,1.34E-05,0.00115878,0.816755,0.0130374,0.00117218
58,0.00487878,0.17711,1.05E-05,0.000998131,0.817003,0.0124752,0.00100864
59,0.00481403,0.177101,8.24E-06,0.000859693,0.817217,0.0119359,0.000867938
60,0.00475327,0.177099,6.47E-06,0.000740411,0.817401,0.0114189,0.000746877
61,0.00469619,0.177102,5.07E-06,0.000637644,0.817559,0.0109233,0.000642716
62,0.00464251,0.17711,3.98E-06,0.000549114,0.817695,0.0104484,0.000553092
63,0.00459197,0.17712,3.12E-06,0.000472855,0.817812,0.00999347,0.000475974
64,0.00454435,0.177134,2.45E-06,0.000407171,0.817912,0.00955774,0.000409616
65,0.00449944,0.177149,1.92E-06,0.000350598,0.817999,0.00914047,0.000352516
66,0.00445706,0.177166,1.50E-06,0.000301875,0.818074,0.00874096,0.000303379
67,0.00441703,0.177184,1.18E-06,0.000259916,0.818138,0.00835851,0.000261095
68,0.0043792,0.177203,9.24E-07,0.000223783,0.818193,0.00799244,0.000224707
69,0.00434342,0.177223,7.25E-07,0.000192668,0.81824,0.00764209,0.000193393
70,0.00430956,0.177243,5.68E-07,0.000165876,0.818281,0.00730682,0.000166444
71,0.0042775,0.177263,4.45E-07,0.000142806,0.818316,0.00698602,0.000143252
72,0.00424713,0.177283,3.49E-07,0.000122943,0.818347,0.00667909,0.000123292
73,0.00421835,0.177303,2.74E-07,0.00010584,0.818373,0.00638545,0.000106114
74,0.00419106,0.177322,2.15E-07,9.11E-05,0.818395,0.00610456,9.13E-05
75,0.00416517,0.177342,1.68E-07,7.84E-05,0.818414,0.00583587,7.86E-05
76,0.0041406,0.177361,1.32E-07,6.75E-05,0.818431,0.00557887,6.77E-05
77,0.00411728,0.177379,1.03E-07,5.81E-05,0.818445,0.00533307,5.82E-05
78,0.00409513,0.177397,8.11E-08,5.00E-05,0.818458,0.00509799,5.01E-05
79,0.00407409,0.177415,6.35E-08,4.31E-05,0.818468,0.00487318,4.31E-05
80,0.0040541,0.177431,4.98E-08,3.71E-05,0.818477,0.00465819,3.71E-05
