i,S,V,Ip(e1 = e2 = 0.50),Im(e1 = e2 = 0.50),R,x,I(e1 = e2 = 0.50)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.192898,0.00400561,0.00441536,0.0024848,0.105441,0.00842097
3,0.707418,0.276199,0.00546635,0.00632562,0.00459129,0.102367,0.011792
4,0.628977,0.347311,0.00730699,0.00887558,0.00752927,0.0960821,0.0161826
5,0.561143,0.405496,0.00959002,0.0122261,0.0115452,0.0875535,0.0218162
6,0.503029,0.45109,0.0123791,0.0165642,0.0169376,0.0778419,0.0289433
7,0.453076,0.485033,0.0157311,0.0220964,0.0240635,0.0678987,0.0378275
8,0.409469,0.508476,0.0196829,0.0290323,0.0333397,0.0584465,0.0487152
9,0.370439,0.522534,0.0242327,0.0375553,0.0452386,0.0499467,0.061788
10,0.33446,0.528178,0.0293156,0.0477762,0.0602702,0.0426274,0.0770919
11,0.300367,0.526233,0.0347792,0.0596717,0.0789492,0.0365412,0.0944509
12,0.267431,0.517449,0.0403638,0.073015,0.101741,0.0316272,0.113379
13,0.235387,0.502606,0.0457017,0.0873197,0.128986,0.0277632,0.133021
14,0.204403,0.482611,0.0503466,0.101824,0.160814,0.0248031,0.152171
15,0.174977,0.458568,0.053839,0.11555,0.197066,0.0225999,0.169389
16,0.147766,0.43176,0.0557983,0.127438,0.237238,0.0210169,0.183236
17,0.123384,0.403565,0.056013,0.136545,0.280493,0.0199332,0.192558
18,0.102239,0.375312,0.0544925,0.142225,0.325733,0.0192431,0.196717
19,0.0844455,0.34813,0.0514593,0.144241,0.371725,0.0188556,0.1957
20,0.0698468,0.322853,0.0472855,0.142762,0.417252,0.0186926,0.190048
21,0.0580944,0.299986,0.0424035,0.138272,0.461244,0.0186878,0.180676
22,0.04875,0.279742,0.0372251,0.131427,0.502856,0.0187858,0.168652
23,0.041367,0.26211,0.0320882,0.122929,0.541506,0.0189415,0.155017
24,0.0355412,0.246937,0.0272359,0.11343,0.576855,0.0191191,0.140666
25,0.0309321,0.23399,0.0228189,0.103482,0.608777,0.0192918,0.126301
26,0.0272658,0.223004,0.0189113,0.0935141,0.637305,0.0194405,0.112425
27,0.0243281,0.213718,0.0155312,0.0838403,0.662583,0.0195522,0.0993715
28,0.0219541,0.205885,0.0126588,0.0746732,0.684828,0.0196195,0.087332
29,0.0200183,0.199289,0.0102525,0.0661434,0.704297,0.0196391,0.0763959
30,0.0184248,0.193736,0.00825959,0.058319,0.721261,0.0196106,0.0665786
31,0.0171008,0.189064,0.00662452,0.0512223,0.735988,0.0195357,0.0578468
32,0.0159904,0.185133,0.00529328,0.0448436,0.748739,0.0194178,0.0501368
33,0.0150508,0.181827,0.00421623,0.0391521,0.759754,0.0192609,0.0433684
34,0.0142487,0.179046,0.00334938,0.0341042,0.769252,0.0190694,0.0374536
35,0.0135581,0.176708,0.00265474,0.0296492,0.77743,0.0188478,0.0323039
36,0.0129588,0.174743,0.00210013,0.0257333,0.784465,0.0186007,0.0278334
37,0.0124346,0.173093,0.00165868,0.022303,0.79051,0.018332,0.0239617
38,0.0119727,0.17171,0.00130819,0.0193067,0.795703,0.0180457,0.0206149
39,0.0115628,0.170551,0.00103053,0.0166957,0.80016,0.0177451,0.0177262
40,0.0111966,0.169582,0.000810967,0.0144249,0.803985,0.0174334,0.0152359
41,0.0108674,0.168775,0.000637626,0.0124535,0.807267,0.0171131,0.0130912
42,0.0105696,0.168104,0.000500955,0.0107445,0.810081,0.0167868,0.0112454
43,0.0102988,0.167548,0.000393322,0.0092647,0.812495,0.0164563,0.00965802
44,0.0100511,0.16709,0.000308639,0.00798479,0.814566,0.0161234,0.00829343
45,0.00982345,0.166715,0.00024207,0.00687875,0.816341,0.0157896,0.00712082
46,0.0096133,0.16641,0.000189777,0.0059237,0.817863,0.015456,0.00611348
47,0.00941846,0.166164,0.000148726,0.0050996,0.819169,0.0151239,0.00524832
48,0.00923711,0.165969,0.000116516,0.00438889,0.820288,0.014794,0.0045054
49,0.00906768,0.165816,9.13E-05,0.00377628,0.821249,0.014467,0.00386753
50,0.00890887,0.165699,7.15E-05,0.00324846,0.822072,0.0141436,0.00331992
51,0.00875956,0.165612,5.59E-05,0.00279387,0.822779,0.0138242,0.00284981
52,0.00861879,0.16555,4.38E-05,0.00240248,0.823385,0.0135093,0.00244626
53,0.00848574,0.16551,3.43E-05,0.0020656,0.823904,0.0131991,0.00209986
54,0.00835968,0.165488,2.68E-05,0.00177572,0.82435,0.0128939,0.00180252
55,0.00824,0.16548,2.10E-05,0.00152632,0.824733,0.012594,0.0015473
56,0.00812617,0.165485,1.64E-05,0.00131181,0.825061,0.0122993,0.00132822
57,0.0080177,0.1655,1.28E-05,0.00112734,0.825343,0.0120102,0.00114017
58,0.00791419,0.165523,1.00E-05,0.000968714,0.825584,0.0117265,0.000978748
59,0.00781527,0.165553,7.85E-06,0.000832342,0.825792,0.0114484,0.000840189
60,0.00772061,0.165589,6.14E-06,0.000715114,0.825969,0.0111759,0.00072125
61,0.00762992,0.165629,4.80E-06,0.000614355,0.826122,0.010909,0.000619152
62,0.00754295,0.165672,3.75E-06,0.000527759,0.826253,0.0106476,0.000531509
63,0.00745947,0.165719,2.93E-06,0.000453342,0.826366,0.0103918,0.000456274
64,0.00737926,0.165767,2.29E-06,0.000389397,0.826462,0.0101414,0.000391689
65,0.00730214,0.165817,1.79E-06,0.000334455,0.826545,0.00989649,0.000336247
66,0.00722793,0.165867,1.40E-06,0.000287252,0.826616,0.00965692,0.000288652
67,0.00715648,0.165919,1.09E-06,0.0002467,0.826677,0.00942265,0.000247794
68,0.00708764,0.16597,8.55E-07,0.000211864,0.82673,0.0091936,0.000212719
69,0.00702129,0.166022,6.68E-07,0.00018194,0.826774,0.0089697,0.000182608
70,0.0069573,0.166073,5.22E-07,0.000156237,0.826813,0.00875086,0.000156759
71,0.00689555,0.166124,4.08E-07,0.00013416,0.826846,0.008537,0.000134568
72,0.00683595,0.166174,3.19E-07,0.000115199,0.826875,0.00832803,0.000115518
73,0.00677839,0.166223,2.49E-07,9.89E-05,0.826899,0.00812388,9.92E-05
74,0.00672279,0.166272,1.95E-07,8.49E-05,0.82692,0.00792443,8.51E-05
75,0.00666906,0.16632,1.52E-07,7.29E-05,0.826938,0.00772962,7.31E-05
76,0.00661713,0.166367,1.19E-07,6.26E-05,0.826953,0.00753935,6.27E-05
77,0.00656691,0.166413,9.29E-08,5.38E-05,0.826967,0.00735354,5.38E-05
