i,S,V,Ip(e1 = e2 = 0.10),Im(e1 = e2 = 0.10),R,x,I(e1 = e2 = 0.10)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.12268,0.00587781
2,0.780189,0.208794,0.00406337,0.00446939,0.0024848,0.147224,0.00853276
3,0.660758,0.322371,0.00570014,0.00655147,0.00461963,0.172593,0.0122516
4,0.541327,0.433566,0.00793328,0.00950028,0.00767384,0.19766,0.0174336
5,0.428237,0.53512,0.0109795,0.0136582,0.0120052,0.2215,0.0246377
6,0.326775,0.620486,0.0151326,0.0194992,0.0181074,0.243665,0.0346317
7,0.240268,0.684653,0.0207667,0.0276527,0.0266601,0.264342,0.0484193
8,0.169873,0.724335,0.0283119,0.0388946,0.0385857,0.284381,0.0672065
9,0.114995,0.73767,0.0381736,0.0540654,0.0550963,0.305244,0.092239
10,0.0739689,0.723914,0.0505618,0.073855,0.0777004,0.328933,0.124417
11,0.0446735,0.683608,0.0652083,0.0983961,0.108114,0.3579,0.163604
12,0.0249127,0.619382,0.081019,0.126686,0.148001,0.394876,0.207705
13,0.0125588,0.537009,0.0958679,0.15607,0.198494,0.442429,0.251938
14,0.00558478,0.445662,0.10689,0.18232,0.259543,0.502057,0.28921
15,0.00213473,0.356225,0.111494,0.200783,0.329364,0.572853,0.312277
16,0.000683109,0.277913,0.108651,0.208323,0.40443,0.650441,0.316974
17,0.000178,0.215441,0.0994421,0.204685,0.480254,0.72752,0.304127
18,3.67E-05,0.168831,0.0863412,0.192183,0.552609,0.796546,0.278524
19,5.79E-06,0.135358,0.0719462,0.174207,0.618483,0.85279,0.246153
20,6.84E-07,0.111658,0.0581454,0.153854,0.676342,0.895378,0.211999
21,5.94E-08,0.0948394,0.0459587,0.133342,0.72586,0.926111,0.179301
22,3.76E-09,0.0827739,0.0357467,0.114005,0.767475,0.947731,0.149752
23,1.73E-10,0.0739905,0.0274805,0.0965149,0.802014,0.962799,0.123995
24,5.79E-12,0.0674981,0.0209448,0.0811184,0.830439,0.973311,0.102063
25,1.42E-13,0.062629,0.0158616,0.0678116,0.853698,0.980693,0.0836732
26,2.56E-15,0.0589296,0.0119541,0.0564579,0.872658,0.985922,0.0684121
27,3.40E-17,0.0560869,0.00897612,0.0468599,0.888077,0.989662,0.0558361
28,3.36E-19,0.053881,0.00672085,0.038801,0.900597,0.992362,0.0455218
29,2.47E-21,0.052155,0.00502111,0.0320684,0.910755,0.994327,0.0370895
30,1.36E-23,0.0507951,0.00374475,0.0264656,0.918995,0.995769,0.0302103
31,5.62E-26,0.0497173,0.00278902,0.0218166,0.925677,0.996832,0.0246056
32,1.74E-28,0.0488587,0.00207495,0.0179679,0.931098,0.997621,0.0200428
33,4.08E-31,0.048172,0.00154237,0.0147874,0.935498,0.998209,0.0163298
34,7.22E-34,0.0476207,0.0011457,0.0121628,0.939071,0.998649,0.0133085
35,9.64E-37,0.0471769,0.000850568,0.00999942,0.941973,0.998979,0.01085
36,9.76E-40,0.0468186,0.00063118,0.00821773,0.944333,0.999228,0.00884891
37,7.48E-43,0.0465288,0.000468209,0.00675146,0.946252,0.999415,0.00721967
38,4.35E-46,0.0462939,0.000347216,0.00554545,0.947813,0.999557,0.00589266
39,1.92E-49,0.0461032,0.000257428,0.00455396,0.949085,0.999664,0.00481138
40,6.44E-53,0.0459483,0.000190822,0.00373914,0.950122,0.999745,0.00392996
41,1.64E-56,0.0458222,0.000141427,0.0030697,0.950967,0.999806,0.00321113
42,3.17E-60,0.0457195,0.000104805,0.00251985,0.951656,0.999853,0.00262466
43,4.67E-64,0.0456357,7.77E-05,0.00206831,0.952218,0.999888,0.00214597
44,5.22E-68,0.0455674,5.75E-05,0.00169757,0.952678,0.999915,0.0017551
45,4.44E-72,0.0455116,4.26E-05,0.00139319,0.953053,0.999935,0.00143582
46,2.88E-76,0.045466,3.16E-05,0.00114334,0.953359,0.999951,0.00117492
47,1.42E-80,0.0454288,2.34E-05,0.000938262,0.95361,0.999962,0.000961655
48,5.31E-85,0.0453983,1.73E-05,0.000769942,0.953814,0.999971,0.000787271
49,1.52E-89,0.0453734,1.28E-05,0.000631802,0.953982,0.999978,0.000644638
50,3.29E-94,0.0453531,9.51E-06,0.000518435,0.954119,0.999983,0.000527943
51,5.44E-99,0.0453364,7.04E-06,0.000425403,0.954231,0.999987,0.000432446
52,6.83E-104,0.0453227,5.22E-06,0.000349061,0.954323,0.99999,0.000354277
53,6.54E-109,0.0453115,3.86E-06,0.000286415,0.954398,0.999993,0.000290279
54,4.77E-114,0.0453024,2.86E-06,0.00023501,0.95446,0.999994,0.000237872
55,2.64E-119,0.0452949,2.12E-06,0.00019283,0.95451,0.999996,0.000194949
56,1.12E-124,0.0452887,1.57E-06,0.000158219,0.954551,0.999997,0.000159789
57,3.59E-130,0.0452837,1.16E-06,0.00012982,0.954585,0.999998,0.000130983
58,8.78E-136,0.0452796,8.61E-07,0.000106518,0.954613,0.999998,0.000107379
59,1.63E-141,0.0452762,6.38E-07,8.74E-05,0.954636,0.999999,8.80E-05
60,2.32E-147,0.0452734,4.72E-07,7.17E-05,0.954654,0.999999,7.22E-05
61,2.50E-153,0.0452711,3.50E-07,5.88E-05,0.95467,0.999999,5.92E-05
62,2.06E-159,0.0452693,2.59E-07,4.83E-05,0.954682,0.999999,4.85E-05
63,1.29E-165,0.0452677,1.92E-07,3.96E-05,0.954692,1,3.98E-05
64,6.13E-172,0.0452665,1.42E-07,3.25E-05,0.954701,1,3.26E-05
65,2.22E-178,0.0452654,1.05E-07,2.67E-05,0.954708,1,2.68E-05
66,6.13E-185,0.0452646,7.80E-08,2.19E-05,0.954713,1,2.20E-05
67,1.29E-191,0.0452639,5.77E-08,1.80E-05,0.954718,1,1.80E-05
68,2.06E-198,0.0452633,4.28E-08,1.47E-05,0.954722,1,1.48E-05
69,2.51E-205,0.0452629,3.17E-08,1.21E-05,0.954725,1,1.21E-05
70,2.33E-212,0.0452625,2.35E-08,9.92E-06,0.954728,1,9.94E-06
71,1.64E-219,0.0452622,1.74E-08,8.14E-06,0.95473,1,8.15E-06
72,8.84E-227,0.0452619,1.29E-08,6.68E-06,0.954731,1,6.69E-06
73,3.62E-234,0.0452617,9.53E-09,5.48E-06,0.954733,1,5.49E-06
