i,S,V,Ip(e1 = e2 = 0.50),Im(e1 = e2 = 0.50),R,x,I(e1 = e2 = 0.50)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.12268,0.00587781
2,0.780189,0.208981,0.00396821,0.00437668,0.0024848,0.147224,0.00834489
3,0.660859,0.323145,0.0052909,0.00613333,0.00457216,0.172575,0.0114242
4,0.541785,0.435715,0.0067975,0.00828489,0.00741811,0.197554,0.0150824
5,0.429479,0.540118,0.00843406,0.0108099,0.0111599,0.221113,0.0192439
6,0.329338,0.630927,0.0101458,0.0136749,0.0159145,0.24257,0.0238206
7,0.244672,0.704814,0.0118887,0.0168497,0.0217757,0.261711,0.0287383
8,0.176465,0.760767,0.0136334,0.0203163,0.0288179,0.278746,0.0339497
9,0.123803,0.799662,0.0153618,0.0240694,0.0371033,0.294183,0.0394312
10,0.0846131,0.823528,0.0170612,0.0281104,0.0466876,0.308676,0.0451716
11,0.0563719,0.834847,0.0187185,0.0324402,0.0576229,0.322911,0.0511587
12,0.0366,0.836073,0.0203165,0.0370521,0.0699579,0.337531,0.0573686
13,0.0231291,0.829379,0.0218319,0.041925,0.0837347,0.353108,0.0637569
14,0.0141959,0.816566,0.023235,0.0470193,0.0989842,0.370133,0.0702543
15,0.00843712,0.799078,0.0244909,0.0522735,0.11572,0.389014,0.0767644
16,0.00483727,0.778065,0.0255611,0.0576035,0.133933,0.410076,0.0831646
17,0.00266313,0.754443,0.0264066,0.0629031,0.153584,0.433557,0.0893097
18,0.00140039,0.728958,0.0269915,0.0680485,0.174602,0.4596,0.0950399
19,0.000699057,0.702234,0.0272863,0.0729035,0.196877,0.488232,0.10019
20,0.000328999,0.674808,0.0272719,0.0773287,0.220263,0.519349,0.104601
21,0.000144866,0.647145,0.0269415,0.0811905,0.244578,0.552698,0.108132
22,5.92E-05,0.619656,0.0263027,0.084371,0.269611,0.587873,0.110674
23,2.22E-05,0.592696,0.025377,0.0867769,0.295128,0.624317,0.112154
24,7.60E-06,0.566567,0.0241986,0.0883462,0.320881,0.661353,0.112545
25,2.34E-06,0.541516,0.0228115,0.0890512,0.346619,0.698224,0.111863
26,6.43E-07,0.517734,0.0212658,0.0888995,0.3721,0.734161,0.110165
27,1.56E-07,0.49536,0.0196142,0.0879309,0.397095,0.768442,0.107545
28,3.30E-08,0.474478,0.0179082,0.0862124,0.421401,0.800459,0.104121
29,6.03E-09,0.455129,0.0161947,0.0838317,0.444844,0.829759,0.100026
30,9.45E-10,0.437313,0.0145147,0.0808899,0.467283,0.856066,0.0954046
31,1.26E-10,0.420997,0.0129012,0.0774942,0.488608,0.879277,0.0903955
32,1.41E-11,0.406125,0.0113795,0.0737524,0.508743,0.89944,0.0851319
33,1.32E-12,0.392624,0.00996673,0.0697674,0.527642,0.916718,0.0797341
34,1.03E-13,0.380407,0.00867333,0.0656336,0.545286,0.931355,0.0743069
35,6.63E-15,0.369383,0.00750364,0.0614349,0.561679,0.943633,0.0689385
36,3.53E-16,0.359457,0.00645724,0.0572429,0.576843,0.953852,0.0637002
37,1.55E-17,0.350538,0.00553007,0.0531174,0.590815,0.962303,0.0586475
38,5.56E-19,0.342534,0.00471548,0.0491062,0.603644,0.969257,0.0538217
39,1.64E-20,0.33536,0.00400517,0.0452459,0.615389,0.974956,0.0492511
40,3.93E-22,0.328936,0.00338988,0.0415636,0.626111,0.979615,0.0449535
41,7.73E-24,0.323187,0.00286005,0.0380779,0.635875,0.983414,0.0409379
42,1.24E-25,0.318046,0.00240618,0.0347998,0.644748,0.986508,0.037206
43,1.62E-27,0.31345,0.00201919,0.0317348,0.652796,0.989024,0.033754
44,1.73E-29,0.309341,0.00169057,0.0288834,0.660085,0.991071,0.0305739
45,1.51E-31,0.30567,0.00141254,0.0262423,0.666675,0.992734,0.0276548
46,1.07E-33,0.30239,0.00117807,0.0238055,0.672626,0.994086,0.0249835
47,6.22E-36,0.299459,0.000980918,0.0215648,0.677995,0.995185,0.0225457
48,2.94E-38,0.296841,0.000815559,0.0195105,0.682833,0.996078,0.0203261
49,1.14E-40,0.294502,0.000677187,0.0176322,0.687189,0.996804,0.0183094
50,3.57E-43,0.292412,0.000561632,0.0159188,0.691108,0.997395,0.0164804
51,9.19E-46,0.290544,0.000465306,0.014359,0.694631,0.997876,0.0148243
52,1.93E-48,0.288876,0.000385139,0.0129417,0.697798,0.998268,0.0133269
53,3.30E-51,0.287384,0.000318517,0.011656,0.700641,0.998587,0.0119745
54,4.62E-54,0.286052,0.000263221,0.0104912,0.703194,0.998847,0.0107545
55,5.29E-57,0.28486,0.000217378,0.00943749,0.705485,0.999058,0.00965487
56,4.94E-60,0.283795,0.000179412,0.00848524,0.70754,0.999231,0.00866465
57,3.77E-63,0.282843,0.000147997,0.00762557,0.709383,0.999372,0.00777357
58,2.35E-66,0.281992,0.000122024,0.0068502,0.711035,0.999487,0.00697222
59,1.20E-69,0.281232,0.000100566,0.00615141,0.712517,0.999581,0.00625197
60,5.01E-73,0.280551,8.28E-05,0.00552209,0.713844,0.999657,0.00560494
61,1.71E-76,0.279943,6.82E-05,0.00495571,0.715033,0.99972,0.00502394
62,4.76E-80,0.279398,5.62E-05,0.00444625,0.716099,0.999771,0.00450243
63,1.09E-83,0.278912,4.62E-05,0.00398823,0.717054,0.999813,0.00403447
64,2.03E-87,0.278477,3.80E-05,0.00357664,0.717909,0.999847,0.00361469
65,3.09E-91,0.278087,3.13E-05,0.00320693,0.718675,0.999875,0.00323823
66,3.86E-95,0.277739,2.57E-05,0.00287495,0.71936,0.999898,0.0029007
67,3.94E-99,0.277427,2.12E-05,0.00257695,0.719975,0.999916,0.00259812
68,3.30E-103,0.277148,1.74E-05,0.00230953,0.720525,0.999931,0.00232694
69,2.25E-107,0.276899,1.43E-05,0.00206961,0.721017,0.999944,0.00208392
70,1.26E-111,0.276676,1.18E-05,0.00185442,0.721458,0.999954,0.00186618
71,5.77E-116,0.276476,9.67E-06,0.00166144,0.721853,0.999962,0.00167111
72,2.16E-120,0.276298,7.95E-06,0.00148841,0.722206,0.999969,0.00149636
73,6.64E-125,0.276138,6.53E-06,0.0013333,0.722522,0.999975,0.00133983
74,1.67E-129,0.275995,5.37E-06,0.00119428,0.722806,0.999979,0.00119964
