i,S,V,Ip(e1 = e2 = 0.10),Im(e1 = e2 = 0.10),R,x,I(e1 = e2 = 0.10)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.14068,0.00587781
2,0.764182,0.224877,0.00402597,0.0044307,0.0024848,0.194833,0.00845667
3,0.611106,0.372393,0.00553286,0.00636721,0.0046005,0.264326,0.0119001
4,0.445271,0.53073,0.00747206,0.00896048,0.00756677,0.349368,0.0164325
5,0.285878,0.680012,0.0100091,0.0124524,0.011649,0.447493,0.0224616
6,0.155096,0.796946,0.0134583,0.0172875,0.0172121,0.553123,0.0307458
7,0.0675949,0.865108,0.0183084,0.024182,0.0248071,0.658303,0.0424904
8,0.0223077,0.883177,0.0251558,0.0340799,0.0352794,0.754575,0.0592357
9,0.00521409,0.862414,0.0345454,0.0479778,0.0498484,0.835219,0.0825232
10,0.000802177,0.815648,0.0467727,0.0666732,0.0701039,0.896896,0.113446
11,7.52E-05,0.749933,0.0616585,0.090443,0.0978904,0.939983,0.152102
12,3.96E-06,0.668151,0.0782402,0.118547,0.135058,0.967545,0.196787
13,1.08E-07,0.573859,0.0944839,0.148638,0.183019,0.983716,0.243121
14,1.42E-09,0.473869,0.107421,0.176616,0.242094,0.992412,0.284037
15,8.30E-12,0.377481,0.114077,0.197575,0.310867,0.996692,0.311652
16,2.06E-14,0.293312,0.112901,0.207773,0.386014,0.998627,0.320674
17,2.10E-17,0.226088,0.104614,0.20633,0.462968,0.999444,0.310944
18,8.76E-21,0.175902,0.0916626,0.195248,0.537187,0.999774,0.286911
19,1.52E-24,0.139921,0.0768658,0.177944,0.605269,0.999906,0.25481
20,1.14E-28,0.114536,0.0623842,0.15772,0.66536,0.99996,0.220104
21,3.77E-33,0.0966119,0.0494437,0.137008,0.716936,0.999982,0.186452
22,5.77E-38,0.0838219,0.0385231,0.117308,0.760347,0.999992,0.155832
23,4.19E-43,0.0745603,0.0296451,0.0993972,0.796397,0.999996,0.129042
24,1.48E-48,0.0677473,0.0226073,0.0835803,0.826065,0.999998,0.106188
25,2.62E-54,0.0626598,0.0171248,0.0698841,0.850331,0.999999,0.0870089
26,2.36E-60,0.0588089,0.0129066,0.058185,0.8701,1,0.0710915
27,1.10E-66,0.0558593,0.0096901,0.0482885,0.886162,1,0.0579786
28,2.67E-73,0.053577,0.00725379,0.0399762,0.899193,1,0.04723
29,3.43E-80,0.0517955,0.00541762,0.0330313,0.909756,1,0.0384489
30,2.35E-87,0.0503949,0.004039,0.0272519,0.918314,1,0.0312909
31,8.63E-95,0.0492869,0.00300696,0.0224572,0.925249,1,0.0254642
32,1.71E-102,0.0484057,0.00223613,0.0184888,0.930869,1,0.0207249
33,1.84E-110,0.047702,0.00166142,0.0152103,0.935426,1,0.0168717
34,1.07E-118,0.0471378,0.00123354,0.0125057,0.939123,1,0.0137392
35,3.42E-127,0.0466841,0.000915336,0.0102771,0.942124,1,0.0111924
36,5.95E-136,0.0463183,0.000678904,0.0084424,0.94456,1,0.0091213
37,5.68E-145,0.0460226,0.000503356,0.00693309,0.946541,1,0.00743645
38,2.97E-154,0.0457833,0.000373089,0.0056922,0.948151,1,0.00606528
39,8.53E-164,0.0455892,0.000276468,0.00467245,0.949462,1,0.00494891
40,1.35E-173,0.0454315,0.000204829,0.00383475,0.950529,1,0.00403958
41,1.17E-183,0.0453034,0.000151729,0.00314682,0.951398,1,0.00329855
42,5.59E-194,0.045199,0.00011238,0.00258202,0.952107,1,0.0026944
43,1.47E-204,0.045114,8.32E-05,0.00211841,0.952684,1,0.00220164
44,2.14E-215,0.0450447,6.16E-05,0.00173791,0.953156,1,0.00179954
45,1.71E-226,0.0449882,4.56E-05,0.00142568,0.953541,1,0.00147131
46,7.57E-238,0.044942,3.38E-05,0.00116948,0.953855,1,0.00120327
47,1.84E-249,0.0449043,2.50E-05,0.000959284,0.954111,1,0.000984302
48,2.48E-261,0.0448735,1.85E-05,0.000786843,0.954321,1,0.000805366
49,1.84E-273,0.0448483,1.37E-05,0.000645383,0.954493,1,0.000659096
50,7.52E-286,0.0448277,1.02E-05,0.000529344,0.954633,1,0.000539496
51,1.70E-298,0.0448109,7.52E-06,0.000434161,0.954747,1,0.000441676
52,2.1195e-311,0.0447971,5.56E-06,0.000356088,0.954841,1,0.000361652
53,0,0.0447858,4.12E-06,0.000292051,0.954918,1,0.00029617
54,0,0.0447766,3.05E-06,0.000239528,0.954981,1,0.000242577
55,0,0.044769,2.26E-06,0.000196449,0.955032,1,0.000198706
56,0,0.0447628,1.67E-06,0.000161117,0.955074,1,0.000162788
57,0,0.0447577,1.24E-06,0.000132139,0.955109,1,0.000133375
58,0,0.0447536,9.16E-07,0.000108372,0.955137,1,0.000109287
59,0,0.0447502,6.78E-07,8.89E-05,0.95516,1,8.96E-05
60,0,0.0447474,5.02E-07,7.29E-05,0.955179,1,7.34E-05
61,0,0.0447451,3.71E-07,5.98E-05,0.955195,1,6.02E-05
62,0,0.0447432,2.75E-07,4.90E-05,0.955207,1,4.93E-05
63,0,0.0447417,2.04E-07,4.02E-05,0.955218,1,4.04E-05
64,0,0.0447404,1.51E-07,3.30E-05,0.955226,1,3.31E-05
65,0,0.0447394,1.12E-07,2.70E-05,0.955233,1,2.72E-05
66,0,0.0447385,8.25E-08,2.22E-05,0.955239,1,2.23E-05
67,0,0.0447378,6.11E-08,1.82E-05,0.955244,1,1.83E-05
68,0,0.0447373,4.52E-08,1.49E-05,0.955248,1,1.50E-05
69,0,0.0447368,3.35E-08,1.22E-05,0.955251,1,1.23E-05
70,0,0.0447364,2.48E-08,1.00E-05,0.955254,1,1.01E-05
71,0,0.0447361,1.83E-08,8.23E-06,0.955256,1,8.25E-06
72,0,0.0447359,1.36E-08,6.75E-06,0.955257,1,6.76E-06
73,0,0.0447357,1.01E-08,5.54E-06,0.955259,1,5.55E-06
74,0,0.0447355,7.44E-09,4.54E-06,0.95526,1,4.55E-06
75,0,0.0447353,5.51E-09,3.72E-06,0.955261,1,3.73E-06
76,0,0.0447352,4.08E-09,3.05E-06,0.955262,1,3.06E-06
77,0,0.0447351,3.02E-09,2.50E-06,0.955262,1,2.51E-06
78,0,0.044735,2.23E-09,2.05E-06,0.955263,1,2.06E-06
79,0,0.044735,1.65E-09,1.68E-06,0.955263,1,1.69E-06
80,0,0.0447349,1.22E-09,1.38E-06,0.955264,1,1.38E-06
