i,S,V,Ip (e1 = e2 = 0.50),Im (e1 = e2 = 0.50),R,x,I(e1 = e2 = 0.50)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.14068,0.00587781
2,0.764182,0.225065,0.00393081,0.00433799,0.0024848,0.194833,0.0082688
3,0.6112,0.373207,0.00510786,0.00593267,0.00455302,0.26431,0.0110405
4,0.445659,0.533103,0.00626637,0.00766808,0.00730295,0.349257,0.0139345
5,0.286759,0.685781,0.00729365,0.00940691,0.0107588,0.447057,0.0167006
6,0.156432,0.809403,0.00817561,0.0111072,0.0148829,0.551884,0.0192828
7,0.0690128,0.889504,0.00899863,0.0128604,0.0196244,0.655548,0.021859
8,0.0233538,0.92699,0.00986661,0.0148124,0.0249773,0.749585,0.024679
9,0.00573213,0.935379,0.0108289,0.0170632,0.0309966,0.82767,0.0278921
10,0.000965678,0.929736,0.0118803,0.0196451,0.037773,0.887173,0.0315254
11,0.000106195,0.918933,0.0129973,0.022561,0.0454026,0.929141,0.0355583
12,7.31E-06,0.906044,0.0141598,0.0258137,0.0539751,0.956914,0.0399735
13,3.05E-07,0.891668,0.0153502,0.0294066,0.0635749,0.974423,0.0447568
14,7.52E-09,0.875833,0.0165487,0.0333362,0.0742819,0.985085,0.0498849
15,1.08E-10,0.858512,0.0177317,0.0375869,0.0861696,0.99142,0.0553186
16,8.82E-13,0.8397,0.0188713,0.0421279,0.0993011,0.995118,0.0609993
17,4.10E-15,0.819427,0.0199363,0.0469113,0.113725,0.997248,0.0668476
18,1.07E-17,0.797766,0.0208931,0.0518702,0.129471,0.998462,0.0727633
19,1.54E-20,0.77483,0.0217073,0.0569191,0.146543,0.999148,0.0786264
20,1.23E-23,0.750779,0.0223459,0.0619549,0.16492,0.999532,0.0843007
21,5.39E-27,0.725814,0.0227794,0.0668602,0.184546,0.999744,0.0896396
22,1.28E-30,0.700172,0.0229844,0.0715088,0.205335,0.999862,0.0944932
23,1.63E-34,0.674117,0.0229458,0.0757719,0.227165,0.999926,0.0987177
24,1.12E-38,0.647933,0.0226583,0.0795261,0.249883,0.99996,0.102184
25,4.09E-43,0.621903,0.0221273,0.0826615,0.273308,0.999979,0.104789
26,7.93E-48,0.596302,0.0213688,0.0850889,0.29724,0.999989,0.106458
27,8.11E-53,0.571385,0.0204085,0.0867457,0.321461,0.999994,0.107154
28,4.36E-58,0.547371,0.0192795,0.0875993,0.34575,0.999997,0.106879
29,1.23E-63,0.524443,0.0180202,0.0876482,0.369888,0.999998,0.105668
30,1.83E-69,0.502741,0.016671,0.0869205,0.393668,0.999999,0.103592
31,1.42E-75,0.482361,0.0152722,0.0854697,0.416897,1,0.100742
32,5.78E-82,0.463358,0.0138611,0.08337,0.439411,1,0.0972311
33,1.24E-88,0.445753,0.0124707,0.0807094,0.461067,1,0.0931801
34,1.40E-95,0.429532,0.0111283,0.0775846,0.481755,1,0.0887129
35,8.31E-103,0.414661,0.00985521,0.0740944,0.501389,1,0.0839497
36,2.62E-110,0.401084,0.00866673,0.0703354,0.519913,1,0.0790021
37,4.38E-118,0.388733,0.00757257,0.0663979,0.537296,1,0.0739705
38,3.90E-126,0.377531,0.00657759,0.062364,0.553527,1,0.0689416
39,1.86E-134,0.367397,0.00568266,0.0583051,0.568615,1,0.0639877
40,4.75E-143,0.358248,0.0048855,0.054282,0.582584,1,0.0591675
41,6.54E-152,0.350003,0.00418155,0.0503445,0.595471,1,0.0545261
42,4.87E-161,0.342583,0.00356467,0.0465322,0.60732,1,0.0500969
43,1.96E-170,0.335913,0.00302778,0.0428752,0.618184,1,0.045903
44,4.31E-180,0.329923,0.00256334,0.039395,0.628118,1,0.0419584
45,5.16E-190,0.324548,0.00216375,0.0361062,0.637183,1,0.0382699
46,3.38E-200,0.319726,0.00182161,0.0330168,0.645436,1,0.0348384
47,1.22E-210,0.315403,0.00152991,0.0301303,0.652936,1,0.0316602
48,2.41E-221,0.311529,0.00128216,0.0274458,0.659743,1,0.028728
49,2.62E-232,0.308058,0.00107247,0.0249594,0.66591,1,0.0260318
50,1.58E-243,0.304949,0.000895516,0.0226647,0.671491,1,0.0235602
51,5.26E-255,0.302164,0.000746602,0.0205538,0.676536,1,0.0213004
52,9.73E-267,0.29967,0.000621584,0.0186173,0.681091,1,0.0192389
53,9.99E-279,0.297436,0.000516855,0.0168454,0.685202,1,0.0173622
54,5.70E-291,0.295435,0.000429291,0.0152275,0.688908,1,0.0156568
55,1.81E-303,0.293644,0.000356203,0.0137533,0.692247,1,0.0141095
56,3.21791e-316,0.292039,0.000295293,0.0124123,0.695253,1,0.0127076
57,0,0.290602,0.000244602,0.0111943,0.697959,1,0.0114389
58,0,0.289315,0.000202466,0.0100896,0.700393,1,0.0102921
59,0,0.288163,0.000167479,0.00908892,0.702581,1,0.0092564
60,0,0.28713,0.000138459,0.00818344,0.704548,1,0.00832189
61,0,0.286206,0.000114407,0.00736489,0.706315,1,0.0074793
62,0,0.285377,9.45E-05,0.0066256,0.707903,1,0.00672008
63,0,0.284635,7.80E-05,0.00595839,0.709328,1,0.00603639
64,0,0.28397,6.44E-05,0.00535666,0.710608,1,0.00542103
65,0,0.283375,5.31E-05,0.00481432,0.711758,1,0.00486743
66,0,0.282841,4.38E-05,0.00432578,0.712789,1,0.00436958
67,0,0.282363,3.61E-05,0.00388593,0.713715,1,0.00392204
68,0,0.281935,2.98E-05,0.00349008,0.714545,1,0.00351985
69,0,0.281551,2.45E-05,0.00313398,0.71529,1,0.00315852
70,0,0.281207,2.02E-05,0.00281375,0.715959,1,0.00283397
71,0,0.280899,1.67E-05,0.00252587,0.716558,1,0.00254252
72,0,0.280623,1.37E-05,0.00226714,0.717096,1,0.00228085
73,0,0.280375,1.13E-05,0.00203467,0.717579,1,0.00204596
74,0,0.280154,9.30E-06,0.00182584,0.718011,1,0.00183514
75,0,0.279955,7.66E-06,0.00163829,0.718399,1,0.00164595
76,0,0.279777,6.31E-06,0.00146988,0.718747,1,0.00147618
77,0,0.279617,5.19E-06,0.00131867,0.719059,1,0.00132387
78,0,0.279474,4.27E-06,0.00118295,0.719339,1,0.00118722
79,0,0.279346,3.52E-06,0.00106112,0.71959,1,0.00106464
80,0,0.279231,2.90E-06,0.000951792,0.719815,1,0.000954687
