i,S,V,Ip (e1 = e2 = 0.90),Im (e1 = e2 = 0.90),R,x,I(e1 = e2 = 0.90)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.12268,0.00587781
2,0.780189,0.209169,0.00387305,0.00428397,0.0024848,0.149368,0.00815702
3,0.659298,0.325568,0.00488914,0.00572093,0.00452468,0.180321,0.0106101
4,0.535799,0.444176,0.00573053,0.00712802,0.00716578,0.215651,0.0128586
5,0.415907,0.559265,0.0062149,0.00826222,0.0103506,0.255268,0.0144771
6,0.306133,0.664786,0.00624278,0.00892082,0.0139167,0.298855,0.0151636
7,0.212027,0.755472,0.0058442,0.00902688,0.01763,0.345864,0.0148711
8,0.137037,0.827909,0.00515524,0.00864969,0.0212488,0.39556,0.0138049
9,0.0819118,0.881207,0.00434504,0.00795061,0.0245859,0.447087,0.0122957
10,0.0448429,0.916968,0.00354918,0.00710232,0.0275379,0.499515,0.0106515
11,0.0222512,0.938593,0.00284391,0.00623451,0.0300775,0.551884,0.00907842
12,0.00989847,0.950198,0.00225514,0.00542103,0.0322271,0.603227,0.00767617
13,0.00390325,0.955593,0.00177938,0.00469238,0.0340323,0.652611,0.00647177
14,0.0013489,0.957652,0.00140109,0.00405399,0.0355443,0.69919,0.00545508
15,0.000403989,0.958183,0.00110238,0.00350001,0.0368106,0.742274,0.00460239
16,0.000103734,0.958136,0.000867132,0.00302104,0.0378725,0.781374,0.00388817
17,2.26E-05,0.957924,0.000682026,0.0026074,0.0387642,0.81623,0.00328943
18,4.14E-06,0.957695,0.000536413,0.00225032,0.0395144,0.846792,0.00278673
19,6.33E-07,0.957489,0.000421876,0.0019421,0.0401466,0.873194,0.00236397
20,8.02E-08,0.957312,0.000331788,0.00167606,0.0406801,0.895706,0.00200784
21,8.35E-09,0.957162,0.000260933,0.00144644,0.0411311,0.914682,0.00170737
22,7.11E-10,0.957034,0.000205206,0.00124826,0.0415128,0.930524,0.00145346
23,4.94E-11,0.956925,0.000161378,0.00107722,0.0418364,0.943639,0.0012386
24,2.78E-12,0.956832,0.00012691,0.000929609,0.042111,0.954424,0.00105652
25,1.27E-13,0.956754,9.98E-05,0.000802219,0.0423444,0.96324,0.000902021
26,4.65E-15,0.956686,7.85E-05,0.00069228,0.0425429,0.970415,0.000770764
27,1.37E-16,0.956629,6.17E-05,0.000597404,0.042712,0.97623,0.000659124
28,3.27E-18,0.95658,4.85E-05,0.000515529,0.0428561,0.980929,0.000564064
29,6.22E-20,0.956538,3.82E-05,0.000444872,0.0429792,0.984716,0.000483039
30,9.51E-22,0.956502,3.00E-05,0.000383898,0.0430842,0.987763,0.000413912
31,1.16E-23,0.956471,2.36E-05,0.00033128,0.043174,0.990209,0.000354882
32,1.14E-25,0.956445,1.86E-05,0.000285873,0.0432508,0.992171,0.000304434
33,8.91E-28,0.956422,1.46E-05,0.00024669,0.0433166,0.993742,0.000261285
34,5.58E-30,0.956403,1.15E-05,0.000212876,0.0433729,0.995001,0.000224353
35,2.79E-32,0.956386,9.03E-06,0.000183697,0.0434212,0.996007,0.000192723
36,1.11E-34,0.956372,7.10E-06,0.000158518,0.0434626,0.996811,0.000165615
37,3.55E-37,0.956359,5.58E-06,0.000136789,0.0434982,0.997454,0.00014237
38,9.03E-40,0.956349,4.39E-06,0.000118039,0.0435287,0.997968,0.000122428
39,1.84E-42,0.95634,3.45E-06,0.000101859,0.0435549,0.998378,0.00010531
40,2.98E-45,0.956332,2.71E-06,8.79E-05,0.0435774,0.998705,9.06E-05
41,3.85E-48,0.956325,2.13E-06,7.58E-05,0.0435967,0.998967,7.80E-05
42,3.98E-51,0.95632,1.68E-06,6.55E-05,0.0436133,0.999176,6.71E-05
43,3.28E-54,0.956315,1.32E-06,5.65E-05,0.0436276,0.999342,5.78E-05
44,2.16E-57,0.95631,1.04E-06,4.87E-05,0.0436399,0.999475,4.98E-05
45,1.13E-60,0.956307,8.16E-07,4.21E-05,0.0436505,0.999581,4.29E-05
46,4.74E-64,0.956303,6.42E-07,3.63E-05,0.0436596,0.999666,3.69E-05
47,1.59E-67,0.956301,5.05E-07,3.13E-05,0.0436675,0.999733,3.18E-05
48,4.23E-71,0.956298,3.97E-07,2.70E-05,0.0436742,0.999787,2.74E-05
49,8.99E-75,0.956296,3.12E-07,2.33E-05,0.0436801,0.99983,2.36E-05
50,1.53E-78,0.956295,2.45E-07,2.01E-05,0.0436851,0.999865,2.04E-05
51,2.07E-82,0.956293,1.93E-07,1.74E-05,0.0436894,0.999892,1.76E-05
52,2.23E-86,0.956292,1.52E-07,1.50E-05,0.0436931,0.999914,1.51E-05
53,1.92E-90,0.956291,1.19E-07,1.29E-05,0.0436963,0.999931,1.30E-05
54,1.32E-94,0.95629,9.38E-08,1.12E-05,0.0436991,0.999945,1.13E-05
55,7.26E-99,0.956289,7.38E-08,9.63E-06,0.0437015,0.999956,9.70E-06
56,3.18E-103,0.956288,5.80E-08,8.31E-06,0.0437035,0.999965,8.37E-06
57,1.11E-107,0.956288,4.56E-08,7.17E-06,0.0437053,0.999972,7.22E-06
58,3.09E-112,0.956287,3.59E-08,6.19E-06,0.0437068,0.999978,6.22E-06
59,6.87E-117,0.956287,2.82E-08,5.34E-06,0.0437081,0.999982,5.37E-06
60,1.22E-121,0.956286,2.22E-08,4.61E-06,0.0437093,0.999986,4.63E-06
61,1.72E-126,0.956286,1.74E-08,3.98E-06,0.0437102,0.999989,3.99E-06
62,1.94E-131,0.956285,1.37E-08,3.43E-06,0.0437111,0.999991,3.44E-06
63,1.75E-136,0.956285,1.08E-08,2.96E-06,0.0437118,0.999993,2.97E-06
64,1.26E-141,0.956285,8.48E-09,2.55E-06,0.0437124,0.999994,2.56E-06
65,7.21E-147,0.956285,6.67E-09,2.20E-06,0.043713,0.999995,2.21E-06
66,3.30E-152,0.956285,5.24E-09,1.90E-06,0.0437134,0.999996,1.91E-06
67,1.20E-157,0.956285,4.12E-09,1.64E-06,0.0437139,0.999997,1.65E-06
68,3.50E-163,0.956284,3.24E-09,1.42E-06,0.0437142,0.999998,1.42E-06
69,8.13E-169,0.956284,2.55E-09,1.22E-06,0.0437145,0.999998,1.22E-06
70,1.51E-174,0.956284,2.01E-09,1.05E-06,0.0437148,0.999999,1.06E-06
