i,S,V,Ip (e1=e2= 0.10),Im (e1=e2= 0.10),R,x,I(e1 = e2 = 0.10)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.19271,0.00410077,0.00450807,0.0024848,0.109175,0.00860884
3,0.704358,0.278438,0.00584931,0.00671602,0.00463876,0.113519,0.0125653
4,0.618087,0.355874,0.00831675,0.00995049,0.00777144,0.117782,0.0182672
5,0.537274,0.423991,0.0117742,0.0146498,0.0123103,0.122078,0.026424
6,0.46166,0.481516,0.0165676,0.0214011,0.0188548,0.12658,0.0379687
7,0.39091,0.526804,0.0231069,0.0309495,0.0282297,0.131545,0.0540564
8,0.324731,0.557757,0.0318175,0.0441572,0.0415373,0.137336,0.0759747
9,0.263022,0.571915,0.0430185,0.0618579,0.0601865,0.144456,0.104876
10,0.206054,0.566854,0.0566967,0.0845399,0.0858559,0.153582,0.141237
11,0.154607,0.541066,0.0721814,0.111822,0.120323,0.165578,0.184003
12,0.10993,0.495294,0.0878421,0.141846,0.165088,0.181459,0.229688
13,0.0733735,0.433748,0.101106,0.170991,0.220782,0.202265,0.272097
14,0.0457363,0.364113,0.109129,0.194507,0.286515,0.228786,0.303636
15,0.026669,0.295516,0.110033,0.208219,0.359564,0.261183,0.318251
16,0.0146672,0.235296,0.103896,0.21037,0.43577,0.298686,0.314266
17,0.00769064,0.186913,0.0926173,0.202148,0.510631,0.33961,0.294765
18,0.00387703,0.15026,0.0788125,0.186601,0.580449,0.381782,0.265414
19,0.00188629,0.123355,0.0647282,0.167092,0.642938,0.423132,0.231821
20,0.000885746,0.103828,0.0517866,0.146321,0.697179,0.462124,0.198107
21,0.000400714,0.0896371,0.0406487,0.126072,0.743242,0.497883,0.166721
22,0.000174305,0.079243,0.0314647,0.107353,0.781765,0.530102,0.138818
23,7.28E-05,0.0715479,0.0241074,0.0906268,0.813645,0.558859,0.114734
24,2.92E-05,0.0657844,0.0183305,0.0760179,0.839838,0.584447,0.0943484
25,1.12E-05,0.0614184,0.0138584,0.0634579,0.861254,0.607249,0.0773163
26,4.13E-06,0.0580756,0.0104319,0.05278,0.878708,0.627661,0.0632119
27,1.46E-06,0.0554915,0.0078264,0.043776,0.892905,0.646054,0.0516024
28,4.95E-07,0.0534768,0.00585652,0.0362292,0.904437,0.662753,0.0420858
29,1.61E-07,0.0518945,0.0043736,0.0299327,0.913799,0.678034,0.0343063
30,5.05E-08,0.0506438,0.00326098,0.0246976,0.921398,0.692127,0.0279586
31,1.52E-08,0.0496499,0.00242834,0.0203566,0.927565,0.705221,0.0227849
32,4.40E-09,0.0488563,0.0018065,0.0167645,0.932573,0.717467,0.018571
33,1.22E-09,0.0482204,0.00134282,0.013797,0.93664,0.72899,0.0151398
34,3.28E-10,0.047709,0.000997516,0.0113487,0.939945,0.739887,0.0123462
35,8.44E-11,0.0472966,0.000740623,0.00933078,0.942632,0.750239,0.0100714
36,2.09E-11,0.0469633,0.00054966,0.007669,0.944818,0.760108,0.00821866
37,4.99E-12,0.0466934,0.000407797,0.00630141,0.946597,0.769547,0.00670921
38,1.14E-12,0.0464744,0.000302466,0.00517651,0.948047,0.778595,0.00547898
39,2.52E-13,0.0462965,0.000224291,0.00425164,0.949228,0.787286,0.00447593
40,5.34E-14,0.0461518,0.000166291,0.00349148,0.95019,0.795646,0.00365777
41,1.09E-14,0.0460339,0.000123272,0.00286688,0.950976,0.803698,0.00299015
42,2.13E-15,0.0459379,9.14E-05,0.00235378,0.951617,0.811459,0.00244515
43,4.01E-16,0.0458595,6.77E-05,0.00193236,0.95214,0.818944,0.00200008
44,7.25E-17,0.0457955,5.02E-05,0.00158628,0.952568,0.826166,0.00163647
45,1.26E-17,0.0457433,3.72E-05,0.00130212,0.952917,0.833136,0.0013393
46,2.10E-18,0.0457006,2.76E-05,0.00106881,0.953203,0.839862,0.00109636
47,3.35E-19,0.0456656,2.04E-05,0.00087727,0.953437,0.846353,0.000897689
48,5.15E-20,0.0456371,1.51E-05,0.000720037,0.953628,0.852617,0.000735166
49,7.59E-21,0.0456137,1.12E-05,0.00059097,0.953784,0.858659,0.000602179
50,1.07E-21,0.0455945,8.30E-06,0.000485029,0.953912,0.864487,0.000493334
51,1.45E-22,0.0455789,6.15E-06,0.000398073,0.954017,0.870106,0.000404226
52,1.89E-23,0.045566,4.56E-06,0.000326702,0.954103,0.875523,0.000331261
53,2.35E-24,0.0455555,3.38E-06,0.000268125,0.954173,0.880742,0.000271502
54,2.80E-25,0.0455469,2.50E-06,0.000220048,0.954231,0.885768,0.00022255
55,3.20E-26,0.0455399,1.85E-06,0.00018059,0.954278,0.890608,0.000182444
56,3.49E-27,0.0455341,1.37E-06,0.000148207,0.954316,0.895267,0.000149581
57,3.66E-28,0.0455293,1.02E-06,0.000121631,0.954348,0.899748,0.000122648
58,3.67E-29,0.0455254,7.54E-07,9.98E-05,0.954374,0.904059,0.000100573
59,3.52E-30,0.0455223,5.58E-07,8.19E-05,0.954395,0.908202,8.25E-05
60,3.23E-31,0.0455196,4.14E-07,6.72E-05,0.954413,0.912185,6.76E-05
61,2.84E-32,0.0455175,3.06E-07,5.52E-05,0.954427,0.91601,5.55E-05
62,2.38E-33,0.0455157,2.27E-07,4.53E-05,0.954439,0.919684,4.55E-05
63,1.91E-34,0.0455143,1.68E-07,3.72E-05,0.954448,0.923211,3.73E-05
64,1.47E-35,0.0455131,1.25E-07,3.05E-05,0.954456,0.926595,3.06E-05
65,1.08E-36,0.0455121,9.23E-08,2.50E-05,0.954463,0.929843,2.51E-05
66,7.57E-38,0.0455114,6.84E-08,2.05E-05,0.954468,0.932957,2.06E-05
67,5.07E-39,0.0455107,5.07E-08,1.69E-05,0.954472,0.935942,1.69E-05
68,3.25E-40,0.0455102,3.75E-08,1.38E-05,0.954476,0.938804,1.39E-05
69,1.99E-41,0.0455097,2.78E-08,1.14E-05,0.954479,0.941546,1.14E-05
70,1.16E-42,0.0455094,2.06E-08,9.32E-06,0.954481,0.944173,9.34E-06
71,6.49E-44,0.0455091,1.53E-08,7.64E-06,0.954483,0.946689,7.66E-06
72,3.46E-45,0.0455088,1.13E-08,6.27E-06,0.954485,0.949098,6.29E-06
73,1.76E-46,0.0455086,8.37E-09,5.15E-06,0.954486,0.951404,5.16E-06
74,8.56E-48,0.0455085,6.20E-09,4.23E-06,0.954487,0.95361,4.23E-06
75,3.97E-49,0.0455083,4.60E-09,3.47E-06,0.954488,0.955722,3.47E-06
